slug	title	category	miss_total	cover_rakuten	cover_ndl	author_ng	date_disorder	gaps
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	C_VERSION_MIX	2	0	0	0	1	standard:[3, 5]
1-yamamoto-1993	1	C_VERSION_MIX	3	0	3	0	1	standard:[2, 3, 5]
omega-7	Omega 7	C_VERSION_MIX	1	0	0	0	1	standard:[6]
x-men	X-MEN	C_VERSION_MIX	6	0	0	0	1	standard:[4, 5, 7, 8, 10, 11]
atagoul	アタゴオル	C_VERSION_MIX	4	0	4	0	1	standard:[5, 6, 7, 8]
macross-7-trash-2009	マクロス7trash	C_VERSION_MIX	2	0	0	0	1	standard:[5, 6]
purodeyuusaa-ni-naritai	プロデューサーになりたい	C_VERSION_MIX	1	0	0	0	1	standard:[2]
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	C_VERSION_MIX	1	0	0	0	1	standard:[2]
botsu-chan-no-jidai	『坊っちゃん』の時代	C_VERSION_MIX	1	0	1	0	1	standard:[4]
shadow-skill	Shadow skill	C_VERSION_MIX	3	3	0	0	1	standard:[5, 6, 7]
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	C_VERSION_MIX	1	0	0	0	1	standard:[2]
bolt-and-nut	ボルト＆ナット	C_VERSION_MIX	1	0	0	0	1	standard:[3]
b-t-x-1999	B'T X-ビート・エックス-	C_VERSION_MIX	4	0	0	0	1	standard:[9, 10, 11, 12]
valkyrie-profile-2001-2	VALKYRIE PROFILE	C_VERSION_MIX	1	0	0	0	1	standard:[5]
valkyrie-profile-2001	VALKYRIE PROFILE	C_VERSION_MIX	1	0	0	0	1	standard:[6]
kanon-usami-2003	カノン	C_VERSION_MIX	6	0	4	0	1	standard:[2, 3, 4, 5, 6, 7]
majutsushi-oofen-haguretabi	魔術士オーフェンはぐれ旅	C_VERSION_MIX	3	0	3	0	1	standard:[2, 4, 5]
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	C_VERSION_MIX	1	0	0	0	1	standard:[5]
clamp-premium-collection-holic	CLAMP PREMIUM COLLECTION ×××HOLiC	C_VERSION_MIX	4	4	0	0	1	standard:[15, 16, 17, 18]
xxxholic	xxxHOLiC	C_VERSION_MIX	4	0	4	0	1	standard:[15, 16, 17, 18]
guruguru-kakumei	ぐるぐる革命	C_VERSION_MIX	2	0	0	0	1	standard:[7, 8]
gold-2004	GOLD	C_VERSION_MIX	7	7	0	0	1	standard:[2, 3, 4, 5, 6, 7, 8]
jin	JIN	C_VERSION_MIX	7	7	0	0	1	standard:[2, 3, 5, 6, 7, 8];deluxe:[9]
sugar-spice	Sugar ＆ Spice	C_VERSION_MIX	1	0	0	0	1	standard:[17]
meitantei-yumemizu-kiyoshirou-jiken-note	名探偵夢水清志郎事件ノート	C_VERSION_MIX	8	8	0	0	1	deluxe:[3, 4, 5, 6, 7, 8, 9, 10]
bartender	Bartender	C_VERSION_MIX	17	17	0	0	1	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
mangetsu-no-yoru-ni	まんげつのよるに	C_VERSION_MIX	4	0	0	0	1	standard:[2, 4, 5, 6]
neko-punch	ねこぱんち	C_VERSION_MIX	10	0	10	0	1	standard:[11, 18, 19, 22, 24, 25, 26, 27, 28, 29]
ningen-shikkaku-ito-2010	人間失格	C_VERSION_MIX	1	0	0	4	1	standard:[2]
rakkiidoggu-1-blast	ラッキードッグ1 BLAST	C_VERSION_MIX	1	0	0	0	1	standard:[2]
kanojo-no-hitorigurashi-tsuu-out-manrui	彼女のひとりぐらしツーアウト満塁	C_VERSION_MIX	1	0	0	0	1	deluxe:[2]
shin-kurosagi-kanketsu-hen	新クロサギ完結編	C_VERSION_MIX	12	0	0	0	1	standard:[5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]
gifuu-doudou	義風堂々!!	C_VERSION_MIX	1	0	1	0	1	standard:[2]
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	C_VERSION_MIX	1	0	1	0	1	standard:[3]
shion	Shion	D_AUTHOR_MISMATCH	1	0	0	1	0	standard:[2]
fire-emblem-1993	ファイアーエムブレム	D_AUTHOR_MISMATCH	4	0	0	15	0	deluxe:[5, 6, 7, 8]
bird	バード	D_AUTHOR_MISMATCH	1	0	0	1	0	standard:[2]
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	D_AUTHOR_MISMATCH	1	0	0	3	0	standard:[2]
hanamori-no-kitsune	花守の狐	D_AUTHOR_MISMATCH	1	0	0	1	0	standard:[2]
shitsurakuen-1996	失楽園	D_AUTHOR_MISMATCH	2	0	0	2	0	standard:[3, 4]
kanon	Kanon	D_AUTHOR_MISMATCH	5	0	0	3	0	standard:[3, 4, 5, 6, 7]
ziggurat	Ziggurat	D_AUTHOR_MISMATCH	3	0	0	5	0	standard:[5, 6, 7]
itadakimasu-uekan-2015	いただきます	D_AUTHOR_MISMATCH	48	0	0	15	0	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]
final-fantasy-lost-stranger-2021	Final fantasy lost stranger	D_AUTHOR_MISMATCH	4	0	0	3	0	standard:[5, 6, 7, 11]
