slug	isbn	title	rakuten_kana	ndl_kana
touchoutou-to-chousa-no-3-wa-kaiidearu	9784845871988	盗聴・盗撮調査の3％は怪異である。	トウチョウトウサツチョウサノサンパーセントハカイイデアル	トウチョウトウサツチョウサノサンパーセントハカイイデアルフウインサレシモノ
supadarimiman-kareshiijou	9784253018135	スパダリ未満、彼氏以上。	スパダリミマンカレシイジョウ	スパダリミマンカレシイジョウデンシタンコウボン
mada-boku-o-yurusanai-de	9784825100749	まだ僕を赦さないで	マダボクヲユルサナイデ	マダボクヲユルサナイデデンシゲンテイカキオロシマンガツキ
hyakugou-to-soreiyu	9784825100718	百合とソレイユ	ユリトソレイユ	ユリトソレイユデンシゲンテイカキオロシマンガツキ
kimi-to-kazokumitaina-soreijou	9784825100732	君と家族みたいなそれ以上	キミトカゾクミタイナソレイジョウ	キミトカゾクミタイナソレイジョウデンシゲンテイカキオロシマンガツキ
bounty-parade	9784825100053	Bounty Parade〜CR Mondo side:Another〜	バウンティパレードシアールモンドサイドアナザー	バウンティパレードシーアールモンドサイドアナザー001イラストトクテンツキ
bar-arisa-ka-e-youkoso	9784825100046	Barありさかへようこそ！	バーアリサカヘヨウコソ	バーアリサカヘヨウコソ001イラストトクテンツキ
sofubo-o-tazune-te-iede-kyoudai-ninin-tabi	9784868540434	祖父母をたずねて家出兄弟二人旅@COMIC	ソフボヲタズネテイエデキョウダイフタリタビアットコミックダイイッカン	ソフボ オ タズネテ イエデ キョウダイ フタリタビ アットマーク コミック
ryuuzakisan-ga-ore-no-mae-dake-de-dereru-riyuu	9784813766315	竜崎さんが俺の前だけでデレるリユウ	リュウザキサンガオレノマエダケデデレルリユウイチ	リュウザキ サン ガ オレ ノ マエ ダケ デ デレル リユウ
gemis-gemisuu	9784813766292	GEMIS-ゲミスー	ゲミスイチ	ゲミス
kiss-no-ato-made-oshie-teageru	9784813766254	キスのあとまで教えてあげる	キスノアトマデオシエテアゲルイチ	キス ノ アト マデ オシエテ アゲル
kaku-iu-bokura-wa	9784813766308	かくいう僕らは	カクイウボクラハイチ	カク イウ ボクラ ワ
soshite-setsuna-wa-kurikaesu	9784065443286	そして刹那は繰り返す	ソシテセツナハクリカエス	ソシテセツナハクリカエス(001)
zunou-to-i-nou-ni-kinniku-de-shouri-suru-death-game	9784824017079	頭脳と異能に筋肉で勝利するデスゲーム 1　〜頭脳戦に舞い降りた最強のバカ〜	ズノウトイノウニキンニクデショウリスルデスゲームイチズノウセンニマイオリタサイキョウノバカ	ズノウ ト イノウ ニ キンニク デ ショウリ スル デス ゲーム : ズノウセン ニ マイオリタ サイキョウ ノ バカ
bokutachi-wa-tada-no-osananajimi	9784302612505	僕たちはただの幼なじみ	ボクタチハタダノオサナナジミイチ	ボクタチ ワ タダ ノ オサナナジミ
kon-yo-de-saigo-no-koi-o-shiyou	9784868460213	今世で最後の恋をしよう	コンセデサイゴノコイヲシヨウ	コンセ デ サイゴ ノ コイ オ シヨウ
bo-chi-dk-ni-hanataba-o-gakuen-gaadenbaasuu	9784832293328	ぼっちDKに花束をー学園ガーデンバースー	ボッチディーケーニハナタバヲガクエンガーデンバース	ボッチ DK ニ ハナタバ オ : ガクエン ガーデンバース
jashin-no-chi-ga-nagare-teiru-to-iware-shinsei-kyoukai-o-tsuihou-sareta-shinpude	9784821111879	「《邪神の血》が流れている」と言われ、神聖教会を追放された神父です。 〜理不尽な理由で教会を追い出されたら、信仰対象の女神様も一緒についてきちゃいました〜	ジャシンノチガナガレテイルトイワレシンセイキョウカイヲツイホウサレタシンプデスリフジンナリユウデキョウカイヲオイダサレタラシンコウタイショウノメガミサマモイッショニツイテキチャイマシタ	ジャシン ノ チ ガ ナガレテ イル ト イワレ シンセイ キョウカイ オ ツイホウ サレタ シンプ デス : リフジン ナ リユウ デ キョウカイ オ オイダサレタラ シンコウ タイショウ ノ メガミサマ モ イッショ ニ ツイテ キチャイマシタ
kono-koi-wa-ofureko-de	9784864425612	この恋はオフレコで！	コノコイハオフレコデ	コノ コイ ワ オフレコ デ
burattoteimaa-joker-cheers	9784813034834	ブラットテイマー／ジョーカー　cheers！	ブラットテイマージョーカーチアーズ	ブラットテイマー/ジョーカー cheers!
koumuin-de-antai-nohazu-ga-jiko-bukken-tantou-ni-idou-shimasu	9784045001734	公務員で安泰のはずが、事故物件担当に異動します	コウムインデアンタイノハズガ、ジコブッケンタントウニイドウシマス　イチ	コウムインデアンタイノハズガジコブッケンタントウニイドウシマスゼロゼロイチ
tora-mimi-onna-ni-nata-to-te	9784832206328	虎耳女になったとて	トラミミオンナニナッタトテ　イチ	トラミミオンナニナッタトテ01カン
i-sekai-kaa-chan	9784832206304	異世界カーチャン	イセカイカーチャン　イチ	イセカイカーチャン01カン
sakura-no-en	9784832206311	桜の園〜昭和純喫茶物語〜	サクラノソノショウワジュンキッサモノガタリ　イチ	サクラノソノショウワジュンキッサモノガタリ01カン
dadasabaibaa-saraba-komon-dada-saba-yo-eien-ni-hen	9784091543448	ダダサバイバー さらばコモン! ダダサバよ永遠に編	ダダサバイバー さらばコモン! ダダサバよ永遠に編	ダダサバイバー サラバコモン！ ダダサバヨエイエンニヘン
okubyou-kurage-to-koishirazu	9784815531355	臆病くらげと恋知らず	臆病くらげと恋知らず	オクビョウクラゲトコイシラズ
shibazakisan-no-kemono-michi	9784815531348	柴崎さんのケモノみち	柴崎さんのケモノみち	シバサキサンノケモノミチ
