slug	title	author	category	ndl_records
clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	CLAMP	COMPLEX	16
dogs	DOGS	三輪士郎	COMPLEX	8
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	藤丸あらた	COMPLEX	6
damenzu-walker	だめんず・うぉ～か～	倉田真由美	COMPLEX	84
pururun-seminar	ぷるるんゼミナール	ながしま超助	COMPLEX	4
kanon-usami-2003	カノン	宇佐美真紀	COMPLEX	2
sky-high	スカイハイ	髙橋ツトム	COMPLEX	44
nippon-banashi	ニッポン昔話	花輪和一	COMPLEX	6
pachisuro-yancha-bugi	パチスロやんちゃブギ	しのはら勉	COMPLEX	18
shin-kaiketsu-jouki-tanteidan	真・快傑蒸気探偵団	麻宮騎亜	COMPLEX	24
majutsushi-oofen-haguretabi	魔術士オーフェンはぐれ旅	連	COMPLEX	10
dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	筆吉純一郎	COMPLEX	8
nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	ながいのりあき	COMPLEX	14
valkyrie-profile	VALKYRIE PROFILE	藍山恵	NO_NDL	0
shota-komi	ショタコミ	かたぎりあつこ	COMPLEX	6
minami-no-teiou-special	ミナミの帝王スペシャル	郷力也	COMPLEX	120
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	原哲夫	COMPLEX	18
gamurakan	臥夢螺館	福山庸治	COMPLEX	6
hana-matsumoto-2002	花	松本大洋	COMPLEX	22
clamp-premium-collection-holic	CLAMP PREMIUM COLLECTION ×××HOLiC	CLAMP	COMPLEX	38
xxxholic	xxxHOLiC	CLAMP	COMPLEX	120
guruguru-kakumei	ぐるぐる革命	(unknown)	NO_NDL	0
manga-grimm-douwa	まんがグリム童話	竹崎真実	COMPLEX	120
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	しのはら勉	COMPLEX	8
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	渡辺敏	COMPLEX	76
tenka-musou	天下無双	宮下あきら	COMPLEX	22
kai-riki-ran-shin-quan	怪・力・乱・神クワン	志水アキ	COMPLEX	10
show-chan-no-bouken	正チャンの冒険	樺島勝一	COMPLEX	22
bakuon-rettou	爆音列島	高橋ツトム	COMPLEX	60
tokusen-ol-shinkaron	特選OL進化論	秋月りす	COMPLEX	14
dare-nimo-ienai-hi	誰にも言えない(秘)	ゆかりがわ弓夜	COMPLEX	28
toriyama-akira-marusaku-gekijou-aratame	鳥山明○作劇場「改」	鳥山明	COMPLEX	4
gold-2004	GOLD	山本隆一郎	COMPLEX	42
jin	JIN	村上もとか	COMPLEX	98
sugar-spice	Sugar ＆ Spice	オトヨシクレヲ	COMPLEX	40
uiui-days	ういうい❤days	犬上すくね	COMPLEX	14
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	NHKプロジェクトX制作班	COMPLEX	32
gang-king	ギャングキング	柳内大樹	COMPLEX	120
meitantei-yumemizu-kiyoshirou-jiken-note	名探偵夢水清志郎事件ノート	えぬえけい	COMPLEX	58
daiki-no-baka-h-special	大紀のバカHスペシャル	山崎大紀	COMPLEX	4
yakushiji-ryouko-no-kaiki-file-kiri-no-houmonsha	薬師寺涼子の怪奇事件簿 霧の訪問者	垣野内成美	COMPLEX	4
tobaku-datenroku-kaiji	賭博堕天録カイジ	福本伸行	COMPLEX	120
onmitsu-kenshi	隠密剣士	かわのいちろう	COMPLEX	12
arasu-kagayakeru-tsubasa	Alas～輝ける翼	野部利雄	COMPLEX	20
bartender	Bartender	長友健篩	COMPLEX	22
mangetsu-no-yoru-ni	まんげつのよるに	あべ弘士	COMPLEX	8
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	小池一夫	COMPLEX	50
chousen-shikaku	挑戦資格	園田光慶	COMPLEX	6
mobile-suit-gundam-seed-destiny-2005	機動戦士ガンダムSEED DESTINY	岩瀬昌嗣	COMPLEX	8
mobile-suit-gundam-san	機動戦士ガンダムさん	大和田秀樹	COMPLEX	120
tokusen-kobo-chan	特選コボちゃん	植田まさし	COMPLEX	10
hana-2005	花	門井亜矢	COMPLEX	2
dokusha-toukou-shinrei-taiken	読者投稿心霊体験	高港基資	COMPLEX	6
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	とがわはなまる	COMPLEX	8
higurashi-no-naku-koro-ni-himatsubushihen	ひぐらしのなく頃に 暇潰し編	外海良基	COMPLEX	6
atori-show	アトリ抄	たしろたくや	COMPLEX	4
kingdom	キングダム	原泰久	COMPLEX	120
horikou-hanemono-ranger	堀高ハネモノレンジャー	葉月かなえ	COMPLEX	6
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	志野夏穂	COMPLEX	12
toaru-kagaku-no-railgun	とある科学の超電磁砲	冬川基	COMPLEX	120
neko-punch	ねこぱんち	小石川ふに	COMPLEX	10
guranpuri-tengoku	グランプリ天国	村山文夫	COMPLEX	22
papillon	パピヨン	上田美和	COMPLEX	14
parabellum	パラベラム	吉岡榊	COMPLEX	4
love-drug	ラブドラッグ	マーシーラビット	COMPLEX	2
umimachi-diary	海街diary	吉田秋生	COMPLEX	48
shirasunamura	白砂村	今井神	COMPLEX	12
yurihime-wild-rose	百合姫Wildrose	いづみやおとは	NO_NDL	0
euromanga	euromanga	フレデリック・トゥルモンド	COMPLEX	6
neko-puni	ねこぷに	石田貴子	COMPLEX	10
tales-of-destiny-director-cut-cut-toki-no-rion	テイルズオブデスティニーディレクターズカット 儚き刻のリオン	カスカベアキラ	COMPLEX	8
muse-no-gakuen-de-aou	ミューズの学園で逢おう	立野真琴	COMPLEX	6
shima-kousaku-zenshuu	島耕作全集	弘兼憲史	COMPLEX	82
rikei-kun	理系クン	高世えり子	COMPLEX	14
reikan-koumuten-ripea	霊感工務店リペア	池田さとみ	COMPLEX	36
onape	オナぺ	佐藤沙緒里	COMPLEX	4
jump-sq-comic-selection	ジャンプSQ.Comic Selection	集英社	COMPLEX	14
tales-of-vesperia-4-koma-kings	テイルズオブヴェスペリア4コマKINGS	藤島康介	COMPLEX	4
yuuutsuna-asa	憂鬱な朝	日高ショーコ	COMPLEX	18
tokumorikobo-chan	特盛!コボちゃん	植田まさし	COMPLEX	6
rinjou	臨場	上農ヒロ昭	COMPLEX	8
s	S	藤堂裕	COMPLEX	44
ziggurat	Ziggurat	Miss Black	COMPLEX	12
uta-no-purinsusamatsu	うたの☆プリンスさまっ♪	雪広うたこ	COMPLEX	10
hard-nuts	ハードナッツ	大竹とも	COMPLEX	10
ningen-shikkaku-ito-2010	人間失格	比古地朔弥	COMPLEX	2
yuu-gi-ou-5ds	遊・戯・王5D's	佐藤雅史	COMPLEX	4
goshujin-sama-no-oshioki	ご主人様のおしおき?	春宮ぱんだ	COMPLEX	6
meshibana-deka-tachibana	めしばな刑事タチバナ	阿左維シン	NO_NDL	0
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	雲田はるこ	COMPLEX	120
gokudoumeshi	極道めし	土山しげる	COMPLEX	14
saiyaku-wa-boku-o-sukisugiru	災厄は僕を好きすぎる	二宮悦巳	COMPLEX	20
kaina	腕	森秀樹	COMPLEX	18
yuugiou-zearu	遊☆戯☆王ZEXAL	三好直人	NO_NDL	0
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	さいとう・たかを池波正太郎時代劇画ワイドセレクション	さいとう・たかを	COMPLEX	18
soshite-kozure-ookami-shikaku-no-ko	そして-子連れ狼刺客の子	森秀樹	COMPLEX	12
gate	ゲート	竿尾悟	COMPLEX	56
rakkiidoggu-1-blast	ラッキードッグ1 BLAST	おそら	NO_NDL	0
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	洪鐘賢	NO_NDL	0
kanojo-no-hitorigurashi-tsuu-out-manrui	彼女のひとりぐらしツーアウト満塁	玉置勉強	COMPLEX	2
shin-kurosagi-kanketsu-hen	新クロサギ完結編	黒丸	COMPLEX	8
kizuato	痕	月吉ヒロキ	COMPLEX	6
kyouka-ayakashi-hichou	鏡花あやかし秘帖	今市子	COMPLEX	22
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	森田崇	COMPLEX	16
shin-mimibukuro	新耳袋	萩原玲二	COMPLEX	2
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみた。	小杉光太郎	COMPLEX	24
shachou-to-anan	社長とあんあん❤	佐々木柚奈	COMPLEX	120
ryuutei-no-mon	竜蹄の門	やまさき拓味	COMPLEX	14
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	桃井涼太	COMPLEX	34
kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	「艦これ」運営鎮守府	COMPLEX	26
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	桜木さゆみ	COMPLEX	120
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	華桜小桃	NO_NDL	0
fate-strange-fake-2019	フェイト/ストレンジフェイク	森井しづき	COMPLEX	10
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	森田崇	COMPLEX	4
gifuu-doudou	義風堂々!!	武村勇治	COMPLEX	64
esudii-gundam-gaiden-kishi-gundam-monogatari-seikihei-monogatari-hen	SDガンダム外伝 騎士ガンダム物語 聖機兵物語編	ほしの竜一	COMPLEX	4
itadakimasu-uekan-2015	いただきます	くりた陸	COMPLEX	6
otokuyou-mainichi-kaa-san	お徳用毎日かあさん	西原理恵子	COMPLEX	8
oogata-shinjin-no-kyouikugakari	大型新人の教育係	森長あやみ	NO_NDL	0
crew-de-gozaimasu	CREWでございます!	御前モカ	COMPLEX	10
dogs-sato-2023	Dogs	里つばめ	COMPLEX	8
sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	Jay.	COMPLEX	10
sherlock-ooinaru-game	SHERLOCK大いなるゲーム	Jay.	COMPLEX	4
akuma-to-keiyaku	アクマと契約	ハル	COMPLEX	20
sayonara-jitensha	サヨナラ自転車	友風子	COMPLEX	6
zootopia	ズートピア	(unknown)	NO_NDL	0
dragless-sex	ドラッグレス・セックス	江口吾朗	NO_NDL	0
