消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	hamster-no-kenkyuu-report	ハムスターの研究レポート	standard	通常版	偕成社ファンタジーコミックス	8	Jets comics[白泉社] / 偕成社ファンタジーコミックス[偕成社]		
0	hamster-shiiku-nikki	ハムスター飼育日記	standard	通常版	スコラLC	8	あおばコミックス[あおば出版] / スコラLC[スコラ]		
0	haramu-made-midare-ike	孕むまで乱れいけ	standard	通常版	Clair TLcomics	6	Clair TLcomics[星雲社,星雲社 (発売)] / Clair TLcomics[星雲社]		
0	hard-ando-ruuzu	ハード＆ルーズ	standard	通常版	アクション・コミックス	7	アクション・コミックス[双葉社,講談社] / アクション・コミックス[双葉社]	canonical有	
0	hardboiled-enji-cosmo-kun	ハードボイルド園児宇宙くん	standard	通常版	LINE COMICS	9	LINE COMICS[LINE,LINE Digital Fronti] / LINE COMICS[LINE]		
0	harris-no-kaze	ハリスの旋風	aizoban	豪華愛蔵版(1991)	豪華愛蔵版(1991)	6	None[講談社] / 講談社コミックス[コミックス,講談社]	canonical有	
0	harukanaru-ikyou-guardian	遥かなる異郷ガーディアン	standard	通常版	Ascii comix	4	Ascii comix[アスキー,アスキー出版局] / アスキーコミックス[アスキー]		
0	hataraku-maou-sama	はたらく魔王さま!	standard	通常版	DENGEKI COMICS	24	DENGEKI COMICS[角川グループホールディングス] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA]		
0	hataraku-maou-sama-highschool	はたらく魔王さま!ハイスクール!	standard	通常版	Dengeki Comics EX	5	Dengeki Comics EX[KADOKAWA,角川グループホールディングス] / Dengeki Comics EX[角川グループパブリッシング]		
0	hatsujou-suru-unmei	発情する運命	standard	通常版	LB COMICS	6	LB COMICS[講談社,講談社 (発売)] / LB COMICS[講談社]		
0	hazure-zokusei-tsuchi-mahou-no-sei-de-henkyou-ni-tsuihousareta-sareta-node-gangan-ryouchi-kaitaku	ハズレ属性土魔法のせいで辺境に追放されたので、ガンガン領地開拓します!	standard	通常版	アルファポリスCOMICS	5	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	hebi	蛇	standard	通常版	MBコミックス ミステリー	2	MBコミックス ミステリー[実業之日本社] / 楳図かずおこわい本[朝日ソノラマ]		
0	heisei-jiimen	平成爺メン	standard	通常版	ニューマンコミックス	2	None[Gakken] / ニューマンコミックス[学習研究社]		
0	hen-na-ie	変な家	standard	通常版	comic HOWL	7	comic HOWL[講談社,講談社 (発売)] / comic HOWL[講談社]		
0	hentai-ouji-to-warawanai-neko	変態王子と笑わない猫。	standard	通常版	MFコミックス	8	MFコミックス[KADOKAWA] / MFコミックス[メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	hey-riki	Hey!リキ	standard	通常版	YKコミックス	31	YKコミックス[学習研究社,少年画報社] / YKコミックス[少年画報社] / コミック[少年画報社]		
0	hidan-no-aria	緋弾のアリア	standard	通常版	MFコミックス	16	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	high-school-dxd	ハイスクールD×D	standard	通常版	ドラゴンコミックスエイジ	11	ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング] / ドラゴンコミックスエイジ[角川グループパブリッシング]		
0	himawari-san	ひまわりさん	standard	通常版	MFコミックス	13	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	himuro-no-tenchi	氷室の天地	standard	通常版	4コマkingsぱれっとcomics	15	4コマkingsぱれっとcomics[一迅社,講談社] / 4コマkingsぱれっとcomics[一迅社] / 4コマkingsぱれっとcomics[講談社] / 4コマkingsぱれっとcomics[講談社] / IDコミックス[講談社]		
0	hina-matsuri	ヒナまつり	standard	通常版	BEAM COMIX	19	BEAM COMIX[KADOKAWA,角川グループパブリッシング] / HARTA COMIX[KADOKAWA]		
0	hirugao	ひるがお	standard	通常版	ACTION COMICS	5	ACTION COMICS[双葉社] / Angel comics[エンジェル出版]		
0	hitozuma-mansion-kaede	人妻マンション楓	standard	通常版	ACTION COMICS	2	ACTION COMICS[双葉社] / Angel comics[エンジェル出版]		
0	hitsugi-no-chaika	棺姫のチャイカ	standard	通常版	角川コミックス・エース	5	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング]		
0	hottoite-kudasai	ほっといて下さい	standard	通常版	Regina COMICS	6	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	houga-purezen-joshikousei-houkichi-eiko-san	邦画プレゼン女子高生邦キチ!映子さん	standard	通常版		14	None[集英社,集英社 (発売)] / ホーム社書籍扱いコミックス[集英社 (発売)]		
0	houkago-assault-girls	放課後アサルト×ガールズ	standard	通常版	METEOR COMICS	8	METEOR COMICS[ほるぷ出版,フレックスコミックス] / [メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
