状態	match	owner_slug	series_key	title	subtitle	number	isbn	release_date	date_gap_days	imprint	edition_type	authors	材料
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		11	9784091875624	2016-12	5090	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		2	9784091875495	2016-03	5754	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		3	9784091875501	2016-04	5693	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		4	9784091875549	2016-05	5570	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		5	9784091875556	2016-06	5515	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		6	9784091875563	2016-07	5450	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		7	9784091875570	2016-08	5389	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		8	9784091875587	2016-09	5299	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	20seiki-20-younen	qid:Q3514203|name:20世紀少年	20世紀少年		9	9784091875594	2016-10	5208	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	TITLE	21-seiki-shounen	qid:Q3514203|name:21世紀少年	21世紀少年		1	9784091875440	2017-01	3502	BIG COMICS SPECIAL	standard	浦沢直樹 / 長崎尚志	未取得
DUP	SIBLING	24-no-hitomi	name:倉島圭|name:24のひとみ	24のひとみ		1	9784253242974	2007-12	487	Akita top comics wide	standard	倉島圭	未取得
DUP	SIBLING	2kumi-no-otomodachi	qid:Q11352894|name:2組のお友達。	2組のお友達。		1	9784091857163	1999-06	0	Big spirits comics special	standard	一條裕子	未取得
DUP	SIBLING	2nd-house	name:樫田正剛|name:2ndハウス	2ndハウス		1	9784088770338	2006-01	1287	ヤングジャンプ・コミックスBJ	standard	七瀬あゆむ / 樫田正剛	未取得
DUP	SIBLING	2shuukan-no-aventure	qid:Q4811878|name:2週間のアバンチュール	2週間のアバンチュール		1	9784778322632	2015-11	2740	中村明日美子コレクション	standard	中村明日美子	未取得
DUP	SIBLING	3-3eyes	qid:Q1970474|name:3×3eyes	3×3eyes		1	9784063620009	2002-04	4914	プレミアムKC	standard	高田裕三	未取得
DUP	TITLE	3-3eyes	qid:Q1970474|name:3×3EYES(サザンアイズ)	3×3EYES(サザンアイズ)		24	9784063707533	2010-07	4955	講談社漫画文庫	bunkobon	高田裕三	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		1	9784063031157	1998-07-13	3522	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	TITLE	3-three	name:林アキラ|name:3THREE	3THREE		1	9784091911414	1996-11-10	2912	小学館文庫	bunkobon	惣領冬実 / 林アキラ	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		2	9784063031164	1998-07	3418	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	TITLE	3-three	name:横山由和|name:3THREE	3THREE		2	9784091911421	1996-11-10	2820	小学館文庫	bunkobon	惣領冬実 / 横山由和	未取得
DUP	SIBLING	3-three	qid:Q469923|name:3 THREE	3 THREE		3	9784063031171	1998-07	3329	講談社コミックスフレンドB	standard	惣領冬実	未取得
DUP	TITLE	3-three	name:吉森いちか|name:3THREE	3THREE		3	9784091911438	1996-12-10	2761	小学館文庫	bunkobon	惣領冬実 / 吉森いちか	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		4	9784063031188	1998-08-07	3293	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	TITLE	3-three	name:小山真弓|name:3THREE	3THREE		4	9784091911445	1996-12-10	2688	小学館文庫	bunkobon	惣領冬実 / 小山真弓	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		5	9784063031195	1998-08-07	3201	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	SIBLING	3-three	qid:Q469923|name:3 THREE	3 THREE		6	9784063031201	1998-08	3044	講談社コミックスフレンドB	standard	惣領冬実	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		7	9784063031218	1998-09-11	2994	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	TITLE	3-three	qid:Q469923|name:3THREE	3THREE		8	9784063031225	1998-09-11	2883	講談社コミックスフレンドB	standard	惣領冬実 / 林アキラ	未取得
DUP	SIBLING	30-days-naito	name:桑原あつし|name:30デイズ・ナイト	30デイズ・ナイト		1	9784896372199	2005-11	21	アナザー・パラダイム・シリーズ	standard	クリスチャン・ストームズ / ジョシュ・メドース / スティーブ・ナイルズ	未取得
DUP	SIBLING	300	name:フランク・ミラー|name:スリーハンドレッド	スリーハンドレッド		1	9784796877077	2018-05	3987	DARK HORSE BOOKS	standard	フランク・ミラー / リン・ヴァーリイ / 関川哲夫	未取得
DUP	SIBLING	300-ga-edo-bakufu-300nen	name:北村幹雄|name:まんが江戸幕府300年	まんが江戸幕府300年		1	9784051041731	1983-06	0	Mangaゼミナール	standard	北村幹雄	未取得
DUP	SIBLING	3000-nen-no-haru	qid:Q431443|name:3000年の春	3000年の春		1	9784778032845	2014-06-30	12759	小学館クリエイティブ	standard	松本零士	未取得
DUP	SIBLING	30sai-made-doutei-dato-mahoutsukai-30-narerurashii	qid:Q55524412|name:30歳まで童貞だと魔法使いになれるらしい|sub:#チェリまほ	30歳まで童貞だと魔法使いになれるらしい	#チェリまほ	15	9784757595828	2025-01-17	0	ガンガンコミックスpixiv	standard	豊田悠	未取得
DUP	SIBLING	31-aidoriimu	qid:Q232660|name:31☆アイドリーム	31☆アイドリーム		3	9784592217237	2015-12	17	花とゆめCOMICS	standard	種村有菜	未取得
DUP	SIBLING	34sai-mushokusan	qid:Q11259149|name:34歳無職さん	34歳無職さん		1	9784040685601	2016-08	1643	MFRシリーズ	standard	いけだたかし	未取得
DUP	SIBLING	34sai-mushokusan	qid:Q11259149|name:34歳無職さん	34歳無職さん		1	9784040691121	2017-02	1827	MFRシリーズ	standard	いけだたかし	未取得
DUP	SIBLING	34sai-mushokusan	qid:Q11259149|name:34歳無職さん	34歳無職さん		1	9784040691138	2017-03	1855	MFRシリーズ	standard	いけだたかし	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		10	9784592145202	2014-12-05	4	Jets comics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		13	9784592147794	2017-10	0	ヤングアニマルcomics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		14	9784592161332	2018-12	20	ヤングアニマルcomics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		14	9784592161349	2018-12	20	ヤングアニマルcomics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		15	9784592161356	2019-12	25	ヤングアニマルcomics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	3gatsu-no-lion	name:先崎学|name:3月のライオン	3月のライオン		16	9784592161363	2021-10	0	Young animal comics = ヤングアニマルcomics	standard	先崎学 / 羽海野チカ	未取得
DUP	SIBLING	4koma-4-tama-nikki	qid:Q7680576|name:4コマ漫玉日記	4コマ漫玉日記		1	9784047262263	2009-12	0	BEAM COMIX	standard	桜玉吉	未取得
DUP	SIBLING	4nen-1kumi-kiritsu	qid:Q11557657|name:4年1組起立!	4年1組起立!		1	9784253189798	2003-09	4871	Akita top comics	standard	浜岡賢次	未取得
DUP	SIBLING	4nen-1kumi-kiritsu	qid:Q11557657|name:4年1組起立!	4年1組起立!		1	9784253189804	2007-12	6423	Akita top comics wide	standard	浜岡賢次	未取得
DUP	SIBLING	4nen-1kumi-kiritsu	qid:Q11557657|name:4年1組起立!	4年1組起立!		1	9784253189811	2008-03	6514	Akita top comics wide	standard	浜岡賢次	未取得
DUP	SIBLING	5-ji-kara-9-ji-made	qid:Q2715024|name:5時から9時まで	5時から9時まで		11	9784091592149	2015-09	24	Cheese!フラワーコミックス	standard	相原実貴	未取得
DUP	SIBLING	5-nin-no-ou	name:恵庭|name:5人の王	5人の王		1	9784861348266	2015-10	21	Daria comics	standard	恵庭 / 絵歩	未取得
DUP	SIBLING	714-donii-iki-714bin	name:エルジェ|name:シドニー行き714便	シドニー行き714便		1	9784834025354	2011-10	2679	タンタンの冒険	standard	川口恵子 / Hergé / エルジェ	未取得
