重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP31y+EDWORD:復刻+RAKPUB	jangurutaitei	ジャングル大帝	standard	手塚治虫初期漫画館	講談社	4	978-4-06x2	講談社	4	9784835453477	978-4-8354	復刊ドットコム	2016-10	2巻1985-07→-	375		ジャングル大帝（4）復刻版		復刊ドットコム
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP21y+EDWORD:復刻+RAKPUB	wakusei-robo-dangard-ace	惑星ロボダンガードA	standard	SUNDAY COMICS	秋田書店	3	978-4-253x2	秋田書店	3	9784835456799	978-4-8354	復刊ドットコム	2019-06-22	2巻1997-09→-	261		惑星ロボ ダンガードA 《復刻決定版》 下		復刊ドットコム
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP21y+EDWORD:完全版+RAKPUB	super-jetter	スーパー・ジェッター	standard	異色名作シリーズ	朝日ソノラマ	3	978-4-257x2	朝日ソノラマ	3	9784775911617	978-4-7759	パンローリング	2007-05-02	2巻1985-10→-	259		スーパージェッター完全版（下）	マンガショップシリーズ	マンガショップ
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP19y+EDWORD:完全版+RAKPUB	elite	エリート	standard	サンコミックス	朝日ソノラマ	3	978-4-257x2	朝日ソノラマ	3	9784775910337	978-4-7759	パンローリング	2005-04-05	2巻1985-11→-	233		エリート完全版（下（第1部　後編））	マンガショップシリーズ	パンローリング
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP17y+EDWORD:新装版/新装+RAKPUB	rockman-8	ロックマン8	standard	講談社コミックスボンボン	講談社	3	978-4-06x2	講談社	3	9784835452876	978-4-8354	復刊ドットコム	2015-12	2巻1998-05→-	211		ロックマン8（下）新装版		復刊ドットコム
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP17y+TITLEDIFF+RAKPUB	soubou-no-daichi-horobu	蒼茫の大地、滅ぶ	standard	秋田コミックス・セレクト	秋田書店	3	978-4-253x2	秋田書店	3	9784418031177	978-4-418	世界文化社	2003-05	2巻1986-01→-	208		蒼茫の大地滅ぶ（下）	アリババコミックス	世界文化社
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP13y+TITLEDIFF+EDWORD:傑作集+RAKPUB	tomie	富江	standard		朝日ソノラマ	3	978-4-257x2	朝日ソノラマ	3	9784022140579	978-4-02	朝日新聞出版	2011-01	2巻1997-11→-	158		伊藤潤二傑作集（2）	ASAHI　COMICS	朝日新聞出版
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+GAP12y+OTHER_ED+RAKPUB	jangurutaitei	ジャングル大帝	standard	手塚治虫初期漫画館	講談社	4	978-4-06x2	講談社	3	9784091702326	978-4-09	小学館	1997-08-10	2巻1985-07→-	145		ジャングル大帝（下）		小学館
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+PAIRONLY+GAP11y+EDWORD:完全版	tenshi-no-tamago	天使のたまご	standard		学習研究社	3	978-4-05x2	学習研究社	3	9784900963306	978-4-900963	いそっぷ社	2005-05	2巻1993-08→-	141		天使のたまご完全版（下）		
E参考高(移籍で説明しにくい)	末尾	PUBDIFF+PAIRONLY+GAP10y+OTHER_ED+RAKPUB	hoshirenge	星恋華	standard	ミッシィコミックス	主婦と生活社	12	978-4-391x10	主婦と生活社	12	9784776711919	978-4-7767	宙出版	2004-02	10巻1993-12→-	122		星恋華（12）	ミッシィコミックス	宙出版
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP31y+RAKPUB	scrap-gakuen	スクラップ学園	standard	PLAYCOMIC SERIES SPECIAL	秋田書店	3	978-4-253x2	秋田書店	3	9784835455631	978-4-8354	復刊ドットコム	2018-03-13	2巻1986-04→-	383		吾妻ひでお ベストワークス 3 スクラップ学園 下		復刊ドットコム
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP30y+RAKPUB	purogorufaa-saru	プロゴルファー猿	standard		中央公論社	5	978-4-12x4	中央公論社	5	9784845855964	978-4-8458	リイド社	2020-05	4巻1990-01→-	364		プロゴルファー猿　プロへの険しき道	SPコミックス　LEED　CAFE　COMICS	リイド社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP26y+RAKPUB	last-continent	ラスト・コンチネント	standard		東京三世社	3	978-4-88570x2	東京三世社	3	9784344832206	978-4-344	幻冬舎	2014-09-24	2巻1988-02→-	319		ラストコンチネント（下）	バーズコミックススペシャル	幻冬舎コミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP20y	rihei-san-toko-no-obaa-chan	利平さんとこのおばあちゃん	standard	ビッグコミックス	小学館	3	978-4-09x2	小学館	3	9784757726734	978-4-7577	エンターブレイン	2006-04	2巻1985-07→-	249		利平さんとこのおばあちゃん　下		
