重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+OTHER_ED+RAKPUB	london-mamougai	倫敦魔魍街	standard	ハロウィンコミックス	角川書店	7	978-4-04x5	KADOKAWA	1	9784257919162	978-4-257	朝日ソノラマ	1988-01-01	-→2巻1988-11	10		倫敦魔魍街（1）	ハロウィンコミックス	朝日ソノラマ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	mahou-no-tenshi-creamy-mami-fukigenna-ohime-sama	魔法の天使クリィミーマミ不機嫌なお姫様	standard	タタン	竹書房	7	978-4-8019x5	竹書房	7	9784867203972	978-4-86720	コアミックス	2022-07	5巻2021-09→-	10		魔法の天使 クリィミーマミ 不機嫌なお姫様（7）	ゼノンコミックス タタン	コアミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	mahoutsukai-no-yakusoku-comic	魔法使いの約束comic	standard	IDコミックス. Zero-sum comics	一迅社	3	978-4-7580x2	一迅社	3	9784825101883	978-4-8251	一迅社	2026-10-29	2巻2025-12→-	10				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON60(72%)	maryoku-zero-no-saikyou-majutsushi	魔力ゼロの最強魔術師～やはりお前らの魔術理論は間違っているんだが?～@COMIC	standard	コロナ・コミックス	TOブックス	4	978-4-86699x3	TOブックス	4	9784867942482	978-4-86794	TOブックス	2024-08	3巻2023-10→-	10		魔力ゼロの最強魔術師〜やはりお前らの魔術理論は間違っているんだが？〜＠COMIC 第4巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON60(72%)	meiou-sama-ga-tooru-no-desu-yo-comic	冥王様が通るのですよ!@COMIC	standard	コロナ・コミックス	TOブックス	3	978-4-86699x2	TOブックス	3	9784867940594	978-4-86794	TOブックス	2024-02	2巻2023-04→-	10		冥王様が通るのですよ！＠COMIC 第3巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	mezase-gouka-kyakusen	めざせ豪華客船!!	standard	G fantasy comics	スクウェア・エニックス	7	978-4-7575x6	スクウェア・エニックス	7	9784301002949	978-4-301	スクウェア・エニックス	2026-01-09	6巻2025-03→-	10		めざせ豪華客船!!　〜船召喚スキルで異世界リッチライフを手に入れろ〜（7）	Gファンタジーコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON15(79%)	mezase-toudai-tanuko-san	目指せ東大!たぬ子さん	standard	LINE COMICS	LINE Digital Frontier	3	978-4-908588x1	LINE	2	9784909767431	978-4-909767	LINE Digital Frontier	2019-06-14	1巻2018-08→-	10		目指せ東大！たぬ子さん　2	LINEコミックス	LINE Digital Frontier
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(21%)+RAKPUB	minus-ondo-no-serenade	マイナス温度のセレナーデ	standard	POLARIS COMICS	ほるぷ出版	3	978-4-593x2	ほるぷ出版	3	9784866750132	978-4-86675	フレックスコミックス	2018-05-15	2巻2017-07→-	10		マイナス温度のセレナーデ（3）	ポラリスCOMICS	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON27(8%)+RAKPUB	mobile-ryodan-hachifukujin	機動旅団八福神	standard	BEAM COMIX	エンターブレイン	10	978-4-7577x9	エンターブレイン	10	9784047262034	978-4-04	KADOKAWA	2009-12-16	9巻2009-02→-	10		機動旅団八福神　10巻	ハルタコミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON18(29%)	monresu	もんれす	standard	Ride Comics	マイクロマガジン社	4	978-4-89637x3	マイクロマガジン社	4	9784867160862	978-4-86716	マイクロマガジン社	2020-12	3巻2020-02→-	10		もんれす　-異種格闘モンスター娘ー　4	ライドコミックス	マイクロマガジン社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	mosukuwa-2160	モスクワ2160	standard	ビッグガンガンコミックス	スクウェア・エニックス	4	978-4-7575x3	スクウェア・エニックス	4	9784301002420	978-4-301	スクウェア・エニックス	2025-12-26	3巻2025-02→-	10		モスクワ2160（4）	ビッグガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	munouna-nana	無能なナナ	standard	ガンガンコミックス	スクウェア・エニックス	14	978-4-7575x13	スクウェア・エニックス	14	9784301002185	978-4-301	スクウェア・エニックス	2025-12-26	13巻2025-02→-	10		無能なナナ（14）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	musashinosen-no-shimai	武蔵野線の姉妹	standard	Flex comix	ソフトバンククリエイティブ	5	978-4-7973x4	ソフトバンククリエイティブ	5	9784593856909	978-4-593	ほるぷ出版	2012-05	4巻2011-07→-	10		武蔵野線の姉妹（5）	フレックスコミックス	ほるぷ出版
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	netorare-manga-no-kuzu-otoko-ni-tensei-shita-hazu-ga-heroine-ga-yotte-kuru-ken	寝取られ漫画のクズ男に転生したはずがヒロインが寄ってくる件	standard	ガンガンコミックスonline	スクウェア・エニックス	4	978-4-7575x3	スクウェア・エニックス	4	9784301000143	978-4-301	スクウェア・エニックス	2025-08-22	3巻2024-10→-	10		寝取られ漫画のクズ男に転生したはずがヒロインが寄ってくる件（4）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON30(25%)	noomaaku-bakuhaitou	ノーマーク爆牌党	standard	近代麻雀コミックス	竹書房	8	978-4-88475x6	竹書房	7	9784812450062	978-4-8124	竹書房	1996-02	6巻1995-04→-	10		ノーマーク爆牌党（7）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	osananajimi-o-erabenai	幼馴染をえらべない!	standard	ガンガンコミックスjoker	スクウェア・エニックス	3	978-4-7575x2	スクウェア・エニックス	3	9784301004660	978-4-301	スクウェア・エニックス	2026-04-25	2巻2025-06→-	10		幼馴染をえらべない！（3）(完)	ガンガンコミックスJOKER	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	outaishihi-ni-nante-naritakunai-konyakusha-hen	王太子妃になんてなりたくない!!婚約者編	standard	IDコミックス	一迅社	5	978-4-7580x4	一迅社	5	9784825100466	978-4-8251	一迅社	2026-07-31	4巻2025-09→-	10		王太子妃になんてなりたくない!! 婚約者編　5巻	ZERO-SUMコミックス	一迅社
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	seijo-no-ane-desu-ga-imouto-no-tame-no-tokushu-maseki-ya-tokushu-yakusou	聖女の姉ですが、妹のための特殊魔石や特殊薬草の採取をやめたら、隣国の魔術師様の元で幸せになりました！（コミック）	standard	ガンガンコミックスUP！	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757595071	978-4-7575	スクウェア・エニックス	2024-11-07	-→2巻2025-09	10		聖女の姉ですが、妹のための特殊魔石や特殊薬草の採取をやめたら、隣国の魔術師様の元で幸せになりました！（コミック）（1）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	shachiku-san-wa-youjo-yuurei-ni-iyasaretai	社畜さんは幼女幽霊に癒されたい。	standard	ガンガンコミックス	スクウェア・エニックス	14	978-4-7575x12	スクウェア・エニックス	13	9784301002703	978-4-301	スクウェア・エニックス	2026-01-16	12巻2025-03→-	10		社畜さんは幼女幽霊に癒されたい。（13）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	shachiku-san-wa-youjo-yuurei-ni-iyasaretai	社畜さんは幼女幽霊に癒されたい。	standard	ガンガンコミックス	スクウェア・エニックス	14	978-4-7575x12	スクウェア・エニックス	14	9784301002710	978-4-301	スクウェア・エニックス	2026-01-16	12巻2025-03→-	10		社畜さんは幼女幽霊に癒されたい。（14）(完)		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON3(14%)	shin-hyper-anna	新ハイパーあんな	standard	アスペクトコミックス	アスキー	4	978-4-7561x2	アスキー	3	9784893669544	978-4-89366	アスペクト	1998-04	2巻1997-06→-	10				
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON56(76%)	shinja-zero-no-megami-sama-to-hajimeru-isekai-kouryaku	信者ゼロの女神サマと始める異世界攻略	standard	ガルドコミックス	オーバーラップ	11	978-4-8240x9	オーバーラップ	1	9784865548129	978-4-86554	オーバーラップ	2020-12-25	-→3巻2021-10	10		信者ゼロの女神サマと始める異世界攻略 1	ガルドコミックス	オーバーラップ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON25(16%)	takaramono	たからもの	standard	Be-boy comics	ビブロス	4	978-4-88271x2	青磁ビブロス	3	9784835210094	978-4-8352	ビブロス	2000-02-10	2巻1999-04→-	10		たからもの（3）	Be-boy　comics	ビブロス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	tensei-shitara-saikyoushu-tachi-ga-sumau-shima-deshita	転生したら最強種たちが住まう島でした。	standard	ガンガンコミックスonline	スクウェア・エニックス	9	978-4-7575x7	スクウェア・エニックス	9	9784301002741	978-4-301	スクウェア・エニックス	2026-01-09	7巻2025-03→-	10		転生したら最強種たちが住まう島でした。この島でスローライフを楽しみます（コミック）（9）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	tensei-youjo-wa-zense-de-tasuketa-seirei-tachi-ni-natsukareru	転生幼女は前世で助けた精霊たちに懐かれる	standard	ガンガンコミックスup!	スクウェア・エニックス	3	978-4-7575x2	スクウェア・エニックス	3	9784301003519	978-4-301	スクウェア・エニックス	2026-03-27	2巻2025-05→-	10		転生幼女は前世で助けた精霊たちに懐かれる（コミック）（3）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON41(23%)	toradora	とらドラ!	standard	電撃コミックス	KADOKAWA	12	978-4-04x11	KADOKAWA	1	9784840242196	978-4-8402	メディアワークス	2008-03-15	-→2巻2009-01	10		とらドラ！（1）	Dengeki　comics	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	tsubanari-no-tachi	鍔鳴の太刀	standard	ガンガンコミックスup!	スクウェア・エニックス	9	978-4-7575x8	スクウェア・エニックス	9	9784301002413	978-4-301	スクウェア・エニックス	2025-12-26	8巻2025-02→-	10		ゴブリンスレイヤー外伝2 鍔鳴の太刀《ダイ・カタナ》（9）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	wagahai-wa-neko-madoushi-de-aru	我輩は猫魔導師である	standard	ポルカコミックス	一二三書房	6	978-4-8242x4	一二三書房	2	9784891999568	978-4-89199	一二三書房	2023-04-14	-→3巻2024-02	10		我輩は猫魔導師である（2）	ポルカコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	youkai-gakkou-no-sensei-hajimemashita	妖怪学校の先生はじめました!	standard	G fantasy comics	スクウェア・エニックス	21	978-4-7575x19	スクウェア・エニックス	21	9784301004882	978-4-301	スクウェア・エニックス	2026-05-29	19巻2025-07→-	10		妖怪学校の先生はじめました！（21）	Gファンタジーコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	ace-maid	エースメイド	standard	MFコミックス	メディアファクトリー	4	978-4-8401x2	メディアファクトリー	4	9784040665498	978-4-04	KADOKAWA	2014-04-23	2巻2013-07→-	9		エースメイド　4	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON35(22%)+OTHER_ED	akumagari	悪魔狩り	shinsoban	GANGAN WING COMICS	スクウェア・エニックス	6	978-4-7575x5	スクウェア・エニックス	1	9784870254718	978-4-87025	エニックス	1999-03	-→2巻1999-12	9		悪魔狩り（1）	ガンガンWINGコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	akuyaku-reijou-wa-kyou-mo-karei-ni-anyakusuru	悪役令嬢は今日も華麗に暗躍する	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x5	スクウェア・エニックス	6	9784301000082	978-4-301	スクウェア・エニックス	2025-08-22	5巻2024-11→-	9		悪役令嬢は今日も華麗に暗躍する 追放後も推しのために悪党として支援します!（6）(完)	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	anastasia-no-ikita-kokonokakan	アナスタシアの生きた9日間	standard	ガンガンコミックス	スクウェア・エニックス	3	978-4-7575x2	スクウェア・エニックス	3	9784301001638	978-4-301	スクウェア・エニックス	2025-11-15	2巻2025-02→-	9		アナスタシアの生きた9日間（3）(完)	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	assassin-cinderella	アサシン&シンデレラ	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x4	スクウェア・エニックス	5	9784301001188	978-4-301	スクウェア・エニックス	2025-10-01	4巻2025-01→-	9		アサシン＆シンデレラ（5）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	black-madougushi-guild-o-tsuihousareta-sareta-watashi-oukyuu-majutsushi-to-shite-hirowareru	ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる	standard	ガンガンコミックスonline	スクウェア・エニックス	5	978-4-7575x4	スクウェア・エニックス	5	9784301001645	978-4-301	スクウェア・エニックス	2025-11-15	4巻2025-02→-	9		ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　〜ホワイトな宮廷で、幸せな新生活を始めます！〜（コミック	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON41(73%)	boku-wa-imasugu-zense-no-kioku-o-sutetai-akogare-no-inaka-wa-jingai-makyou-deshita-comic	僕は今すぐ前世の記憶を捨てたい。～憧れの田舎は人外魔境でした～@COMIC	standard	コロナ・コミックス	TOブックス	5	978-4-86794x3	TOブックス	5	9784868540724	978-4-86854	TOブックス	2026-08-27	4巻2025-11→-	9		僕は今すぐ前世の記憶を捨てたい。〜憧れの田舎は人外魔境でした〜@COMIC 第5巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	botsuraku-reijou-no-okinimesuma-ma	没落令嬢のお気に召すまま	standard	ガンガンコミックスup!	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757596078	978-4-7575	スクウェア・エニックス	2025-01-17	-→2巻2025-10	9		没落令嬢のお気に召すまま　〜婚約破棄されたので宝石鑑定士として独立します〜（コミック）（1）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(75%)+OTHER_ED	cleopatra-d-c	クレオパトラD.C.	shinsoban	バーガーSC	スコラ	6	978-4-88275x4	スコラ	5	9784796240062	978-4-7962	スコラ	1989-09-16	4巻1988-12→-	9		クレオパトラD．C．（5）	バーガーSC	スコラ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	corpse-party-book-of-shadows	コープスパーティーBook of Shadows	standard	MFコミックス	メディアファクトリー	3	978-4-8401x2	メディアファクトリー	3	9784040665030	978-4-04	KADOKAWA	2014-03-22	2巻2013-06→-	9		コープスパーティー　Book　of　Shadows　3	MFコミックス アライブシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON22(63%)	devil-may-cry-5	Devil May Cry 5	standard	LINE COMICS	LINE Digital Frontier	5	978-4-86697x4	LINE Digital Frontier	1	9784909767967	978-4-909767	LINE Digital Frontier	2019-11-15	-→2巻2020-08	9		Devil May Cry 5 -Visions of V-（1）	LINEコミックス	LINE Digital Frontier
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	dungeon-faamu	ダンジョン・ファーム	standard	ガンガンコミックスonline	スクウェア・エニックス	4	978-4-7575x3	スクウェア・エニックス	4	9784301001195	978-4-301	スクウェア・エニックス	2025-10-01	3巻2025-01→-	9		ダンジョン・ファーム〜家を追い出されたので、ダンジョンに農場をつくって暮らそうと思います〜（コミック）（4）(完)	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(64%)	fenrir-kaa-san-to-attaka-gohan-attomaaku-comic	フェンリル母さんとあったかご飯@COMIC	standard	コロナ・コミックス	TOブックス	3	978-4-86699x2	TOブックス	1	9784864728775	978-4-86472	TOブックス	2019-11-01	-→2巻2020-08	9		フェンリル母さんとあったかご飯 @COMIC1		TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)+TITLEDIFF	final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジャー	standard	ガンガンコミックスSUPER	スクウェア・エニックス	14	978-4-7575x12	スクウェア・エニックス	13	9784301000020	978-4-301	スクウェア・エニックス	2025-08-08	12巻2024-11→-	9		FINAL FANTASY LOST STRANGER（13）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON35(22%)+RAKPUB	fire-emblem-fuyuki-1999	ファイアーエムブレム	standard	GANGAN WING COMICS	エニックス	5	978-4-7575x4	スクウェア・エニックス	1	9784870254725	978-4-87025	エニックス	1999-03-27	-→2巻1999-12	9		ファイアーエムブレム（1）	ガンガンWINGコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON12(48%)	gaia-ki-tan	鎧亜騎譚	standard	ヴァルキリーコミックス	キルタイムコミュニケーション	3	978-4-7992x2	キルタイムコミュニケーション	1	9784860329525	978-4-86032	キルタイムコミュニケーション	2010-08	-→2巻2011-05	9		鎧亜騎譚（1）	ヴァルキリーコミックス	キルタイムコミュニケーション
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON60(72%)+TITLEDIFF	game-sekai-tensei-dankatsu	ゲーム世界転生〈ダン活〉～ゲーマーは〈ダンジョン就活のススメ〉を〈はじめから〉プレイする～@COMIC	standard		TOブックス	5	978-4-86794x3	TOブックス	2	9784866998466	978-4-86699	TOブックス	2023-06	-→3巻2024-03	9		ゲーム世界転生〈ダン活〉〜ゲーマーは【ダンジョン就活のススメ】を〈はじめから〉プレイする〜＠COMIC 第2巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	hassai-kara-hajimaru-kamigami-no-shito-no-tensei-seikatsu	八歳から始まる神々の使徒の転生生活	standard	ガンガンコミックスup!	スクウェア・エニックス	14	978-4-7575x13	スクウェア・エニックス	14	9784301004301	978-4-301	スクウェア・エニックス	2026-04-01	13巻2025-07→-	9		八歳から始まる神々の使徒の転生生活（14）(完)	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUB不明+PAIRONLY	heartstopper	ハートストッパー	standard		トゥーヴァージンズ	5	978-4-908406x3		4	9784910352008	978-4-910352	トゥーヴァージンズ	2022-06-10	3巻2021-09→-	9		HEARTSTOPPER　ハートストッパー4		トゥーヴァージンズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	ie-de-munou-to-iware-tsuzuketa-ore-desu-sekaiteki-niwa-chou-yuunou-datta-you-desu	家で無能と言われ続けた俺ですが、世界的には超有能だったようです	standard	ガンガンコミックスup!	スクウェア・エニックス	7	978-4-7575x6	スクウェア・エニックス	7	9784301003557	978-4-301	スクウェア・エニックス	2026-03-27	6巻2025-06→-	9		家で無能と言われ続けた俺ですが、世界的には超有能だったようです（7）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	ie-kara-nigedashitai-watashi-ga-ukkari-akogare-no-dai-mahoutsukai-sama-o-katte-shimattara	家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら	standard	ガンガンコミックスonline	スクウェア・エニックス	8	978-4-7575x7	スクウェア・エニックス	8	9784301003922	978-4-301	スクウェア・エニックス	2026-03-27	7巻2025-06→-	9		家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら（コミック）（8）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	isekai-toushou-no-maken-seisaku-gurashi	異世界刀匠の魔剣製作ぐらし	standard	ガンガンコミックスonline	スクウェア・エニックス	5	978-4-7575x3	スクウェア・エニックス	4	9784301002239	978-4-301	スクウェア・エニックス	2025-12-26	3巻2025-03→-	9		異世界刀匠の魔剣製作ぐらし（4）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	janru-kaesasete-itadakimasu	ジャンル、変えさせて頂きます!	standard	IDコミックス	一迅社	5	978-4-7580x4	一迅社	5	9784825101234	978-4-8251	一迅社	2026-11-19	4巻2026-02→-	9				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	kaisha-to-shiseikatsu	会社と私生活	standard	ガンガンコミックスpixiv	スクウェア・エニックス	5	978-4-7575x4	スクウェア・エニックス	5	9784301004042	978-4-301	スクウェア・エニックス	2026-03-27	4巻2025-06→-	9		会社と私生活ーオンとオフー（5）	ガンガンコミックスpixiv	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	katainaka-no-otsu-san-kensei-ni-naru-gaiden-hajimari-no-mahou-kenshi	片田舎のおっさん、剣聖になる外伝はじまりの魔法剣士	standard	ガンガンコミックスup!	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757597754	978-4-7575	スクウェア・エニックス	2025-03-28	-→2巻2025-12	9		片田舎のおっさん、剣聖になる外伝　はじまりの魔法剣士（1）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	katainaka-no-otsu-san-kensei-ni-naru-gaiden-ryuu-souken-no-kiseki	片田舎のおっさん、剣聖になる外伝竜双剣の軌跡	standard	ヤングガンガンコミックス	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757597761	978-4-7575	スクウェア・エニックス	2025-03-28	-→2巻2025-12	9		片田舎のおっさん、剣聖になる外伝　竜双剣の軌跡（1）	ヤングガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON56(76%)	kisetai-joushi-to-narenai-buka	着せたい上司と、なれない部下	standard	クリエコミックス	オーバーラップ	3	978-4-8240x2	オーバーラップ	1	9784865549713	978-4-86554	オーバーラップ	2021-08-12	-→2巻2022-05	9		着せたい上司と、なれない部下 1	クリエコミックス	オーバーラップ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	kishidanchou-no-elf-san-datte-otome-ga-shitai	騎士団長のエルフさんだって乙女がしたい。	standard	ヤングガンガンコミックス	スクウェア・エニックス	5	978-4-7575x4	スクウェア・エニックス	5	9784301003397	978-4-301	スクウェア・エニックス	2026-02-16	4巻2025-05→-	9		騎士団長のエルフさんだって乙女がしたい。（5）(完)	ヤングガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRONLY	koi-ha-itsumo-arashi-no-youni	恋はいつも嵐のように	standard	光彩コミックス	光彩書房	5	978-4-87775x3	光彩書房	4	9784860930448	978-4-86093	光彩書房	2003-08	3巻2002-11→-	9		恋はいつも嵐のように（4）	光彩コミックス　Boys　Lコミック	光彩書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON41(73%)	kokoro-no-koe-ga-kikoeru-akuyaku-reijou-wa-kyou-mo-koinu-denka-ni-honrou-dekiaisareru-comic	心の声が聞こえる悪役令嬢は、今日も子犬殿下に翻弄される@COMIC	standard	コロナ・コミックス	TOブックス	5	978-4-86794x3	TOブックス	5	9784868540380	978-4-86854	TOブックス	2026-07-13	4巻2025-10→-	9		心の声が聞こえる悪役令嬢は、今日も子犬殿下に翻弄される@COMIC 第5巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	komorebi-no-hito	木洩れ日のひと	standard	FC swing	祥伝社	6	978-4-396x5	祥伝社	6	9784334110116	978-4-334	光文社	2026-06-23	5巻2025-09→-	9		木洩れ日のひと　6		光文社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON60(72%)	kowareta-chikyuu-no-arukikata-comic	#壊れた地球の歩き方@COMIC	standard	コロナ・コミックス	TOブックス	3	978-4-86699x2	TOブックス	3	9784867940600	978-4-86794	TOブックス	2024-02	2巻2023-05→-	9		#壊れた地球の歩き方＠COMIC 第3巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON8(7%)+RAKPUB	kuusou-kagaku-edison	空想科学エジソン	deluxe	バーズコミックスデラックス	幻冬舎	3	978-4-344x2	幻冬舎	1	9784789783453	978-4-7897	ソニー・マガジンズ	2001-03-29	-→2巻2001-12	9		空想科学エジソン（1）	バーズコミックスデラックス	ソニー・ミュージックソリューションズ
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON21(17%)+RAKPUB	maeda-deka-kabuki-tabi	前田慶次かぶき旅	standard	ゼノンコミックス	コアミックス	23	978-4-86720x21	コアミックス	1	9784199805844	978-4-19	徳間書店	2019-08	-→3巻2020-05	9		前田慶次 かぶき旅　1	ゼノンコミックス	ノース・スターズ・ピクチャーズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON16(64%)	majutsushi-oofen-mubouhen	魔術士オーフェン無謀編	standard	コロナ・コミックス	TOブックス	6	978-4-86472x4	TOブックス	5	9784866990996	978-4-86699	TOブックス	2021-01	4巻2020-04→-	9		魔術士オーフェン　無謀編5		TOブックス
