isbn13	巻	頁	頁題	楽天題	seriesName	flag
9784434315770	2	konyakusha-ga-uwaki-aite-to-kakeochi-shimashita-ouji-denka-ni-dekiai-sarete-shiawase-nanode-imasara	婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せ	婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せなので、今さら戻りた	DREノベルス	LNレーベル(DREノベルス)
9784757557604	12	murci-lago	Murciélago	MURCIE’LAGO-ムルシエラゴー（12）	ヤングガンガンコミックス	題不一致
9784757560703	14	murci-lago	Murciélago	MURCIE’LAGO-ムルシエラゴー（14）	ヤングガンガンコミックス	題不一致
9784099431877	3	nike-goddesu-obu-vikutorii-sweet-encount	Nikke goddess of victoryすいーとえん	勝利の女神:NIKKE すいーとえんかうんと 3巻 アクリルスタンド付き特装版	コロコロコミックス	題不一致
9784041152737	12	road-erumeroi-2-sei-no-file	ロード・エルメロイ2世の事件簿	ロード・エルメロイII世の事件簿　（12）	角川コミックス・エース	題不一致
9784253309639	3	sentaku-no-dungeon-musou	〈洗濯〉のダンジョン無双	【洗濯】のダンジョン無双 〜「クソスキルの無能が！」と追放されたスキル【洗濯】の	ヤングチャンピオン・コミックス	題不一致
9784434348464	2	shuzoku-hanshin-na-ore-wa-isekai-demo-futsuu-ni-kurashitai	種族〈半神〉な俺は異世界でも普通に暮らしたい	種族【半神】な俺は異世界でも普通に暮らしたい（2）	アルファポリスCOMICS	題不一致
9784088900193	9	smoking-gun	スモーキングガン	Smoking　Gun民間科捜研調査員流田縁（9）	ヤングジャンプコミックスGJ	題不一致
9784088677767	2	tonari-wa-futsuu-no-nijika-chan	となりはふつうのニジカ〈ちゃん〉	となりはふつうのニジカ（ちゃん） 2	りぼんマスコットコミックス	題不一致
9784088677880	3	tonari-wa-futsuu-no-nijika-chan	となりはふつうのニジカ〈ちゃん〉	となりはふつうのニジカ（ちゃん） 3	りぼんマスコットコミックス	題不一致
9784434308796	2	tsuihousareta-sareta-jogenshi-no-guild-keiei	追放された〈助言士〉のギルド経営	追放された【助言士】のギルド経営（2）		題不一致
