slug	title	authors	year	publisher	total_volumes
otona-no-love-jikan	大人の恋愛時間	亜月裕	2001	shueisha	1
hana-ichimonme	花いちもんめ	渡千枝	2001	bunkasha	1
hakujou-ga-hakuhyou-o-fumu	薄情が薄氷を踏む	名香智子	2001	shogakukan	1
manga-time-mini	まんがタイムmini	ふじのはるか・山田まりお・大乃元初奈	2002	houbunsha	1
grand-vacances	グラン・バカン	山田和重	2002	shueisha	1
mama-tokidoki-kodomo	ママときどき子ども	深見じゅん	2002	shueisha	1
sange	散華	田辺真由美	2002	akita	1
kekkon-no-real	結婚のリアル	亜月裕	2002	shueisha	1
zettai-shitai-eichi-na-koi	絶対したいHな恋!	入江紀子	2002	akita	1
zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	大海とむ	2002	shogakukan	1
koukidou-gensou-ganpareedo-march-4-koma-manga-gekijou	高機動幻想ガンパレード・マーチ 4コママンガ劇場	神崎りゅう子・是空とおる・藤凪かおる	2002	square-enix	1
b-boy-luv	B-boy luv	松本テマリ	2003	biblos	1
hito-wa-sore-o-furin-to-yobu	人はそれを不倫と呼ぶ	島津郷子	2003	shueisha	1
saibara-rieko-no-jinsei-ichinensei	西原理恵子の人生一年生	西原理恵子	2003	shogakukan	1
yasha-no-hitomi	夜叉の瞳	高橋留美子	2004	shogakukan	1
ai-no-shin-tairiku	愛の新大陸	山田也	2004	shueisha	1
hanabi-ga-agattara	花火が上がったら	三山節子	2004	akita	1
neongai-comics	ネオン街コミックス	倉科遼	2005	ozora-shuppan	1
sekai-no-meisaku-opera	世界の名作オペラ	梅本さちお	2005	(unknown)	1
hohoemi-o-kaeshitara	微笑みを返したら	三山節子	2005	akita	1
cielo	Cielo	天野こずえ	2006	mag-garden	1
tales-of-the-abyss-2006	テイルズオブジアビス	遠藤久美子	2006	mag-garden	1
shinshin-agatte-nanbo-taichi-yo-nakuna-2006	新々上がってなンボ!!太一よ泣くな	叶精作	2006	koike-shoin	1
neko-banashi	ねこばなし	浪花愛	2007	tsukasa-shobo	1
grayscale-children	グレースケールチルドレン	あきづきりょう	2007	mediafactory	1
shimaji	嶋二	嶋二	2007	tokyo-mangasha	1
gokujou-rakuen-otoko	極上楽園男子	堂本奈央	2007	shogakukan	1
junai-rakuen-otoko	潤愛楽園男子	堂本奈央	2007	shogakukan	1
hanna-of-the-z	はんなof the Z	吉川かば夫	2008	mediafactory	1
shina-dark	シャイナ・ダルク	緋賀ゆかり	2008	kadokawa	1
nefirimu-kusakabe-2008	ネフィリム	草壁レイ	2008	mediafactory	1
mahiru-no-tsuki	真昼の月	吉田秋生	2008	shogakukan	1
love-neko	ラブ・ネコ	こなみかなた	2009	houbunsha	1
toukaidou-onna-sugoroku	東海道おんな双六	ケン月影	2009	koike-shoin	1
toshizou	歳三	神田たけ志	2009	koike-shoin	1
raigeki-shindo-juukutengo	雷撃深度一九・五	柴山薫	2009	shueisha	1
dfk	DFK	倉谷友也	2010	shogakukan	1
inu-go	いぬ五	そにしけんじ	2010	shinchosha	1
yappari-kotowaza-gundam-san	やっぱり・ことわざガンダムさん	大和田秀樹	2010	kadokawa	1
greed-packet-unlimited	グリードパケット∞	榎宮祐	2010	kadokawa	1
samurai-nanbaa-11	サムライナンバー11	野田宏	2010	shogakukan	1
repeat-after-me-fuwa-2010	リピート・アフター・ミー?	不破慎理	2010	libre	1
yuri-shoujo	百合少女	四位広猫	2010	cosmic-shuppan	1
junai	純愛	山田也	2010	futabasha	1
hi-no-ataru-sakamichi	陽のあたる坂道	吉田秋生	2010	shogakukan	1
bloody-monday-season-2-zetsubou-no-hako	Bloody Monday season 2 絶望ノ匣	恵広史・樹林伸	2011	kodansha	1
ultra-q-2011	ウルトラQ	古城武司・谷間夢路	2011	pan-rolling	1
transistor-teaset-denki-gairozu	トランジスタティーセット	里好	2011	houbunsha	1
kaerenai-futari	帰れないふたり	吉田秋生	2011	shogakukan	1
aku-no-hana-2011	悪の華	押見修造	2011	kodansha	1
itokoi-chidori	愛恋千鳥	ジェームスほたて	2011	shonen-gahosha	1
shinigami-alice-izumiya-2011	死神アリス	いづみやおとは	2011	ichijinsha	1
danshaku-kouchou-hai	男爵校長high!	ÖYSTER	2011	futabasha	1
momopan-clover-2012	MOMOPAN	火浦R・たこりーな画伯・ささきタツヤ・ICHI・天童久遠・せぼい・来須眠・てつ・支葵・一夢	2012	g-walk	1
sarasa	Sarasa	平手将之	2012	gentosha	1
karabuki-shitene	からぶき♥してね	おおた綾乃	2012	futabasha	1
elysion	エリュシオン	市東亮子	2012	gentosha	1
manga-de-shitashimu-izumo-shinwa	マンガで親しむ出雲神話	岩田廉太郎	2012	(unknown)	1
arakure-neverland	荒くれネバーランド	サンカクヘッド	2012	gentosha	1
bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	田中むねよし	2013	(unknown)	1
miaki-hitamuki	みあき♥ひたむき	梅谷ケンヂ	2013	(unknown)	1
black-sweep-sisters	ブラック・スイープ・シスターズ	佐野タカシ	2013	ichijinsha	1
nippon-no-rekishi-2013	日本の歴史	いそほゆうすけ・上下	2013	shogakukan	1
senkou-shoujo	閃光少女	あさのゆきこ	2013	mediafactory	1
meshi-baka	めしバカ	ロドリゲス井之介	2014	akita	1
comitia-30th-chronicle	コミティア30thクロニクル	山川直人	2014	futabasha	1
fusoku-no-renjou	不測ノ恋情	富士山ひょうた	2014	frontier-works	1
shigatsu-ni-nareba-kanojo-wa	四月になれば彼女は	吉田秋生	2014	shogakukan	1
nippon-jinbutsushi	日本人物史	つぼいこう	2014	(unknown)	1
danna-sama-no-shitsukekata-next	だんな様のしつけ方 next	時山はじめ	2015	shogakukan	1
ano-hi-no-aozora	あの日の青空	吉田秋生	2016	shogakukan	1
baroque-2017	バロック	上田信舟	2017	fukkan-com	1
koi-to-junrei	恋と巡礼	吉田秋生	2017	shogakukan	1
oshie-danna-sama	教え❤旦那サマ	草薙竜樹	2017	akita	1
f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	村山文夫	2019	(unknown)	1
4-zun-yon	シーズン4	トジツキハジメ	2019	shinshokan	1
sushi-damashii-shouwa-44-nen-special	寿司魂昭和44年スペシャル	さとう輝	2019	nihon-bungeisha	1
dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	小林源文	2019	goma-books	1
like-the-beast	Like the beast	山本小鉄子	2021	kaiohsha	1
bite-maker-ousamanoomega-2	バイトメーカー	杉山美和子	2021	shogakukan	1
katei-kyoushi-hitman-reborn-chaos-destiny	家庭教師ヒットマンreborn!カオスデスティニー	天野明	2021	shueisha	1
zannenna-ouji-kun-to-fujoshi-no-noda-san	残念な皇子くんと腐女子の野田さん	竹若トモハル	2021	bunkasha	1
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	可児いとう	2022	kasakura-shuppan	1
ijiwaru-na-tsugai	いじわるな番	山本アットホーム	2022	g-walk	1
honomi-bureikutsu	ほのみぶれいくっ!	夢乃狸	2022	bun-endo	1
kimi-o-mae-ni-shitara-ore-wa-moutsu-nikushokuha-otoko-no-junjouna-yokujou	君を前にしたら俺はもうっ…肉食派男子の純情な欲情	crow	2022	bunkasha	1
junai-yakuza-to-dousei-seikatsu	純愛ヤクザと同棲生活	夏野ちより	2022	ozora-shuppan	1
omega-senyou-kareshi	Ω専用カレシ	田仲みのる	2023	cosmic-shuppan	1
atai-to-nechikoyan	あたいとネチコヤン	ごじょうふみえ	2023	shinchosha	1
toaru-mei-tantei-to-joshu-no-rabukome-teki-nichijou-tantei-wa-mou-shinde-iru	とある名探偵と助手のラブコメ的日常@探偵はもう、死んでいる。	オノヤマコズエ	2023	kadokawa	1
invincible-iron-man-ironheart	インビンシブル・アイアンマン:アイアンハート	ステファノ・カセッリ	2023	shopro	1
feroumerou	フェロウメロウ	夕倉アキ	2023	core-magazine	1
yuutousei-no-seifuku-no-naka	優等生の制服のなか	かみつかげつ	2023	kodansha	1
tomodachi-wa-kiss-shinai	友達はキスしない!	鮫類	2023	taiyoh-tosho	1
kimi-no-shita-wa-dolce	君の舌はドルチェ	春路ON	2023	futabasha	1
daikazoku-gohan-monogatari	大家族ごはん物語	流水凜子	2023	bunkasha	1
kokou-no-ou-to-yotogi-no-jouai	孤高の王と夜伽の情愛	小池ノクト	2023	kadokawa	1
koisuru-milk-crown	恋するミルククラウン	海灯火	2023	kodansha	1
dakarete-tamaruka	抱かれてたまるか!	吾平	2023	nippan-ips	1
shachiku-joushi-no-koi-to-kairaku	社畜上司の恋と快楽	團藤さや	2023	ozora-shuppan	1
shinshi-na-kare-wa-tondemonai-mashou-no-kyo-pii-deshita	紳士な彼はとんでもない魔性の巨●(ピー)でした	ミヤケ円	2023	akita	1
nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道	伊藤理佐	2024	kodansha	1
ookami-sama-no-ichizu-na-bouai	オオカミ様の一途な暴愛	うるひこ	2024	nippan-ips	1
souteigai-no-sweet-marriage	想定外のスウィートマリッジ	上田にく	2024	overlap	1
hiiragi-buchou-no-panst-line	柊部長のパンストライン	吉宗	2024	shonen-gahosha	1
shinno-kun-wa-suki-darake-na-kanojo-ga-sukisugiru	神野くんはスキだらけな彼女が好きすぎる	有鷹ゆずと	2024	ozora-shuppan	1
fudanshi-no-ore-ga-youkya-osananajimi-ni-semarareteru-ken	腐男子の俺が陽キャ幼馴染に迫られてる件	しちみや	2024	seiunsha	1
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-xx-saretai	裏アカ男子は抱かれたい攻め様No.1にXXされたい	あさひ漫画家	2024	junet	1
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	LA軍	2025	libre	1
saitsuyo-akuyaku-reijou-nikki	さいつよ☆悪役令嬢日記	こげどんぼ*	2025	(unknown)	1
neo-cat	ネオ・キャット	青化	2025	shodensha	1
meme	メメ	洋介犬	2025	kadokawa	1
kisaki-to-kawa	后と河	山中ヒコ	2025	kaiohsha	1
kairanban-no-etchi-na-rule-wa-zettai-desu	回覧板のエッチなルールは絶対です。	大友しゅうま	2025	seiunsha	1
koi-kara-wa-nigerarenai	恋からは逃げられない	浪咲ゆか	2025	nihon-bungeisha	1
ijippari-na-senpai-no-shitsukekata	意地っ張りな先輩のしつけ方	八神凪	2025	kadokawa	1
oshi-kimono	推し着物	森長あやみ	2025	takeshobo	1
shiba-inu-pon-chan-kyou-mo-wagamichi-o-yuku	柴犬ぽんちゃん、今日もわが道を行く	猫麦	2025	kadokawa	1
miyama-to-nanase-wa-mada-tomodachi	深山と七瀬はまだ友達?	ナス子	2025	kadokawa	1
banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	キヨヤス理解	2025	france-shoin	1
isekai-kara-elf-san-ga-ochitekita-nodesuga	異世界からエルフさんが落ちてきたのですが!?	かえで透	2025	seiunsha	1
nanka-mou-aa-atte-kanji	なんかもうあーあって感じ。	宮田トヲル	2026	(unknown)	1
kyou-kara-koi-to-kosodate-hajimemasu	今日から恋と子育てはじめます	黒木めぐみ	2026	(unknown)	1
seifuku-shinya-2-ji	制服、深夜2時。	甘野めぐみ	2026	takeshobo	1
suki-nara-nugasete	好きなら脱がせて。	上田にく	2026	libre	1
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	森長あやみ	2026	east-press	1
kirishima-kun-wa-ijimetai	桐島くんはいじめたい	晴海にいな	2026	bright-shuppan	1
hitomi-ni-utsuru-kimi-wa-zenbu-ore-no-mono	瞳に映るキミは、全部オレのもの	るすけ	2026	overlap	1
aotomidori	青と碧	ろじ	2026	(unknown)	1
