slug	title	canonical	norm_key	巻番号	版
mousou-suit-yamamoto	妄想戦士ヤマモト	同名	有	YKコミツクス	重複	standard/YKコミックス/5巻[1, 2, 3, 4, 5] || shinsoban/YKコミックス/2巻[1, 3]
nagareita-ryuuji	流れ板竜二	同名	有	マンサンコミツクス	重複	standard/マンサンコミックス/17巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] || shinsoban/マンサンコミックス/2巻[1, 2]
nanbonomonja	なんぼのもんじゃ	同名	有	文華コミツクス	重複	standard/文華コミックス/4巻[1, 2, 3, 4] || shinsoban/文華コミックス/2巻[1, 2]
ningen-konchuuki	人間昆虫記	同名	有	ハードコミツクス	重複	shinsoban/ハードコミックス/1巻[0] || shinsoban/ハードコミックス/1巻[0]
ningen-shikkaku-ito-2010	人間失格	同名	有	まんがで読破	重複	shinsoban/まんがで読破/1巻[1] || shinsoban/まんがで読破/1巻[0] || shinsoban/まんがで読破/1巻[0]
ninja-bugeichou-kagemaruden	忍者武芸帳〈影丸伝〉	同名	有	小学館文庫	重複	bunkobon/小学館文庫/17巻[12, 15, 3, 2, 1, 17, 16, 13, 14, 11, 10, 9, 8, 7, 6, 4, 5] || bunkobon/小学館文庫/8巻[1, 2, 3, 4, 5, 6, 7, 8]
ninpou-juuban-shoubu-shirato	忍法十番勝負	同名	有	秋田漫画文庫	相補	bunkobon/秋田漫画文庫/2巻[1, 3] || shinsoban/秋田漫画文庫/1巻[2]
nippon-chinbotsu	日本沈没	同名	有	SPコミツクス	重複	shinsoban/SPコミックス/4巻[1, 2, 3, 4] || shinsoban/SPコミックス/2巻[1, 2]
notari-matsutarou	のたり松太郎	同名	有	小学館文庫	重複	bunkobon/小学館文庫/16巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] || bunkobon/小学館文庫/22巻[22, 21, 20, 19, 18, 17, 8, 16, 15, 1, 14, 13, 12, 11, 10, 9, 7, 6, 5, 4, 3, 2]
offered	オファード	同名	有	キングシリーズ	重複	shinsoban/キングシリーズ/2巻[1, 2] || shinsoban/キングシリーズ/2巻[1, 2]
