isbn	reason	adult	title	base	vol	brand	pub	date
9784865895186	no_creator		任侠 + カレシ	任侠 + カレシ		Be comics	ふゅーじょんぷろだくと	2018-11
9784758079297	no_creator		ショコラ : 社会人百合アンソロジー	ショコラ	2	IDコミックス	講談社	2019-05
9784821167968	no_creator		ワンコインレディコミ裏切り女の身の破滅	ワンコインレディコミ裏切り女の身の破滅		ぶんか社ムック	ぶんか社	2019-06
9784758020398	no_creator		アイドルマスターシャイニーカラーズ : コミックアンソロジー	アイドルマスターシャイニーカラーズ		DNAメディアコミックス	講談社	2019-05
9784758020374	no_creator		Fate/grand orderコミックアンソロジーthe next	Fate/grand orderコミックアンソロジーthe next	5	DNAメディアコミックス	一迅社	2019-05
9784758068031	no_creator		高貴なエルフを辱めるアンソロジーコミック	高貴なエルフを辱めるアンソロジーコミック	2	IDコミックス	講談社	2019-05
9784758068024	no_creator		誇り高い女騎士が堕ちていくアンソロジーコミック	誇り高い女騎士が堕ちていくアンソロジーコミック	2	IDコミックス	講談社	2019-05
9784758079303	no_creator		レズ風俗アンソロジー	レズ風俗アンソロジー		IDコミックス	講談社	2019-05
9784821137909	no_creator		俺流!絶品めし	俺流!絶品めし	vol. 12	Bunkasha comics	ぶんか社	2019-05
9784801918962	no_creator		本当にあった愉快な話読者投稿プレミアム	本当にあった愉快な話読者投稿プレミアム	2019 春号	バンブームック	竹書房	2019-06
9784758032193	no_creator		人外さんと恋する方法アンソロジー	人外さんと恋する方法アンソロジー		IDコミックス	一迅社	2016-08
9784865359084	no_creator		漫画パチンカーZ +	漫画パチンカーZ +	vol. 4	GW mook	ガイドワークス	2019-07
9784758066488	no_creator		政宗くんのリベンジアンソロジーコミック	政宗くんのリベンジアンソロジーコミック		IDコミックス	一迅社	2017-04
9784758032650	no_creator		少年と私の事情アンソロジー	少年と私の事情アンソロジー		IDコミックス	一迅社	2017-04
9784801916258	no_creator		Qpano	Qpano	2018autu		竹書房	2018-10
9784821167708	no_creator		Comic陣	Comic陣	vol. 9	ぶんか社ムック	ぶんか社	2018-10
9784785962739	no_creator		みんなの食卓	みんなの食卓	no. 23	Comic	少年画報社	2018-09
9784758066495	no_creator		ひょっとしてギャルは俺らに優しいのでは?アンソロジーコミック	ひょっとしてギャルは俺らに優しいのでは?アンソロジーコミック		IDコミックス	講談社	2017-03
9784758009966	no_creator		Fate/grand orderコミックアンソロジーthe next	Fate/grand orderコミックアンソロジーthe next	1	DNAメディアコミックス	講談社	2018-09
9784758066525	no_creator		人外の嫁といちゃいちゃするアンソロジーコミック	人外の嫁といちゃいちゃするアンソロジーコミック	2	IDコミックス	一迅社	2017-04
9784758009416	no_creator		Fate/extellaコミックアンソロジー	Fate/extellaコミックアンソロジー		DNAメディアコミックス	一迅社	2017-03
9784758032667	no_creator		囚われのパルマ : 公式アンソロジー	囚われのパルマ	アオイ編	IDコミックス	一迅社	2017-04
