判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun	3	11	0	顔に出ない柏田さんと顔に出る太田君+	顔に出ない柏田さんと顔に出る太田君	東ふゆ	東ふゆ/Shounen	2024	2018	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun
別題ISBN無交差=概ね正当	B_基底頁あり	karura-mau-2016	karura-mau	3	26	0	カルラ舞う! 外伝安倍晴明編	カルラ舞う!	永久保貴一	永久保貴一	2016	1988	karura-mau-2016	karura-mau
別題ISBN無交差=概ね正当	B_基底頁あり	karura-mau-2017	karura-mau	1	26	0	カルラ舞う! 湖国幻影城	カルラ舞う!	永久保貴一	永久保貴一	2017	1988	karura-mau-2017	karura-mau
別題ISBN無交差=概ね正当	B_基底頁あり	kemonomichi-2013	kemonomichi	4	14	0	ケモノみち	けものみち	山浦サク/Josei/Animals	まったくモー助/Animals/Wrestling/Parody/Isekai/Shounen	2013	2017	kemonomichi-2013	kemonomichi
別題ISBN無交差=概ね正当	B_基底頁あり	kingdom-hearts-2007	kingdom-hearts	3	4	0	キングダムハーツ FINAL MIX	キングダムハーツ	天野シロ/野村哲也/Magic/Shounen/Crossover/Travel/Swordplay	天野シロ/Magic/Shounen/Crossover/Travel/Swordplay	2007	2003	kingdom-hearts-2007	kingdom-hearts
別題ISBN無交差=概ね正当	B_基底頁あり	kodomo-no-mori-kanketsuhen-1999	kodomo-no-mori-kanketsuhen	1	1	0	子供の森・完結編	子供の森	もりしげ	もりしげ	1999	1998	kodomo-no-mori-kanketsuhen-1999	kodomo-no-mori-kanketsuhen
別題ISBN無交差=概ね正当	B_基底頁あり	kurotokage-2019	kurotokage	1	1	0	黒トカゲ	黒蜥蜴	森下裕美/江戸川乱歩/Shoujo	Jet/江戸川乱歩	2019	2002	kurotokage-2019	kurotokage
別題ISBN無交差=概ね正当	B_基底頁あり	kyou-kara-city-hunter-2021	kyou-kara-city-hunter	18	5	0	今日から City hunter	今日からシティハンター	錦ソクラ	錦ソクラ	2020	2018	kyou-kara-city-hunter-2021	kyou-kara-city-hunter
別題ISBN無交差=概ね正当	B_基底頁あり	macross-7-trash-2009	macross-7-trash	4	8	0	マクロス7trash	マクロス7トラッシュ	美樹本晴彦	美樹本晴彦/Shounen/Heterosexual/Military	2009	1995	macross-7-trash-2009	macross-7-trash
別題ISBN無交差=概ね正当	B_基底頁あり	mahouka-koukou-no-rettousei-2012	mahouka-koukou-no-rettousei	4	3	0	魔法科高校の劣等生 入学編	魔法科高校の劣等生 スティープルチェース編	きたうみつな/佐島勤/Magic	蒼和伸/佐島勤/Magic	2011	2019	mahouka-koukou-no-rettousei-nyuugaku-hen	mahouka-koukou-no-rettousei-steeplechase-hen
