判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	anna-karenina-igarashi1997	anna-karenina	1	1	0	アンナ・カレーニナ	アンナ・カレーニナ	いがらしゆみこ/トルストイ	小早川杏/トルストイ	1997	1985	anna-karenina-igarashi1997	anna-karenina
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	bakeru-kun-2005	bakeru-kun	5	3	0	バケルくん	バケルくん	藤子・F・不二雄/Kids	藤子不二雄/Kids	2005	1985	bakeru-kun-2005	bakeru-kun
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	cue-2004	cue	3	4	0	CUE	Cue	村上かつら/Band	花見沢Q太郎/Band	2004	2016	cue-2004	cue
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	darling-2008	darling	2	4	0	Darling!	DARLING	秋本尚美/Boys' Love	扇ゆずは/Boys' Love	2008	2007	darling-2008	darling
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	edelweiss-1994	edelweiss	1	2	0	エーデルワイス	エーデルワイス	水野英子/Shoujo	河惣益巳/Shoujo	1994	2004	edelweiss-1994	edelweiss
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	esper-mami-1996	esper-mami	12	9	0	エスパー魔美	エスパー魔美	藤子・F・不二雄/Shounen	藤子不二雄/Shounen	1996	1984	esper-mami-1996	esper-mami
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	esper-mami-1996	esper-mami-1996-2	12	9	0	エスパー魔美	エスパー魔美	藤子・F・不二雄/Shounen	藤子・F・不二雄/小学館ドラえもんルーム/Shounen	1996	1978	esper-mami-1996	esper-mami-1996-2
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	g-2003	g	1	5	0	G	G	小池桂一/Seinen	原秀則/武論尊/Seinen/Yakuza	2003	2003	g-2003	g
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	genji-monogatari-2011	genji-monogatari-miyagi-2010	2	1	0	源氏物語	源氏物語	宮城とおこ/高山由紀子/川崎いづみ/Shoujo/Classic Literature	真崎春望/紫式部/Shoujo/Classic Literature	1982	1982	genji-monogatari-2011	genji-monogatari-miyagi-2010
裁定済: 正当(Teamバンミカス版=別作画コミカライズ)	B_基底頁あり	ginga-tetsudou-no-yoru-2023	ginga-tetsudou-no-yoru	2	2	0	銀河鉄道の夜	銀河鉄道の夜	Teamバンミカス/宮沢賢治	ますむらひろし/宮沢賢治/増村昭子	2015	2020	ginga-tetsudou-no-yoru-2023	ginga-tetsudou-no-yoru
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	ginga-tetsudou-no-yoru-2023	ginga-tetsudou-no-yoru-miyazawa-1992	2	1	0	銀河鉄道の夜	銀河鉄道の夜	Teamバンミカス/宮沢賢治	松田一輝/宮沢賢治/Trains	2015	1992	ginga-tetsudou-no-yoru-2023	ginga-tetsudou-no-yoru-miyazawa-1992
裁定済: 相手頁は統合でginga-tetsudou-no-yoruへ	B_基底頁あり	ginga-tetsudou-no-yoru-2023	gingatetsudou-no-yoru	2	2	0	銀河鉄道の夜	銀河鉄道の夜	Teamバンミカス/宮沢賢治	ますむらひろし/宮沢賢治	2015	1995	ginga-tetsudou-no-yoru-2023	gingatetsudou-no-yoru
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	haisouki-2013	haisouki	1	2	0	敗走記	敗走記	しまたけひと/Autobiographical	水木しげる/Autobiographical	2013	1983	haisouki-2013	haisouki
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	inugamike-no-ichizoku-ikeuchi1984	inugamike-no-ichizoku	1	2	0	犬神家の一族	犬神家の一族	いけうち誠一/横溝正史	つのだじろう/横溝正史	1984	1984	inugamike-no-ichizoku-ikeuchi1984	inugamike-no-ichizoku
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	inugamike-no-ichizoku-ikeuchi1984	inugamike-no-ichizoku-jet1999	1	2	0	犬神家の一族	犬神家の一族	いけうち誠一/横溝正史	JET/横溝正史	1984	1999	inugamike-no-ichizoku-ikeuchi1984	inugamike-no-ichizoku-jet1999
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	inugamike-no-ichizoku-jet1999	inugamike-no-ichizoku	2	2	0	犬神家の一族	犬神家の一族	JET/横溝正史	つのだじろう/横溝正史	1999	1984	inugamike-no-ichizoku-jet1999	inugamike-no-ichizoku
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	juugo-shounen-hyouryuuki-2013	juugo-shounen-hyouryuuki	1	1	0	十五少年漂流記	十五少年漂流記	大谷じろう/ヴェルヌ/Shoujo	河合一慶/バラエティ・アートワークス/ヴェルヌ	1977	1977	juugo-shounen-hyouryuuki-2013	juugo-shounen-hyouryuuki
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	kenkaku-shoubai-saitou2003	kenkaku-shoubai	3	54	0	剣客商売	剣客商売	さいとう・たかを/池波正太郎	大島やすいち/池波正太郎	2003	2008	kenkaku-shoubai-saitou2003	kenkaku-shoubai
裁定済: 本編=双葉AC1冊+角川新装/2002頁=続編『2.1』1冊で再構築(2026-08-10)	B_基底頁あり	kibun-wa-mou-sensou-2002	kibun-wa-mou-sensou	0	0	0	気分はもう戦争	気分はもう戦争	藤原カムイ/矢作俊彦/War/Seinen	大友克洋/矢作俊彦/War/Seinen	1982	1982	kibun-wa-mou-sensou-2002	kibun-wa-mou-sensou
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	kimikisu-2007	kimikisu	2	6	0	キミキス	キミキス	糸杉柾宏/エンターブレイン/Seinen	東雲太郎/エンターブレイン/Seinen	2007	2007	kimikisu-2007	kimikisu
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	kimikisu-2007	kimikisu-2008	2	1	0	キミキス	キミキス	糸杉柾宏/エンターブレイン/Seinen	佳月玲茅/松山紗夕/エンターブレイン	2007	2007	kimikisu-2007	kimikisu-2008
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	kimikisu-2008	kimikisu	1	6	0	キミキス	キミキス	佳月玲茅/松山紗夕/エンターブレイン	東雲太郎/エンターブレイン/Seinen	2007	2007	kimikisu-2008	kimikisu
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	last-order-2000	last-order-kazunari-2021	1	3	0	ラストオーダー	ラストオーダー	高田裕三/Shounen	松葉サトル/浜松春日/Shounen	2000	2021	last-order-2000	last-order-kazunari-2021
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	miyamoto-musashi-1985	miyamoto-musashi	10	2	0	宮本武蔵	宮本武蔵	神田たけ志/吉川英治/Seinen	石ノ森章太郎/Seinen	1985	1974	miyamoto-musashi-1985	miyamoto-musashi
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	miyazawa-kenji-mangakan-1985	miyazawa-kenji-mangakan	1	5	0	宮沢賢治・漫画館	宮沢賢治・漫画館	やまだ紫/坂口尚/樹村みのり/村野守美/スズキコージ	畑中純/あすなひろし/水木しげる/永島慎二/なだいなだ/スズキコージ/たむらしげる/村野守美/樹村みのり/やまだ紫/坂口尚/山松ゆうきち/水野英子/飯野和好/松本零士/手塚治虫/高橋葉介/鈴木翁二/林静一/宮沢賢治	1985	1985	miyazawa-kenji-mangakan-yamada-1985	miyazawa-kenji-mangakan
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	nogiku-no-haka-chinen2010	nogiku-no-haka	1	1	0	野菊の墓	野菊の墓	知念政順/伊藤左千夫	清水めぐみ/伊藤左千夫	2010	1985	nogiku-no-haka-chinen2010	nogiku-no-haka
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	operaza-no-kaijin-jet1995	operaza-no-kaijin	1	1	0	オペラ座の怪人	オペラ座の怪人	JET/ガストン・ルルー	真崎春望/ガストン・ルルー/Shoujo	1995	1989	operaza-no-kaijin-jet1995	operaza-no-kaijin
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	peanuts-essence-1996	peanuts-essence	15	15	0	ピーナッツ・エッセンス	ピーナッツエッセンス	チャールズ・M.シュルツ/谷川俊太郎	チャールズ・モンロー・シュルツ/谷川俊太郎/Animals	1996	2015	peanuts-essence-1996	peanuts-essence
裁定済: 統合済2026-08-10(徳間1-5の分裂→canonical=rakushou-hyper-doll)	B_基底頁あり	rakushou-hyper-doll-1996	rakushou-hyper-doll	2	3	0	楽勝!ハイパー★ドール	楽勝!ハイパー・ドール	伊東伸平	伊藤伸平/伊東伸平	1996	1995	rakushou-hyper-doll-1996	rakushou-hyper-doll
裁定済: 統合済2026-08-10(英知2002版=版タブ化)	B_基底頁あり	rakushou-hyper-doll-2002	rakushou-hyper-doll	2	3	0	楽勝!ハイパー・ドール	楽勝!ハイパー・ドール	伊藤伸平	伊藤伸平/伊東伸平	2002	1995	rakushou-hyper-doll-2002	rakushou-hyper-doll
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	ring-1996	ring-inagaki-1999	2	2	0	リング	リング	永井幸二郎/鈴木光司	稲垣みさお/高橋洋/鈴木光司	1996	1999	ring-1996	ring-inagaki-1999
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	robotics-notes-2012	robotics-notes	4	5	0	Robotics;Notes	Robotics ; notes	シヒラ竜也/5pb./Seinen/Video Games	浅川圭司/5pb./Seinen	2012	2012	robotics-notes-2012	robotics-notes
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	roodosutou-senki-1997	roodosutou-senki-haiiro-no-majo	3	3	0	ロードス島戦記-灰色の魔女-	ロードス島戦記 灰色の魔女	おちよしひこ/水野良	たくま朋正/安田均/水野良	1994	2014	roodosutou-senki-ochi-1994	roodosutou-senki-haiiro-no-majo
裁定済: 正当(日文KAREN版は実題『世紀末☆ダーリン2006/2007…』=年刊シリーズ・楽天実題確証)	B_基底頁あり	seikimatsu-darling-2006	seikimatsu-darling	7	11	0	世紀末☆ダーリン	世紀末・ダーリン	なると真樹/Boys' Love/Slapstick	なると真樹/Boys' Love/Shoujo/Slapstick	2006	2000	seikimatsu-darling-2006	seikimatsu-darling
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	seton-2009	seton	1	8	0	シートン	シートン	梶川卓郎/Animals/Autobiographical	谷口ジロー/Seinen/Animals	2009	2005	seton-2009	seton
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	shinrei-tantei-yakumo-2007	shinrei-tantei-yakumo	2	14	0	心霊探偵八雲	心霊探偵八雲	都戸利津/神永学/Shoujo	小田すずか/神永学/Shoujo	2007	2009	shinrei-tantei-yakumo-2007	shinrei-tantei-yakumo
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	soukou-kihei-votoms-1995	soukou-kihei-votoms	1	3	0	装甲騎兵ボトムズ	装甲騎兵ボトムズ	今掛勇/矢立肇/高橋良輔	のなかみのる/高橋良輔/Shounen	1995	1983	soukou-kihei-votoms-1995	soukou-kihei-votoms
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	soukyuu-no-fafunaa-2005	soukyuu-no-fafunaa	2	9	0	蒼穹のファフナー	蒼穹のファフナー	現津みかみ/Real Robot/Shounen	松下朋未/Shounen/Real Robot	2005	2015	soukyuu-no-fafunaa-2005	soukyuu-no-fafunaa
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	suikoden-2000	suikoden	5	11	0	水滸伝	水滸伝	さいとう・たかを/Classic Literature/Shounen	横山光輝/Classic Literature/Shounen	2000	1969	suikoden-2000	suikoden
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	suikoden-2000	suikoden-inoe-2003	5	3	0	水滸伝	水滸伝	さいとう・たかを/Classic Literature/Shounen	井上紀良/北方謙三/Classic Literature/Shounen	2000	2003	suikoden-2000	suikoden-inoe-2003
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	takeda-shingen-1987	takeda-shingen	6	15	0	武田信玄	武田信玄	小池一夫/小島剛夕/Seinen	さいとう・たかを/横山光輝/新田次郎/War/Seinen	1987	1987	takeda-shingen-koike-1987	takeda-shingen
裁定済: 正当(横山愛蔵版と1959貸本=別作)	B_基底頁あり	tange-sazen-yokoyama2009	tange-sazen	1	0	0	丹下左膳	丹下左膳	横山光輝/林不忘	伊藤隆夫/湖玉次吉/林不忘	2009	1959	tange-sazen-yokoyama2009	tange-sazen
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	teito-monogatari-takahashi2008	teito-monogatari	1	1	0	帝都物語	帝都物語	高橋葉介/荒俣宏	藤原カムイ/荒俣宏/Seinen	2008	1988	teito-monogatari-takahashi2008	teito-monogatari
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	tezuka-osamu-1996	tezuka-osamu	1	2	0	手塚治虫	手塚治虫	伴俊男/Autobiographical/Drawing	大下英治/Autobiographical/Drawing	1996	1995	tezuka-osamu-1996	tezuka-osamu
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	toshishita-no-otokonoko-1991	toshishita-no-otokonoko	1	4	0	年下の男の子	年下の男の子	ぬまじりよしみ/Age Gap/Boys' Love	とりよし/Boys' Love	1991	2019	toshishita-no-otokonoko-1991	toshishita-no-otokonoko
裁定済: 正当(作画者が異なる別コミカライズ)	B_基底頁あり	wakakusa-monogatari-2012	wakakusa-monogatari-kitajima-1989	1	1	0	若草物語	若草物語	高瀬直子/オルコット/Family Life	北島洋子/オルコット/Shoujo	1959	1977	wakakusa-monogatari-2012	wakakusa-monogatari-kitajima-1989
裁定済: 正当(別作画コミカライズ=原作共通の併存)	B_基底頁あり	zero-1996	zero-matsumoto	2	3	0	ZERO	ZERO	冬目景/Seinen	松本大洋/Seinen/Boxing	1996	1991	zero-1996	zero-matsumoto
裁定済: 正当(同一作画のスクエニ版1-3→KADOKAWA版1-8の仕切り直しリブート=別シリーズ扱い)	C_基底頁なし	adachi-to-shimamura-mani-2016	adachi-to-shimamura	3	8	0	安達としまむら	安達としまむら	柚原もけ/入間人間/Yuri/Coming of Age/LGBTQ+ Themes/Cute Girls Doing Cute Things/Shounen	柚原もけ/入間人間/Yuri/Coming of Age/LGBTQ+ Themes/Cute Girls Doing Cute Things/Shounen	2016	2019	adachi-to-shimamura-mani-2016	adachi-to-shimamura
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ai-no-seikatsu-sakurazawa-2009	ai-no-seikatsu	1	2	0	愛の生活	愛の生活	桜沢エリカ/Josei	岡崎京子/Josei/Unrequited Love/Heterosexual	2009	1993	ai-no-seikatsu-sakurazawa-2009	ai-no-seikatsu
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	angelique-kihara-1978	angelique	8	11	0	アンジェリク	アンジェリーク	木原敏江/A＆S.ゴロン/A・ゴロン/S・ゴロン/Shoujo	由羅カイリ/Shoujo/Male Harem/Magic	1979	1996	angelique-kihara-1978	angelique
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	asterisk-akaishi-1992	asterisk	3	13	0	アスターリスク	アスタリスク	赤石路代/Shoujo	森本秀/Shoujo	1992	2006	asterisk-akaishi-1992	asterisk
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	babel-inoe-2019	babel	8	10	0	BABEL	BABEL	井上紀良/Seinen	石川優吾/Mythology/Swordplay/Seinen/Gore	2015	2018	babel-inoe-2019	babel
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	battery-kawaguchi-2001	battery	8	10	0	バッテリー	バッテリー	かわぐちかいじ/Seinen/Baseball	柚庭千景/あさのあつこ/Shoujo/Baseball/Bullying	2001	2005	battery-kawaguchi-2001	battery
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	blue-nananan-2020	blue	1	8	0	Blue	BLUE	魚喃キリコ/Yuri/Coming of Age/Josei/Tragedy/LGBTQ+ Themes	千葉コズエ/Shoujo/Heterosexual/Coming of Age/Love Triangle	1997	2010	blue-nananan-2020	blue
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	blue-sakisaka-2006	blue	1	8	0	BLUE	BLUE	咲坂伊緒/Shoujo/Heterosexual/Love Triangle/Unrequited Love	千葉コズエ/Shoujo/Heterosexual/Coming of Age/Love Triangle	1991	2010	blue-sakisaka-2006	blue
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	boyfriend-yamada-2009	boy-friend	3	5	0	ボーイフレンド	ボーイフレンド	山田デイジー/Shoujo/Bullying	森田ゆき/Shoujo/Love Triangle	2009	2018	boyfriend-yamada-2009	boy-friend
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	charisma-yashioji-2005	charisma-2	2	4	0	カリスマ	カリスマ	西崎泰正/八潮路つとむ/新堂冬樹/Seinen	花小路小町/Seinen	2005	2000	charisma-yashioji-2005	charisma-2
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	dive-yasuda-2017	dive	3	5	0	DIVE!!	DIVE!!	紅柴るづる/森絵都/Seinen	池野雅博/森絵都/Shounen	2017	2007	dive-yasuda-2017	dive
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	doubt-amano-2012	doubt-tonogai-2008	4	4	0	Doubt!	Doubt	天乃咲哉/Shounen	外海良基/Death Game/Shounen/Revenge/Crime/Tragedy/Gore/Unrequited Love	2012	2008	doubt-amano-2012	doubt-tonogai-2008
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	genji-monogatari-egawa-1991	genji-monogatari-miyagi-2010	7	1	0	源氏物語	源氏物語	江川達也/紫式部	真崎春望/紫式部/Shoujo/Classic Literature	2001	1982	genji-monogatari-egawa-2001	genji-monogatari-miyagi-2010
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ghost-writer-tsubaki-2012	ghost-writer	2	3	0	ゴーストライター	ゴーストライター	椿カヲリ/Seinen	御影夏/Seinen	2012	2015	ghost-writer-tsubaki-2012	ghost-writer
裁定済: 正当(松田一輝版=別作画)	C_基底頁なし	ginga-tetsudou-no-yoru-miyazawa-1992	ginga-tetsudou-no-yoru	1	2	0	銀河鉄道の夜	銀河鉄道の夜	松田一輝/宮沢賢治/Trains	ますむらひろし/宮沢賢治/増村昭子	1992	2020	ginga-tetsudou-no-yoru-miyazawa-1992	ginga-tetsudou-no-yoru
裁定済: 相手頁は統合済	C_基底頁なし	ginga-tetsudou-no-yoru-miyazawa-1992	gingatetsudou-no-yoru	1	2	0	銀河鉄道の夜	銀河鉄道の夜	松田一輝/宮沢賢治/Trains	ますむらひろし/宮沢賢治	1992	1995	ginga-tetsudou-no-yoru-miyazawa-1992	gingatetsudou-no-yoru
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	guin-saga-yanagisawa-2001	guin-saga	1	6	0	グイン・サーガ	グイン・サーガ	柳澤一明/栗本薫	沢田一/栗本薫	2001	2007	guin-saga-yanagisawa-2001	guin-saga
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	hajimete-no-kiss-ishii-2015	hajimete-no-kiss	1	2	0	はじめてのキス	はじめてのキス	久世みずき/Shoujo	赤池うらら/Shoujo	2015	2018	hajimete-no-kiss-ishii-2015	hajimete-no-kiss
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	happiness-furuya-2006	happiness	1	10	0	ハピネス	ハピネス	古屋兎丸/Seinen/Age Gap/Tragedy	押見修造/Tragedy/Torture/Gore/Cult/Heterosexual/Cannibalism/Body Horror/Shounen	2006	2015	happiness-furuya-2006	happiness
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	kagome-kagome-ikebe-2014	kagome-kagome	1	3	0	かごめかごめ	かごめかごめ	池辺葵/Seinen/Iyashikei/Religion	唯登詩樹/Seinen	2014	2000	kagome-kagome-ikebe-2014	kagome-kagome
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	kanon-shimotsuki-2007	kanon	2	2	0	Kanon	Kanon	霜月絹鯊/KEY by Ylab/Female Harem/Shounen	森嶋プチ/KEY by Ylab/Female Harem/Shounen	2007	2000	kanon-shimotsuki-2007	kanon
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	kanon-takemiya-1986	kanon-usami-2003	1	1	0	カノン	カノン	竹宮惠子/Shoujo/Boys' Love	宇佐美真紀/Shoujo	1986	2003	kanon-takemiya-1986	kanon-usami-2003
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	kira-kira-yuki-2005	killer-killer	1	2	0	キラ☆キラ	キラーキラー	ユーキあきら/Shoujo	湖住ふじこ/Shoujo	2005	2017	kira-kira-yuki-2005	killer-killer
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	koibana-enomoto-2007	koibana	1	10	0	コイバナ	コイバナ!	すぎ恵美子/わたなべ志穂/宮坂香帆/嶋木あこ/堂本奈央/香代乃/Shoujo	ななじ眺/Shoujo	2007	2008	koibana-enomoto-2007	koibana
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	kuro-no-meikyuu-hitaka-1987	kuro-no-meikyuu	1	1	0	黒の迷宮	黒の迷宮	ひたか良/Shoujo	松本洋子/Shoujo	1987	1984	kuro-no-meikyuu-hitaka-1987	kuro-no-meikyuu
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	line-kotegawa-2003	rain-hashiba-2003	1	1	0	ライン	ライン	小手川ゆあ/Suicide/Yuri/LGBTQ+ Themes/Shounen	やまさき拓味/Yuri/Tragedy	2003	2003	line-kotegawa-2003	rain-hashiba-2003
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	love-letter-takahashi-1989	raburetaa-yazawa-1985	1	1	0	ラブ・レター	ラブレター	高橋亮子/Shoujo	高口里純/Shoujo	1989	1985	love-letter-takahashi-1989	raburetaa-yazawa-1985
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	madougushi-dariya-wa-utsumukanai-kei-2019	madougushi-dariya-wa-utsumukanai	2	11	0	魔導具師ダリヤはうつむかない	魔導具師ダリヤはうつむかない	釜田/甘岸久弥/Isekai/Reincarnation/Shounen	住川惠/甘岸久弥/Magic/Isekai/Shounen	2019	2019	madougushi-dariya-wa-utsumukanai-kei-2019	madougushi-dariya-wa-utsumukanai
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	maria-kamimura-2003	maria	2	6	0	マリア	マリア	上村一夫/Yuri/Seinen	土山しげる/伊庭晋太郎/Seinen	2003	1991	maria-kamimura-2003	maria
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	message-aso-1987	message-hagio-2016	1	1	0	メッセージ	メッセージ	麻生歩/Josei	萩尾望都/Josei	1987	2016	message-aso-1987	message-hagio-2016
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	missing-hino-2023	missing	4	2	0	Missing	Missing	日野杏寿/甲田学人/Seinen	睦月れい/甲田学人/Seinen	2023	2005	missing-hino-2023	missing
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	nibunnoichi-morita-2012	nibunnoichi	1	3	0	1/2	1/2	森田ゆき/Shoujo	木々/Shoujo	2012	2006	nibunnoichi-morita-2012	nibunnoichi
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	ningen-shikkaku-ito-2010	ningen-shikkaku	3	3	0	人間失格	人間失格	比古地朔弥/太宰治/Seinen/Classic Literature/Suicide/Tragedy/Philosophy/Drugs/Psychosexual/Biographical	伊藤チカ/バラエティ・アートワークス/太宰治/Seinen/Classic Literature/Suicide/Tragedy/Philosophy/Drugs/Psychosexual/Biographical	2010	2017	ningen-shikkaku-ito-2010	ningen-shikkaku
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	oda-nobunaga-akizuki-1991	oda-nobunaga	2	10	0	織田信長	織田信長	小島剛夕/あきづき笙/Seinen	横山光輝/山岡荘八/第一出版センター/Seinen	2018	1985	oda-nobunaga-akizuki-1991	oda-nobunaga
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ougon-bat-yamane-2023	ougon-bat	3	4	0	黄金バット	黄金バット	山根和俊/ADKエモーションズ/神楽坂淳/Shounen	一峰大二/加太こうじ/Shounen	2023	1990	ougon-bat-yamane-2023	ougon-bat
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	present-ikuemi-2003	present	1	3	0	プレゼント	プレゼント	いくえみ綾/Shoujo	犬木加奈子/Shoujo/Tragedy	2003	1993	present-ikuemi-2003	present
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ramen-daisuki-koizumi-san-narumi-2014	ramen-daisuki-koizumi-san	11	15	0	ラーメン大好き小泉さん	ラーメン大好き小泉さん	鳴見なる/Food/Cute Girls Doing Cute Things/Seinen	なるみなる/Food/ラーメン/グルメ巡り/学園	2014	2024	ramen-daisuki-koizumi-san-narumi-2014	ramen-daisuki-koizumi-san
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ready-go-morimoto-1994	ready-go	1	2	0	レディゴー!	レディー・ゴー!	森本里菜/Shoujo	吉井ユウ/Shoujo/Teens' Love	1994	2007	ready-go-morimoto-1994	ready-go
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	sentimental-shimokitazawa-2008	sentimental	1	1	0	センチメンタル	センチメンタル	下北沢ミツオ/Shoujo	吉田まゆみ/Shoujo	2008	1978	sentimental-shimokitazawa-2008	sentimental
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	shikei-shikkounin-mine-1984	shikei-shikkounin	2	8	0	私刑執行人	私刑執行人	みね武/西塔紅一/Seinen	内田康平/草下シンヤ/大槻展子/Seinen/Revenge	1984	2023	shikei-shikkounin-mine-1984	shikei-shikkounin
裁定済: 竹書房版=OMEGA遊撃隊アンソロジー→drop(2026-08-10)。本編=徳間つぶら版のみ残置	C_基底頁なし	shinpi-no-sekai-eruhazaado-tsubura-1996	shinpi-no-sekai-eruhazaado	3	3	0	神秘の世界エルハザード	神秘の世界エルハザード	つぶらひでとも/月村了衛/林宏樹	つぶらひでとも	1996	1996	shinpi-no-sekai-eruhazaado-tsubura-1996	shinpi-no-sekai-eruhazaado
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	sleeping-beauty-enomoto-2013	sleeping-beauty-yoshikawa-2003	3	3	0	スリーピング・ビューティー	スリーピングビューティー	堂本奈央/Shoujo	吉川新/Shoujo	2013	2003	sleeping-beauty-enomoto-2013	sleeping-beauty-yoshikawa-2003
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	stand-up-kumagai-2010	stand-up-yamakawa-2013	2	4	0	Stand UP!!!!	Stand Up!	くまがい杏子/Shoujo	山川あいじ/川谷康久/Shoujo	2010	2013	stand-up-kumagai-2010	stand-up-yamakawa-2013
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	subete-ga-f-ni-naru-mori-2015	subete-ga-f-ni-naru	2	2	0	すべてがFになる	すべてがFになる	霜月かいり/Seinen	浅田寅ヲ/森博嗣/Seinen	2015	2001	subete-ga-f-ni-naru-mori-2015	subete-ga-f-ni-naru
