page_slug	series_title	n_isbn(未掲載版)	page_vols	imprint	sid
angelique-retour	アンジェリーク ルトゥール	2	2	Sho-Comiフラワーコミックス	26977
hr	HR	2	2	Kirara menu	28579
lupin-iii-vs-meitantei-conan-za-movie	ルパン三世vs名探偵コナンTHE MOVIE	2	2	少年サンデーコミックススペシャル	31750
supanguru	スパングル	2	1		32605
fujiko-efu-fujio	藤子・F・不二雄	2	1	BIG COMICS SPECIAL	34178
qp-gaiden-azuma-ryou	QP外伝我妻涼	2	3	Akita top comics wid	36831
akane-chan-over-drive	あかねちゃんOVER DRIVE	2	2	マーガレットコミックス	37815
shichinin-no-samurai	七人の侍	2	1	マンガ黒澤明時代劇	38164
w-p-b	√W.P.B	2	2	あすかコミックスCL-DX	38304
roodosutou-senki-1998	ロードス島戦記	2	3	ドラゴンコミックス	39079
nibelung-no-yubiwa-2003	ニーベルングの指環	2	2	講談社+α文庫	40205
meitantei-conan-ijigen-no-sniper	名探偵コナン 異次元の狙撃手	2	2	少年サンデーコミックスビジュアルセレクシ	40556
meitantei-conan-junkoku-no-nightmare	名探偵コナン純黒の悪夢	2	2	少年サンデーコミックスビジュアルセレクシ	40592
young-fine	YOUNG＆FINE	2	1		40820
yoru-no-ryouiki	夜の領域	2	1		40857
i-am-makkoi	I amマッコイ	2	3	KCフェニックス	42306
jigoku-yuugi	地獄遊戯	2	2	フィールコミックス	43336
komorebi-no-moto-de	こもれ陽の下で…	2	3	ゼノンコミックスDX	44882
running-dai-2-bu	RUNNING第2部	2	2	ぶ～けコミックス	45953
mach-go-go-go	マッハgo go go	2	2		46267
fairy	フェアリー	2	2	ちゃおフラワーコミックス	46796
iron-virgin-jun	鉄の処女JUN	2	1	St comics	47298
hibiki-2006	響	2	1	BIG SUPERIOR COMICS 	50664
houou-no-tsubasa	鳳凰の翼	2	2	ゴラク・コミックス	50727
frankenstein	フランケンシュタイン	2	1		51331
biriken	ビリ犬	2	2	中公コミックス	51883
koutetsu-jeeg	鋼鉄ジーグ	2	2		52562
game	GAME	2	3	Daito comics BL シリーズ	53453
