series_key	訳者	role
name:キース・ギフェン|name:ブルービートル:青い衝撃	中沢俊介	訳
name:ギレルモ・デル・トロ|name:パシフィック・リム:イヤーゼロ	中沢俊介	訳
name:クラウス・ジョンソン|name:ワールド・ウォー・ハルク	石川裕人	訳
name:クリストス・ゲージ|name:スパイダーマン/ファンタスティック・フォー	高木亮	訳
name:クリス・バチャロ|name:SANDMAN	柳下毅一郎	訳
name:クリス・リアル|name:ゾンビVSロボット	金原瑞人	訳
name:グラント・モリソン|name:JLA 逆転世界	高木亮	訳
name:グラント・モリソン|name:NEW 52	石川裕人	訳
name:グラント・モリソン|name:batman:arkham asylum	高木亮	訳
name:グラント・モリソン|name:スーパーマン:アクション・コミックス	石川裕人	訳
name:グラント・モリソン|name:バットマン R.I.P	高木亮	訳
name:グラント・モリソン|name:バットマン ブラックグローブ	高木亮	訳
name:グラント・モリソン|name:バットマン ブルース・ウェインの帰還	高木亮	訳
name:グラント・モリソン|name:バットマン ラーズ・アル・グールの復活	高木亮	訳
name:グラント・モリソン|name:バットマン・アンド・サン	高木亮	訳
name:グラント・モリソン|name:バットマン・インコーポレイテッド	高木亮	訳
name:グラント・モリソン|name:バットマン＆ロビン	高木亮	訳
name:グラント・モリソン|name:ワンダーウーマン:アースワン	中沢俊介	訳
name:グリヒル|name:スパイダーマン&ヴェノム:ダブル・トラブル	石川裕人	訳
name:グレッグ・カプロ|name:バットマン・メタル	中沢俊介	訳
name:グレッグ・パック|name:DCキャラクターズ:オリジン	中沢俊介	訳
name:グレッグ・パック|name:バットマン/スーパーマン:クロスワールド	中沢俊介	訳
name:グレッグ・ルッカ|name:バットウーマン:エレジー	中沢俊介	訳
name:グレッグ・ルッカ|name:バットマン:ノーマンズ・ランド	高木亮	訳
name:グレッグ・ルッカ|name:ワンダーウーマン:イヤーワン	中沢俊介	訳
name:グレッグ・ルッカ|name:ワンダーウーマン:ザ・ライズ	中沢俊介	訳
name:グレッグ・ルッカ|name:ワンダーウーマン:ヒケテイア	中沢俊介	訳
name:ケニー・バイアリー|name:ミュータントタートルズ:アニメイテッド	中沢俊介	訳
name:ケビン・イーストマン|name:ミュータントタートルズ	中沢俊介	訳
name:ケリー・スー・デコニック|name:キャプテン・マーベル	中沢俊介	訳
name:ゲイリー・リーチ|name:ミラクルマン	市川裕文	訳
name:ゲーリー・フランク|name:DCユニバース:リバース	高木亮	訳
name:サム・キース|name:SANDMAN	海法紀光	翻訳
name:サム・ティメル|name:ミラン・K	原正人	訳
name:サム・ハンフリーズ|name:ジョーカー・ウォー:コラテラル・ダメージ	中沢俊介	訳
name:サルバ・エスピン|name:デッドプールvs.カーネイジ	高木亮	訳
name:サルバ・エスピン|name:デッドプール・キラストレイテッド/デッドプール・キルズ・デッドプール	石川裕人	訳
name:シェーン・マッカーシー|name:トランスフォーマー:オール・ヘイル・メガトロン	中沢俊介	訳
name:シルヴァン・ショメ|name:レオン・ラ・カム	原正人	訳
name:シルヴァン・リカール|name:マザーファッカー	原正人	訳
name:シルヴィアーヌ・コルジア|name:ガラスの剣	原正人	訳
name:ジェイソン・アーロン|name:ウォー・オブ・ザ・レルムス	石川裕人	訳
name:ジェイソン・アーロン|name:デッドプール	高木亮	訳
name:ジェイソン・ファボック|name:ジャスティス・リーグVS.スーサイド・スクワッド	高木亮	訳
name:ジェフ・ジョーンズ|name:グリーンランタン シークレット・オリジン	市川裕文	訳
name:ジェフ・ジョーンズ|name:グリーンランタン:リバース	石川裕人	訳
name:ジェフ・ジョーンズ|name:シャザム!:魔法の守護者	中沢俊介	訳
name:ジェフ・ジョーンズ|name:ジャスティス・リーグ	高木亮	訳
name:ジェフ・ジョーンズ|name:ジャスティス・リーグ:ダークサイド・ウォー	高木亮	訳
name:ジェフ・ジョーンズ|name:スーパーマン ラスト・サン	高木亮	訳
name:ジェフ・ジョーンズ|name:ドゥームズデイ・クロック	中沢俊介	訳
name:ジェフ・ジョーンズ|name:バットマン アースワン	高木亮	訳
name:ジェフ・ジョーンズ|name:バットマンVS.スーパーマン ベストバウト	中沢俊介	訳
name:ジェフ・ジョーンズ|name:バットマンVS.スーパーマン ベストバウト	高木亮	訳
name:ジェフ・ジョーンズ|name:フォーエバー・イービル	高木亮	訳
name:ジェフ・パーカー|name:X-MEN:ファーストクラス	高木亮	訳
name:ジェフ・ローブ|name:キャットウーマン:ホエン・イン・ローマ	高木亮	訳
name:ジェフ・ローブ|name:スパイダーマン ブルー	高木亮	訳
name:ジェフ・ローブ|name:スーパーマン:エンペラー・ジョーカー	高木亮	訳
name:ジェフ・ローブ|name:スーパーマン・フォー・オールシーズン	中沢俊介	訳
name:ジェフ・ローブ|name:ハルク:グレイ	中沢俊介	訳
name:ジェフ・ローブ|name:バットマン:ハッシュ	中沢俊介	訳
name:ジェラルド・ウェイ|name:アンブレラ・アカデミー	金原瑞人	訳
name:ジェリー・ダガン|name:X-MEN	高木亮	訳
name:ジェリー・ダガン|name:インフィニティ・ウォーズ	石川裕人	訳
name:ジェリー・ダガン|name:インフィニティ・カウントダウン	石川裕人	訳
name:ジェリー・ダガン|name:ウルヴァリン:ブラック、ホワイト&ブラッド	中沢俊介	訳
name:ジェリー・ダガン|name:デッドプール	高木亮	訳
name:ジェリー・ダガン|name:デッドプール ドラキュラズ・ガントレット	高木亮	訳
name:ジェリー・ダガン|name:デッドプール:エンド・オブ・エラー	高木亮	訳
name:ジェリー・ダガン|name:デッドプール:ミリオネア・ウィズ・ア・マウス	高木亮	訳
name:ジェリー・ダガン|name:ホークアイVS.デッドプール	中沢俊介	訳
name:ジェリー・フリッセン|name:覆面戦隊ルチャドーレス・ファイブ	原正人	訳
name:ジェームズ・タイノンIV|name:バットマン 真夜中の事件簿	高木亮	訳
name:ジェームズ・タイノンⅣ|name:バットマン/ミュータントタートルズ	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン/ミュータントタートルズ:クランゲの野望	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン/ミュータントタートルズ:ベインの逆襲	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン:カワードリー・ロット	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン:ゴースト・ストーリーズ	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン:ダーク・デザイン	中沢俊介	訳
name:ジェームズ・タイノンⅣ|name:バットマン:フィアー・ステート	中沢俊介	訳
