class	slug	stem	title	gap	missing_no	candidate_isbn
C 自前DBに無い(真の取込もれ)	la-vie-en-rose-1998	la-vie-en-rose-1998	ラヴィアンローズ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	linkman	linkman	リンクマン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	love-taishitsu	love-taishitsu	恋愛体質	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	lovers	lovers	Lovers	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	makai-densetsu	makai-densetsu	魔界伝説	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	mameda-sensei	mameda-sensei	まめだ先生	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	manhattan-op	manhattan-op	マンハッタン・オプ	bunkobon#0:[2]	2	
C 自前DBに無い(真の取込もれ)	maruboukabushikigaisha	maruboukabushikigaisha	〔○暴〕株式会社	standard#0:[23]	23	
C 自前DBに無い(真の取込もれ)	matamoya-daikichi	matamoya-daikichi	またもや大吉	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	matenrou	matenrou	摩天楼	standard#0:[9]	9	
C 自前DBに無い(真の取込もれ)	mayonaka-no-raburetaa	mayonaka-no-raburetaa	真夜中のラブレター	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	megurikuruharu	megurikuruharu	めぐりくるはる	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	menkuiegurekeibu	menkuiegurekeibu	面くいエグレ警部	bunkobon#0:[2]	2	
C 自前DBに無い(真の取込もれ)	minami-kun-wa-sono-koe-ni-jirasaretai	minami-kun-wa-sono-koe-ni-jirasaretai	南くんはその声に焦らされたい	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	mindy-land	mindy-land	Mindy land	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	miyazawa-kenji-mangakan-1985	miyazawa-kenji-mangakan-1985	宮沢賢治・漫画館	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	mobile-suit-gundam-moon-crisis	mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	mondeki	mondeki	モンでき。	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	moto-yakuza-wa-shinshi-de-moujuu	moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	nakayoshi-orijinaruban-sakuhinshuu	nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	nanimo-kikazu-ni-dakasetekure	nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	nee-piyo-chan	nee-piyo-chan	ねぇ、ぴよちゃん	standard#0:[11]	11	
C 自前DBに無い(真の取込もれ)	netchuu-kobo-chan	netchuu-kobo-chan	熱中!コボちゃん	standard#0:[10]	10	
C 自前DBに無い(真の取込もれ)	ningen-no-jouken	ningen-no-jouken	人間の條件	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	nishitookyoometaruburazaazu	nishitookyoometaruburazaazu	ニシトーキョーメタルブラザーズ	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	oku-sama-hi-no-youjin	oku-sama-hi-no-youjin	奥様火の用心!	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	oppai-no-tatsujin	oppai-no-tatsujin	おっぱいの達人	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	optional-tour	optional-tour	オプショナル・ツアー	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	pachikko-bojou	pachikko-bojou	パチっ子慕情	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	papa-no-kokoro	papa-no-kokoro	パパのココロ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	perfect-angel-lip	perfect-angel-lip	Perfectエンジェルリップ	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	pet-boy-s	pet-boy-s	Pet-boy's	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	powerful-mazegohan	powerful-mazegohan	パワフル☆まぜごはん	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	pumpkin	pumpkin	パンプキン	standard#0:[8]	8	
C 自前DBに無い(真の取込もれ)	riiman-senki-dokushinsan	riiman-senki-dokushinsan	リーマン戦記独身3	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	rockman-world	rockman-world	ロックマンワールド	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	romeo	romeo	Romeo	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	sadistic-sayaka-chan	sadistic-sayaka-chan	サディスティックさやかちゃん!	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	saishinban-heisei-tensai-bakabon	saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	saitsuyo-akuyaku-reijou-nikki	saitsuyo-akuyaku-reijou-nikki	さいつよ☆悪役令嬢日記	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	sakuranbomonogatari	sakuranbomonogatari	桜桃物語	standard#0:[16]	16	
C 自前DBに無い(真の取込もれ)	sandman	sandman	サンドマン	standard#0:[5]	5	
C 自前DBに無い(真の取込もれ)	satoshi	satoshi	聖	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	sekai-no-meisaku-opera	sekai-no-meisaku-opera	世界の名作オペラ	standard#0:[9]	9	
C 自前DBに無い(真の取込もれ)	senri-no-michi-mo-dai-sanshou	senri-no-michi-mo-dai-sanshou	千里の道も 第三章	standard#0:[12]	12	
C 自前DBに無い(真の取込もれ)	shakaikamanganihonnonbiriryokou	shakaikamanganihonnonbiriryokou	社会科まんが日本のんびり旅行	standard#0:[5]	5	
C 自前DBに無い(真の取込もれ)	shinuhodo-kisu-shite	shinuhodo-kisu-shite	死ぬほどKISSして	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	shion	shion	Shion	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	shounangurafutei	shounangurafutei	湘南グラフティ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	sleeping-beauty-clinic	sleeping-beauty-clinic	Sleeping beauty clinic	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	sora-made-itchau	sora-made-itchau	空までイっちゃう	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	sora-no-ue-no-aren	sora-no-ue-no-aren	空の上のアレン	standard#0:[3]	3	
C 自前DBに無い(真の取込もれ)	supeshiyaru-banguutara-mama	supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	supooshon-kid	supooshon-kid	スポーションKID	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	takamari-shisuu-esukareeshon	takamari-shisuu-esukareeshon	たかまり指数エスカレーション	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	tanimura-hitoshi-no-bakuretsu-tabiuchi-special	tanimura-hitoshi-no-bakuretsu-tabiuchi-special	谷村ひとしの爆裂旅打ちスペシャル	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	tatoeba-haha-ga	tatoeba-haha-ga	たとえば母が	standard#0:[5]	5	
C 自前DBに無い(真の取込もれ)	teiaazu-tou-tiara	teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	teitonomeidowakoisomuru	teitonomeidowakoisomuru	帝都の使用人は恋染むる	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	the-combat	the-combat	ザ・コンバット	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	the-mad-pachi-slot-brother-s	the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	tokusen-kobo-chan	tokusen-kobo-chan	特選コボちゃん	standard#0:[15]	15	
C 自前DBに無い(真の取込もれ)	touhai-minagoroshihen	touhai-minagoroshihen	凍牌 ミナゴロシ篇	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	tousei-gensou-hakubutsushi	tousei-gensou-hakubutsushi	当世幻想博物誌	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	tsuihousareta-cheat-fuyo-majutsushi-wa-kimama-na-sekando-life-o-ouka-suru	tsuihousareta-cheat-fuyo-majutsushi-wa-kimama-na-sekando-life-o-ouka-suru	追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。	standard#0:[21]	21	
C 自前DBに無い(真の取込もれ)	tv-animation-major-characters-handbook-heroes	tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	usagi-1994	usagi-1994	うさぎ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	wada-radio-no-jojo-ni-poiman	wada-radio-no-jojo-ni-poiman	和田ラヂヲの徐々にポイマン	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	wakaoku-sama-wa-udemakuri	wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	watashi-no-ojou-sama	watashi-no-ojou-sama	わたしのお嬢様	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	yamamoto-fuutarou-kun	yamamoto-fuutarou-kun	山本風太郎くん	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	yume-ha-taafu-o-kakemeguru	yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	yuri-shoujo	yuri-shoujo	百合少女	standard#0:[2]	2	
C 自前DBに無い(真の取込もれ)	yuru-days	yuru-days	ゆるデイズ	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	yuujin-brand	yuujin-brand	遊人ブランド	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	zakoken-maruchou	zakoken-maruchou	ざこ検〔○潮〕	standard#0:[4]	4	
C 自前DBに無い(真の取込もれ)	zeruda-no-densetsu-4-koma-manga-gekijou	zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	zettai-reido	zettai-reido	絶対麗奴	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	zoku-kanaike-no-hitobito	zoku-kanaike-no-hitobito	続 金井家の人々	(1巻が無い):[1]	1	
C 自前DBに無い(真の取込もれ)	zoku-kindan-no-koi-o-shiyou	zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	(1巻が無い):[1]	1	
