severity	kind	slug	title	ed_idx	ed_type	ed_imprint	ed_publisher	date	gran	n	ed_vols	frac	ed_batch	vols	cadence_mo	cad_src	span_months	serial_years	year_started	year_ended	event_slugs	isbn_block	nbr_n	nbr_same	nbr_inside	nbr_titles	nbr_titles_flat	nbr_span_mo	serial_width	isbn_proof_ok	local_rate	implied_months	rakuten	rk_distinct	rk_spread_mo	rk_offset_mo	rk_mono	rakuten_dates	legit_hint
HIGH	RAKUTEN_CONFLICT	shin-ranchesutaa-senryaku	新ランチェスター戦略	0	standard		ワコー	1988-07	month	4	10	0.4	1	2-10(飛)	1.8	observed	5.3	2	1987	1988	1	4/13	1	0	1	0	0	0	13	0			2種/4件/散25ヶ月 ★楽天はバラける=本番の同一日が偽	2	25	0	1	2:1986年06月 8:1988年07月 9:1988年07月 10:1988年07月	
HIGH	RAKUTEN_CONFLICT	nanairo-inko	七色いんこ	3	bunkobon	手塚治虫文庫全集	講談社	2011-08	month	3	3	1.0	3	1-3		assumed	5.0	14	1981	1994	1	3/3	112	3	0	20	9	20	3	0	6.17	0.3	2種/3件/散12ヶ月 ★楽天はバラける=本番の同一日が偽	2	12	0	1	1:2010年08月 2:2011年08月 3:2011年08月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 学習/全集/BOX語 / 再版種別
HIGH	RAKUTEN_CONFLICT	sunanobara	砂の薔薇	1	bunkobon	白泉社文庫	白泉社	2000-03	month	3	8	0.38	2	3-5	1.3	observed	2.6	10	1990	1999	1	3/3	110	0	0	23	8	126	3	0	0.28	7.2	2種/3件/散3ヶ月 ★楽天はバラける=本番の同一日が偽	2	3	0	1	3:2000年03月 4:2000年03月 5:2000年06月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別
MED	RAKUTEN_WIDE	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治平和マンガ作品集	0	standard	中沢啓治ヒューマンコミックス	ほるぷ出版	1995-01	month	20	20	1.0	20	1-20		assumed	47.5	1	1995	1995	1	20/20	0	0	0	0	0	0	20	0			1種/20件/散0ヶ月/本番との中央ズレ204ヶ月 ※楽天が重版・新装の日付を返している疑い(証拠として弱い)	1	0	204	1	1:2012年01月 2:2012年01月 3:2012年01月 4:2012年01月 5:2012年01月 6:2012年01月 7:2012年01月 8:2012年01月 9:2012年01月 10:2012年01月 11:2012年01月 12:2012年01月 13:2012年01月 14:2012年01月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	shounen-shoujo-nippon-no-rekishi	少年少女日本の歴史	0	standard	少年少女日本の歴史 1998年版	小学館	1998-02	month	19	22	0.86	2	1-21(飛)	11.8	observed	212.6	38	1981	2018	1	19/21	0	0	0	0	0	0	21	0				0	0	0	0		学習/全集/BOX語
MED	PARTIAL_BULK	ningenkyouki	人間兇器	0	standard	GORAKU COMICS	日本文芸社	1982-08-25	day	13	23	0.57	1	1-14(飛)	1.5	observed	18.5	4	1982	1985	1		0	0	0	0	0	0	0	0				0	0	0	0		
MED	PARTIAL_BULK	netsuai-prince-oniichan-wa-kimi-ga-suki	熱愛プリンス お兄ちゃんはキミが好き	0	standard	ネクストFコミックス	ネクストF	2020-06-26	day	12	24	0.5	1	1-12	3.1	observed	34.4	12	2015		1	12/12	38	0	0	12	2	21	12	0	3.05	3.6	1種/12件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2020年06月26日 2:2020年06月26日 3:2020年06月26日 4:2020年06月26日 5:2020年06月26日 6:2020年06月26日 7:2020年06月26日 8:2020年06月26日 9:2020年06月26日 10:2020年06月26日 11:2020年06月26日 12:2020年06月26日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	uryuudou-yumebanashi	雨柳堂夢咄	0	standard	眠れぬ夜の奇妙な話コミックス	朝日新聞社	2007-10	month	11	18	0.61	1	1-11	9.4	observed	94.1	20	2007		5	11/11	87	45	0	15	2	25	11	0	4.92	2.0	1種/11件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2007年10月 2:2007年10月 3:2007年10月 4:2007年10月 5:2007年10月 6:2007年10月 7:2007年10月 8:2007年10月 9:2007年10月 10:2007年10月 11:2007年10月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	sousei-no-taiga	創世のタイガ	0	standard	イブニングKC	白泉社	2024-03	month	11	14	0.79	1	1-11	2.0	observed	20.0	3	2024		1	11/21	57	0	9	12	1	112	21	0			1種/11件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	1:2024年02月29日 2:2024年02月29日 3:2024年02月29日 4:2024年02月29日 5:2024年02月29日 6:2024年02月29日 7:2024年02月29日 8:2024年02月29日 9:2024年02月29日 10:2024年02月29日 11:2024年02月29日	楽天も実質同日
MED	PARTIAL_BULK	netsuai-prince	熱愛プリンス	0	standard	Missy comics	宙出版	2023-09-08	day	8	21	0.38	1	13-20	5.8	observed	40.2	11	2014	2024	1	8/8	91	20	6	26	4	26	8	0	5.0	1.4	1種/8件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	13:2023年09月08日 14:2023年09月08日 15:2023年09月08日 16:2023年09月08日 17:2023年09月08日 18:2023年09月08日 19:2023年09月08日 20:2023年09月08日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1995-07	month	8	68	0.12	3	16-30(飛)	4.9	observed	34.1	28	1994	2021	1	8/15	9	0	0	2	1	74	15	0	1.26	11.1	1種/8件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	16:1995年07月 17:1995年07月 18:1995年07月 19:1995年07月 27:1995年07月 28:1995年07月 29:1995年07月 30:1995年07月	楽天も実質同日
MED	PARTIAL_BULK	taimashin	退魔針	0	standard	バーガーSC	ソニー・マガジンズ	1999-07-29	day	8	11	0.73	1	1-8	2.1	observed	14.7	3	1999	2001	1	8/8	72	10	0	20	9	22	8	0	6.05	1.2	1種/8件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:1999年07月29日頃 2:1999年07月29日頃 3:1999年07月29日頃 4:1999年07月29日頃 5:1999年07月29日頃 6:1999年07月29日頃 7:1999年07月29日頃 8:1999年07月29日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1995-09	month	7	68	0.1	3	20-26	4.9	observed	29.2	28	1994	2021	1	7/7	5	0	0	1	1	20	7	0			1種/7件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	20:1995年09月 21:1995年09月 22:1995年09月 23:1995年09月 24:1995年09月 25:1995年09月 26:1995年09月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	pachipro-hyena	パチプロハイエナ	0	standard	バーガーSC	日本文芸社	1999-09	month	7	10	0.7	1	1-7	2.7	observed	16.0	3	1999	2001	1	7/7	111	3	0	24	0	22	7	0	5.75	1.0	1種/7件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	1:1999年08月20日頃 2:1999年08月20日頃 3:1999年08月20日頃 4:1999年08月20日頃 5:1999年08月20日頃 6:1999年08月20日頃 7:1999年08月20日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	uryuudou-yumebanashi	雨柳堂夢咄	1	bunkobon	ソノラマコミック文庫	朝日新聞社	2007-10	month	6	13	0.46	1	1-6	15.3	observed	76.7	20	2007		3	6/6	46	24	0	10	3	34	6	0	3.41	1.5	1種/6件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2007年10月 2:2007年10月 3:2007年10月 4:2007年10月 5:2007年10月 6:2007年10月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
MED	PARTIAL_BULK	joshi-joshikousei-girls-hai	女子高生Girls-High	1	standard	アクションコミックス	双葉社	2006-02	month	6	13	0.46	1	1-6	10.6	observed	52.9	13	2004	2016	1	6/11	24	1	2	6	0	12	11	0	10.58	0.9	1種/6件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	1:2006年01月 2:2006年01月 3:2006年01月 4:2006年01月 5:2006年01月 6:2006年01月	楽天も実質同日
MED	PARTIAL_BULK	richou-suikoden	李朝水滸伝	0	standard		JICC出版局	1989-11	month	6	9	0.67	1	1-8(飛)	6.5	observed	32.5	2	1985	1986	2	6/8	1	0	0	0	0	0	8	0			1種/6件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:1989年11月 2:1989年11月 4:1989年11月 5:1989年11月 7:1989年11月 8:1989年11月	楽天も実質同日
MED	PARTIAL_BULK	eikyuu-shimei-onegai-shimasu	永久指名おねがいします!	0	standard	スフレコミックス	Jパブリッシング	2020-04-30	day	6	16	0.38	1	1-6	6.2	observed	31.0	9	2017	2025	1	6/6	12	1	0	2	1	16	6	0	7.69	0.7	1種/6件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2020年04月30日 2:2020年04月30日 3:2020年04月30日 4:2020年04月30日 5:2020年04月30日 6:2020年04月30日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	RAKUTEN_WIDE	hadashi-no-gen	はだしのゲン	0	standard		汐文社	1986-08	month	6	10	0.6	1	2-7	5.4	observed	27.2	5	1983	1987	1		0	0	0	0	0	0	0	0			2種/4件/散66ヶ月/本番との中央ズレ402ヶ月 ※楽天が重版・新装の日付を返している疑い(証拠として弱い)	2	66	402	1	2:2014年08月05日頃 3:2014年08月05日頃 4:2020年02月07日頃 5:2020年02月07日頃	
MED	PARTIAL_BULK	kimi-ni-aisarete-itakatta	君に愛されて痛かった	0	standard	Bunch comics	秋田書店	2023-03	month	6	9	0.67	1	1-6	3.5	observed	17.5	3	2023	2025	1	6/6	55	3	0	12	1	34	6	0	1.09	4.6	1種/6件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	1:2023年02月20日 2:2023年02月20日 3:2023年02月20日 4:2023年02月20日 5:2023年02月20日 6:2023年02月20日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	bonobono	ぼのぼの	1	bunkobon	竹書房文庫	竹書房	2002-07	month	5	15	0.33	1	1-5	11.7	observed	46.9	40	1987		1	5/5	1	0	0	0	0	0	5	0			2種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	2	0	-1	1	1:2002年06月08日頃 2:2002年06月 3:2002年06月08日頃 4:2002年06月08日頃 5:2002年06月08日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
MED	PARTIAL_BULK	bonobono	ぼのぼの	1	bunkobon	竹書房文庫	竹書房	2003-01	month	5	15	0.33	1	6-10	11.7	observed	46.9	40	1987		1	5/5	3	0	0	0	0	0	5	0			1種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	6:2003年01月 7:2003年01月 8:2003年01月 9:2003年01月 10:2003年01月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
