isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784803020281	2024.11	アース・スターエンターテイメント	EARTH STAR COMICS	1	稲穂くんは偽カノジョのはずなのに = Inaho-kun is supposed to be a Fake Sweetheart. 1	イナホクンワニセカノジョノハズナノニ	とこのま, 1992-	とこのま:著
9784785977986	2024.11	少年画報社	YKコミックス	3	犬神は祈らない. 3	イヌガミワイノラナイ	白石, 純	白石純:著
9784065375754	2024.11	講談社	ワイドKC. Palcy	8	犬と猫どっちも飼ってると毎日たのしい. 8	イヌトネコドッチモカッテルトマイニチタノシイ	松本, ひで吉	松本ひで吉:著
9784801984851	2024.11	竹書房	Bamboo comics. Qpa colle	2	イノセントにくちづけ . 2	イノセントニクチズケ	さきした, せんむ	さきしたせんむ:著
9784046838155	2024.11	KADOKAWA	ヒューコミックス	2	イマドキのサバサバ冒険者. 2	イマドキノサバサバボウケンシャ	清水, 俊, pub. 2021/埴輪庭	清水俊:作画/埴輪庭:原作
9784864425148	2024.11	東京漫画社	MARBLE COMICS		イメ★プレ : 悩める官能小説家と濡れ場実演	イメプレ:ナヤメルカンノウショウセツカトヌレバジツエン	nぽぽ	nぽぽ:著
9784049161229	2024.11	KADOKAWA	電撃コミックスNEXT ; N362-07	3	妹はカノジョにできないのに. 3	イモウトワカノジョニデキナイノニ	鏡, 遊/ちくわ	鏡遊:原作/ちくわ。:作画/三九呂:キャラクターデザイン
9784065374023	2024.11	講談社	シリウスKC	13	人外姫様、始めました : Free Life Fantasy Online. 13	イモータルプリンセスハジメマシタ:フリーライフファンタジーオンライン	園原, アオ/子日, あきすず/割田, コマ	園原アオ:漫画/子日あきすず:原作/割田コマ:構成/Sherry:キャラクター原案
9784824010087	2024.11	オーバーラップ	ガルドコミックス	6	芋くさ令嬢ですが悪役令息を助けたら気に入られました. 6	イモクサレイジョウデスガアクヤクレイソクオタスケタラキニイラレマシタ	桜, あげは/七浦, なりな	桜あげは:原作/七浦なりな:漫画/くろでこ:キャラクター原案
9784832204607	2024.11	芳文社	芳文社コミックス	1	いやし、いやらし. 1	イヤシ、イヤラシ	とやま, 十成	とやま十成:
9784088934396	2024.11	集英社	ヤングジャンプコミックス	9	イリオス = IΛIOΣ. 9	イリオス	円城寺, 真己	円城寺真己:著
9784065374375	2024.11	講談社	講談社コミックス. 週刊少年マガジン	14	イレギュラーズ = IRREGULARS. 14	イレギュラーズ	松本, 直記, pub. 2021	松本直記:著
9784434344206	2024.11	彗星社	Glanz BLcomics		色恋マネジメントで手懐けるはずでした。	イロコイマネジメントデテナズケルハズデシタ	式守	式守:著
9784047381216	2024.11	KADOKAWA	HARTA COMIX	3	インク色の欲を吐く. 3	インクイロノヨクオハク	梅ノ木, びの	梅ノ木びの:著
9784847068911	2024.11	ワニブックス	ガムコミックスプラス	18巻	インゴシマ. 18巻	インゴシマ	田中, 克樹	田中克樹:著/天下雌子:原案
9784434348440	2024.11	アルファポリス	アルファポリスCOMICS	2	引退賢者はのんびり開拓生活をおくりたい. 2	インタイケンジャワノンビリカイタクセイカツオオクリタイ	鈴木, 竜一/箸糸, シュウスケ	鈴木竜一:原作/箸糸シュウスケ:漫画/imoniii:キャラクター原案
9784799219706	2024.11	キルタイムコミュニケーション	二次元ドリームコミックス ; 749		淫蕩神楽 : 穢れなき乙女が快楽に沈むまで	イントウカグラ:ケガレナキオトメガカイラクニシズムマデ	BRLL 著	BRLL:著
9784088552361	2024.11	集英社	集英社ガールズコミックス. 君恋	上	インビジブル・ワールド. 上	インビジブルワールド	茶渋, たむ	茶渋たむ:著
9784088552378	2024.11	集英社	集英社ガールズコミックス. 君恋	下	インビジブル・ワールド. 下	インビジブルワールド	茶渋, たむ	茶渋たむ:著
9784098536993	2024.11	小学館	裏少年サンデーコミックス	2	インフォーマ-INFORMA-. 2	インフォーマ	沖田, 臥竜, 1976-/鯛噛/山本, 晃司, 漫画家	沖田臥竜:原作/鯛噛:作画/山本晃司:構成
9784048114134	2024.11	KADOKAWA	Pomme Comics	1	淫紋OLになった私が、欲望を暴かれてみだらにトロトロ執愛されちゃうアンソロジー. 1	インモンオーエルニナッタワタシガヨクボウオアバカレテミダラニトロトロシュウアイサ		
9784088677781	2024.11	集英社	りぼんマスコットコミックス	16	初×婚. 16	ウイコン	黒崎, みのり	黒崎みのり:著
9784088842516	2024.11	集英社	ジャンプコミックス	19	ウィッチウォッチ = WITCHWATCH. 19	ウィッチウォッチ	篠原, 健太, 1974-	篠原健太:著
9784065374702	2024.11	講談社	アフタヌーンKC	3	ウィッチクラフトワークスEXTRA = Witch Craft Works EXTRA. 3	ウィッチクラフトワークスエクストラ	水薙, 竜	水薙竜:著
9784575946284	2024.11	双葉社	ACTION COMICS		ウエイトレス = Waitress	ウエイトレス	胡桃, ちの	胡桃ちの:著
9784098536948	2024.11	小学館	裏少年サンデーコミックス	8	ウェルベルム = verbellum : 言葉の戦争. 8	ウェルベルム	花林, ソラ/伏見, 航介	花林ソラ:原作/伏見航介:作画
9784785977993	2024.11	少年画報社	YKコミックス	1	嘘から出た真琴 = The Truth that came out of a Lie. 1	ウソカラデタマコト	ヤマモト, マナブ	ヤマモトマナブ:著
9784065375914	2024.11	講談社	講談社コミックス別冊フレンド	15	ウソ婚. 15	ウソコン	時名, きうい	時名きうい:著
9784344855106	2024.11	幻冬舎コミックス	Birz comics = バーズコミックス. 		ウソツキと初恋	ウソツキトハツコイ	牛込, トラジ	牛込トラジ:
9784758027618	2024.11	一迅社	IDコミックス. Yurihime comics	2	嘘つき花嫁と同性結婚論. 2	ウソツキハナヨメトドウセイケッコンロン	コダマ, ナオコ	コダマナオコ:著
9784098630752	2024.11	小学館	ビッグコミックス	5	うっちゃれ五所瓦粘り腰編. 5	ウッチャレゴショガワラネバリゴシヘン	なかいま, 強, 1960-	なかいま強:著
9784098536825	2024.11	小学館	少年サンデーコミックス	2	写らナイんです = The ghost doesn&#39;t show up. 2	ウツラナインデス	コノシマ, ルカ	コノシマルカ:著
9784396750596	2024.11	祥伝社	FC swing	3	うどんの女. 3	ウドンノヒト	えすと, えむ	えすとえむ:
9784065377994	2024.11	講談社	講談社コミックスデラックス. 月刊少年マガジン	2	奪う者奪われる者 = Bereave or Bereaved. 2	ウバウモノウバワレルモノ	mino, pub. 2015/オキウミ, レイ	mino:原作/オキウミレイ 漫画・キャラクター原案:
9784046842176	2024.11	KADOKAWA	フロースコミック	2	奪われ聖女と呪われ騎士団の聖域引き篭もりスローライフ. 2	ウバワレセイジョトノロワレキシダンノセイイキヒキコモリスローライフ	猫宮, なお/花果, 唯	猫宮なお:著/花果唯:原作/林マキ:キャラクター原案
9784821159239	2024.11	ぶんか社	Bunkasha comics	14	美味い話にゃ肴あり. 14	ウマイハナシニャサカナアリ	ラズウェル細木, 1956-	ラズウェル細木:著
9784065376836	2024.11	星海社	星海社COMICS	10	ウマ娘プリティーダービーアンソロジーコミックSTAR. 10	ウマムスメプリティーダービーアンソロジーコミックスター	Cygames	Cygames:原作
9784088841953	2024.11	集英社	ジャンプコミックス	2	生まれ変わってもよろしく = See You in My 19th Life. 2	ウマレカワッテモヨロシク	LEEHYE	LEEHYE:著
9784799769560	2024.11	リブレ	ビーボーイコミックスデラックス		裏アカが新入社員にバレました	ウラアカガシンニュウシャインニバレマシタ	魚, ともみ	魚ともみ:
9784098536979	2024.11	小学館	裏少年サンデーコミックス	14	裏バイト:逃亡禁止. 14	ウラバイトトウボウキンシ	田口, 翔太郎	田口翔太郎:著
9784596714220	2024.11	ハーパーコリンズ・ジャパン	ハーレクインコミックス・パール ; シ9-03		売られた花嫁	ウラレタハナヨメ	白井, 幸子, 1971-/Devine, Carol	白井幸子:著/キャロル・ディヴァイン:原作
9784575420111	2024.11	双葉社	モンスターコミックスf	9	売られた辺境伯令嬢は隣国の王太子に溺愛される. 9	ウラレタヘンキョウハクレイジョウワリンゴクノオウタイシニデキアイサレル	小椋, あん/コミックルーム	小椋あん, COMIC ROOM:漫画
9784098631162	2024.11	小学館	ビッグコミックス	1	ウルトラマン:アロング・ケイム・ア・スパイダーマン = ULTRAMAN:Along Came a SPIDER-MAN. 1	ウルトラマンアロングケイムアスパイダーマン	松本, しげのぶ, 1973-/緋呂河, とも	松本しげのぶ, 緋呂河とも:著/円谷プロ:原案
9784815502713	2024.11	メディアソフト	Charles Comics ; No.268		運命の人を探してます	ウンメイノヒトオサガシテマス	紫妲, たかゆき	紫妲たかゆき:著
9784065375686	2024.11	講談社	プレミアムKC	6	運命の人に出会う話. 6	ウンメイノヒトニデアウハナシ	あなしん	あなしん:
9784046069238	2024.11	KADOKAWA	KITORA		エースくんとヨバンさん : 犬とアヒルの友情物語	エースクントヨバンサン:イヌトアヒルノユウジョウモノガタリ	石川, 真衣, 1988- 版画家	石川真衣:著
9784065376157	2024.11	講談社	KCDX	11	笑顔のたえない職場です。. 11	エガオノタエナイショクバデス	くずしろ	くずしろ:著
9784088843230	2024.11	集英社	ジャンプコミックス	1	悪祓士のキヨシくん. 1	エクソシストノキヨシクン	臼井, 彰一	臼井彰一:著
9784824203243	2024.11	一二三書房	NOVA COMICS	1	SSS級スキル配布神官の辺境セカンドライフ : 左遷先の村人たちに愛されながら最高の村をつくります! 1	エスエスエスキュウスキルハイフシンカンノヘンキョウセカンドライフ:サセンサキノム	天池, のぞむ/須藤, 由華	天池のぞむ:原作/須藤由華:漫画/ゆーにっと:キャラクター原案
