title	vol	version	special_isbn	normal_isbn	status
好きにさせてみせるから!	3	ドラマCD付き特装版	9784046830494		series=好きにさせてみせるから！ 3rd/none
多聞くん今どっち!?	5	神ファンサ小冊子付き特装版	9784592228875		series=多聞くん今どっち！？ 神ファンサ/none
多聞くん今どっち!?	8	まるごとF/ACE小冊子付き特装版	9784592230229		series=多聞くん今どっち！？ まるごとF/none
黄昏アウトフォーカスlong take	1	小冊子付き特別仕立て	9784065326183		series=黄昏アウトフォーカス　long　/none
黄昏アウトフォーカスlong take	2	小冊子付き特別仕立て	9784065346754		series=黄昏アウトフォーカス　long　/none
天使1/2方程式	12	おまけまんが小冊子付き特装版	9784592230281		series=天使1/2方程式 おまけまんが小/none
The idolm@ster million live! theater days brand new song	6	CD付き特装版	9784758018173		series=THE IDOLM@STER M/none
テルマエ・ロマエ	4	特装版	9784047274969		series=テルマエ・ロマエ/none
テルマエ・ロマエ	5	特装版	9784047282155		series=テルマエ・ロマエ　V/none
運命は僕の隣	1	初回限定版	9784862525611		no-title
うた恋い。	1	フルカラー特装版	9784040673240		no-title
わんことにゃんこ	2	初回限定版	9784862525291		no-title
よばうよもすがら	2	小冊子付き特装版	9784861239946		no-title
指先から本気の熱情	5	小冊子付き特装版	9784434287015		no-title
優等生の制服のなか	2	限定版	9784758026253		no-title
誘惑レシピ	5	初回限定版	9784864361101		no-title
