slug	title	edition	cnt	nums
kootaroo-makaritooru	コータローまかりとおる!	文庫版	15	[2, 3, 4, 5, 6, 7, 8, 9]
korason-sakkaa-damashii	コラソン サッカー魂	通常版	8	[2, 3, 4, 5, 6, 7, 8, 9]
kougei-shokunin-wa-sekando-life-o-ouka-suru	工芸職人はセカンドライフを謳歌する	通常版	2	[2, 3]
koyoi-omae-to	今宵おまえと	通常版	2	[2, 3]
kunigei	クニゲイ	通常版	3	[2, 3, 4]
kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	通常版	3	[4, 5, 6]
kuudere-zuma	クーデレづま	通常版	2	[2, 3]
kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	通常版	2	[8, 9]
kuwata-kigurumi-gekijou-damekko-doubutsu	桑田着ぐるみ劇場だめっこどうぶつ	通常版	3	[9, 10, 11]
kyou-kara-ore-wa	今日から俺は!!	ワイド版	12	[2, 4, 5, 11, 12, 13, 14, 15]
kyouryuu-hajimemashita	恐竜はじめました	通常版	3	[2, 3, 4]
kyoushi-no-orera-wa-shitemo-ii-desho	教師の俺らはシてもいいでしょ?	通常版	2	[2, 3]
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	通常版	2	[2, 3]
kyuupii-agatsuma-ryou-desperado	QP我妻涼デスペラード	通常版	12	[7, 8, 9, 10, 11, 12, 13, 14]
last-man	ラストマン	通常版	3	[4, 5, 6]
let-s-go-nirvana	Let's go nirvana	通常版	2	[2, 3]
linkman	リンクマン	通常版	3	[2, 3, 4]
love-drug	ラブドラッグ	通常版	2	[4, 9]
lupin-iii	ルパン三世	愛蔵版	2	[2, 3]
mabo-chan-dei-bai-dei	マボちゃんDAY BY DAY	通常版	4	[5, 6, 7, 8]
madame-tachi-no-room-share	マダムたちのルームシェア	通常版	3	[2, 3, 5]
mae-kousetsu-hyakumonogatari	前巷説百物語	通常版	2	[2, 3]
magia-record-mahou-shoujo-madoka-magica-gaiden	マギアレコード魔法少女まどか☆マギカ外伝	通常版	6	[4, 5, 6, 7, 8, 9]
