slug	title	edition	numbers
haisupe-sugiru-jiki-shachou-ga-naze-watashi-hon-no-mushi-ni-go-shuushin	ハイスペすぎる次期社長がなぜか私 (本の虫) にご執心!?	通常版	2,3
hakui-no-kanojo	白衣のカノジョ	通常版	2,3,4,5,6
hamerareta-miboujin-wa-piiteiiee-o-yurusanai	ハメられた未亡人はPTAを許さない	通常版	2,3
hana-inka-choukyoushi	花～淫華調教師～	通常版	2,3
hanashippanashi	はなしっぱなし	デラックス版	2,3
harem-camp	ハーレムきゃんぷっ!	通常版	2,3,4,5,6,7,8
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES	通常版	2,3
hate-my-mia	Hate my Mia!	通常版	2,3,4
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	通常版	2,3
hayou-no-ken	破妖の剣	デラックス版	2,3
hazure-de-hajimaru-dekiai-jinsei	ハズレではじまる溺愛人生	通常版	2,3,4
hen-na-e	変な絵	通常版	2,3,4
hereteku-no-ana	ヘレテクの穴	通常版	2,3
hi-no-tsugai	緋のつがい	通常版	2,3,4
higa-shimai	比嘉姉妹	通常版	2,3
high	High	通常版	2,3
higumagma	ヒグマグマ	通常版	2,3,4
higurashi-no-naku-koi-ni-all-you-need-is-love	ひぐらしのなく恋に All you need is love	通常版	2,3
himokuzu-hana-kun-wa-shinitagari	ヒモクズ花くんは死にたがり	通常版	2,3,4
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	通常版	2,3,4
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	通常版	2,3
hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	通常版	2,3
homura-sensei-wa-tabun-motenai	ほむら先生はたぶんモテない	通常版	2,3,4,5
honjitsu-no-urabe-san-to	本日の卜部さんと	通常版	2,3
horizon	HORIZON	通常版	2,3,4,5,6,7
hoshizora-o-mitsumeta-sono-ato-de	星空を見つめたそのあとで	通常版	2,3
houkago-hokenshitsu	放課後保健室	文庫版	2,3,4,5
husk-of-eden	ハスク・エディン	通常版	2,3,4
hyoujin	鏢人	通常版	2,3
hyoukaku-no-meteoria	氷核のメテオリア	通常版	2,3
ijime-0-no-gakkou	イジメ0の学校	通常版	2,3
ikaseru-camera-de-totte-mita	イカセルカメラで撮ってみた	通常版	2,3,4,5
ikukyuu-maou-to-nise-yuusha	育休魔王とニセ勇者	通常版	2,3
imanin	イマニン	通常版	2,3
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	通常版	2,3
incubus-datte-junai-shitai	インキュバスだって純愛したい	通常版	2,3
inugami-san-to-nekoyama-san	犬神さんと猫山さん	通常版	2,3,4,5,6
inukubo-noa-to-nakayoshi-suru-made	犬窪ノアとなかよしするまで	通常版	2,3
isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	通常版	2,3,4
isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	異世界でチート能力を手にした俺は、現実世界をも無双するガールズサイド	通常版	2,3
isekai-izakaya-gen	異世界居酒屋「げん」	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14
isekai-magic-mirror-gou	異世界マジックミラー号	通常版	2,3
isekai-maid-ga-yattekita	異世界メイドがやってきた	通常版	2,3
isekai-no-sumikko-de-kaiteki-monozukuri-seikatsu	異世界のすみっこで快適ものづくり生活	通常版	2,3,4
isekai-oooku	異世界大奥	通常版	2,3,4,5
isekai-shounin	異世界商人	通常版	2,3,4
itoko-no-onee-chan-ni-amaechau	いとこのお姉ちゃんに甘えちゃう?	通常版	2,3,4
itoshii-kimi-to-seiryaku-kekkon	愛しいきみと、政略結婚	通常版	2,3
iyashi-iyarashi	いやし、いやらし	通常版	2,3
janai-hou-dakedo-aisarekon	じゃない方、だけど愛され婚	通常版	2,3
jigoku-no-sata-mo-ougon-shidai	地獄の沙汰も黄金次第	通常版	2,3
jingai-coupling-catalog	人外CP(カップリング)かたろぐ。	通常版	2,3
joker-1998-3	Joker	通常版	2,3
kaadodasu-shounendan	カードダス少年団	通常版	2,3
kaeri-no-kai-o-hajimemasu	帰りの会をはじめます。	通常版	2,3
kage-no-jitsuryokusha-ni-naritakute-master-of-garden-nanakage-rendetsu	陰の実力者になりたくて!マスターオブガーデン～七陰列伝～	通常版	2,3
kaihen-no-mahoutsukai	界変の魔法使い	通常版	2,3
kaijuu-hachigou-relax	怪獣8号RELAX	通常版	2,3,4
kaikan-shokunin-g	快感職人G	通常版	2,3,4
kaisei-no-ketsumeisha	廻生の血盟者	通常版	2,3,4,5,6
kajou-mousou-shounen	過剰妄想少年	通常版	2,3,4
kakao-79-paasento	カカオ79%	通常版	2,3,4
kami-sama-to-gisou-couple-hajimemashita	神さまと偽装カップルはじめました	通常版	2,3,4,5,6,7
kanaria-wa-kiraboshi-no-yume-o-miru	カナリアは綺羅星の夢をみる	通常版	2,3
kandou-kizoku-na-ore-no-kuzu-gift-ga-tsuyosugiru	勘当貴族なオレのクズギフトが強すぎる!	通常版	2,3
kandouou-rendetsu	感動王列伝	通常版	2,3
kanojo-ga-kuzu-o-aisuru-wake-wa	彼女がクズを愛するワケは。	通常版	2,3
kanojo-no-ude-wa-tsukamenai	彼女の腕は掴めない	通常版	2,3
kanokon	かのこん	通常版	2,3,4,5,6,7,8,9
kasei-yakiyoku	華星夜曲	通常版	2,3,4,5,6,7,8,9
kasuribana	掏摸花	通常版	2,3,4
katakoi-kekkon	片恋結婚	通常版	2,3,4,5,6
katakoi-namida	片恋ナミダ	通常版	2,3
kawaii-kimi	かわいいきみ	通常版	2,3,4
kekkon-shita-node-sekkusu-yuukyuu-kudasai	結婚したので、セックス有休ください!	通常版	2,3,4
kekkon-zenjitsu-ni-suki-to-itta-kaisuu-ga-mieru-you-ni-natta-no-de-outaishihi-ni-wa-narimasen	結婚前日に「好き」と言った回数が見えるようになったので、王太子妃にはなりません!	通常版	2,3
kemo-fujin	ケモ夫人	通常版	2,3,4
kemonomichi-kagemaru-1980	けものみち	通常版	2,3,4,5,6,7,8,9,10
ketsu-battler	ケツバトラー	通常版	2,3
khan-kusa-to-tetsu-to-hitsuji	ハーン-草と鉄と羊-	通常版	2,3,4,5,6,7,8,9,10,11,12
kichijouji-shounen-kageki	吉祥寺少年歌劇	通常版	2,3
kick-ass	キック・アス	通常版	2,3
kiken-na-chouai	危険な寵愛	通常版	2,3
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	通常版	2,3,4
kimi-to-natsu-no-naka	君と夏のなか	通常版	2,3
kingdom-hearts-3	キングダムハーツⅢ	通常版	2,3,4
kinoshita-mahou-koumuten	きのした魔法工務店	通常版	2,3
kinyoku-impossible-jogakuen	禁欲いんぽっしぶる女学園	通常版	2,3,4
kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	通常版	2,3
kiruniru	キルニル	通常版	2,3
kishibe-no-uta	岸辺の唄	文庫版	2,3
kishin-kakka-no-migawari-hanayome	鬼神閣下の身代わり花嫁	通常版	2,3,4,5
kissa-new-maoujou	喫茶ニュー魔王城	通常版	2,3
kisu-kara-hajimaru-isekai-harem	キスからはじまる異世界ハーレム	通常版	2,3
kizoku-ka-sannan-no-nariagari-life	貴族家三男の成り上がりライフ	通常版	2,3
koala-enikki	コアラ絵日記	通常版	2,3,4,5
koharu-to-minato	小春と湊	通常版	2,3
koinu-no-koinu	小犬のこいぬ	通常版	2,3
kokkyou-no-yuusha-echo	国境の勇者エコー	通常版	2,3
kokuhou	国宝	通常版	2,3,4
konbini-maria	コンビにまりあ	通常版	2,3
konkafe-jou-wa-koi-o-kiru	コンカフェ嬢は恋を着る	通常版	2,3
konya-mo-serial-killer-to-machiawase	今夜もシリアルキラーと待ち合わせ	通常版	2,3,4
koori-no-koushaku-sama-to-karisome-no-hanayome	氷の侯爵様とかりそめの花嫁	通常版	2,3
kootaroo-makaritooru	コータローまかりとおる!	文庫版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
kougei-shokunin-wa-sekando-life-o-ouka-suru	工芸職人はセカンドライフを謳歌する	通常版	2,3
koushaku-reijou-wa-waga-michi-o-baatari-teki-ni-yuku	公爵令嬢は我が道を場当たり的に行く	通常版	2,3,4
koushakuke-no-aisare-nise-youjo	公爵家の愛されニセ幼女	通常版	2,3,4
koyoi-omae-to	今宵おまえと	通常版	2,3
kuchibeta-shokudou	くちべた食堂	通常版	2,3,4,5,6
kumonoito-mushi-no-ongaeshi	クモノイト～蟲の怨返し～	通常版	2,3
kunigei	クニゲイ	通常版	2,3,4
kuse-zuyo-kanojo-wa-yuka-ni-izanau	クセ強彼女は床にいざなう	通常版	2,3
kuudere-zuma	クーデレづま	通常版	2,3
kyoudai-seido-no-aru-yankee-gakuen-de-kyou-mo-chigiri-o-semararetemasu	兄弟制度のあるヤンキー学園で、今日も契りを迫られてます	通常版	2,3,4,5
kyouryuu-hajimemashita	恐竜はじめました	通常版	2,3,4
kyoushi-no-orera-wa-shitemo-ii-desho	教師の俺らはシてもいいでしょ?	通常版	2,3
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	通常版	2,3
late-no-yuruui-tensei-seikatsu	レイトのゆるーい転生生活	通常版	2,3
let-s-go-nirvana	Let's go nirvana	通常版	2,3
liar	liar	通常版	2,3,4,5,6,7,8,9
linkman	リンクマン	通常版	2,3,4
list-rouge	リストルージュ	通常版	2,3,4
little-butterfly	リトル・バタフライ	通常版	2,3
lupin-iii	ルパン三世	愛蔵版	2,3
macross-7-trash	マクロス7トラッシュ	通常版	2,3,4,5,6
mad-cinderella	マッドシンデレラ	通常版	2,3,4,5
madowasenai-de-yamori-kun	まどわせないで矢守くん	通常版	2,3,4
mae-kousetsu-hyakumonogatari	前巷説百物語	通常版	2,3
majo-to-ouji-no-keiyaku-jouji	魔女と王子の契約情事	通常版	2,3
make-heroine-ni-tensei-shitara-seijo-ni-narimashita	負けヒロインに転生したら聖女になりました	通常版	2,3
makoto-no-koi-o-suru-mono-wa	まことの恋をするものは	通常版	2,3
mamahaha-no-kokoroe	継母の心得	通常版	2,3
manga-de-zesshou-shinfogia	まんがDE絶唱しんふぉぎあ	通常版	2,3,4
maougun-wa-white-kigyou	魔王軍はホワイト企業	通常版	2,3
maoujou-no-nisemono-hime	魔王城のニセモノ姫	通常版	2,3,4
marino-syndrome	まりのシンドローム	デラックス版	2,3,4,5,6,7,8,9
matamoya-daikichi	またもや大吉	通常版	2,3
matatabisou-wa-nekoyashiki	またたび荘は猫屋敷	通常版	2,3
matsuoka-kunio-youkai-taiji	松岡國男妖怪退治	通常版	2,3,4
medarot-2	メダロット2	通常版	2,3,4
megami-no-ko	女神の子	通常版	2,3
miboujin-wa-ogenkijirushi	未亡人はお元気印	通常版	2,3,4
migawari-romantica	身代わりロマンチカ	通常版	2,3
mikoto-chan-wa-kirawaretakunai	みことちゃんは嫌われたくない!	通常版	2,3,4,5
minami-kun-wa-sono-koe-ni-jirasaretai	南くんはその声に焦らされたい	通常版	2,3
minikui-orc-no-gyakushuu	醜いオークの逆襲	通常版	2,3,4
mitarai	ミタライ	通常版	2,3
mizu-no-soko-nimo-haru-wa-kuru	水の底にも春はくる。	通常版	2,3
mizushina-takayuki-no-mizu-cinema	みずしな孝之のミズシネマ	通常版	2,3
mobile-suit-gundam-f90-cluster	機動戦士ガンダムF90クラスター	通常版	2,3,4
mofumofu-to-isekai-bouken-meshi	もふもふと異世界冒険メシ	通常版	2,3,4
mondeki	モンでき。	通常版	2,3,4,5,6,7
mononoke-onpareedo	物の怪オンパレード	通常版	2,3
monty-paradise	モンティパラダイス	通常版	2,3
morohoshi-daijirou-tanpen-shuusei	諸星大二郎短編集成	通常版	2,3
moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	通常版	2,3,4,5
moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	通常版	2,3
motokare-shidou-kun-ni-kokuritai	モトカレ紫藤くんに告りたい!	通常版	2,3
mouse-cursor-de-genjitsu-o-sousa-dekiru-you-ni-natta-node-onnanoko-o-ippai-click-shimaasu	マウスカーソルで現実を操作できるようになったので、女の子をいっぱいクリックしまーす	通常版	2,3
muhai-no-futari	無敗のふたり	デラックス版	2,3,4
munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	通常版	2,3
muryoku-seijo-to-munou-joou	無力聖女と無能王女	通常版	2,3
mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-	通常版	2,3
mushoku-tensei-4-koma-ni-nattemo-honki-dasu	無職転生～4コマになっても本気だす～	通常版	2,3
muzokusei-mahou-tte-jimi-desu-ka	無属性魔法って地味ですか?	通常版	2,3
myujikofiria	ミュジコフィリア	通常版	2,3,4,5
nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	文庫版	2,3,4,5
nakeru-golgo-13	泣ける!ゴルゴ13	通常版	2,3,4,5,6,7,8,9,10
nando-dakaretatte-suki-ni-nanka-naranaiyo	何度抱かれたって、好きになんかならないよ。	通常版	2,3,4,5
nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	通常版	2,3,4,5
nanji-hoshi-no-gotoku	汝、星のごとく	通常版	2,3
naruse-wa-tenka-o-tori-ni-iku	成瀬は天下を取りにいく	通常版	2,3
nasakenaize-mouri	なさけないぜ毛利	通常版	2,3,4
natsume-meguru-no-sei-de-nemurenai	夏目巡のせいで眠れない	通常版	2,3
nba	んば!	通常版	2,3
neko-no-massaajiya-san	ねこのマッサージ屋さん	通常版	2,3
neko-o-hirotta-hanashi	猫を拾った話。	デラックス版	2,3,4
nekomata-to-asagohan	ねこまたとあさごはん	通常版	2,3,4
neratte-tsuihousareta-sareta-sousei-mahoutsukai-wa-isekai-o-ouka-suru	狙って追放された創聖魔法使いは異世界を謳歌する	通常版	2,3
nest	nest	通常版	2,3,4
netoge-no-seibetsu-wa-sensaku-ng-desu	ネトゲの性別は詮索NGです!	通常版	2,3
neverland-no-shirakawa-san	ネバーランドの白川さん	通常版	2,3
nikumare-akuyaku-reijou-no-yarinaoshi	憎まれ悪役令嬢のやり直し	通常版	2,3,4
nina-to-usagi-to-mahou-no-sensha	ニーナとうさぎと魔法の戦車	通常版	2,3
nochi-no-kousetsu-hyakumonogatari	後巷説百物語	通常版	2,3
nodarutanyan	風のダルタニヤン	通常版	2,3,4
nonke-joushi-30-nichi-no-kaihatsu-mesoddo	ノンケ上司、30日の開発メソッド	通常版	2,3,4,5
nuclear	Nuclear	通常版	2,3,4,5
nui-dara-zetsurin	脱いだら絶倫!?	通常版	2,3,4,5,6,7,8,9,10,11,12,13
nureginu-de-tsuihousareta-sareta-saikyou-kaijushi-maboroshi-no-kodai-oukoku-o-saikou-sasete-musou	濡れ衣で追放された最強解呪士、幻の古代王国を再興させて無双する	通常版	2,3
odekake-kozame	おでかけ子ザメ	通常版	2,3,4,5,6,7
ohanashi-chouhyakka-pocket-monster	おはなし超ひゃっかポケットモンスター	通常版	2,3,4,5,6,7,8
ohayou-oyasumi-mata-ashita	おはよう、おやすみ、また明日。	通常版	2,3
oinochi-choudai	おいのち頂戴!	通常版	2,3
oji-sama-shinshi-wa-kedamono-joushi	オジサマ紳士はケダモノ上司	通常版	2,3,4,5,6,7,8
oji-tensei	おじ転生	通常版	2,3,4
oko-sama-star	おこさまスター	通常版	2,3,4
oku-no-iromichi	奥の色道	通常版	2,3,4,5,6,7
okuda-no-hosomichi	奥田の細道	通常版	2,3
omae-ni-dakareru-nante-kiitenai	お前に抱かれるなんて聞いてない!	通常版	2,3,4,5,6
omakase-spirits	おまかせ精霊	通常版	2,3,4
omori	OMORI	通常版	2,3
omukae-tsukimi-doll	おむかえ月見ドール	通常版	2,3
on-o-ada-de-kaesareta-reijou-no-kazoku-ga-damatte-iru-wake-ga-nai	恩を仇で返された令嬢の家族が黙っている訳がない	通常版	2,3,4
onikogi	オニコギ	通常版	2,3
ookami-ouji-to-usotsuki-na-kekkon	狼皇子と嘘つきな結婚	通常版	2,3,4
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	通常版	2,3,4
oppai-no-tatsujin	おっぱいの達人	通常版	2,3
optional-tour	オプショナル・ツアー	通常版	2,3
ore-ga-sukitte-ittara-dousuru	俺が好きって言ったらどうする?	通常版	2,3,4
ore-janee-to-dame-na-kuseni	俺じゃねぇとダメなくせに	通常版	2,3
ore-no-ojuken	俺のお受験	通常版	2,3,4
ore-no-sensei-wa-amaetagari	俺の先生は甘えたがり	通常版	2,3
ore-o-tatasete-miroyo	俺を、たたせてみろよ	通常版	2,3,4,5,6
orfina	Orfina	通常版	2,3,4,5,6,7,8,9,10,11,12
orichalcum-reycal-duo	オリハルコンレイカルDUO	通常版	2,3
osananajimi-no-koukousei-no-aida-ni-nikutai-kankei-wa-seiritsu-suruka	幼なじみの高校生のあいだに肉体関係は成立するか。	通常版	2,3
osusume-furiten-kun	おすすめフリテンくん	文庫版	2,3
otakon-no-susume	オタ婚のススメ!	通常版	2,3,4
otome-game-no-mob-nanoni-naze-ka-oshi-ni-ai-o-sasayakarete-imasu	乙女ゲームのモブなのに、なぜか推しに愛を囁かれています!	通常版	2,3
otome-no-teikoku	オトメの帝国	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
otto-no-yuigon-ga-doujinshi-kake-datta-mono-de	夫の遺言が「同人誌描け」だったもので	通常版	2,3
oukuu-kishidan-to-kyuukoku-no-shoujo	王空騎士団と救国の少女	通常版	2,3
outer-q	アウターQ	通常版	2,3
overlord-shin-sekaihen	オーバーロード〈新〉世界編	通常版	2,3,4
oyasumi-matane-mashiro-kun	おやすみ、またね。ましろくん。	通常版	2,3
pachinko-don-quixote	パチンコ・ドンキホーテ	通常版	2,3,4
pact	PACT	通常版	2,3,4,5
pairon	白龍	通常版	2,3
papa-papa	パパ×パパ	通常版	2,3
paradise	パラダイス	通常版	2,3,4,5,6,7,8,9,10,11,12,13
peace-mashuko	PEACE	通常版	2,3
peep	PEEP	通常版	2,3,4
penguin-kissa-wa-kyou-mo-seiten	ペンギン喫茶は今日も青天	通常版	2,3
perfect-addiction	パーフェクトアディクション	通常版	2,3,4
pet	ペット	通常版	2,3,4,5
piece	Piece	通常版	2,3,4,5,6,7,8,9,10
punk	PUNK	通常版	2,3,4
q-e-d	Q.E.D.	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
raika	雷火	デラックス版	2,3,4,5,6,7,8,9,10,11,12
rance-quest	ランス・クエスト	通常版	2,3
re-birth	RE-BIRTH	通常版	2,3
re-virgin	リヴァージン	通常版	2,3
reiko	レイコ	通常版	2,3,4
ren-soushi-ni-shojo-o-sasagu	漣蒼士に処女を捧ぐ	通常版	2,3,4,5,6,7
renkashou	恋華抄	通常版	2,3
rewrite-side-r	Rewrite: SIDE-R	通常版	2,3,4
ri-zero-kara-hajimeru-isekai-seikatsu-dai-sanshou-touruusu-obu-zero	Re:ゼロから始める異世界生活 第三章Truth of Zero	通常版	2,3,4,5,6
rifrein	Rifrein	通常版	2,3,4
rinrin-dii-ai-wai	りんりんD.I.Y	通常版	2,3
riot-tsukada-2025	RIOT	通常版	2,3
riutagao	りうたがお	通常版	2,3
road59-shinjidai-ninkyou-tokku-shoujo-to-chi-no-sakazuki	ROAD59-新時代任侠特区-少女と血のサカズキ	通常版	2,3,4
romanshingu-saga	ロマンシング サ・ガ2	通常版	2,3
romeo	Romeo	通常版	2,3,4,5
rouran-mappou-emaki	狼蘭末法絵巻	通常版	2,3
ruby-onza-cake	ルビー・オンザ・ケーキ	通常版	2,3
ruten-no-teruma	流転のテルマ	通常版	2,3
ryoujoku-sennyuu-sousakan	陵辱!潜入捜査官	通常版	2,3
ryuu-no-ko-o-undara-rien-sareta-node-mori-de-inkyo-suru-koto-ni-shimashita	竜の子を産んだら離縁されたので森で隠居することにしました	通常版	2,3,4
saa-koi-ni-ochitamae	さあ恋におちたまえ	通常版	2,3
sagesumareta-reijou-wa-daini-no-jinsei-de-akogare-no-renkinjutsushi-no-michi-o-erabu	蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ	通常版	2,3
sai	菜	通常版	2,3,4,5,6,7,8,9,10,11,12
saigo-no-natsu-o-hitozuma-to	最後の夏を人妻と	通常版	2,3
saigo-no-restaurant-dante	最後のレストランDante	通常版	2,3,4
saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo	最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?	通常版	2,3,4,5,6,7,8,9,10,11
saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	通常版	2,3,4
saishoukan-sareta-yuusha-wa-ippanjin-to-shite-ikite-iku	再召喚された勇者は一般人として生きていく?	通常版	2,3,4,5,6,7,8,9,10,11
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	通常版	2,3,4
sakai-miu-no-shoujo-manga-senki	酒井美羽の少女まんが戦記	通常版	2,3
sakaki-mirei-no-tame-nara-boku-watsu	榊美麗のためなら僕は…ッ!!	通常版	2,3,4,5
sakedokoro-shunraisou-nichijou	酒処春來荘日乗	通常版	2,3,4,5
same-wa-sakura-ni-koi-o-suru	鮫は桜に恋をする	通常版	2,3
samenyan	サメにゃん	通常版	2,3
samurai-musou	サムライ無双	通常版	2,3,4
samurai-soldier	サムライソルジャー	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
saredo-zainin-wa-ryuu-to-odoru-rondo	されど罪人は竜と踊る輪舞	通常版	2,3,4
sarracenia	サラセニア	通常版	2,3,4
sefure-yappanashi-de	セフレ、やっぱなしで!	デラックス版	2,3
seikatsu-majutsushi-tachi-daiseidou-ni-idomu	生活魔術師達、大聖堂に挑む	通常版	2,3
seikatsu-majutsushi-tachi-sekaiju-ni-idomu	生活魔術師達、世界樹に挑む	通常版	2,3
seiken-ga-saikyou-no-sekai-de-shounen-wa-yumi-ni-aisareru	聖剣が最強の世界で、少年は弓に愛される	通常版	2,3
seikou-sha	星交O者	通常版	2,3
seishun-forget	青春フォーゲット!	通常版	2,3,4
sesesese	せせせせ!	通常版	2,3
shi-no-seppun	死の接吻	通常版	2,3
shikkoku-no-neko-wa-dekiai-suru	漆黒の猫は溺愛する	通常版	2,3
shimogari-hanjirou	下苅り半次郎	文庫版	2,3
shimoyamate-dress-besshitsu	下山手ドレス (別室)	通常版	2,3
shin-mimibukuro-kaidan-hyakumonogatari	新耳袋 怪談百物語	通常版	2,3,4
shinanonchi-no-ikuru	しなのんちのいくる	通常版	2,3,4,5,6,7
shinba-ra-da	シンバ・ラ・ダ	通常版	2,3
shinichirou-san-ttara-kekkou-yarashii	真一郎さんったら結構ヤラシイ!	通常版	2,3
shiniki-no-mahoutsukai	神域の魔法使い	通常版	2,3
shinkalion-dive-the-world	シンカリオンダイブザワールド	通常版	2,3
shino-to-ren	志乃と恋	通常版	2,3,4,5
shinseiki-evangelion-koutetsu-no-girlfriend-2nd-4-koma-manga-gekijou	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	通常版	2,3
shio-taiou-na-watashi-no-danna-sama-wa-haisupekku-na-osananajimi	塩対応な私の旦那様はハイスペックな幼馴染!?	通常版	2,3
shippo-ga-tomodachi	シッポがともだち	文庫版	2,3,4
shitou-sensen-iiekkusu	死島戦線EX	通常版	2,3
shocking-pink-33-13	しょっきんぐぴんく33 1/3	通常版	2,3,4,5
shokei-sareta-saikyou-no-gunyou-majutsushi-haisenkoku-no-elf-hime-to-kokka-saikensu	処刑された最強の軍用魔術師、敗戦国のエルフ姫と国家再建す	通常版	2,3
shokuzai-no-hanayome-wa-itsuwari-no-konin-ni-oboreru	贖罪の花嫁はいつわりの婚姻に溺れる	通常版	2,3
shouwaru-tensai-osananajimi-tono-shoubu-ni-makete-hatsutaiken-o-zenbu-ubawareru-hanashi	性悪天才幼馴染との勝負に負けて初体験を全部奪われる話	通常版	2,3
shura-no-otokotachi	修羅の男たち	通常版	2,3,4
shuuen-no-alhabor	讐演のアルアビュール	通常版	2,3,4
shuuen-no-majo-to-sekai-no-tabi	終焉の魔女と世界の旅	通常版	2,3,4
sidekick-fighting-rule	サイドキック☆ファイティングルール	通常版	2,3
sleeping-beauty-yoshikawa-2003	スリーピングビューティー	通常版	2,3
sono-honoo-no-na-wa-seiheki	その炎の名は性癖	通常版	2,3,4
sora-made-itchau	空までイっちゃう	通常版	2,3,4,5,6,7
sora-no-kairou	天の回廊	デラックス版	2,3,4
sorosoro-no-dankai-desu	そろそろ×××の段階です!	通常版	2,3
sotsugyou-album-no-kanojotachi	卒業アルバムの彼女たち	通常版	2,3
soukai-no-ivu	蒼界のイヴ	通常版	2,3
ss-sisters	SSシスターズ	通常版	2,3,4,5
steins-gate-2011	しゅたいんず・げーと!	通常版	2,3
suimeikyuu	水迷宮	文庫版	2,3,4
sukaruman	スカルマン	文庫版	2,3,4,5
suki-dayo-good-boy	好きだよグッドボーイ	通常版	2,3
suna-to-iris	砂とアイリス	通常版	2,3,4,5
supadari-to-kekkonshitara-watashi-no-sutookaadatta-ken	スパダリと結婚したら私のストーカーだった件	通常版	2,3,4
super-mario-land	スーパーマリオランド	通常版	2,3,4
super-mario-land	スーパーマリオランド	デラックス版	2,3,4
suterareta-kisaki	捨てられた妃	通常版	2,3
syd-lid	Syd ＆ Lid	文庫版	2,3,4,5
tada-no-tomodachi-ja-nakunaru-shunkan	ただの友達じゃなくなる瞬間	通常版	2,3,4,5,6
taishou-migawari-kon	大正身代わり婚	通常版	2,3,4
takane-san-to-arashi-chan	高音さんと嵐ちゃん	通常版	2,3,4
takane-san-wa-asuka-kun-to-asobitai	高嶺さんは、飛鳥くんと遊びたい。	通常版	2,3
tako-no-manga	TACOのまんが	通常版	2,3
teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	通常版	2,3
teihen-otsu-san-cheat-kakusei-de-isekai-rakuraku-life	底辺おっさん、チート覚醒で異世界楽々ライフ	通常版	2,3
tekoteko-hakobe	てこてこはこべ	通常版	2,3,4,5
tenkuu-no-isekai-bisutoro-ten	天空の異世界ビストロ店	通常版	2,3
tenkyuugi-sephirahnatus	天球儀セフィラノーツ	通常版	2,3,4,5,6
tenma-no-ketsuzoku	天馬の血族	デラックス版	2,3
tensai-choukoushi-houjou-mika	天才調香師宝条ミカ	通常版	2,3,4
tensei-idol-to-doruota-no-kishi	転生アイドルとドルオタの騎士	通常版	2,3
tensei-nightingale-wa-yoake-o-utau	転生ナイチンゲールは夜明けを歌う	通常版	2,3
tensei-ouji-wa-daraketai	転生王子はダラけたい	通常版	2,3
tensei-shitara-sekaiju-datta-ken	転生したら世界樹だった件	通常版	2,3
tensei-shitemo-jikka-o-oidasareta-node-kondo-wa-jibun-no-ishi-de-ikite-ikimasu	転生しても実家を追い出されたので、今度は自分の意志で生きていきます	通常版	2,3
tenseimae-no-chuutoriaru-de-isekai-saikyou-ni-narimashita	転生前のチュートリアルで異世界最強になりました。	通常版	2,3,4
