slug	title	edition	numbers
destiny-unchain-online	Destiny Unchain Online	デラックス版	10,11,12
hidoku-shinaide	酷くしないで	デラックス版	10,11,12
kogane-no-rafu-2	黄金のラフ2	通常版	10,11,12,13
non-sutoppu-kyouhei	NON STOP!恭平	通常版	10,11
tajuu-jinkaku-tantei-psycho	多重人格探偵サイコ	愛蔵版	10,11,12
yume-de-aetara-2000	夢で逢えたら	文庫版	10,11,12,13,14,15,16,17
kuwata-kigurumi-gekijou-damekko-doubutsu	桑田着ぐるみ劇場だめっこどうぶつ	通常版	9,10,11
moon-trick-2018	Moon・trick	通常版	9,10,11,12
pachisuro-de-atta-zenbu-umai-hanashi-zetto	パチスロであった全部旨い話Z	通常版	9,10
souta-no-houchou-special	蒼太の包丁 special	通常版	9,10,11,12,13,14,15,16,17,18,19,20,21,22
bj	BJ	通常版	8,9,10,11,12,13,14,15,16,17,18
captain-harlock-jigen-koukai	キャプテンハーロック	通常版	8,9,10
kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	通常版	8,9
kyou-kara-city-hunter-2021	今日から City hunter	通常版	8,9,10,11,12,13,14,15,16,17,18
nakigao-ni-kiss	泣き顔にkiss	通常版	8,9
red-eyes	red Eyes	通常版	8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
saijaku-na-boku-wa-kabenuke-bagu-de-nariagaru	最弱な僕は〈壁抜けバグ〉で成り上がる	デラックス版	8,9,10,11
saikyou-yakyuubu-revengers	最強野球部リベンジャーズ	通常版	8,9
tsuihousareta-majutsushi-no-sonogo	追放魔術師のその後	デラックス版	8,9
unnamed-memory-chibi-2024	Unnamed Memory	通常版	8,9,10
3-daa-surii	サンダー3	デラックス版	7,8
air-gear-unlimited	エア・ギアUNLIMITED	通常版	7,8,9,10,11,12,13,14,15,16,17,18,19
comic-shin-3-goku-musou-san-battle-iryuujon	コミック真・三國無双3バトルイリュージョン	通常版	7,8
impact	インパクト	通常版	7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
infinite-sutoratosu	IS〈インフィニット・ストラトス〉	通常版	7,8
jin	JIN	文庫版	7,8,9,10,11,12,13
kyuupii-agatsuma-ryou-desperado	QP我妻涼デスペラード	通常版	7,8,9,10,11,12,13,14,15,16,17,18
