slug	title	edition	publishers	majority	minority_vols
baaverian-quartet	バーヴェリアン四重奏	standard	ビブロス:8 | 地方・小出版流通センター:2	ビブロス	[1, 3]
baka-to-test-to-shoukanjuu	バカとテストと召喚獣	standard	角川書店:9 | KADOKAWA:6	角川書店	[10, 11, 12, 13, 14, 15]
bakumatsu-familia	幕末ファミリア	standard	ジャイブ:1 | ネクストF:1	ジャイブ	[2]
bakushou-suit-sd-gundam	爆笑戦士!SDガンダム	standard	復刊ドットコム:1 | 講談社:1	復刊ドットコム	[5]
bambi	バンビ	standard	アスキー・メディアワークス:3 | エンターブレイン:3	アスキー・メディアワークス	[4, 5, 6]
bangyaru-chan-no-nichijou	バンギャルちゃんの日常	standard	エンターブレイン:2 | KADOKAWA:2	エンターブレイン	[3, 4]
barientesu-date-no-oni-katakura-kojuurou	バリエンテス伊達の鬼片倉小十郎	standard	ノース・スターズ・ピクチャーズ:2 | 徳間書店:1	ノース・スターズ・ピクチャーズ	[1]
bato-supi	バトスピ!	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
battle-spirits-brave	バトルスピリッツブレイヴ	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
battle-spirits-shounen-gekiha-dan	バトルスピリッツ 少年激覇ダン	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[3]
bb-suit-sangokuden-senjin-kettouhen	BB戦士三国伝 戦神決闘編	standard	角川書店:2 | KADOKAWA:1	角川書店	[3]
beast-of-east	Beast of East	deluxe	幻冬舎コミックス:2 | スコラ:1 | ソニー・ミュージックソリューションズ:1	幻冬舎コミックス	[1, 2]
beru-star-goutoudan	ベル☆スタア強盗団	standard	角川書店:2 | 富士見書房:1	角川書店	[1]
big-order	ビッグオーダー	standard	KADOKAWA:6 | 角川書店:4	KADOKAWA	[1, 2, 3, 4]
big-x	ビッグX	standard	秋田書店:2 | 復刊ドットコム:1	秋田書店	[5]
binbin-eyes	びんびんeyes	standard	大都社:3 | 少年画報社:1	大都社	[4]
binbin-monogatari	びんびん物語	standard	桜桃書房:2 | オーク出版サービス:1	桜桃書房	[1]
binbouhime-desu-nanika	貧乏姫ですが、何か?	standard	フレックスコミックス:3 | ほるぷ出版:1	フレックスコミックス	[4]
bite	Bite!	standard	角川書店:1 | KADOKAWA:1	角川書店	[2]
bkyuu-gourmet-club	B級グルメ倶楽部	standard	フロンティアワークス:4 | ムービック:1	フロンティアワークス	[1]
blood-alone	BLOOD ALONE	standard	講談社:7 | KADOKAWA:3	講談社	[1, 2, 3]
blood-lad	ブラッドラッド	standard	KADOKAWA:15 | 角川書店:1	KADOKAWA	[9]
blood-of-matools	マトゥルスの血族	standard	富士見書房:3 | 角川書店:3	富士見書房	[4, 5, 6]
blood	BLOOD+	standard	角川書店:4 | KADOKAWA:1	角川書店	[5]
blue-drop	BLUE DROP	standard	KADOKAWA:1 | 秋田書店:1	KADOKAWA	[2]
blue-inferior	ブルー・インフェリア	standard	潮出版社:2 | 角川書店:2	潮出版社	[3, 4]
boku-no-koe	僕の声	standard	ビブロス:1 | リブレ:1	ビブロス	[2]
boku-no-sorushieeru	僕のソルシエール	standard	LINE Digital Frontier:6 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
boku-otariiman	ぼく、オタリーマン。	standard	KADOKAWA:5 | 中経出版:1	KADOKAWA	[1]
boku-to-kanojo-no-koirogu	ボクとカノジョの恋愛目録	standard	KADOKAWA:2 | 富士見書房:1	KADOKAWA	[3]
boku-to-ojii-chan-to-mahou-no-tou	僕とおじいちゃんと魔法の塔	standard	角川書店:2 | KADOKAWA:1	角川書店	[3]
boku-to-shippo-to-kagurazaka	僕とシッポと神楽坂	standard	集英社クリエイティブ:10 | 集英社:2	集英社クリエイティブ	[1, 2]
boku-wa-tomodachi-ga-sukunai	僕は友達が少ない	standard	KADOKAWA:18 | メディアファクトリー:2	KADOKAWA	[3, 7]
bokura-no-oukoku	僕らの王国	standard	ビブロス:5 | リブレ:1	ビブロス	[6]
bokura-wa-itai-ikimono-da	僕らはイタい生き物だ。	standard	アスキー・メディアワークス:2 | KADOKAWA:1	アスキー・メディアワークス	[3]
bonkura-onmyouji-no-oniyome	ぼんくら陰陽師の鬼嫁	standard	秋田書店:10 | KADOKAWA:3	秋田書店	[1, 2, 3]
boogiepop-wa-warawanai	ブギーポップは笑わない	standard	アスキー・メディアワークス:2 | KADOKAWA:1	アスキー・メディアワークス	[3]
border-break-na	ボーダーブレイクNA	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	standard	宙出版:12 | ネクストF:5	宙出版	[17, 18, 19, 20, 21]
bouei-mantama-nikki	防衛漫玉日記	standard	アスキー・メディアワークス:1 | エンターブレイン:1	アスキー・メディアワークス	[2]
bozu-life	ボーズ☆ライフ!	standard	Gakken:1 | 学研プラス:1	Gakken	[2]
brave-10	BRAVE 10	standard	KADOKAWA:4 | メディアファクトリー:4	KADOKAWA	[3, 4, 5, 6]
brave10s	BRAVE10S	standard	KADOKAWA:8 | メディアファクトリー:1	KADOKAWA	[3]
break-age	ブレイク-エイジ	standard	アスキー・メディアワークス:3 | エンターブレイン:1	アスキー・メディアワークス	[8]
break-hands	ブレイクハンズ	standard	KADOKAWA:2 | メディアファクトリー:1	KADOKAWA	[2]
brutal-satsujin-keisatsukan-no-kokuhaku	ブルータル殺人警察官の告白	standard	竹書房:4 | コアミックス:1	竹書房	[5]
buddha-o-meguru-hitobito	ブッダをめぐる人々	standard	佼成出版社:1 | 中央公論新社:1	佼成出版社	[2]
bukiyouna-silent	不器用なサイレント	standard	リブレ:5 | リブレ出版:1	リブレ	[1]
bukkake	ぶっ★かけ	standard	青泉社（千代田区）:9 | Bbmfマガジン:2	青泉社（千代田区）	[8, 9]
bukubuku-hour	ブクブクアワー	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
bunchou-sama-to-watashi	文鳥様と私	standard	青泉社（千代田区）:17 | あおば出版:4 | 青泉社:1	青泉社（千代田区）	[4, 5, 7, 8, 26]
bungaku-shojo	文学処女	standard	LINE Digital Frontier:7 | LINE　Digital　Frontier:1	LINE Digital Frontier	[8]
buredeyuuru-ke-no-musumetachi	ブレデュール家の娘たち	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
bushidou-sixteen	武士道シックスティーン	standard	講談社:2 | 集英社:2	講談社	[3, 4]
canaan	CANAAN	standard	角川書店:2 | KADOKAWA:1	角川書店	[1]
captain-kid	キャプテンキッド	standard	コミックス:9 | 講談社:3	コミックス	[7, 8, 9]
carbuncle	カーバンクル	standard	新書館:5 | Gakken:1	新書館	[1]
cardfight-vanguard	カードファイト!!ヴァンガード	standard	KADOKAWA:6 | ブシロードワークス:6	KADOKAWA	[7, 8, 9, 10, 11, 12]
chandelier	シャンデリア	standard	集英社:1 | ホーム社（千代田区）:1	集英社	[2]
change	チェンジ	standard	講談社:3 | 大都社:1	講談社	[3]
charisma	カリスマ	standard	ビブロス:3 | 大正屋出版:1	ビブロス	[1]
cherish-bokkusu	ちぇりっしゅBOX	standard	文苑堂:1 | Fox出版:1	文苑堂	[2]
chihiro	ちひろ	standard	講談社:1 | 秋田書店:1	講談社	[3]
chiisai-onee-san	ちいさいお姉さん	standard	アスキー・メディアワークス:6 | KADOKAWA:6	アスキー・メディアワークス	[7, 8, 9, 10, 11, 12]
chiisana-koi-no-monogatari	小さな恋のものがたり	standard	立風書房:22 | Gakken:4 | 学研プラス:3 | 学研パブリッシング:1	立風書房	[39, 40, 41, 42, 43, 44, 45, 46]
chikita-gugu	チキタ・gugu	standard	朝日ソノラマ:7 | 朝日新聞出版:1	朝日ソノラマ	[8]
chikyuu-bouei-shoujo-iko-chan	地球防衛少女イコちゃん	standard	角川書店:1 | 白泉社:1	角川書店	[2]
chikyuuzeronen	地球0年	standard	秋田書店:1 | 世界文化社:1	秋田書店	[3]
chimamire-sukeban-chainsaw	血まみれスケバンチェーンソー	standard	KADOKAWA:9 | エンターブレイン:4	KADOKAWA	[3, 4, 5, 6]
chiruran-shinsengumi-requiem	ちるらん新撰組鎮魂歌	standard	ノース・スターズ・ピクチャーズ:26 | コアミックス:10	ノース・スターズ・ピクチャーズ	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]
chittai-ore-no-makikomare-isekai-seikatsu	ちったい俺の巻き込まれ異世界生活	standard	双葉社:4 | SBクリエイティブ:1	双葉社	[3]
chizuka-map	ちづかマップ	standard	小学館:2 | 講談社:1	小学館	[1]
cho-hakkai	Cho八戒	standard	スコラ:2 | リイド社:1	スコラ	[1]
choco-banana	チョコバナナ	standard	ベストセラ-ズ:4 | ティーツー出版:2	ベストセラ-ズ	[10, 14]
chocolate-kiss	チョコレート・キス	standard	二見書房:2 | リヨン社:1	二見書房	[3]
chotto-kawaii-iron-maiden	ちょっとかわいいアイアンメイデン	standard	角川書店:2 | KADOKAWA:2	角川書店	[3, 4]
chou-dokyuu-kuubo-yamato	超弩級空母大和	standard	Gakken:2 | ゴマブックス:2	Gakken	[2, 4]
choujigen-geimu-neputeyuunu	超次元ゲイムネプテューヌ	standard	エンターブレイン:3 | KADOKAWA:1	エンターブレイン	[4]
chouken-leap	超犬リープ	standard	朝日ソノラマ:1 | マンガショップ:1	朝日ソノラマ	[3]
choukyuu-mobile-butouden-g-gundam-bakunetsu-neo-honkon-stage-3	超級!機動武闘伝Gガンダム爆熱・ネオホンコン! STAGE 3	standard	KADOKAWA:6 | 角川書店:1	KADOKAWA	[1]
choukyuu-mobile-butouden-g-gundam-shinjuku-touhou-fuhai-stage-2	超級!機動武闘伝Gガンダム 新宿・東方不敗! STAGE 2	standard	KADOKAWA:7 | 角川書店:1	KADOKAWA	[4]
chounin-ee-wa-akuyaku-reijou-o-doushitemo-sukuitai	町人Aは悪役令嬢をどうしても救いたい	standard	アース・スターエンターテイメント:8 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[9]
choutetsu-taitei-tesura	超鉄大帝テスラ	standard	アスキー・メディアワークス:1 | 角川書店:1	アスキー・メディアワークス	[3]
chouyaku-hyakunin-isshu-utakoi	超訳百人一首 うた恋い。	standard	メディアファクトリー:2 | KADOKAWA:1	メディアファクトリー	[4]
