slug	title	edition	publishers	majority	minority_vols
inu-to-hasami-wa-tsukaiyou	犬とハサミは使いよう	standard	角川書店:3 | KADOKAWA:1	角川書店	[4]
inugamike-no-ichizoku	犬神家の一族	standard	秋田書店:1 | KADOKAWA:1	秋田書店	[3]
iris-zero	アイリス・ゼロ	standard	KADOKAWA:7 | メディアファクトリー:1	KADOKAWA	[4]
is-2010	IS	standard	KADOKAWA:5 | 小学館:1	KADOKAWA	[6]
isekai-de-tochi-o-katte-noujou-o-tsukurou	異世界で土地を買って農場を作ろう	standard	幻冬舎コミックス:10 | オーバーラップ:1	幻冬舎コミックス	[9]
isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう	standard	幻冬舎コミックス:4 | マイクロマガジン社:1	幻冬舎コミックス	[4]
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	standard	幻冬舎コミックス:4 | マイクロマガジン社:1	幻冬舎コミックス	[4]
isekai-ni-teni-shitara-yama-no-naka-datta-handou-de-tsuyosa-yori-mo-kaitekisa-o-erabimashita	異世界に転移したら山の中だった。反動で強さよりも快適さを選びました。	standard	アース・スターエンターテイメント:5 | 株式会社アース・スター エンターテイメント:2 | SBクリエイティブ:1	アース・スターエンターテイメント	[6, 7, 8]
isekai-shoukan-maou-ga-papa-de-ore-ga-mama	異世界召喚!魔王がパパで俺がママ!?	standard	スタジオC.I:1 | 徳間書店:1	スタジオC.I	[2]
isekai-teni-shite-kyoushi-ni-nattaga-majo-to-osorerarete-iru-ken	異世界転移して教師になったが、魔女と恐れられている件	standard	アース・スターエンターテイメント:4 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[5]
ishii-hisaichi-no-daiseikai	いしいひさいちの大政界	standard	ビレッジプレス:1 | チャンネルゼロ:1	ビレッジプレス	[2]
ishii-hisaichi-no-mondaigai-ron	いしいひさいちの問題外論	standard	チャンネルゼロ:10 | ビレッジプレス:7	チャンネルゼロ	[4, 5, 6, 7, 8, 10, 11]
ishuuin-hayato-shi-no-heionnaranu-nichijou	伊集院隼人氏の平穏ならぬ日常	standard	竹書房:4 | ノース・スターズ・ピクチャーズ:1	竹書房	[1]
isshokenmei-ni-sounanshitai-hito	一緒に遭難したいひと	standard	講談社:3 | 主婦と生活社:1	講談社	[1]
itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	standard	一迅社:3 | KADOKAWA:1	一迅社	[1]
itoshi-no-nekokke	いとしの猫っ毛	standard	シリカ編集部:4 | リブレ:1	シリカ編集部	[5]
ja	JA	standard	角川書店:6 | KADOKAWA:2	角川書店	[7, 8]
jaaku-no-jack	邪悪のJack	standard	主婦と生活社:3 | 大陸書房:1	主婦と生活社	[1]
jajahime-buyuuden	JAJA姫武遊伝	standard	KADOKAWA:2 | アスキー・メディアワークス:1	KADOKAWA	[1]
jane	Jane	standard	ビブロス:7 | 地方・小出版流通センター:1	ビブロス	[1]
jibaku-kun	ジバクくん	standard	アスキー・メディアワークス:2 | エンターブレイン:2	アスキー・メディアワークス	[5, 6]
jientoruman	ジェントル萬	bunkobon	メディアファクトリー:2 | スコラ:1	メディアファクトリー	[2]
jigoku-no-sougiya	地獄の葬儀屋	standard	秋田書店:1 | リイド社:1	秋田書店	[2]
jigoku-yuugi	地獄遊戯	standard	祥伝社:2 | 秋田書店:1	祥伝社	[2]
jiizu-under-ground	G'sあんだ～ぐらうんど	standard	角川書店:1 | KADOKAWA:1	角川書店	[2]
jikan-no-arukikata	時間の歩き方	standard	朝日新聞社:3 | 朝日新聞出版:1	朝日新聞社	[4]
jinsei-wa-barairo-da	人生はバラ色だ。	standard	海王社:1 | 桜桃書房:1	海王社	[2]
jizeru-aran	ジゼル・アラン	standard	KADOKAWA:4 | エンターブレイン:1	KADOKAWA	[2]
joker-1998-3	Joker	standard	角川書店:1 | 双葉社:1	角川書店	[3]
joker-1998	Joker	standard	小学館:1 | 角川書店:1	小学館	[2]
joker-2012	JOKER	standard	小学館:1 | 角川書店:1 | 双葉社:1	小学館	[2, 3]
joker-yamane-1997	JOKER	standard	集英社:1 | 双葉社:1	集英社	[3]
joker	JOKER	standard	新書館:5 | 小学館:1 | 角川書店:1	新書館	[1, 2]
jotei	女帝	standard	芳文社:21 | 日本文芸社:3	芳文社	[1, 2, 3]
jun-ishinomori-2003	ジュン	standard	ポット出版:3 | 朝日ソノラマ:1	ポット出版	[1]
jungle-shounen-jan-bangaihen	ジャングル少年ジャン番外編	standard	アスキー・メディアワークス:1 | エンターブレイン:1	アスキー・メディアワークス	[3]
junk-jungle	ジャンク×ジャングル	standard	角川書店:6 | KADOKAWA:2	角川書店	[1, 2]
junk	JUNK	standard	秋田書店:6 | 白泉社:1	秋田書店	[1]
juuhan-mitei	重版未定	standard	中央公論新社:2 | 河出書房新社:1	中央公論新社	[2]
juuoku-shoujo	￥十億少女	standard	KADOKAWA:9 | 白泉社:1	KADOKAWA	[1]
kabuki-iza	かぶき伊左	standard	エンターブレイン:2 | KADOKAWA:2	エンターブレイン	[3, 4]
kabukichou-goshimei-hairimasu	歌舞伎町ご指名♂挿入ります!	standard	ブライト出版:1 | 英和出版社:1	ブライト出版	[3]
kaen-mazin	火閻魔人	standard	白泉社:1 | ワニブックス:1	白泉社	[2]
kaerenai-yoru-kiken-na-joushi-to-love-hotel	帰れない夜…キケンな上司とラブホテル!?	standard	彗星社:6 | （株）彗星社:1	彗星社	[7]
kageki-shoujo	かげきしょうじょ!!	standard	白泉社:14 | 集英社:2	白泉社	[1, 2]
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	standard	徳間書店:3 | 新潮社:2	徳間書店	[2, 6]
kagemusha-tokugawa-ieyasu	影武者徳川家康	standard	集英社:6 | 新潮社:1	集英社	[7]
kageo	影男	standard	道出版:2 | 秋田書店:1	道出版	[1]
kahogo-shitsuji-niwa-unzari-desu	過保護執事にはうんざりです。	standard	宙出版:1 | ネクストF:1	宙出版	[2]
kaijin-nijuumensou	怪人二十面相	standard	復刊ドットコム:2 | ワニブックス:1	復刊ドットコム	[3]
kaijiota-ga-ukkari-naka-no-hito-to-kekkon-shita-ken	海自オタがうっかり「中の人」と結婚した件。	standard	秀和システム新社:1 | 秀和システム:1	秀和システム新社	[2]
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	standard	ヒーローズ:2 | ぴあ:1	ヒーローズ	[11]
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	standard	ヒーローズ:5 | ぴあ:1	ヒーローズ	[11]
kakkoii-sukiyaki	かっこいいスキヤキ	standard	青林堂:1 | 扶桑社:1	青林堂	[3]
kakure-itarian	かくれイタリアン	standard	LINE Digital Frontier:1 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
kakuritsu-sousakan-mikoshiba-gakuto	確率捜査官御子柴岳人	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[3]
kame	かめ!	standard	小学館:3 | 講談社:2	小学館	[4, 5]
kami-no-mitsu	かみのみっ	standard	KADOKAWA:2 | メディアファクトリー:1	KADOKAWA	[3]
kami-sama-no-ude-no-naka	神様の腕の中	standard	ビブロス:2 | リブレ:1 | リブレ出版:1	ビブロス	[3, 4]
kami-sama-shinkaron	カミサマ進化論	standard	ビブロス:1 | リブレ:1	ビブロス	[2]
kamu-kamu-vanilla	かむかむバニラ!	standard	フレックスコミックス:2 | ほるぷ出版:1	フレックスコミックス	[2]
kan-chan	カンちゃん	standard	TOブックス:1 | 熊本日日新聞社:1	TOブックス	[2]
kandachime	神太刀女	standard	KADOKAWA:7 | メディアファクトリー:2	KADOKAWA	[3, 9]
kani-kousen	蟹工船	standard	イースト・プレス:1 | Gakken:1	イースト・プレス	[2]
kanjiteru-no-barebare-dayo-kouhai-kun-to-28-sai-kojirase-ol	感じてるのバレバレだよ?後輩クンと28歳こじらせOL	standard	大都社:6 | 秋水社:2	大都社	[1, 2]
kankin-ou	監禁王	standard	KADOKAWA:6 | 一二三書房:1	KADOKAWA	[5]
kanon	Kanon	standard	実業之日本社:1 | KADOKAWA:1	実業之日本社	[2]
kao-ni-doro-o-nuru	顔に泥を塗る	standard	コアミックス:5 | 竹書房:3	コアミックス	[1, 2, 3]
kapsel-jodtinktur	カプセル ヨードチンキ	standard	ビブロス:1 | リブレ出版:1	ビブロス	[2]
kara-no-kyoukai	空の境界	standard	星海社:11 | KADOKAWA:1	星海社	[1]
kare-to-caret	彼とカレット。	standard	KADOKAWA:3 | アスキー・メディアワークス:1	KADOKAWA	[1]
kare-to-kanojo-no-wotaku-jijou	彼と彼女の（オタク）²	standard	幻冬舎コミックス:3 | 幻冬舎:1	幻冬舎コミックス	[3]
kareinaru-shishi-no-okinimesu-mama	華麗なる獅子のお気に召すまま	standard	宙出版:3 | ネクストF:2	宙出版	[4, 5]
karikura	カリクラ	standard	講談社:2 | 太田出版:1	講談社	[3]
karin-no-mound	花鈴のマウンド	standard	大垣書店:16 | 朝日新聞出版:2	大垣書店	[1, 2]
katabami-to-ougon	片喰と黄金	standard	集英社:6 | 講談社:4	集英社	[7, 8, 9, 10]
katana	KATANA	standard	KADOKAWA:14 | ぶんか社:7	KADOKAWA	[1, 2, 3, 4, 5, 6, 7]
kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	standard	ZITTO:4 | リブレ:4	ZITTO	[5, 6, 7, 8]
kaze-no-oukoku	風の王国	standard	MBC21京都支局・すばる出版:2 | 東京経済（船橋）:1	MBC21京都支局・すばる出版	[3]
kaze-no-tani-no-naushika	風の谷のナウシカ	standard	講談社:3 | 徳間書店:3	講談社	[5, 6, 7]
kaze-yo-banri-o-kakeyo	風よ、万里を翔けよ	standard	秋田書店:3 | 角川書店:1	秋田書店	[1]
kazenowatokinowasunanowa	風の輪・時の和・砂の環	standard	新書館:1 | KADOKAWA:1	新書館	[6]
kazoku-game	家族ゲーム	standard	KADOKAWA:13 | アスキー・メディアワークス:1	KADOKAWA	[10]
kedamono-gokudou-to-fukushuu-no-kei	ケダモノ極道と復讐の契	standard	大都社:1 | 秋水社:1	大都社	[2]
keirin-yarou	ケイリン野郎	standard	小学館:52 | 小学館クリエイティブ:3	小学館	[54, 55, 56]
kekkaishi-eno-tensei	結界師への転生	standard	幻冬舎コミックス:8 | 幻冬舎:1	幻冬舎コミックス	[1]
ken-no-joou-to-rakuin-no-ko	剣の女王と烙印の仔	standard	KADOKAWA:3 | メディアファクトリー:1	KADOKAWA	[1]
kenkaku-shoubai	剣客商売	standard	リイド社:48 | 新潮社:5	リイド社	[1, 2, 3, 4, 5]
kenpufaa	けんぷファー	standard	KADOKAWA:9 | メディアファクトリー:1	KADOKAWA	[1]
kenshuusei-jidai	千里の道も-研修生時代-	standard	集英社:32 | ホーム社（千代田区）:12	集英社	[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]
keroro-pirates	ケロロパイレーツ	standard	角川書店:2 | KADOKAWA:1	角川書店	[2]
kesalan-patharan	ケサラン・パサラン	standard	KADOKAWA:1 | メディアファクトリー:1	KADOKAWA	[2]
kibi-sama-to-isshokenmei	きび様といっしょ	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
kichikujima	鬼畜島	standard	LINE Digital Frontier:13 | 竹書房:9 | LINE　Digital　Frontier:2	LINE Digital Frontier	[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13]
kidan-ningyoushi-ugetsu-no-hyakumonogatari	鬼談人形師雨月の百物語	standard	青泉社（千代田区）:15 | Bbmfマガジン:1	青泉社（千代田区）	[2]
kimi-ni-aisarete-itakatta	君に愛されて痛かった	standard	新潮社:5 | 秋田書店:4	新潮社	[6, 7, 8, 9]
kimi-ni-kisushitai	君にKissしたい	standard	ビブロス:2 | 地方・小出版流通センター:1	ビブロス	[1]
kimi-no-suki-to-boku-no-suki	キミのスキtoボクのスキ	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
kimi-no-uso-sura-aishiteru	君の嘘すら愛してる	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
kimi-to-merry-bad-end	君とメリーバッドエンド	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1]
kimi-tono-tsunagari	君とのツナガリ	standard	LINE　Digital　Frontier:2 | LINE Digital Frontier:1	LINE　Digital　Frontier	[3]
kimi-wa-kirei-na-ahiru-no-ko	君は綺麗なアヒルの子	standard	LINE Digital Frontier:3 | LINE:2	LINE Digital Frontier	[1, 2]
kimino-unaji-ni-kanpai	キミのうなじに乾杯!	standard	ソニー・ミュージックソリューションズ:1 | 幻冬舎:1	ソニー・ミュージックソリューションズ	[2]
kindan-no-kajitsu	禁断の果実	standard	小学館:1 | 双葉社:1	小学館	[2]
king-abyss	キングアビス	standard	ジャイブ:1 | パイインターナショナル:1	ジャイブ	[3]
kinkon-tosa-nikki	きんこん土佐日記	standard	高知新聞社:11 | 高知新聞総合印刷:2	高知新聞社	[8, 10]
kira-kira	キラキラ!	standard	講談社:7 | スコラ:1	講談社	[1]
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	deluxe	ソニー・ミュージックソリューションズ:4 | スコラ:1	ソニー・ミュージックソリューションズ	[2]
kishibe-no-uta	岸辺の唄	standard	ホーム社（千代田区）:1 | ホーム社:1	ホーム社（千代田区）	[4]
kishibe-no-uta	岸辺の唄	bunkobon	ホーム社（千代田区）:1 | ホーム社:1	ホーム社（千代田区）	[3]
kitarou-kunitori-monogatari	鬼太郎国盗り物語	bunkobon	角川書店:2 | KADOKAWA:1	角川書店	[3]
kitarouyawa	鬼太郎夜話	bunkobon	筑摩書房:1 | 中央公論新社:1	筑摩書房	[3]
kizuna	KIZUNA	standard	ビブロス:7 | 地方・小出版流通センター:2	ビブロス	[2, 3]
knights-of-scarlet	Knights of Scarlet	standard	アース・スターエンターテイメント:1 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[2]
kobato	こばと。	standard	KADOKAWA:5 | 角川書店:1	KADOKAWA	[6]
kochira-koufuku-anshin-iinkai-desu	こちら、幸福安心委員会です。	standard	KADOKAWA:2 | 角川アスキー総合研究所:1	KADOKAWA	[2]
kodomotachiwosemenaide	子供達をせめないで	standard	ソニー・ミュージックソリューションズ:1 | 幻冬舎:1	ソニー・ミュージックソリューションズ	[2]
koetama	こえたま	standard	アース・スターエンターテイメント:2 | アース・スター エンターテイメント:1	アース・スターエンターテイメント	[3]
koharu-hiyori-mizuki-2004	こはるびより	standard	KADOKAWA:4 | アスキー・メディアワークス:1	KADOKAWA	[1]
koi-to-makoto-to-asagiiro	恋とマコトと浅葱色	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[3]
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	standard	小学館:2 | 小池書院:1	小学館	[6]
koikyuu	恋きゅー	standard	フレックスコミックス:4 | MOVIDA　ENTERTAINMENT:1	フレックスコミックス	[1]
koisuiren	恋水蓮	standard	ホーム社（千代田区）:3 | Gakken:2	ホーム社（千代田区）	[1, 2]
kokoro-natsume-2023	こころ	standard	集英社:1 | Gakken:1	集英社	[2]
kokyou-wa-midori	故郷は緑	standard	朝日ソノラマ:1 | 朝日新聞出版:1	朝日ソノラマ	[2]
kokyuutosu-wa-warau	コキュートスは嗤う	standard	ワニ・プラス:2 | ワニブックス:1	ワニ・プラス	[1]
konna-no-unmei-ja-nai-kara-kanchigai-shinaide	こんなの運命じゃないから勘違いしないで	standard	三交社（台東区）:1 | CLAPコミックス:1	三交社（台東区）	[2]
kono-bushitsu-wa-kitakushinai-bu-ga-senkyo-shimashita	この部室は帰宅しない部が占拠しました。	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
koori-no-joou-2013	氷の女王	standard	宙出版:1 | 講談社:1	宙出版	[2]
kou-u-to-ryuu-hou-sentaro-1987	項羽と劉邦	standard	講談社:1 | 文藝春秋:1	講談社	[3]
koukenryoku-ouryou-sousakan-nakabou-rintarou	公権力横領捜査官中坊林太郎	standard	集英社:2 | 新潮社:1	集英社	[3]
kowai-hon	こわい本	bunkobon	KADOKAWA:9 | 朝日ソノラマ:2	KADOKAWA	[1, 2]
kozure-ookami	子連れ狼	bunkobon	小池書院:19 | 小学館:1	小池書院	[7]
kuchibiru-tameiki-sakurairo	くちびるためいきさくらいろ	standard	一迅社:1 | 双葉社:1	一迅社	[2]
kugutsu-takahashi-1999	傀儡	standard	新書館:2 | 光文社:1	新書館	[1]
kujibiki-tokushou-musou-haaremuken	くじ引き特賞:無双ハーレム権	standard	集英社:11 | SBクリエイティブ:1	集英社	[10]
kuni-ni-saikyou-no-baria-o-hattara-heiwa-ni-narisugite-tsuihousareta-saremashita	国に最強のバリアを張ったら平和になりすぎて追放されました。	standard	アース・スターエンターテイメント:3 | 株式会社アース・スター エンターテイメント:2	アース・スターエンターテイメント	[4, 5]
kuooto-ando-half	1/4×1/2	standard	朝日新聞出版:4 | 朝日ソノラマ:2 | 朝日新聞社:1	朝日新聞出版	[1, 2, 5]
kuooto-half-r	クォート＆ハーフ（R）	standard	朝日新聞社:3 | 朝日ソノラマ:1	朝日新聞社	[1]
kurebatesu	クレバテス	standard	LINE Digital Frontier:5 | KADOKAWA:5 | LINE　Digital　Frontier:1	LINE Digital Frontier	[1, 7, 8, 9, 10, 11]
kuroda-sanjuurokkei	黒田・三十六計	standard	リイド社:5 | 祥伝社:1	リイド社	[3]
kurogane-communication	鉄コミュニケイション	standard	KADOKAWA:2 | アスキー・メディアワークス:1	KADOKAWA	[1]
kuroinu-okurokku	黒犬O'clock	standard	KADOKAWA:1 | メディアファクトリー:1	KADOKAWA	[2]
kuroneko-to-houseki-shokunin	黒猫と宝石職人	standard	サイゾー:1 | 道玄坂書房:1	サイゾー	[2]
kuroneko-wa-nakanai	黒猫は泣かない。	standard	とおとうみ出版:1 | 双葉社:1	とおとうみ出版	[2]
kurumi-no-naka	胡桃の中	standard	リブレ:2 | ビブロス:1 | リブレ出版:1	リブレ	[1, 3]
kutsujokkaa-oogawara-jou	屈辱er大河原上	standard	新潮社:1 | 三才ブックス:1	新潮社	[2]
kuusou-kagaku-edison	空想科学エジソン	deluxe	幻冬舎:2 | ソニー・ミュージックソリューションズ:1	幻冬舎	[1]
kuusou-kagaku-taisen	空想科学大戦	standard	リクルート:2 | メディアファクトリー:1 | ソニー・ミュージックソリューションズ:1	リクルート	[3, 4]
kuusou-kagaku-x	空想科学X	standard	アスキー・メディアワークス:4 | KADOKAWA:1	アスキー・メディアワークス	[5]
kuwata-jirou-adaruto-tanpenshuu	桑田次郎アダルト短編集	standard	マンガショップ:1 | パンローリング:1	マンガショップ	[2]
kyaramono	キャラ者	standard	双葉社:1 | ぴあ:1	双葉社	[2]
kyattsuai	キャッツ❤アイ	standard	集英社:14 | 新潮社:1	集英社	[21]
kyouka-ayakashi-hichou	鏡花あやかし秘帖	standard	学研パブリッシング:1 | 学研プラス:1	学研パブリッシング	[3]
kyouran-reijou-nia-risuton	凶乱令嬢ニア・リストン	standard	スクウェア・エニックス:7 | ホビージャパン:1	スクウェア・エニックス	[6]
kyousei-kekkon	強性結婚	standard	秋水社:5 | 大都社:2	秋水社	[6, 7]
kyoushoku-soukou-guyver	強殖装甲ガイバー	standard	徳間書店:15 | 角川書店:14 | KADOKAWA:3	徳間書店	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]
kyubizumu-love	キュビズム・ラブ	standard	エンターブレイン:3 | KADOKAWA:1	エンターブレイン	[4]
kyuukoku-no-meshia	救国のメシア	standard	宙出版:1 | ネクストF:1	宙出版	[2]
kyuukyoku-no-komyushou-wotaku-joshi-no-watashi-ga-soshage-no-sekai-ni-kita-kedo-oshi-ga-toutosugite	究極のコミュ障オタク女子の私がソシャゲの世界にきたけど、推しが尊すぎてつらい	standard	宙出版:3 | ネクストF:3	宙出版	[4, 5, 6]
lagoon-engine	ラグーンエンジン	standard	KADOKAWA:5 | 角川書店:2	KADOKAWA	[1, 2]
last-continent	ラスト・コンチネント	standard	東京三世社:1 | 幻冬舎コミックス:1	東京三世社	[3]
last-man	ラストマン	standard	講談社:3 | Euromanga:2 | 飛鳥新社:1	講談社	[4, 5, 6]
lemon-angel	レモンエンジェル	standard	集英社:9 | スコラ:1	集英社	[6]
lettuce-burger-please-ok-ok	レタスバーガープリーズ.OK,OK!	standard	集英社:9 | 河出書房新社:1	集英社	[1]
libel	リベル	standard	LINE　Digital　Frontier:2 | LINE Digital Frontier:1	LINE　Digital　Frontier	[3]
line-no-kotaeawase	LINEの答えあわせ	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
little-busters-ecstasy-wonderbit-wandering	リトルバスターズ!EXワンダービットワンダリング	standard	角川書店:2 | KADOKAWA:1	角川書店	[1]
little-lotus	リトル・ロータス	standard	LINE Digital Frontier:4 | LINE　Digital　Frontier:2	LINE Digital Frontier	[4, 5]
little-witch-academia	リトルウィッチアカデミア	standard	KADOKAWA:2 | 集英社:1	KADOKAWA	[1]
loan-knight	ローンナイト	standard	KADOKAWA:3 | 復刊ドットコム:2	KADOKAWA	[4, 5]
log-horizon-nyanta-hanchou-shiawase-no-recipe	ログ・ホライズンにゃん太班長・幸せのレシピ	standard	KADOKAWA:5 | エンターブレイン:1	KADOKAWA	[1]
log-horizon	ログ・ホライズン	standard	KADOKAWA:3 | エンターブレイン:1	KADOKAWA	[1]
lost-planet-bound-raven	ロストプラネットバウンドレイブン	standard	アスキー・メディアワークス:1 | 角川書店:1	アスキー・メディアワークス	[2]
love-control	恋愛操作	standard	リブレ:8 | リブレ出版:1	リブレ	[3]
love-me-tender	ラヴミーテンダー	standard	幻冬舎コミックス:6 | 幻冬舎:1	幻冬舎コミックス	[1]
love-peace	Love ＆ Peace	standard	集英社:1 | 白泉社:1	集英社	[2]
love-shimasenka	恋愛しませんか?	standard	角川書店:2 | KADOKAWA:1	角川書店	[3]
love-taishitsu	恋愛体質	standard	小学館:1 | 大都社:1	小学館	[3]
loveless	LOVELESS	standard	一迅社:11 | 小学館:2	一迅社	[1, 2]
lovely	ラブリー!	standard	祥伝社:3 | 宝島社:1	祥伝社	[1]
lucky-strike	LUCKY STRIKE	standard	集英社:2 | 秋田書店:2	集英社	[3, 4]
macross-plus-tac-name	マクロスプラス タックネーム	standard	KADOKAWA:1 | 角川書店:1	KADOKAWA	[2]
maeda-deka-kabuki-tabi	前田慶次かぶき旅	standard	コアミックス:19 | ノース・スターズ・ピクチャーズ:2	コアミックス	[1, 2]
magdala-de-nemure	マグダラで眠れ	standard	KADOKAWA:3 | 角川書店:1	KADOKAWA	[1]
magical-dream-kirapichi-5	マジカル★ドリームキラピチ5	standard	学研プラス:3 | 学研教育出版:1	学研プラス	[1]
maho-maho	まほマほ	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[3]
mahou-no-onnanoko-chaamii-chako-chan	魔法の女の子ちゃ～み～チャコちゃん	standard	学研パブリッシング:1 | Gakken:1	学研パブリッシング	[2]
mahou-no-tenshi-creamy-mami-fukigenna-ohime-sama	魔法の天使クリィミーマミ不機嫌なお姫様	standard	竹書房:5 | コアミックス:2	竹書房	[6, 7]
mahou-senki-lyrical-nanoha-force-touruu-karaado	魔法戦記リリカルなのはForce true colored	standard	角川書店:5 | KADOKAWA:1	角川書店	[5]
mahou-senki-lyrical-nanoha-force	魔法戦記リリカルなのはforce	standard	KADOKAWA:5 | 角川書店:1	KADOKAWA	[6]
mahou-shoujo-chikichiki	魔法少女チキチキ	standard	ジャイブ:1 | 竹書房:1	ジャイブ	[3]
mahouka-koukou-no-rettousei	魔法科高校の劣等生	standard	スクウェア・エニックス:5 | KADOKAWA:3	スクウェア・エニックス	[1, 2, 3]
mahoutsukai-no-konyakusha	魔法使いの婚約者	standard	KADOKAWA:4 | 一迅社:1	KADOKAWA	[5]
mahoutsukai-no-yome	魔法使いの嫁	standard	マッグガーデン:10 | ブシロードワークス:3	マッグガーデン	[21, 22, 23]
maid-nara-touzen-desu	メイドなら当然です。	standard	アース・スターエンターテイメント:3 | 株式会社アース・スター エンターテイメント:1	アース・スターエンターテイメント	[6]
maji-de-watashi-ni-koishinasai-esu	真剣で私に恋しなさい!S 九鬼紋白編	standard	角川書店:1 | KADOKAWA:1	角川書店	[2]
majikyuu-4-koma-higurashi-no-naku-koro-ni	マジキュー4コマ ひぐらしのなく頃に	standard	KADOKAWA:4 | エンターブレイン:1	KADOKAWA	[3]
majishanzu-akademii	まじしゃんず・あかでみい	standard	KADOKAWA:2 | エンターブレイン:1	KADOKAWA	[1]
makenkitsu	マケン姫っ!	standard	KADOKAWA:23 | 富士見書房:1	KADOKAWA	[8]
makuranosoushi	枕草子	standard	角川書店:1 | 金の星社:1	角川書店	[3]
makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	standard	竹書房:2 | 角川書店:1	竹書房	[3]
mame-sengoku-basara	まめ戦国BASARA	standard	KADOKAWA:4 | アスキー・メディアワークス:1	KADOKAWA	[1]
mameda-sensei	まめだ先生	standard	南の風社:1 | 民衆社:1	南の風社	[3]
manga-de-yomu-niijima-jou	マンガで読む新島襄	standard	コトコト:1 | 同志社大学:1	コトコト	[2]
manga-koomote-chan	漫画 小面ちゃん	standard	陽嶺社:9 | 小学館スクウェア:1	陽嶺社	[4]
manga-saiensu	まんがサイエンス	deluxe	Gakken:6 | 学研教育出版:3	Gakken	[12, 13, 14]
maou-dante	魔王ダンテ	standard	朝日ソノラマ:1 | コミックス:1 | 講談社:1	朝日ソノラマ	[3, 4]
maoyuu-4-koma-muitemasenyo-maousama	まおゆう4コマ「向いてませんよ、魔王様」	standard	エンターブレイン:2 | KADOKAWA:1	エンターブレイン	[3]
maoyuu-maou-yuusha	まおゆう魔王勇者	standard	KADOKAWA:5 | 秋田書店:3	KADOKAWA	[6, 7, 8]
mappira-kun	まっぴら君	standard	毎日新聞出版:8 | 毎日新聞社:1	毎日新聞出版	[10]
marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	standard	KADOKAWA:4 | エンターブレイン:1	KADOKAWA	[5]
marou-ou-reppuu-den	魔狼王烈風伝	standard	アスキー・メディアワークス:8 | KADOKAWA:1	アスキー・メディアワークス	[9]
marushin-kateinai-neko-oukoku	〔○新〕家庭内猫王国	standard	講談社コミッククリエイト:1 | 講談社:1	講談社コミッククリエイト	[2]
mato	魔都	standard	秋田書店:1 | ぶんか社:1	秋田書店	[3]
matsuoka-kunio-youkai-taiji	松岡國男妖怪退治	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[2]
mawata-no-oukoku	真綿の王国	standard	幻冬舎:1 | 幻冬舎コミックス:1	幻冬舎	[2]
mayo-chiki	まよチキ!	standard	KADOKAWA:6 | メディアファクトリー:1	KADOKAWA	[2]
mazin-garon	魔神ガロン	standard	講談社:4 | 秋田書店:1	講談社	[1]
mazinger-z-tai-transformer	トランスフォーマー:ロボッツ・イン・ディスガイズ	standard	ヴィレッジブックス:2 | ウィーヴ:1 | フリュー:1	ヴィレッジブックス	[1, 2]
megami-kourin	女神降臨	standard	LINE Digital Frontier:8 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
megu-milk	めぐ❤みるく	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[3]
