shared_isbn	rk_title	ndl_title	ndl_author	owner_slug	owner_author	wrong_slug	wrong_author	wrong_vol	proposed_isbn	confidence
9784403680014	Are　you　enemy？	Are you enemy?	宮本佳野	are-you-enemy	宮本佳野	angelic-kanbaseeshon	宮本佳野	1		CONFLICT
9784408432502	Canon	Canon	北里千寿	kanon	by;key;ylab;森嶋プチ	kanon-usami-2003	宇佐美真紀	1		LOW
9784537097290	レディーQ（1）	レディーQ. 1	三浦みつる	lady-q	三浦みつる	tensai-choukoushi-houjou-mika	三浦みつる	1	9784575723199	CONFLICT
9784537163285	激マン！スペシャルデビルマン編（1）	激マン!スペシャル. デビルマン編 1	永井豪&ダイナミックプロ	gekiman-devilman-no-show	ダイナミックプロダクション;永井豪	gekiman-2015	永井豪;永井豪&ダイナミックプロ	1		CONFLICT
9784537163360	激マン！スペシャルデビルマン編（2）	激マン!スペシャル. デビルマン編 2	永井豪&ダイナミックプロ	gekiman-devilman-no-show	ダイナミックプロダクション;永井豪	gekiman-2015	永井豪;永井豪&ダイナミックプロ	2		CONFLICT
9784575335071	サタニックブランチー変人探偵エムー	サタニックブランチ : 変人探偵エム	坂田靖子	satanikku-buranchi	坂田靖子	goburinzu-rai	坂田靖子	1		CONFLICT
9784575335071	サタニックブランチー変人探偵エムー	サタニックブランチ : 変人探偵エム	坂田靖子	satanikku-buranchi	坂田靖子	ranpushieedo	坂田靖子	1		CONFLICT
9784575723199	天才調香師宝条ミカ（1）	天才調香師宝条ミカ. 1	三浦みつる	tensai-choukoushi-houjou-mika	三浦みつる	lady-q	三浦みつる	1	9784537097290	CONFLICT
9784575723281	天才調香師宝条ミカ（2）	天才調香師宝条ミカ. 2	三浦みつる	tensai-choukoushi-houjou-mika	三浦みつる	lady-q	三浦みつる	2		CONFLICT
9784575820379	WINGS（1）	ウイングス 1	洋次;鎌田	wings	鎌田洋次	wings-1995	鎌田洋次	1		LOW
9784575820546	WINGS（2）	ウイングス 2	洋次;鎌田	wings	鎌田洋次	wings-1995	鎌田洋次	2		LOW
9784575935233	不機嫌亭漱石	不機嫌亭漱石		(所有者不明)		botsu-chan-no-jidai-1989	谷口ジロー;関川夏央	5		LOW
9784575935233	不機嫌亭漱石	不機嫌亭漱石		(所有者不明)		botsu-chan-no-jidai	谷口ジロー;関川夏央	5		LOW
9784592116912		カスティリアの貴婦人	森川久美	(所有者不明)		castille-no-kifujin	森川久美	1		CONFLICT
9784592116912		カスティリアの貴婦人	森川久美	(所有者不明)		nageki-no-torisu-tan	森川久美	1		CONFLICT
9784592122357	赤い羊の刻印　2	赤い羊の刻印. 第2巻	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	hakushaku-cain	由貴香織里	2	9784592888260	CONFLICT
9784592122357	赤い羊の刻印　2	赤い羊の刻印. 第2巻	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	kafuka	由貴香織里	2		CONFLICT
9784592122357	赤い羊の刻印　2	赤い羊の刻印. 第2巻	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	wasure-rareta-juliet	由貴香織里	2		CONFLICT
9784592125976	忘れられたジュリエット	忘れられたジュリエット	由貴香織里	wasure-rareta-juliet	由貴香織里	hakushaku-cain	由貴香織里	1	9784592888253	CONFLICT
9784592125976	忘れられたジュリエット	忘れられたジュリエット	由貴香織里	wasure-rareta-juliet	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	1		CONFLICT
9784592125976	忘れられたジュリエット	忘れられたジュリエット	由貴香織里	wasure-rareta-juliet	由貴香織里	kafuka	由貴香織里	1		CONFLICT
9784592130604	ラグナ戦記	ラグナ戦記	外薗昌也	ragunasenki	外薗昌也	amenohousoku	外薗昌也	1		CONFLICT
9784592134114	Oz（オズ）1	OZ(オズ) 1#	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	1		CONFLICT
9784592134121	Oz（オズ）2	オズ 1	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	2		CONFLICT
9784592134138	Oz（オズ）3	オズ 1	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	3		CONFLICT
9784592134145	OZ（4）	オズ 1	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	4		CONFLICT
9784592177623	スロップマンションにお帰り	スロップマンションにお帰り	高尾滋	slope-mansion-ni-okaeri	高尾滋	fushigi-toshokan	高尾滋	1		CONFLICT
9784592203216	合格祈願	合格祈願	高永ひなこ	goukaku-kigan	高永ひなこ	charenjaazu	高永ひなこ	1		CONFLICT
9784592204206	チャレンジャーズ（2）	チャレンジャーズ. 2	高永ひなこ	charenjaazu	高永ひなこ	goukaku-kigan	高永ひなこ	2		CONFLICT
9784592881711	妖精王（第1巻）	妖精王. 第1巻	山岸涼子	youseiou	山岸凉子	dream	山岸凉子	1		LOW
9784592881728	妖精王（第2巻）	妖精王. 第2巻	山岸涼子	youseiou	山岸凉子	dream	山岸凉子	2		LOW
9784592881735	妖精王（第3巻）	妖精王. 第3巻	山岸涼子	youseiou	山岸凉子	dream	山岸凉子	3		LOW
9784592887997	不思議図書館	不思議図書館 : 高尾滋作品集	高尾滋	fushigi-toshokan	高尾滋	slope-mansion-ni-okaeri	高尾滋	1		CONFLICT
9784592888253	伯爵カイン（第1巻）	伯爵カイン. 第1巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	1		CONFLICT
