class	n_pages	canonical	pages	authors	vol_overlap
誤接続/別題	2	chokoreito	chiyokoreito|chokoreito	フクシマハルカ	0.33
誤接続/別題	2	clamp-premium-collection-holic	clamp-premium-collection-holic|xxxholic	CLAMP	1.0
誤接続/別題	2	code-geass-soubou-no-ozu-o2	code-geass|code-geass-soubou-no-ozu-o2	サンライズ (1987年)|東條チカ	1.0
誤接続/別題	2	complex-kikuchi-2002	complex|complex-kikuchi-2002	まんだ林檎|菊池久美子	1.0
誤接続/別題	2	corseltel-no-ryuujitsushi	corseltel-no-ryuujitsushi|corseltel-no-ryuujitsushi-koryuu-monogatari	石動あゆま	0.5
誤接続/別題	2	cross-game	cross-game|cross-game-2014	あだち充	0.35
誤接続/別題	2	crusader	crusader|crusader-kawaso-2002	水縞とおる|河惣益巳	1.0
誤接続/別題	2	d-n-ei-2	d-n-a2|d-n-ei-2	桂正和	1.0
誤接続/別題	2	daitokai-ni-hoero	daitokai-ni-hoero|yu-no-hana-tubame	こなみ詔子|楠桂	0.44
誤接続/別題	2	damekko-doubutsu	damekko-doubutsu|kuwata-kigurumi-gekijou-damekko-doubutsu	桑田乃梨子	0.27
誤接続/別題	2	darkness-2006	darkness|darkness-2006	魔木子	1.0
誤接続/別題	2	darling-2008	darling-2008|oh-my-darling	上田美和|秋本尚美	1.0
誤接続/別題	2	deekkirai	deekkirai|deetsu-kirai	牧野和子	0.8
誤接続/別題	2	desire-1989	desire-1989|desire-kanazawa-2001	森園みるく|金沢有倖	1.0
誤接続/別題	2	dessin	dessin|nico-says	小野塚カホリ	1.0
誤接続/別題	2	dora-beesu	dora-beesu|dorabeesu-doraemon-super-baseball-gaiden	むぎわらしんたろう	0.39
誤接続/別題	2	doubles-1992	doubles-1987|doubles-1992	佐野未央子|小谷憲一	1.0
誤接続/別題	2	dragon-efekuto-sakamoto-ryouma-ibun	dragon-efekuto-sakamoto-ryouma-ibun|dragon-effect	K Storm	0.67
誤接続/別題	2	duel-masters-2017	duel-masters|duel-masters-2017	松本しげのぶ	0.94
誤接続/別題	2	dusk-story	dusk-story|dusk-street	TONO	0.5
誤接続/別題	2	eikou-no-naporeon	eikou-no-naporeon|eroika	池田理代子	1.0
誤接続/別題	2	ekiben-hitoritabi	ekiben-hitoritabi|shin-ekiben-hitoritabi	はやせ淳	0.58
誤接続/別題	2	eva-lady	eva-lady|eva-lady-miyonescy	御米椎	0.5
誤接続/別題	2	fate-grand-order-turas-r-alta	fate-grand-order-turas-r-alta|fate-grand-order-turas-realta	カワグチタケシ	0.05
