slug	title	英化候補run
super-robot-taisen-alpha-4-koma-gyagu-battle	スーパーロボット大戦α 4コマギャグバトル	スーパーロボット→super-robot
super-robot-taisen-alpha-gaiden-4-koma-gyagu-battle	スーパーロボット大戦α外伝 4コマギャグバトル	スーパーロボット→super-robot
super-robot-taisen-alpha-psycho-doraibaazu	スーパーロボット大戦α さいこどらいばあず	スーパーロボット→super-robot
super-robot-taisen-og-dibain-wars-record-of-atx	スーパーロボット大戦OG-ディバイン・ウォーズ-Record of ATX	スーパーロボット→super-robot
super-robot-taisen-og-ji-inspector-record-of-atx	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX	スーパーロボット→super-robot
super-robot-taisen-oojii-ji-insupekutaa-record-obu-eeteiiekkusu-bad-beat-bankaa	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX BAD BEAT BUNKER	スーパーロボット→super-robot
super-robot-taisen-oojii-saga-ryuukoou-denki-kanketsuhen	スーパーロボット大戦OGサーガ龍虎王伝奇完結編	スーパーロボット→super-robot
super-robot-taisen-tribute	スーパーロボット大戦トリビュート	スーパーロボット→super-robot
super-sabutsu-gekijou	スーパーさぶっ!!劇場	スーパー→super
super-sabutsu-world-cup-ganbare-zakku-japan	スーパーさぶっ! W杯がんばれザックジャパン	スーパー→super
super-saiyuuki	スーパー西遊記	スーパー→super
super-seikai-golden-derakkusu	スーパー政界ゴールデン・デラックス	スーパー→super
super-seme-sama-to-toki-o-kakeru-ore	スーパー攻め様と時をかける俺	スーパー→super
super-sentai-gahou	スーパー戦隊画報	スーパー→super
super-sister-mio	スーパー♥sisterみお	スーパー→super
super-star-wa-gokigen-naname	スーパースターはご機嫌ナナメ	スーパースター→super-star
super-taiheiki	スーパー太平記	スーパー→super
superstar-o-utatte	スーパースターを唄って。	スーパースター→super-star
supootsu-i	スポーツ医	スポーツ→sports
suppin-girl	すっぴんガール	ガール→girl
suppin-spirit	すっぴん・スピリット	・スピリット→spirit
suriranka-de-cafe-hajimemashita	スリランカでカフェはじめました	カフェ→cafe
sushi-girl	寿司ガール	ガール→girl
suterare-elf-san-wa-sekai-de-ichiban-tsuyokute-kawaii	捨てられエルフさんは世界で一番強くて可愛い!	エルフ→elf
sutoritofuaita2v	ストリートファイターII V列伝	ストリートファイター→street-fighter
suugaku-girl-fermat-no-saishuu-teiri	数学ガール フェルマーの最終定理	ガール→girl
suugaku-girl	数学ガール	ガール→girl
suupaamaaketsuto-86-jiyuuroku	スーパーマーケット'86	スーパーマーケット→super-market
suzu-to-mitsugo-no-boyfriend	鈴と3つごのボーイフレンド	ボーイフレンド→boy-friend
suzunari-doubutsu-house	すずなり動物ハウス	ハウス→house
sweet-10	スイート10	スイート→sweet
sweet-black	スイートブラック	スイートブラック→sweet-black
sweet-body-o-meshiagare	スイートボディを召しあがれ	スイートボディ→sweet-body
sweet-boy-ni-goyoujin	スイートボーイにご用心	スイートボーイ→sweet-boy
sweet-heart	スイート・ハート	スイート・ハート→sweet-heart
sweet-home-1989	スイートホーム	スイートホーム→sweet-home
sweet-house	スイートハウス	スイートハウス→sweet-house
sweet-ichigo-chocolat	スイート❤いちごショコラ	スイート→sweet
sweet-mission	スイート☆ミッション	スイート→sweet; ミッション→mission
sweet-na-ou-sama	スイートな王様	スイート→sweet
tadaima-heart-konsen-chuu	ただいまハート❤混線中	ハート→heart
taikiretsu-girl	待機列ガール	ガール→girl
taira-hisashi-no-bakushou-world	平ひさしの爆笑ワールド	ワールド→world
