slug	title	detail
konno-keiko-shoki-sakuhinshuu	紺野けい子初期作品集	
kouda-momoko-love-joshi-tanpenshuu	幸田もも子 恋愛女子短編集	
koufuku-collection	幸腹コレクション	
koyama-yuu-tanpenshuu	小山ゆう短編集	
kuradashi-senshuu-comic-ran-soukan-20-shuunen-kinen-tokubetsu-henshuu	蔵出し選集!!コミック乱創刊20周年記念特別編集	
kuri-ippei-sakuhinshuu	九里一平作品集	
kurumi-chino-tanpenshuu	胡桃ちの短編集	
kusumoto-maki-senshuu	楠本まき選集	
kusunoki-shouhei-collection	楠勝平コレクション	
kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	
kuwata-jirou-adaruto-tanpenshuu	桑田次郎アダルト短編集	
kyoufu-shinrei-jubaku-selection	恐怖!心霊呪縛セレクション	
kyouseisaku-selection	叶精作セレクション	
long-riders-tanpenshuu	ろんぐらいだぁす!短編集	
love-collection	ラブ・コレクション	
lupin-iii-tankoubon-mishuuroku-sakuhinshuu	ルパン三世単行本未収録作品集	
m-collection	Mコレクション	
maboroshi-no-komatsu-sakyou-mori-minoru-manga-zenshuu	幻の小松左京 モリ・ミノル漫画全集	
magajin-1888	少年マガジン大全集復刻版	
magajin	少年マガジン大全集復刻版	
manabe-jouji-sakuhinshuu-maina-kishin-souki	真鍋譲治作品集マイナ奇神走機	
manga-bungaku-zenshuu	漫画文学全集	
marugoshi-deka-super-collection	まるごし刑事スーパーコレクション	
masumura-hiroshi-miyazawa-kenji-senshuu	ますむら・ひろし宮沢賢治選集	
matsumoto-izumi-tanpenshiyuu	まつもと泉短編集	
matsumoto-takaharu-sakuhinshuu	松本嵩春作品集	
matsuzawa-natsuki-tanpenshuu	松沢夏樹短編集	
mei-tantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	名探偵浅見光彦＆旅情ミステリーコミックセレクション	
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	
mifukkoku-sf-sakuhinshuu	未復刻SF作品集	
miiko-selection	みい子セレクション	
minami-touko-love-joshi-tanpenshuu	南塔子恋愛女子短編集	
minamino-mashiro-irasuto-collection	南野ましろイラストコレクション	
mizuki-shigeru-gensenshuu-i	水木しげる厳選集異	
mizuki-shigeru-kaiki-to-fuushi-sakuhinshuu	水木しげる怪奇と風刺作品集	
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	
mizuki-shigeru-senki-manga-meisaku-collection	水木しげる戦記漫画名作コレクション	
mobile-suit-gundam-tanpenshuu-shin-ms-senki	機動戦士ガンダム短編集 新MS戦記	
monster-collection	モンスター・コレクション	
mori-hideki-senshuu	森秀樹選集	
morikawa-kumi-tanpenshuu	森川久美短編集	
morohoshi-daijirou-tanpen-shuusei	諸星大二郎短編集成	
munakata-kyouju-selection	宗像教授セレクション	
murakami-katsura-tanpenshuu	村上かつら短編集	
murao-mio-senshuu	村生ミオ選集	
mutant-turtles-classic-collection	ミュータントタートルズクラシックコレクション	
mutsu-eiko-otomechikku-collection	陸奥A子おとめちっくコレクション	
mystery-selection	ミステリーセレクション	
nachi-misako-tanpenshuu	奈知未佐子短編集	
nagahama-monogatari-taishou-collection	長浜ものがたり大賞コレクション	
nagai-gou-manga-daizenshuu	永井豪漫画大全集	
nagata-masami-love-joshi-tanpenshuu	永田正実 恋愛女子短編集	
nagayasu-takumi-sakuhinshuu	ながやす巧作品集	
naka-tomoko-collection	名香智子コレクション	
nakahara-aya-love-joshi-tanpenshuu	中原アヤ恋愛女子短編集	
nakayama-seika-selection	中山星香セレクション	
nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	
nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治平和マンガ作品集	
nameko-bungaku-zenshuu	なめこ文學全集	
nananan-kiriko-mishuuroku-sakuhinshuu	魚喃キリコ未収録作品集	
nanatsu-no-taizai-irasuto-collection	七つの大罪 イラストコレクション	
natsume-isaku-zenshuu	夏目イサク全集	
nico-sezz-selection	ニコセッズセレクション	
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	
niiyama-takashi-tanpenshuu	新山たかし短編集	
nishimori-hiroyuki-tanpenshuu	西森博之短編集	
nono-chan-zenshuu	ののちゃん 全集	
okada-fumiko-sakuhinshuu	岡田史子作品集	
okazaki-jirou-sf-tanpenshuu-before-60	岡崎二郎SF短編集ビフォー60	
onnatomodachi-drama-selection	女ともだちドラマセレクション	
ooshima-yumiko-selection	大島弓子セレクション	
oota-motoyuki-kessaku-tanpenshuu	太田基之傑作短編集	
orange-collection	オレンジコレクション	
ozawa-satoru-mishuuroku-tanpenshuu	小沢さとる未収録短編集	
oze-akira-senshuu	尾瀬あきら選集	
penguin-no-mondai-reiwa-daimondai-selection	ペンギンの問題令和大問題セレクション	
