shared_isbn	rakuten_title	n_owners	owner_slug	wrong_slug	wrong_vol	proposed_isbn	how
9784883154449		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	19		NDL要(meta)
9784883154579		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	20		NDL要(meta)
9784883154579		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	20		NDL要(meta)
9784883154890		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	21		NDL要(meta)
9784883154890		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	21		NDL要(meta)
9784883155705		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	31		NDL要(meta)
9784883155705		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	31		NDL要(meta)
9784883158065		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	33		NDL要(meta)
9784883158065		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	33		NDL要(meta)
9784885704260		0	(所有者不明)	juran	1		NDL要(meta)
9784885704260		0	(所有者不明)	saishuu-sensou-densetsu	1		NDL要(meta)
9784885704260		0	(所有者不明)	saishuu-sensou	1		NDL要(meta)
9784885705342	キャットウォーク	1	catwalk	cat-walk	1		NDL要(meta)
9784886533685	SF★ファイブ	1	sf-five	5-2000	1		NDL要(meta)
9784887415010		0	(所有者不明)	king-shinmura-2002	1		NDL要(meta)
9784887415010		0	(所有者不明)	king-z	1		NDL要(meta)
9784887415010		0	(所有者不明)	king	1		NDL要(meta)
9784887415249		0	(所有者不明)	gi-king	2		NDL要(meta)
9784887415249		0	(所有者不明)	king-shinmura-2002	2		NDL要(meta)
9784887415249		0	(所有者不明)	king-z	2		NDL要(meta)
9784887415249		0	(所有者不明)	king	2		NDL要(meta)
9784887415508		0	(所有者不明)	gi-king	3		NDL要(meta)
9784887415508		0	(所有者不明)	king-shinmura-2002	3		NDL要(meta)
9784887415508		0	(所有者不明)	king-z	3		NDL要(meta)
9784887415508		0	(所有者不明)	king	3		NDL要(meta)
9784887741140		0	(所有者不明)	sakura-2020	1		NDL要(meta)
9784887741140		0	(所有者不明)	sakura-moon	1		NDL要(meta)
9784891894665		0	(所有者不明)	cyber-comics	13		NDL要(meta)
9784891894665		0	(所有者不明)	saibaa-comics	13		NDL要(meta)
9784894650022		0	(所有者不明)	red-dragon-ikeno-2016	3		NDL要(meta)
9784894650022		0	(所有者不明)	red-dragon	3		NDL要(meta)
9784894650282		0	(所有者不明)	red-dragon-ikeno-2016	5		NDL要(meta)
9784894650282		0	(所有者不明)	red-dragon	5		NDL要(meta)
9784894862173		0	(所有者不明)	peace-2004	1		NDL要(meta)
9784894862173		0	(所有者不明)	peace-mashuko	1		NDL要(meta)
9784894862173		0	(所有者不明)	piece	1		NDL要(meta)
9784915289293		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	3		NDL要(meta)
9784915289293		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	3		NDL要(meta)
9784915289309		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	4		NDL要(meta)
9784915289309		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	4		NDL要(meta)
9784915289316		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	5		NDL要(meta)
9784915289316		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	5		NDL要(meta)
9784915289323		0	(所有者不明)	shin-agatte-nanbo-taichiyo-nakuna	6		NDL要(meta)
9784915289323		0	(所有者不明)	shinshin-agatte-nanbo-taichi-yo-nakuna	6		NDL要(meta)
9784938544997		0	(所有者不明)	red-dragon-ikeno-2016	2		NDL要(meta)
9784938544997		0	(所有者不明)	red-dragon	2		NDL要(meta)
