slug	title	std_vols	publishers	majority	minority_detail	minority_vols
maid-kara-haha-ni-narimashita	メイドから母になりました	13	星雲社:9 | 星雲社(発売):4	星雲社	星雲社(発売)=[7, 8, 9, 10]	[7, 8, 9, 10]
masamune-kun-no-revenge	政宗くんのリベンジ	13	講談社:7 | 一迅社:6	講談社	一迅社=[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
oku-sama-ga-seito-kaichou	おくさまが生徒会長!	13	一迅社:4 | 講談社:2	一迅社	講談社=[12, 13]	[12, 13]
tensei-kyuuketsuki-san-wa-ohirune-ga-shitai	転生吸血鬼さんはお昼寝がしたい	13	アース・スターエンターテイメント:11 | 泰文堂:2	アース・スターエンターテイメント	泰文堂=[1, 2]	[1, 2]
trace	トレース	13	徳間:8 | コアミックス:5	徳間	コアミックス=[9, 10, 11, 12, 13]	[9, 10, 11, 12, 13]
uchi-no-3-shimai	うちの3姉妹	13	主婦の友社:9 | 竹書房:4	主婦の友社	竹書房=[1, 2, 3, 4]	[1, 2, 3, 4]
yuukyuu-no-gusha-asley-no-kenja-no-susume-to-pochi-no-daibouken	悠久の愚者アズリーの、賢者のすゝめと、ポチの大冒険	13	アース・スターエンターテイメント:11 | 泰文堂:1	アース・スターエンターテイメント	泰文堂=[1]	[1]
inden-san-to-enmusubi	印伝さんと縁結び	12	宙出版:7 | ジャイブ(発売):3 | ジャイブ:2	宙出版	ジャイブ=[8, 9];ジャイブ(発売)=[10, 11, 12]	[8, 9, 10, 11, 12]
isekai-ni-tobasareta-otsu-san-wa-doko-e-iku	異世界に飛ばされたおっさんは何処へ行く?	12	星雲社:7 | 星雲社(発売):5	星雲社	星雲社(発売)=[6, 7, 8, 9, 10]	[6, 7, 8, 9, 10]
kara-no-kyoukai	空の境界	12	講談社:11 | KADOKAWA:1	講談社	KADOKAWA=[1]	[1]
monogatari-no-naka-no-hito	物語の中の人	12	星雲社:8 | 星雲社(発売):4	星雲社	星雲社(発売)=[7, 8, 9, 10]	[7, 8, 9, 10]
re-monster	Re:Monster	12	星雲社:9 | 星雲社(発売):3	星雲社	星雲社(発売)=[8, 9, 10]	[8, 9, 10]
yubisaki-kara-honki-no-netsujou	指先から本気の熱情	12	星雲社:7 | 星雲社(発売):5	星雲社	星雲社(発売)=[5, 6, 7, 8, 9]	[5, 6, 7, 8, 9]
agharta	AGHARTA	11	ワニブックス:2 | 集英社:1	ワニブックス	集英社=[9]	[9]
buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	11	青泉社:9 | 青泉社(発売):1	青泉社	青泉社(発売)=[1]	[1]
bungaku-shojo	文学処女	11	LINEDigitalFrontier:8 | LINE:3	LINEDigitalFrontier	LINE=[1, 2, 3]	[1, 2, 3]
corseltel-no-ryuujitsushi	コーセルテルの竜術士	11	講談社:4 | 一迅社:2	講談社	一迅社=[8, 9]	[8, 9]
danchigai	だんちがい	11	講談社:6 | 一迅社:5	講談社	一迅社=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
debu-to-love-to-ayamachi-to	デブとラブと過ちと!	11	ハーパーコリンズ・ジャパン:6 | Jパブリッシング:5	ハーパーコリンズ・ジャパン	Jパブリッシング=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
doukyonin-wa-hiza-tokidoki-atama-no-ue	同居人はひざ、時々、頭のうえ。	11	フレックスコミックス:7 | ほるぷ出版:3	フレックスコミックス	ほるぷ出版=[1, 2, 4]	[1, 2, 4]
isekai-de-tochi-o-katte-noujou-o-tsukurou	異世界で土地を買って農場を作ろう	11	幻冬舎:9 | 幻冬舎(発売):1	幻冬舎	幻冬舎(発売)=[3]	[3]
isekai-yururi-kikou	異世界ゆるり紀行	11	星雲社:7 | 星雲社(発売):4	星雲社	星雲社(発売)=[4, 5, 6, 7]	[4, 5, 6, 7]
jii-sama-ga-iku	じい様が行く	11	星雲社(発売):6 | 星雲社:5	星雲社(発売)	星雲社=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
