slug	title	detail
lupin-tai-holmes	ルパン対ホームズ	安田達矢ダイナミック・プロダクション
maajan-hourouki-2020	麻雀放浪記2020	東映株式会社
maeda-toshiie	前田利家	ダイナミックプロダクション
magajin-1888	少年マガジン大全集復刻版	コミックス編集
magajin	少年マガジン大全集復刻版	コミックス編集
magic-tree-house	マジック・ツリーハウス	マジック・ツリーハウス製作委員会
maguro-tosabune	まぐろ土佐船	青柳プロダクション
mahou-shougakusei-magical-hazure-chan	魔法小学生マジカルはずれちゃん	スタジオ寿
mahou-shoujo-horo-witch	魔法少女ホロウィッチ!	カバー株式会社
maid-in-akatsuka-fujio	メイドイン赤塚不二夫	フジオ・プロダクション
majuu-sensen	魔獣戦線	ダイナミックプロダクション
manben	漫勉	スタジオナッツ
manga-gaishoku-ou-rendetsu	マンガ外食王列伝	日経レストラン編集部
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	NHKプロジェクトX制作班
manga-shin-nippon-doubutsuki	まんが新・日本どうぶつ記	編集部
maou-dante	魔王ダンテ	ダイナミックプロダクション
mayonakanosenshi	真夜中の戦士	ダイナミックプロダクション
mazin-ou-garon	魔神王ガロン	ダイナミックプロダクション
mazin-saga	マジン・サーガ	ダイナミックプロダクション
mazinger-z-2022	マジンガーZ 2022	ダイナミックプロダクション
mazinger-z	マジンガーZ	ダイナミックプロダクション
meshimase-kimono	召しませキモノ	スタジオクゥ
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	ホーム社
mirakyurasu	ミラキュラス	東映アニメーション株式会社
mirrorman-2d	ミラーマン2D	円谷プロダクション
mizuki-sensei-to-boku	水木先生とぼく	水木プロダクション
mobile-4-gundam-4koma-furontorain	機動戦士ガンダム4コマ最前線	角川書店
mobile-suit-gundam-2	機動戦士ガンダム2	コミックス
mobile-suit-gundam-3-1999	機動戦士ガンダム3	コミックス
momentarii-lily	もめんたりー・リリィ	松竹株式会社
mononoke	モノノ怪	-モノノ怪-製作委員会
monster	Monster	スタジオ・ナッツ
mooretsu-uchuu-kaizoku	モーレツ宇宙海賊	劇場版モーレツ宇宙海賊製作委員会
motto-atsumare-falcom-gakuen	も～っと集まれ!ファルコム学園	日本ファルコム株式会社
