slug	title	our_author	src_author(種1/楽天)	誤ISBN数
shinjuku-seven	新宿セブン	奥谷通教	奥道則;観月昴	12
yamaguchi-kun-wa-warukunai	山口くんはワルくない	一本木尊	斉木優	12
yoshio-no-sora	義男の空	(unknown)	エアーダイブ	12
youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e	ようこそ実力至上主義の教室へ	アサヒアケル	トモセシュンサク;一乃ユユ;衣笠彰梧	12
yubisaki-kara-honki-no-netsujou	指先から本気の熱情	秋月綾	川野タニシ	12
ai-de-naku	愛でなく	獸木野生	伸タマキ	11
debu-to-love-to-ayamachi-to	デブとラブと過ちと!	旧都ナギ	ママカリ	11
dorei-yuugi	奴隷遊戯	赤沢佳	ヤマイナナミ;木村隆志	11
fate-grand-order-comic-la-carte	Fate/Grand Orderコミック	henselerthomas	type-moon;コンプエース編集	11
fire-emblem-1993	ファイアーエムブレム	島田ヒロカズ	大沢美月	11
fire-emblem-nintendo-1996	ファイアーエムブレム	ウサ銀太郎	大沢美月	11
geeparo-4-koma-guranpuri	ゲーパロ4コマグランプリ	アトラス株式会社;カプコン;五月五日	コミックゲーメスト編集部	11
gifted	ギフテッド	樹林伸;紺津名子	天樹征丸;雨宮理真	11
groundless	GROUNDLESS	森野キコリ	影待蛍太	11
ikazuchi	雷神	佐野タカシ	森ミズホ	11
isekai-tensei-no-boukensha	異世界転生の冒険者	三日月シズカ	ケンイチ;シバノ番茶;ネム	11
kimi-to-koete-koi-ni-naru	キミと越えて恋になる	冬坂コロモ	柚樹チヒロ	11
kimi-wa-maid-sama	君は冥土様。	number8	ショタン	11
king-sama-no-ichiban-boshi	キング様のいちばん星	八街潤	如月ユキノ	11
kokuryuu-sama-no-minarai-hanayome	黒龍さまの見習い花嫁	アトリエセントー	三月ユカ	11
kudamimi-no-neko	くだみみの猫	アカコッコ	中山幸	11
kyuuketsuki-to-bara-shoujo	吸血鬼と薔薇少女	卓美涼	朝香ノリコ	11
lv-1-maou-to-room-yuusha	Lv 1魔王とワンルーム勇者	マエジマ	toufu	11
mobile-suit-gundam-dai-08-ms-shoutai	機動戦士ガンダム第08MS小隊	アクアロード	サンライズ	11
obaa-chan-shoujo-hinata-chan	老女的 (おばあちゃん) 少女ひなたちゃ	藤野モヤム	桑佳アサ	11
saijaku-muhai-no-bahamut	最弱無敗の神装機竜	空路恵	唯浦史;明月千里;渡辺樹	11
saitou-yoshitatsu-ni-umarekawatta-node-oda-nobunaga-ni-kuniyuzuri-shite-nagaiki-suru-no-o	斎藤義龍に生まれ変わったので、織田信長に	サブリック;権田原	マキムラシュンスケ;巽未頼;田村ユウ	11
sekai-de-tada-hitori-no-mamonotsukai	世界でただ一人の魔物使い	兎月アイ;浦津ユウジ	hu-ko;堂島ノリオ;筧千里	11
shaba-no-futsuu-wa-muzukashii	シャバの「普通」は難しい	ポロロッカ	バタコ;バタコ漫画家;中村颯希;村カ;村カルキ	11
tetsunaki-no-kirinji	鉄鳴きの麒麟児 歌舞伎町制圧編	ウヒョ助	塚脇永久;渋川難波	11
unmei-no-makimodoshi	運命の巻戻士	舞嶋大	木村風太	11
yakumo-san-wa-ezuke-ga-shitai	八雲さんは餌づけがしたい。	野田大輔	里見u	11
youkai-giga	妖怪ギガ	巳島早生	佐藤サツキ	11
yuusha-party-o-tsuihousareta-beast-tamer-tamer-no-neko-ji-shoujo-to-deau	勇者パーティーを追放されたビーストテイマ	力水;森永ミキ	深山鈴;茂村モト	11
ao-ni-rakurai	青に落雷	花時メニ	虹沢羽見	10
ashondeyotsu	あしょんでよッ	映画館	ラクダ	10
bengoshi-to-17-sai	弁護士と17歳	茨芽ヒサ	小野アンビ	10
dangan-takkuru	弾丸タックル	角光	佐藤由幸	10
doreiku	奴隷区	bell;大石普人	オオイシヒロト;岡田伸一	10
gakuen-fuusa	学園×封鎖	上田敦夫	nykken;八頭道尾	10
go-go-tamatama-tamagotchi	GO GO!たまたまたまごっち	yascorn	ヤスコ-ン;ヤスコーン;水木麻子	10
gokufuri-kyohi-shite-tesaguri-start-tokka-shinai-healer-nakama-to-wakarete-tabi-ni-deru	極振り拒否して手探りスタート!特化しない	アシ;ナマザカナ	miya*ki;刻一;蒼井一秀	10
goukon-ni-ittara-onna-ga-inakatta-hanashi	合コンに行ったら女がいなかった話	楢島サチ	蒼川ナナ	10
hajime-algorithm	はじめアルゴリズム	中馬孝博	三原和人	10
hebigami-sama-to-nie-no-hanahime	蛇神さまと贄の花姫	akr	蓮水リク	10
hikari-to-kage	光と影	叶輝	ryu;ヒオン	10
joshiryoku-takamena-shishihara-kun	女子力高めな獅子原くん	言炎	相舞ミー	10
kankinkon	監禁婚	龍翠	近藤シグレ	10
kimi-wa-haru-ni-me-o-samasu	君は春に目を醒ます	キアチマチ	縞アサト	10
koisuru-intelligence	恋するインテリジェンス	花巻カエル	丹下道	10
koko-hore-boketsu-chan	ここほれ墓穴ちゃん	ミキポン	キタムラマシュウ	10
konya-wa-tsuki-ga-kirei-desu-toriaezu-shine	今夜は月が綺麗ですが、とりあえず死ね	月並甲介	榊原宗々;要マジュロ	10
majo-to-yajuu	魔女と野獣	営業ノk	佐竹幸典	10
metcha-shoukansareta-ken-the-comic	めっちゃ召喚された件the comic	シチ	サイトウサ;ツグトク;六甲島カモメ	10
nakaseta-sekinin-tottekure	泣かせた責任とってくれ	クロバr	ナガトカヨ	10
nippon-no-rekishi-2007-2	日本の歴史	井上大助	児玉幸多;入間田宣夫;吉村武彦;岡村道雄;岩井渓	10
oda-cinnamon-nobunaga	織田シナモン信長	斉藤ロクロ	目黒川ウナ	10
odayaka-kizoku-no-kyuuka-no-susume	穏やか貴族の休暇のすすめ。@COMIC	岬pub2018;柚木ユノ;鵜呑	8key;サンド;孫之手ランプ;百地	10
ojou-sama-wa-oshioki-ga-suki	お嬢様はお仕置きが好き	酒井敦朗	モリナカモナカ	10
perfect-scandal	パーフェクトスキャンダル	ツワブキ杏	菊乃杏	10
rin	RIN	新井英樹	ハロルド作石;松井淳	10
sekai-saikyou-no-majo-hajimemashita	世界最強の魔女、始めました	小田ヒロ	riritto;坂木持丸;戸賀環	10
shinozaki-kun-no-mente-jijou	篠崎くんのメンテ事情	駄犬ヒロシ	鰤尾ミチル	10
shuumatsu-no-valkyrie-ki-tan-jack-za-ripper-no-file	終末のワルキューレ奇譚ジャック・ザ・リッ	後藤正人	イイヅカケイタ;終末ノワルキューレ	10
stella-no-mahou	ステラのまほう	黒澤真円	クロバu	10
tailor-mori	テラモリ	ガッキー	iko	10
tanku-chea	戦車椅子-TANK CHAIR-	渡邉タロウ	ヤシロ学	10
teiou-joushi-no-dekiai-sekkusu	帝王上司の溺愛セックス	松本ユウカ	空海リク	10
the-walking-dead	ウォーキング・デッド	adlardcharles	クリフラスバーン;ステファノガウディ;チャーリー	10
uguisudani-dead-zone	鶯谷デッドゾーン	マシマロウ;モチ漫画家	三日閉両;井深ミツ	10
watashi-no-oyome-kun	わたしのお嫁くん	細堀ユカリ	柴ナツミ	10
bokutachi-ga-yarimashita	僕たちがやりました	空木哲生	荒木光;金城宗幸	9
bousou-shojo	暴想処女	榎本ハイツ	酉川宇宙	9
fechippuru	フェチップル	長月天音	ルリ原ズラチー	9
funky-monkey-teacher	ファンキー・モンキーティーチャー	モリヤマツル	守山鶴	9
hajimete-no-nippon-no-rekishi	はじめての日本の歴史	サイトウシゲキ	コヤス珠世;タナカシエ;ヤマザキマコト;三条和都	9
hazukashisou-na-kao-de-oppai-misete-moraitai	恥ずかしそうな顔でおっぱい見せてもらいた	河内和泉	アキヅキ弥;アトキ;アヤミ;アンソロジー;イクタ	9
higurashi-no-naku-koro-ni-shinkitanshuu	ひぐらしのなく頃に 新奇譚集	一迅社	dmc編集部	9
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	山本マユリ	アンソロジー;朝日ソノラマ	9
ibitte-konai-gibo-to-gishi	いびってこない義母と義姉	中村朝	オツジ	9
inu-ni-nattara-suki-na-hito-ni-hirowareta	犬になったら好きな人に拾われた。	イツツセ	古川五勢	9
kankinjou	監禁嬢	マイトウ	河野那歩也	9
kazoku-de-tanoshimu-manga-hakken	家族で楽しむ「まんが発見!」	(unknown)	松田哲夫	9
killing-stalking	キリング・ストーキング	村田天	クギ	9
kono-healer-mendokusai	このヒーラー、めんどくさい	マシロ	丹念ニ発酵	9
kyojinzoku-no-hanayome	巨人族の花嫁	低橋	itkz	9
megamiryou-no-ryoubo-kun	女神寮の寮母くん。	樽戸アキ	日野行望	9
midori-no-basho	ミドリノバショ	明治ミチル	岡q	9
misen	未生	尹胎鎬	ユンテホ;古川綾子;金承福	9
musuko-ga-kawaikute-shikata-ga-nai-mazoku-no-hahaoya	息子がかわいくて仕方がない魔族の母親	シンギョウガク	十五夜	9
ore-wa-mada-honki-o-dashite-inai-dx	俺はまだ、本気を出していないDX	二宮カク;海産物	サクラネコ;リキタケ;三木ナズナ	9
oshi-ga-ani-ni-narimashita	推しが兄になりました	遊痴庵	隈浪サエ	9
rinko-san-wa-shite-mitai	凛子さんはシてみたい	ホンマジュンコ	藤田ミオ	9
sand-storm-slugger	SAND STORM SLUGGER	武川慎	高嶋栄充	9
shanai-marriage-honey	社内マリッジハニー	ナガヤマ由貴	藤原エミ	9
shinozaki-san-ki-o-otashikani	篠崎さん気をオタしかに!	高橋真弥	氷川翔	9
shouwa-no-gurazeni	昭和のグラゼニ	コージィ城倉	森高夕次	9
snowball-earth	スノウボールアース	小野寺ココロ	辻次夕日郎	9
supoon-nihongoban	SPAWN日本語版	大島豊	tマクファーレン	9
ame-to-kimi-to	雨と君と	クリモトピンコ	二階堂幸	8
anemone-wa-netsu-o-obiru	アネモネは熱を帯びる	studiohip-cats	桜木蓮	8
black-kigyou-no-shine-ga-neko-ni-natte-jinsei-ga-kawatta-hanashi-mofuta-kun-no-baai	ブラック企業の社員が猫になって人生が変わ	オオガキナコ	清水メリィ	8
blend-s	ブレンド・S	アカコッコ	中山幸	8
bless	ブレス	石田万	園山ユキノ	8
