slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
natsu-eno-tobira	夏への扉	standard	通常版	5	OLD_FIRST	v1(1976)→v2(1981)	1976-1981	ISBN無	2
neko-mix-maboroshi-ki-tan-toraji	猫mix幻奇譚とらじ	standard	通常版	5	MID_GAP	v13(2020)→v14(2025)	2008-2025		14
neko-puni	ねこぷに	standard	通常版	5	MID_GAP	v9(2009)→v26(2014)	2008-2014		6
nekomeewaku	ねこめ～わく	standard	通常版	5	MID_GAP	v2(1997)→v3(2002)	1993-2012	ISBN無	8
nekomusume-michikusa-nikki	ねこむすめ道草日記	standard	通常版	5	MID_GAP	v19(2019)→v20(2024)	2008-2024		20
niaizu	ニァイズ	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2019		2
niji-o-yobu-ken	虹をよぶ拳	standard	通常版	5	MID_GAP	v5(1972)→v6(1977)	1970-1977	ISBN無	7
no-game-no-life	ノーゲーム・ノーライフ	standard	通常版	5	OLD_FIRST	v1(2013)→v2(2018)	2013-2018		2
nousatsu-rock-shounen	悩殺ロック少年	standard	通常版	5	MID_GAP	v2(2006)→v3(2011)	2006-2013		4
oishinbo	美味しんぼ	bunkobon	文庫版	5	MID_GAP	v41(2003)→v42(2008)	2000-2016		76
ol-shinkaron	OL進化論	standard	通常版	5	MID_GAP	v37(2015)→v39(2020)	1990-2020		42
omata-kaoru	オマタかおる	standard	通常版	5	OLD_FIRST	v1(1991)→v2(1996)	1991-1996		2
onee-sama-no-gyakushuu	お姉さまの逆襲	standard	通常版	5	MID_GAP	v2(2001)→v3(2006)	2001-2006		3
oo-hoketsu	おお!!補欠	standard	通常版	5	OLD_FIRST	v1(1980)→v2(1985)	1980-1985	ISBN無	2
oomuroke	大室家	standard	通常版	5	MID_GAP	v2(2014)→v3(2019)	2013-2025		8
orange-2012	orange	standard	通常版	5	MID_GAP	v6(2017)→v7(2022)	2012-2022		7
ore-no-pan	俺のパン	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2019		2
orfina	Orfina	standard	通常版	5	MID_GAP	v7(2000)→v8(2005)	1996-2004		11
otogibanashi-wa-owaranai	おとぎ話は終わらない	standard	通常版	5	OLD_FIRST	v1(2017)→v2(2022)	2017-2022		2
otoyan	音やん	standard	通常版	5	MID_GAP	v11(1996)→v16(2001)	1991-2005		17
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	standard	通常版	5	OLD_FIRST	v2(2003)→v7(2008)	2003-2008		4
papa-told-me	Papa told me	standard	通常版	5	MID_GAP	v2(1988)→v3(1993)	1988-2004		27
peace-maker-kurogane	PEACE MAKER鐵	standard	通常版	5	MID_GAP	v5(2005)→v6(2010)	2002-2016		11
peesuke	ペエスケ	standard	通常版	5	OLD_FIRST	v1(1982)→v2(1987)	1982-1993		8
persona-3	ペルソナ3	standard	通常版	5	MID_GAP	v3(2008)→v4(2013)	2014-2017		11
ping-pong	ピンポン	standard	通常版	5	MID_GAP	v5(1997)→v6(2002)	1996-2002		9
pippira-note	ぴっぴら帳	standard	通常版	5	MID_GAP	v2(2017)→v3(2022)	2017-2022		3
pumpkin-scissors	パンプキン・シザーズ	standard	通常版	5	MID_GAP	v23(2019)→v24(2024)	2004-2024		24
ri-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	standard	通常版	5	OLD_FIRST	v1(2015)→v2(2020)	2015-2025		12
rin	RIN	standard	通常版	5	MID_GAP	v4(2009)→v5(2014)	2006-2016		14
rockman-megamix	ロックマンメガミックス	standard	通常版	5	MID_GAP	v2(1998)→v3(2003)	1997-2003		3
roomy-angel	ルーミィ・エンゼル	standard	通常版	5	OLD_FIRST	v1(1978)→v2(1983)	1978-1983		2
rush	Rush	standard	通常版	5	MID_GAP	v3(2003)→v4(2008)	1998-2011		5
sabaku-no-usagi	砂漠のウサギ	standard	通常版	5	OLD_FIRST	v1(2007)→v2(2012)	2007-2015		3
saikyou-yankee-to-makeinu-na-ore	最凶ヤンキーと負け犬な俺	standard	通常版	5	OLD_FIRST	v1(2017)→v2(2022)	2017-2022		2
sanada-kenryuu	真田剣流	standard	通常版	5	OLD_FIRST	v1(1961)→v2(1966)	1961-1966	ISBN無	3
sangokushi-1993	三国志	bunkobon	文庫版	5	MID_GAP	v6(1996)→v7(2001)	1996-2002		14
sanren-aruchizan	三連アルチザン	standard	通常版	5	OLD_FIRST	v1(2013)→v2(2018)	2013-2018		2
sasami-street	ささみストリート	standard	通常版	5	MID_GAP	v2(1994)→v3(1999)	1993-1999		3
scrap-stick	スクラップスチック	standard	通常版	5	OLD_FIRST	v1(1981)→v2(1986)	1981-1993		7
sense	センセ。	standard	通常版	5	MID_GAP	v4(2011)→v7(2016)	2009-2025		13
setsuko-yamada-no-nekozanmai	セツコ・山田の猫三昧	standard	通常版	5	OLD_FIRST	v1(1995)→v2(2000)	1995-2009		4
shabake-manga	しゃばけ漫画	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2023		4
shakkin-daiou-wa-maou-o-taosu	借金大王は魔王を倒す!	standard	通常版	5	OLD_FIRST	v1(2019)→v2(2024)	2019-2024		2
shamo	軍鶏	standard	通常版	5	MID_GAP	v25(2006)→v26(2011)	1998-2015		34
shangri-la	シャングリラ	standard	通常版	5	OLD_FIRST	v1(1991)→v2(1996)	1991-1998	ISBN無	8
sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	standard	通常版	5	OLD_FIRST	v1(2016)→v3(2021)	2016-2021		2
sherlock-ooinaru-game	SHERLOCK大いなるゲーム	standard	通常版	5	OLD_FIRST	v1(2016)→v3(2021)	2016-2021		2
shimoyamate-dress-besshitsu	下山手ドレス (別室)	standard	通常版	5	OLD_FIRST	v2(2014)→v3(2019)	2014-2019		2
shin-ikki-tousen	真・一騎当千	standard	通常版	5	MID_GAP	v3(2018)→v5(2023)	2016-2023		5
shin-juuishi-no-file	新獣医師の事件簿	standard	通常版	5	OLD_FIRST	v1(2011)→v2(2016)	2011-2019		3
shin-karate-jigokuhen	新カラテ地獄変	standard	通常版	5	MID_GAP	v12(1982)→v15(1987)	1979-1987	ISBN無	14
shin-watashi-no-heya-no-neko-houdai	新・私の部屋の猫放題	standard	通常版	5	OLD_FIRST	v1(2011)→v2(2016)	2011-2016		2
shinigami-doggy	死神DOGGY	standard	通常版	5	MID_GAP	v2(2011)→v3(2016)	2011-2016		3
shippo-ga-tomodachi	シッポがともだち	standard	通常版	5	MID_GAP	v2(1991)→v4(1996)	1997-2005		6
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	standard	通常版	5	MID_GAP	v3(2006)→v5(2011)	2007-2011		4
shirobako	SHIROBAKO	standard	通常版	5	MID_GAP	v2(2016)→v3(2021)	2015-2023		4
shouko-no-file	翔子の事件簿	bunkobon	文庫版	5	MID_GAP	v2(1997)→v3(2002)	1997-2018		16
shouni-geka-no-yuuka-sensei	小児外科のゆうか先生	standard	通常版	5	OLD_FIRST	v1(2019)→v2(2024)	2019-2024		2
sign-wa-ui	サインはV!	standard	通常版	5	MID_GAP	v8(1971)→v10(1976)	1969-1976	ISBN無	10
sobaya-genan	そば屋幻庵	standard	通常版	5	MID_GAP	v16(2019)→v17(2024)	2009-2025		18
sokkou-seitokai	速攻生徒会	standard	通常版	5	MID_GAP	v2(1996)→v3(2001)	1995-2001		3
sonna-omizu-no-hitorigoto	そんなお水のひとりごと	standard	通常版	5	MID_GAP	v2(1994)→v3(1999)	1998-1999		4
soredemo-kichijouji-dake-ga-sumitai-machi-desuka	それでも吉祥寺だけが住みたい街ですか	standard	通常版	5	OLD_FIRST	v1(2021)→v2(2026)	2021-2026		2
soubi-seisakukei-cheat-de-isekai-o-jiyuu-ni-ikite-ikimasu	装備製作系チートで異世界を自由に生き	standard	通常版	5	MID_GAP	v5(2020)→v6(2025)	2020-2025		6
soutai-flight-sign	相対フライトサイン	standard	通常版	5	OLD_FIRST	v1(2018)→v2(2023)	2018-2023		2
souten-no-ken-regenesis	蒼天の拳リジェネシス	standard	通常版	5	MID_GAP	v4(2020)→v5(2025)	2018-2025		6
spiral-alive	スパイラル・アライヴ	standard	通常版	5	OLD_FIRST	v1(2002)→v2(2007)	2002-2008		5
sugawa-maki-no-kyoufu-gakkou-densetsu	栖川マキの恐怖学校伝説	standard	通常版	5	MID_GAP	v3(2016)→v4(2021)	2011-2021		4
suikoden-2000	水滸伝	bunkobon	文庫版	5	MID_GAP	v3(2000)→v4(2005)	2000-2005		8
sunabouzu	砂ぼうず	standard	通常版	5	MID_GAP	v13(2005)→v14(2010)	1997-2020		22
susume-natsu-rocket-rokettodan	進め!なつのロケット団	standard	通常版	5	OLD_FIRST	v1(2016)→v2(2021)	2016-2021		2
taiman-buruusu	たいまんぶるうす	standard	通常版	5	MID_GAP	v4(1988)→v5(1993)	1987-1993	ISBN無	7
talking-lip	Talking Lip	wideban	ワイド版	5	MID_GAP	v2(1995)→v3(2000)	1993-2000		3
tarashi-kun	たらし君	standard	通常版	5	MID_GAP	v2(1986)→v3(1991)	1990-1991		3
tarou-wa-mizu-ni-naritakatta	太郎は水になりたかった	standard	通常版	5	MID_GAP	v2(2016)→v3(2021)	2015-2021		3
tatakae-harumaki	闘え!春巻	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2019		2
the-hideki	The Hideki	standard	通常版	5	MID_GAP	v2(2000)→v3(2005)	1999-2005		3
tokimeki-tameiki-room-share	トキメキ、タメイキ、ルームシェア	standard	通常版	5	OLD_FIRST	v1(2016)→v2(2021)	2016-2022		3
tokkou-no-shima	特攻の島	standard	通常版	5	OLD_FIRST	v1(2006)→v2(2011)	2006-2018		9
tokumei-kakarichou-tadano-hitoshi-final	特命係長只野仁ファイナル	standard	通常版	5	OLD_FIRST	v1(2015)→v2(2020)	2015-2020		4
tokyo-vampire	東京バンパイヤ	standard	通常版	5	OLD_FIRST	v1(1987)→v2(1992)	1987-1992		2
tooku-e-ikitai	遠くへいきたい	standard	通常版	5	MID_GAP	v4(2002)→v5(2007)	1997-2007		5
toriyama-akira-marusaku-gekijou	鳥山明○作劇場	standard	通常版	5	OLD_FIRST	v2(1988)→v3(1997)	1983-1997		3
toudo-ruuza	闘奴ルーザ	standard	通常版	5	MID_GAP	v2(1989)→v3(1994)	1989-1994		3
tsuki-no-sango	月の珊瑚	standard	通常版	5	OLD_FIRST	v1(2014)→v2(2019)	2014-2019		2
tsuki-to-laika-to-nosferatu	月とライカと吸血姫(ノスフェラトゥ)	standard	通常版	5	OLD_FIRST	v1(2018)→v2(2023)	2018-2023		2
twinkle-saber-nova	ティンクルセイバーNOVA	standard	通常版	5	MID_GAP	v3(2007)→v4(2012)	2004-2012		4
uchuu-eiyuu-monogatari	宇宙英雄物語	standard	通常版	5	MID_GAP	v5(1991)→v6(1996)	1989-1996		8
usagi-kotton-100-paasento	ウサギコットン100%	standard	通常版	5	MID_GAP	v2(2020)→v3(2025)	2016-2025		3
usaru-san	うさるさん。	standard	通常版	5	OLD_FIRST	v1(2006)→v3(2011)	2006-2011		2
variee-garden	バリエガーデン	standard	通常版	5	MID_GAP	v4(2018)→v6(2023)	2014-2023		6
voice-or-noise	Voice or noise	standard	通常版	5	OLD_FIRST	v1(2003)→v2(2008)	2003-2011		4
wakatono-wa-tsuraiyo	若殿はつらいよ!	standard	通常版	5	OLD_FIRST	v1(2016)→v2(2021)	2016-2022		4
wankorobee	わんころべえ	standard	通常版	5	OLD_FIRST	v1(1980)→v2(1985)	1980-1985	ISBN無	2
yotsuya-shibuya-iriya-zoushigaya	四ッ谷渋谷入谷雑司ヶ谷!!	standard	通常版	5	OLD_FIRST	v1(1999)→v2(2004)	1999-2004		2
yuu-gi-ou-5ds	遊・戯・王5D's	standard	通常版	5	MID_GAP	v2(2010)→v9(2015)	2010-2015		3
zanzou-suroomooshon	残像スローモーション	standard	通常版	5	OLD_FIRST	v1(2020)→v2(2025)	2020-2026		3
zenikko	銭っ子	standard	通常版	5	MID_GAP	v2(1972)→v3(1977)	1972-1977	ISBN無	5
zenji-kun-okarishimasu	善次くんお借りします	standard	通常版	5	OLD_FIRST	v1(2017)→v2(2022)	2017-2025		5
zerosen-shounen	零戦少年	standard	通常版	5	OLD_FIRST	v1(2015)→v2(2020)	2015-2020		2
zoku-nani-sama-no-tsumorida	続何様のつもりダ!!	standard	通常版	5	OLD_FIRST	v1(1998)→v2(2003)	1998-2008		3
