slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
double-yuki-2008	DOUBLE	standard	通常版	6	OLD_FIRST	v1(2002)→v2(2008)	2002-2009	ISBN無	3
douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne	どうやら私の身体(からだ)は完全無敵	standard	通常版	6	MID_GAP	v3(2019)→v13(2025)	2019-2025		3
dragless-sex	ドラッグレス・セックス	standard	通常版	6	OLD_FIRST	v1(2016)→v3(2022)	2016-2022		2
dragon-ball	ドラゴンボール	standard	通常版	6	MID_GAP	v3(1986)→v4(1992)	1985-1995		42
esu-to-emu	SとM	standard	通常版	6	MID_GAP	v28(2012)→v29(2018)	2005-2020		30
flcl	フリクリ	standard	通常版	6	MID_GAP	v2(2001)→v3(2007)	2000-2007		3
furuhon-yatai	古本屋台	standard	通常版	6	OLD_FIRST	v1(2018)→v2(2024)	2018-2024		2
fushigi-no-kuni-no-chief	不思議の国のチーフ	standard	通常版	6	OLD_FIRST	v1(2015)→v2(2021)	2015-2021		2
fushigi-yuugi-byakko-senki	ふしぎ遊戯白虎仙記	standard	通常版	6	OLD_FIRST	v1(2018)→v2(2024)	2018-2025		5
gakuran-hourouki	ガクラン放浪記	standard	通常版	6	OLD_FIRST	v5(1990)→v6(1999)	1984-1999		6
ghost-mama-sousasen	ゴーストママ捜査線	standard	通常版	6	MID_GAP	v3(2006)→v4(2012)	2002-2012		6
girlfriends	ガールフレンズ	standard	通常版	6	OLD_FIRST	v1(1994)→v2(2000)	1994-2000		2
girly-hypers	ガーリーハイパーズ	standard	通常版	6	MID_GAP	v2(2001)→v3(2007)	2000-2007		3
glass-no-kamen	ガラスの仮面	standard	通常版	6	MID_GAP	v41(1998)→v42(2004)	1976-2012		49
goddess	ガッデス	standard	通常版	6	OLD_FIRST	v1(2011)→v3(2017)	2011-2017		2
goukaku-kigan	合格祈願	standard	通常版	6	MID_GAP	v2(1998)→v4(2004)	1996-2004		3
gunka-no-hibiki	軍靴の響き	standard	通常版	6	OLD_FIRST	v2(1991)→v3(2002)	1985-2002	ISBN無	3
guresanpo	グレさんぽ	standard	通常版	6	OLD_FIRST	v1(2017)→v3(2023)	2017-2023		2
hana-to-oku-tan	花と奥たん	standard	通常版	6	MID_GAP	v2(2013)→v3(2019)	2009-2019		5
hanazakari-no-kimitachi-e-after-school	花ざかりの君たちへAfter Sch	standard	通常版	6	OLD_FIRST	v1(2010)→v2(2016)	2010-2016		2
hasegawa-chouji	HASEGAWA長治	standard	通常版	6	MID_GAP	v2(1999)→v3(2005)	1999-2005		3
hellhound-2018	ヘルハウンド	standard	通常版	6	MID_GAP	v2(2018)→v5(2024)	2018-2024		3
herubooi	ヘルボーイ	standard	通常版	6	OLD_FIRST	v1(2004)→v2(2010)	2004-2010		2
hetaria	ヘタリア	standard	通常版	6	MID_GAP	v2(2008)→v3(2014)	2008-2013		6
himitsu-no-akko-chan	ひみつのアッコちゃん	standard	通常版	6	OLD_FIRST	v1(1974)→v2(1980)	1974-1974	ISBN無	5
hinotori	火の鳥	standard	通常版	6	OLD_FIRST	v12(1983)→v13(1994)	1970-1995	ISBN無	16
hiyaku-monogatari-bai-yooko	百物語 BY. Y・O・K・O	standard	通常版	6	OLD_FIRST	v1(1986)→v2(1992)	1986-1992		2
ichigomashimaro	苺ましまろ	standard	通常版	6	MID_GAP	v8(2017)→v9(2023)	2003-2023		9
iga-no-kagemaru	伊賀の影丸	standard	通常版	6	OLD_FIRST	v8(1969)→v9(1976)	1963-1976	ISBN無	15
in-hand-2019	インハンドプロローグ	standard	通常版	6	MID_GAP	v2(2019)→v6(2025)	2019-2025		3
in-these-words	IN THESE WORDS	deluxe	デラックス版	6	MID_GAP	v4(2020)→v5(2026)	2012-2026		5
inakappe-taishou	いなかっぺ大将	standard	通常版	6	MID_GAP	v3(1970)→v4(1976)	1970-1981	ISBN無	7
indona-hibi	インドな日々	standard	通常版	6	MID_GAP	v3(2005)→v4(2011)	2000-2011		4
inoue-santa	井上三太	standard	通常版	6	OLD_FIRST	v1(1996)→v2(2002)	1996-2002		2
jangurutaitei	ジャングル大帝	standard	通常版	6	MID_GAP	v2(1952)→v3(1958)	1951-1959	ISBN無	4
jigoku-no-sougiya	地獄の葬儀屋	standard	通常版	6	OLD_FIRST	v1(2013)→v2(2019)	2013-2019		2
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	standard	通常版	6	MID_GAP	v2(2002)→v3(2008)	2008-2002		5
kajou-mousou-shounen	過剰妄想少年	standard	通常版	6	OLD_FIRST	v2(2016)→v4(2022)	2016-2022		3
kamigami-no-itadaki	神々の山嶺	standard	通常版	6	MID_GAP	v3(2016)→v4(2022)	2016-2022		5
kamuigaiden	カムイ外伝	standard	通常版	6	OLD_FIRST	v3(1973)→v4(1994)	1966-1987	ISBN無	14
kannou-sensei	官能先生	standard	通常版	6	MID_GAP	v3(2019)→v4(2025)	2017-2025		4
