我々slug	我々title	誤ISBN数	取り違え相手(楽天題)	相手の我々slug候補	相互swap
batman-dark-victory	BATMAN Dark Victory	2	バットマン：ダークビクトリー　Vol．2		
best-of-naka-tomoko	閑古鳥の巣	2	Best　of名香智子（3）		
booska-plus	ブースカプラス	2	BOOSKA＋（3）		
bunbuku-tanuki-no-teii-party	ぶんぶくたぬきのティーパーティ	2	ぶんぶくティーポット＋（7）	bunbuku-teii-potto-plus	
cinderella-no-mori	シンデレラの森	2	島津郷子自選集（4）		
comic-ainu-no-rekishi	コミックアイヌの歴史	2	イシカリ神うねる河（2）		
d-arc	D'arc	2	D’arc〜ジャンヌ・ダルク伝（2）		
darkness-psycho	ダークネス・サイコ	2	高階良子デビュー50周年記念セレクション（7）		
dc-universe-legacies	DC UNIVERSE LEGACIES	2	DCユニバース：レガシーズ　Vol．2		
devil-survivor-2-show-your-free-will	デビルサバイバー2 Show Your Free Will	2	DEVIL　SURVIVOR2（2）		
dragon-s-dogma-progress	ドラゴンズドグマプログレス	2	DRAGON’S　DOGMA〜PROGRESS〜（2		
dream-kiss	夢chu	2	ドリームキッス〔小学館文庫〕（2）		
face-2019	フェイス	2	Face（2）	face-1992|face-osaka-1998	
fushidarana-haikaburi-tachi	ふしだらな灰かぶり達	2	柴門ふみbest　selection（1）		
futari-no-koukyoushi	ふたりの交響詩	2	二人の交響詩（2）		
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説SPECIAL 爆笑4コマゲームギャグコミックス	2	餓狼伝説スペシャル（2巻）		
gekiman-2015	激マン! マジンガーZ編	2	激マン！スペシャルデビルマン編（2）		
gift-2009	ぎふと	2	Gift（2）	gift-2006|gift-2012|gift-hirose-2003|gif	
goukaku-kigan	合格祈願	2	チャレンジャーズ（4）	charenjaazu	
hakaba-kitarou	墓場鬼太郎	2	水木しげる貸本漫画傑作選（20）		
hammer	Hammer	2	壊し屋ハマー（2）		
heike-monogatari	平家物語	2	マンガ日本の古典（30）		
houkou-no-kumo	彷徨の雲	2	彷徨の曇北斗の拳ジュウザ外伝（下）		
ikkanibunnoichi	いっかにぶんのいち	2	1　1／2　（いっかにぶんのいち）（2）		
kaerazu-no-tsuki	還らずの月	2	嵐陵王（3）		
karasu-tengu-kabuto	鴉天狗カブト	2	Kabuto（2）カラースペシャル		
ken1-tanteichou	ケン1探偵長	2	手塚治虫漫画全集（258）		
kirepapa	キレパパ。	2	Kirepapa。（2）		
kitarouyawa	鬼太郎夜話	2	水木しげる貸本漫画傑作選（20）		
kodomo-wa-nandemo-shitteiru	子供はなんでも知っている	2	岩館真理子自選集（1）		
koha-ace-collection	コハエースこれくしょん	2	ぐだぐだエース（3）	gudaguda-ace	
koha-ace-ekkusupii	コハエースXP	2	ぐだぐだエース（3）	gudaguda-ace	
koha-ace-iiekkusu	コハエースEX	2	ぐだぐだエース（3）	gudaguda-ace	
koha-ace	コハエース	2	ぐだぐだエース（3）	gudaguda-ace	★相互
kyougeki-burai-ryouran	京劇的無頼繚乱	2	黄金少年（ゴールデンボーイ）（下）	ougon-shounen	
lady-q	レディーQ	2	天才調香師宝条ミカ（2）	tensai-choukoushi-houjou-mika	
leopard-hakusho	レオパード白書	2	滴る牡丹に愛（続）		
leopard-hakusho	レオパード白書	2	いやらしの彼（続）		
lost-world-shikaban	ロストワールド 私家版	2	手塚治虫漫画全集（258）		
majo-wa-hot-nao-toshigoro	魔女はホットなお年頃	2	竹宮恵子作品集（4）		
mercurius-pretty	Mercurius Pretty	2	メルクリウスプリティ（2）		
minna-tongare	みんなとんがれ!	2	KURIKOのドリーミーNOTE（みんな（2）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	2	『ガロ』版鬼太郎夜話（下）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	2	貸本版河童の三平（下）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	2	河童の三平（下）	kappa-no-sanpei	
murder-hotel	Murder hotel	2	マーダーホテル （　2）		
nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治平和マンガ作品集	2	平和の鐘シリーズ（下巻）	heiwa-no-kane-series	
onna-shiokinin-zebura	女仕置人ゼブラ	2	女仕置人Zebra（7）		
ozu-no-mahoutsukai	オズの魔法使い	2	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
powered-miyuchan	POWERED MIYUCHAN	2	パワードミユちゃん（2）		
reflex-1987	Reflex	2	リフレックス　NO．3		
romancing-saga	Romancing sa・ga	2	ロマンシングサガ1（2）		
sakki-made-papa-ga-ita	さっきまでパパがいた	2	柴門ふみbest　selection（1）		
sangokushi-ketteiban	三国志決定版	2	決定版三国志（下）		
school-zone-2021	School zone	2	スクールゾーン（5）	school-zone|school-zone-ningiyau-2018	
scissor-sisters	SCISSOR SISTERS	2	シザーシスターズ（2）		
secret-twin	SECRET TWIN	2	ジャック＆エース（第2巻）		
shin-ganbaraido-raita-kamen-rider-battle-gaiden-foozehen	新ガンバライド雷太 仮面ライダーバトル外伝　フォーゼ編	2	仮面ライダーバトル外伝新ガンバライド雷太〜フォーゼ編		
shinohara-udou-senshuu	篠原烏童選集	2	純白の血（2）	junpaku-no-chi	
shiroi-asa-ni	Shiroi asa ni	2	白い朝に（下）		
shoujo-ijou-shounen-miman	少女以上少年未満	2	柴門ふみbest　selection（1）		
super-donkey-kong-with-mario	SUPER DONKEY KONG with マリオ	2	スーパードンキーコング（2）		
super-suto-4	スーパーストⅡ　4コマ決定版	2	スーパースト2（2）		
taiheiki-1995	太平記	2	マンガ日本の古典（30）		
tales-of-destiny2	Tales of Destiny2	2	テイルズオブデスティニー（5）	tales-of-destiny	
tales-of-zestiria-alisha-after-episode	Tales of Zestiria アリーシャアフターエピソード	2	テイルズ　オブ　ゼスティリア　アリーシャ　アフターエ		
tenka-musou-2002	天下☆無双	2	姫様忍法帳天下・無双（下）		
tokubetsu-koutsuu-kidoutai-super-patrol	特別交通機動隊Super☆patrol	2	スーパーパトロール（2）		
tropical-hanjirou	トロピカル半次郎	2	高口里純自選名作集（1）		
tsunamix	ツナミックス	2	Tsunamix（2）		
v-i-p	V・I・P	2	5・1・P（2）		
yamii-ogen-nazotoki-hichou	闇医おげん謎解き秘帖	2	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
yoshiwara-densetsu	吉原伝説	2	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
young-and-tears	Young and tears	2	ヤング＆ティアーズ（3）		
100-handred	100-HANDRED-	1	高畠エナガ短編集（2）		
13gatsu-no-higeki	13月の悲劇	1	美内すずえ傑作選（3）		
25-ji-no-cinderella	25時のシンデレラ	1	川原由美子傑作集（2）		
27sai	27歳	1	Sigh		
