slug	title	authors	matched_title_core(著者の作品)	orig_status
8-man-vs-cyborg-009	8マンvs(バーサス)サイボーグ009	七月鏡一;平井和正;早瀬マサト;桑田二郎;石ノ森章太郎	8マン	NOT_FOUND
8-nengo-no-tsuzuki-kun-ga-amasugiru	8年後の都筑くんが甘すぎる	西ナナヲ;赤羽チカ	8年後ノ都筑クンガ甘スギル2	NOT_FOUND
8-sai-kara-hajimeru-mahougaku	8歳から始める魔法学	上野夕陽;佐藤ショーキ	8歳カラ始メル魔法学1	NOT_FOUND
86-furagumentaru-neotenii	86-エイティシックス-フラグメンタルネオテニー	シンジョウタクヤ;鈴木ミニラ	86エイティシックスフラグメンタルネオテニ=eightysixfragmentalneoteny	NOT_FOUND
90nichi-kareshi	90日彼氏	小田三月	90日彼氏1	NOT_FOUND
99-kai-danzai-sareta-loop-reijou-desu-konsei-wa-chouzetsu-aisare-mode-desutte	99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?	甲斐ロハル;裕時悠示	99回断罪サレタルプ令嬢デスガ今世ハ「超絶愛サレモド」デスッテ5真ノ力ニ目覚メテ始マル100回目ノ人生	NOT_FOUND
a-abe-reiji-desu	あ、安部礼司です。	青木u平	ア、安部礼司デス3	NOT_FOUND
a-d	A・D	アキ	ad天使ノ嘘	NOT_FOUND
a-life-of-the-beetle	A LIFE OF THE BEETLE	田中ムネヨシ	alifeofthebeetleアルカブトムシノ一生	NOT_FOUND
abakanaide-x-kuro-rekishi	暴かないで×黒歴史	二ノ前アマネ	暴カナイデ×黒歴史エリトサント元アイドル	NOT_FOUND
abekubo-kyouju-no-rifujin-na-kougi	安倍窪教授の理不尽な講義	滝沢聖峰	安部窪教授ノ理不尽ナ講義	NOT_FOUND
aburabu	あぶらぶ	アリシャン	アブラブ夫婦デアブノマルナラブシマセンカ	NOT_FOUND
abysmal	アビスマル	コカムモ	アビスマル1	NOT_FOUND
abyss-ajuuru-no-tsumibito	アビスアジュールの罪人	冨明仁	アビスアジュルノ罪人3	NOT_FOUND
abyss-kooringu	アビス・コーリング	槻影;野村エージ	アビスコリング=abysscalling元廃課金ゲマガ最低最悪ノソシャゲ異世界ニ召喚サレタラ	NOT_FOUND
abyss-rage	アビスレイジ	成田成哲	アビスレイジ2	NOT_FOUND
acca-13-ku-kansatsuka-p-s	ACCA13区監察課P.S	オノナツメ	acca13区監察課p.s.	NOT_FOUND
adachi-tsutomu-monogatari	あだち勉物語	アリマ猛	アダチ勉物語アダチ充ヲ漫画家ニシタ男	NOT_FOUND
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	高階良子	アドニスノ憂鬱ナ日々	NOT_FOUND
after-midnight-skin	アフター・ミッドナイト・スキン	ニムマヒロ	アフタミッドナイトスキン1	NOT_FOUND
ahogenomu	アホゲノム	井上和郎	アホゲノム座牟坂サタニックヘア2	NOT_FOUND
ai-ga-shinu-nowa-kimi-no-sei	愛が死ぬのは君のせい	桃森ミヨシ	愛ガ死ヌノハ君ノセイ=itisbecauseofyouthatlovewilldie	NOT_FOUND
ai-mo-nikushimi-mo-chinmoku-no-naka-de	愛も憎しみも沈黙の中で	kkworld;qiangtang;theshublwebs	愛モ憎シミモ沈黙ノ中デ5	NOT_FOUND
ai-ni-naru-made-ato-nannichi	愛になるまであと何日?	イヌ乃サエコ;雪本シズリ	愛ニナルマデアト何日偽装婚約ノハズナノニ、上級騎士ニナッタ幼ナジミガ溺愛シテキマス	NOT_FOUND
ai-no-campanella	愛のカンパネラ	カニムツヤ	愛ノカンパネラ第1巻	NOT_FOUND
ai-no-ryuusei-kauupa	愛の流星カウーパ	雨蘭	愛ノ流星カウパ1	NOT_FOUND
ai-toka-ii-kara-dakishimete	愛とかいいから抱きしめて	鳴海涼	愛トカイイカラ抱キシメテ6	NOT_FOUND
ai-ue-motto	愛飢え、もっと。	arinco	愛飢エ、モット2	NOT_FOUND
aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	アイドルマスター シャイニーカラーズ 事務的光空記録	バンダイナムコエンターテインメント;夜出偶太郎	アイドルマスタシャイニカラズ事務的光空記録4cd付特装版	NOT_FOUND
aijin-keiyaku-nochi-dekiai	愛人契約のち溺愛!?	園内カナ;桜月ナナカ	愛人契約ノチ溺愛売レナイtl漫画家ハドs御曹司ニ甘ク啼カサレル	NOT_FOUND
aikata-system	相方システム	袴田メラ	相方システム学園ガ選ンダ運命ノ女ノ子	NOT_FOUND
aiken	愛剣	トミ新蔵	愛剣剣術抄	NOT_FOUND
aimai-blue-beast	曖昧ブルー・ビースト	酒井マユ	曖昧ブルビスト2	NOT_FOUND
ainiku-daga-kimi-o-tebanasu-tsumori-wa-nai	生憎だが、君を手放すつもりはない	孝野トリコ	生憎ダガ、君ヲ手放スツモリハナイ冷徹御曹司ノ激愛ガ溢レタラ3	NOT_FOUND
ainosenbiki	アイノセンビキ	サトpub2021;ジャガ	アイノセンビキママ活シタラママガデキタ話1	NOT_FOUND
aion-mooru-isekaiten-honjitsu-grand-open	アイヲンモール異世界店、本日グランドオープン!	ホヅミリヤ;石山サヤカ	アイヲンモル異世界店、本日グランドオプンthecomic1	NOT_FOUND
aisanai-to-iwaremashitemo	愛さないといわれましても	石野人衣;豆田麦	愛サナイトイワレマシテモ元魔王ノ伯爵令嬢ハ生真面目軍人ニ餌付ケヲサレテ幸セニナル	NOT_FOUND
aisare-chuuihou	愛され注意報	phillipssean;田崎クルミ	愛サレ注意報初恋御曹司ハ婚約者ヲ逃ガサナイ1	NOT_FOUND
aisare-kouhi-no-yuuutsu	愛され皇妃のゆううつ	清音圭	愛サレ皇妃ノユウウツ1	NOT_FOUND
aisarenakatta-shachiku-reijou-wa-daini-ouji-mofumofu-ni-iyasare-chuu	愛されなかった社畜令嬢は、第二王子〈もふもふ〉に癒やされ中	カノン;女騎士館	愛サレナカッタ社畜令嬢ハ、第二王子ニ癒ヤサレ中2	NOT_FOUND
