db_slug	db_title	db_author	誤ISBN数	真の作品	真の著者
snow-2006	SNOW	村上モトカ	1	スノウ	藤谷コマキ
soccer-boy	サッカーボーイ	大武ユキ	1	SOCCER　BOY	柴田文明
speace-ship-ee	Speace ship EE	タカノ綾	1	Space　ship　EE	高野綾
street-fighter-tsuu-bui-rendetsu	ストリートファイターⅡ V列伝	馬場康誌	1	ストリートファイター2V烈伝	馬場康士
supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	古谷三敏	1	てっちゃんのつばさ	上野紀子;中江嘉男
tange-sazen	丹下左膳	伊藤隆夫;林不忘;湖玉次吉	1	手塚治虫漫画全集（68）	手塚治虫
tenma-no-sora	天馬の空	倉科遼	1	鬼が疾る	北森鴻;智中天
the-next-generation	The NEXT GENERATION	麻宮騎亜	1	ザ　ネクストジェネレーション	菊池通隆
third-street	サードストリート	須本壮一	1	3rd-street（1）	本ソウイチ
tokiwasou-seishun-monogatari	トキワ荘青春物語	手塚治虫	1	アイヌ語イラスト辞典	横山孝雄;知里高央
tokyo-tower-koibito-tachi-no-tatakai	東京タワー恋人たちの戦い	菊池トシヲ;門脇正法	1	プロジェクトX挑戦者たち（〔11〕）	日本放送協会
tomo-no-shi-o-koete	友の死を越えて	高岩ヨシヒロ	1	プロジェクトX挑戦者たち（〔28〕）	日本放送協会
tsubasa-wa-yomigaetta	翼はよみがえった	大石ケンイチ;石川森彦	1	プロジェクトX挑戦者たち（〔7〕）	日本放送協会
tsuppari-seito-to-nakimushi-sensei	ツッパリ生徒と泣き虫先生	六田登	1	プロジェクトX挑戦者たち（〔4〕）	日本放送協会
ude-to-dokyou-no-torakkubin	腕と度胸のトラック便	ハヤセ淳	1	プロジェクトX挑戦者たち（〔10〕）	日本放送協会
uesugi-kenshin	上杉謙信	岡村賢二	1	ゴルゴ13	サイトウタカヲ
valkyrie-profile	VALKYRIE PROFILE	藍山恵	1	ヴァルキリープロファイル（2）	土方悠
wahhahha-sports-news	ワッハッハスポーツニュース	ヤクミツル	1	ワッハハスポーツニュース（1）	ハタ山ハッチ
with-2000	ウィズ	真柴ヒロミ	1	With（ウィズ）-きみといっしょにー	翼多翔
yorozuya-kagyou-tadaima-seigyouchuu	よろず屋稼業只今盛業中	霧嶋珠生	1	よろずや稼業只今盛業中（1）	霧島珠樹
younenki-abe-seimei-ibun-mimei-no-kemono	幼年期安倍清明異聞未明の獣	稲荷家房之介	1	幼年期安倍晴明異聞未明の獣	九条友淀
yume-no-rootarii-engine-tanjou	夢のロータリーエンジン誕生	広井テツオ;石上耕平	1	プロジェクトX挑戦者たち（〔6〕）	日本放送協会
