sid	title	signals	n_authors	confidence
131273	Fate/hollow ataraxia	巻内多作家	23	低(要確認)
131771	LOVE＆PEACE	巻内多作家	23	低(要確認)
133790	いただき〔□／〕幸せごはんセレクション	巻内多作家	23	低(要確認)
136926	ひぐらしのなく頃に	巻内多作家	23	低(要確認)
137657	まんが実録凶暴すぎる裏社会	巻内多作家	23	低(要確認)
137658	まんが実録凶暴すぎる裏社会	巻内多作家	23	低(要確認)
137664	まんが恐怖のお仕事体験DX	巻内多作家	23	低(要確認)
137671	まんが理不尽すぎる現実異常な国ニッポン	巻内多作家	23	低(要確認)
142807	トライアクション	巻内多作家	23	低(要確認)
145727	ヤバい病院	巻内多作家	23	低(要確認)
152395	実録悪い人	巻内多作家	23	低(要確認)
152409	実録裏稼業ファイル	巻内多作家	23	低(要確認)
162502	舞-HiME	巻内多作家	23	低(要確認)
163253	裏社会逆襲劇	巻内多作家	23	低(要確認)
163834	超本当にあったビックリごはんSP	巻内多作家	23	低(要確認)
3098	〔○生〕読者投稿夏ザ・ベスト2014	巻内多作家	22	低(要確認)
4862	まんが理不尽すぎる現実異常な国ニッポン	巻内多作家	22	低(要確認)
8614	Fellows!（Q）	巻内多作家	22	低(要確認)
24319	マンガ麺	巻内多作家	22	低(要確認)
32927	まんが許せない暴力事件簿!!	巻内多作家	22	低(要確認)
35490	日本タブー大全	巻内多作家	22	低(要確認)
42730	まんが危ない芸能界DX	巻内多作家	22	低(要確認)
62707	あなたの知らないニッポン絶望社会	巻内多作家	22	低(要確認)
69302	はなまるおやつ＆おつまみSP	巻内多作家	22	低(要確認)
69305	はなまるヘルシーごはん	巻内多作家	22	低(要確認)
69306	はなまる時短ごはん	巻内多作家	22	低(要確認)
69308	はなまる麺づくし	巻内多作家	22	低(要確認)
71086	まんが知ってはいけない消えた有名人の謎	巻内多作家	22	低(要確認)
84670	マジ怖	巻内多作家	22	低(要確認)
96985	実話ワルの金脈	巻内多作家	22	低(要確認)
96989	実話犯罪（秘）大事典	巻内多作家	22	低(要確認)
97004	実録!体験談刑務所の中	巻内多作家	22	低(要確認)
107861	漫画家たちが描いた怪談	巻内多作家	22	低(要確認)
116287	超本当にあったぶっとび結婚SP	巻内多作家	22	低(要確認)
120420	Fellows!	巻内多作家	22	低(要確認)
121037	ばく盛!本当にあった〔○生〕ここだけの話祭	巻内多作家	22	低(要確認)
121124	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
121214	〔○生〕冬の大反省会GP読者投稿ベスト	巻内多作家	22	低(要確認)
121218	超盛!本当にあった〔○生〕壮絶恋愛トラブルSP	巻内多作家	22	低(要確認)
122360	全部ホンネの笑える話本当にあった赤っ恥体験	巻内多作家	22	低(要確認)
124070	ぷち本当にあった愉快な話激コワ!!恐怖体験SP	巻内多作家	22	低(要確認)
124190	超盛!本当にあった〔○生〕ヒミツの県民性SP	巻内多作家	22	低(要確認)
125894	〔○超〕!本当にあった〔○生〕カミングアウト大告白SP	巻内多作家	22	低(要確認)
125901	ぷち本当にあった愉快な話 体験!目撃!!黒い事件簿SP	巻内多作家	22	低(要確認)
125933	ぷち本当にあった愉快な話鬼怖!心霊恐怖SP	巻内多作家	22	低(要確認)
126090	激盛!本当にあった〔○生〕真夏のカミングアウトSP	巻内多作家	22	低(要確認)
126091	超盛!本当にあった〔○生〕ムカつく女店員SP	巻内多作家	22	低(要確認)
126092	超盛!本当にあった〔○生〕片付けできない女SP	巻内多作家	22	低(要確認)
126674	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
126679	激盛!本当にあった〔○生〕ここだけの話超	巻内多作家	22	低(要確認)
126680	超盛!本当にあった〔○生〕maxムカウザ体験SP	巻内多作家	22	低(要確認)
126681	超盛!本当にあった〔○生〕死ぬかと思った体験SP	巻内多作家	22	低(要確認)
128765	ビッグコミックセレクション名作短編集	巻内多作家	22	低(要確認)
129021	猫本	巻内多作家	22	低(要確認)
131290	Fellows!	巻内多作家	22	低(要確認)
131292	Fellows!	巻内多作家	22	低(要確認)
