slug	base_title	kana	author
isekaiten-ishitaorewaetchinotabinigachaohiku-mottekureorenoseiryoku	異世界転移した俺は、Hのたびにガチャを引く! : もってくれ、俺の精力!	イセカイテンイシタオレワエッチノタビニガチャオヒク:モッテクレオレノセイリョク	愛南ぜろ
isekaiten-ishitekyoushininattagamajotoosorerareteiruken-aoisensei	異世界転移して教師になったが、魔女と恐れられている件 : アオイ先生の学園奮闘日誌	イセカイテンイシテキョウシニナッタガマジョトオソレラレテイルケン:アオイセンセイ	咲良
kouteiheikanoosewagakari-nyokangurashigashiawasesugitekoukyuukaraderare	皇帝陛下のお世話係 : 女官暮らしが幸せすぎて後宮から出られません	コウテイヘイカノオセワガカリ:ニョカングラシガシアワセスギテコウキュウカラデラレ	吉村悠希
shinpinoko-majutsugatsukaenaiochikoboresuuhijutsudenariagaru	神秘の子 : 魔術が使えない落ちこぼれ、数秘術で成り上がる	シンピノコ:マジュツガツカエナイオチコボレスウヒジュツデナリアガル	ぶたばら
akimotoosamunonaisu-nachoisukochikame50shuunen-kochirakatsushikakuka	秋本治のナイス!なチョイスこち亀50周年!! : こちら葛飾区亀有公園前派出所	アキモトオサムノナイス!ナチョイスコチカメ50シュウネン!!:コチラカツシカクカ	秋本治
inahokunwanisekanojonohazunanoni	稲穂くんは偽カノジョのはずなのに	イナホクンワニセカノジョノハズナノニ	とこのま
ochikoboreten-isha-subeteoubauhakkingusukirudesaikyouninariagaru-sa	落ちこぼれ転移者、全てを奪うハッキングスキルで最強に成り上がる : 最強ステータスも最強スキルも、触れただけで俺のものです	オチコボレテンイシャ、スベテオウバウハッキングスキルデサイキョウニナリアガル:サ	ヨネモンタケアキ
iranaiakuyakureijou-wagakunidehikitorimasuwa-yuushuunagoreijouga	要らない悪役令嬢、我が国で引き取りますわ : 優秀なご令嬢方を追放だなんて愚かな真似、国を滅ぼしましてよ?	イラナイアクヤクレイジョウ、ワガクニデヒキトリマスワ:ユウシュウナゴレイジョウガ	蛇足せんたろう
unsouyanoossanganazekafukugyoudezettaimutekikenshiotsutomerukotoni-sa	運送屋のおっさんがなぜか副業で絶対無敵剣士を務めることに : さえない人生を送ってた俺が魔王討伐の切り札に?	ウンソウヤノオッサンガナゼカフクギョウデゼッタイムテキケンシオツトメルコトニ:サ	星野倖一郎
kanenonarumori	金のなる森	カネノナルモリ	俵京平
ginmakuromansu-shiitagerarekazokureijougareikokudannasamanosaiainina	銀幕ロマンス : 虐げられ華族令嬢が冷酷旦那様の最愛になるまで	ギンマクロマンス:シイタゲラレカゾクレイジョウガレイコクダンナサマノサイアイニナ	橘花明
genkaiotakugagisoukoibitohajimetaken	限界オタクが偽装恋人はじめた件	ゲンカイオタクガギソウコイビトハジメタケン	小神トイ
sekigansekiwansekkyakunomajutsushiattomaakukomikku-morinokoyanikomotte	隻眼・隻腕・隻脚の魔術師@COMIC : 森の小屋に籠っていたら早2000年。気づけば魔神と呼ばれていた。僕はただ魔術の探求をしたいだけなのに	セキガンセキワンセッキャクノマジュツシアットマークコミック:モリノコヤニコモッテ	しばの番茶
kirinopuriizuraku	霧のプリーズラク = ТУМАННЫЙ ПРЙЗРАК	キリノプリーズラク	淡田青
aotoorenji	青⇔オレンジ	アオトオレンジ	本間アキラ
koukouseiwebsakkanomoteseikatsu-antagakamisakkanawakenaidesho-to	高校生WEB作家のモテ生活 : 「あんたが神作家なわけないでしょ」と僕を振った幼馴染が後悔してるけどもう遅い	コウコウセイWEBサッカノモテセイカツ:「アンタガカミサッカナワケナイデショ」ト	さとうゆう
kokufukyoudan	黒巫鏡談	コクフキョウダン	戸川四餡
