誤付与作品	誤の著者	何を	どう直す	正所有者	正の著者(NDL)	根拠	HIGH巻数	要確認巻数
saibaa-comics	こやま基夫	除去すべきISBN 1巻	別作のISBN→「saibaa-comics」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	松浦まさふみ	NDL著者=松浦まさふみ(誤付与作の著者「こやま基夫」と不一致) / 楽天題=	1	0
peace-2004	橋本勝	除去すべきISBN 1巻	別作のISBN→「peace-2004」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	えのもと椿	NDL著者=えのもと椿(誤付与作の著者「橋本勝」と不一致) / 楽天題=	1	0
peace-mashuko	摩周子	除去すべきISBN 1巻	別作のISBN→「peace-mashuko」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	えのもと椿	NDL著者=えのもと椿(誤付与作の著者「摩周子」と不一致) / 楽天題=	1	0
piece	芦原妃名子	除去すべきISBN 1巻	別作のISBN→「piece」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	えのもと椿	NDL著者=えのもと椿(誤付与作の著者「芦原妃名子」と不一致) / 楽天題=	1	0
umezu-kazuo-kowai-hon	楳図かずお	除去すべきISBN 0巻(＋要確認3)	別作のISBN→「umezu-kazuo-kowai-hon」から除去。正所有者「kowai-hon」が保有	kowai-hon	楳図かずお	NDL著者=楳図かずお(誤付与作の著者「楳図かずお」と不一致) / 楽天題=こわい本3 狂乱	0	3
zoku-kowai-hon	楳図かずお	除去すべきISBN 0巻(＋要確認3)	別作のISBN→「zoku-kowai-hon」から除去。正所有者「kowai-hon」が保有	kowai-hon	楳図かずお	NDL著者=楳図かずお(誤付与作の著者「楳図かずお」と不一致) / 楽天題=こわい本3 狂乱	0	3
rifrein	岡田ユキオ	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「rifrein」から除去。正所有者「refrain-1988」が保有	refrain-1988	岡田ユキオ	NDL著者=岡田ユキオ(誤付与作の著者「岡田ユキオ」と不一致) / 楽天題=リフレイン（2）	0	1
girl	奥田英朗;早坂いあん	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「girl」から除去。正所有者「girl-1990」が保有	girl-1990	ひろみ;真柴	NDL著者=ひろみ;真柴(誤付与作の著者「奥田英朗;早坂いあん」と不一致) / 楽天題=Girl	0	1
gift-2009	山田j太	除去すべきISBN 0巻(＋要確認2)	別作のISBN→「gift-2009」から除去。正所有者「gift-2006」が保有	gift-2006	秋本尚美	NDL著者=秋本尚美(誤付与作の著者「山田j太」と不一致) / 楽天題=Gift（1）	0	2
gift-2002	中村かなこ	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「gift-2002」から除去。正所有者「gift-2006」が保有	gift-2006	秋本尚美	NDL著者=秋本尚美(誤付与作の著者「中村かなこ」と不一致) / 楽天題=Gift（2）	0	1
