key	base	verdict	role	new_slug	title	surname	flag
qid:Q11649940|name:ひまわり	himawari	different_works	sub	himawari-2010	ひまわり		YEAR_ONLY
name:滝直毅|name:ひまわり	himawari	different_works	sub	himawari-hayashi-1994	ひまわり	hayashi	
name:ごぉ|name:ひまわり	himawari	different_works	sub	himawari-asano-2010	ひまわり	asano	
qid:Q11480142|name:ひまわり	himawari	different_works	sub	himawari-ueno-2005	ひまわり	ueno	
qid:Q242774|name:向日葵	himawari	different_works	sub	himawari-2011	向日葵		YEAR_ONLY
qid:Q11523385|name:サークルゲーム	circle-game	different_works	main	circle-game	サークルゲーム	murao	
name:創美社|name:サークルゲーム	circle-game	different_works	sub	circle-game-1998	サークルゲーム		YEAR_ONLY
name:こおはらしおみ|name:サークルゲーム	circle-game	different_works	sub	circle-game-1998-2	サークルゲーム		YEAR_ONLY
name:しもがやぴくす|name:徒然草	tsurezuregusa	different_works	main	tsurezuregusa	徒然草		
qid:Q11328345|name:徒然草	tsurezuregusa	different_works	sub	tsurezuregusa-1996	徒然草		YEAR_ONLY
qid:Q11653884|name:徒然草	tsurezuregusa	different_works	sub	tsurezuregusa-2014	徒然草		YEAR_ONLY
name:じんのひろあき|name:ラブレター	raburetaa	different_works	main	raburetaa	ラブレター	nagayasu	
qid:Q11668955|name:ラブレター	raburetaa	different_works	sub	raburetaa-yazawa-1985	ラブレター	yazawa	
qid:Q16263860|name:ラブレター	raburetaa	different_works	sub	raburetaa-aruko-2002	ラブレター	aruko	
qid:Q3089616|name:ラブレター	raburetaa	different_works	sub	raburetaa-seo-2007	ラブレター	seo	
qid:Q11414230|name:ラブレター	raburetaa	different_works	sub	raburetaa-kira-2008	ラブレター	kira	
qid:Q20042291|name:ラブレター	raburetaa	different_works	sub	raburetaa-2	ラブレター		NEED_TIEBREAK
name:竹崎真実|name:まんがグリム童話	manga-grimm-douwa	different_works	main	manga-grimm-douwa	まんがグリム童話	takezaki	
qid:Q11542157|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2002	まんがグリム童話		YEAR_ONLY
qid:Q41698730|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2003	まんがグリム童話		YEAR_ONLY
qid:Q11532611|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2003-2	まんがグリム童話		YEAR_ONLY
name:天ヶ江ルチカ|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-luccica-2007	まんがグリム童話	luccica	
name:つか絵夢子|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-tsuka-2007	まんがグリム童話	tsuka	
name:天ケ江ルチカ|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2009	まんがグリム童話		YEAR_ONLY
name:一川未宇|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-ichikawa-2010	まんがグリム童話	ichikawa	
qid:Q11278399|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2007	まんがグリム童話		YEAR_ONLY
qid:Q11473666|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2008	まんがグリム童話		YEAR_ONLY
qid:Q9019518|name:まんがグリム童話	manga-grimm-douwa	different_works	sub	manga-grimm-douwa-2018	まんがグリム童話		YEAR_ONLY
qid:Q11261262|name:甲虫王者ムシキング	kouchuu-tar-mushikingu	different_works	main	kouchuu-tar-mushikingu	甲虫王者ムシキング		
name:トムス・エンタテイメント|name:甲虫王者ムシキング	kouchuu-tar-mushikingu	different_works	sub	kouchuu-tar-mushikingu-2006	甲虫王者ムシキング		YEAR_ONLY
qid:Q469923|name:MARS	mars	different_works	main	mars	MARS	soryo	
qid:Q471133|name:マーズ	mars	different_works	sub	mars-yokoyama-1976	マーズ	yokoyama	
name:はしもとさかき|name:マルス	mars	different_works	sub	mars-hashimoto-1996	マルス	hashimoto	
qid:Q41698614|name:ファイナルファンタジー11	final-fantasy-11	different_works	main	final-fantasy-11	ファイナルファンタジー11		
qid:Q11260418|name:ファイナルファンタジー11	final-fantasy-11	different_works	sub	final-fantasy-11-2006	ファイナルファンタジー11		YEAR_ONLY
name:はせがわみやび|name:ファイナルファンタジーⅪ	final-fantasy-11	different_works	sub	final-fantasy-11-2010	ファイナルファンタジーⅪ		YEAR_ONLY
qid:Q11561327|name:ファイナルファンタジー11	final-fantasy-11	different_works	sub	final-fantasy-11-2005	ファイナルファンタジー11		YEAR_ONLY
name:バラエティ・アートワークス|name:資本論	shihonron	subseries	main	shihonron	資本論		
name:マルクス|name:資本論	shihonron	subseries	main	shihonron-2	資本論		
qid:Q3776937|name:Barレモン・ハート	bar-lemon-heart	no_merge	main	bar-lemon-heart	Barレモン・ハート		
qid:Q3776937|name:BARレモン・ハート	bar-lemon-heart	no_merge	sub	bar-lemon-heart-furuya-1986	BARレモン・ハート	furuya	
name:ファミリー企画|name:BARレモン・ハート	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2014	BARレモン・ハート		YEAR_ONLY
