isbn	db_slug	db_title	db_author	src_title(種1/楽天)	src_author
9784881991671	4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	(unknown)	真サムライスピリッツ4コマ決定版（2の巻	コミックゲーメスト編集部	AUTHOR_DIFF
9784799770689	40-made-ni-shitai-10-no-koto	40までにしたい10のこと	la軍	40までにしたい10のこと	マミタ	AUTHOR_DIFF
9784800002891	4ban-no-takkyuu	4番の卓球	柳沢ユキオ	4番の卓球	土田悠史	AUTHOR_DIFF
9784800004048	4ban-no-takkyuu	4番の卓球	柳沢ユキオ	4番の卓球	土田悠史	AUTHOR_DIFF
9784813032304	4gatsu-no-tokyo-wa	4月の東京は…	hal	4月の東京は…	ハル	AUTHOR_DIFF
9784813032571	4gatsu-no-tokyo-wa	4月の東京は…	hal	4月の東京は…	ハル	AUTHOR_DIFF
9784091823311	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（1）	楳図カズオ	TORICHIGAE
9784091823328	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（2）	楳図カズオ	TORICHIGAE
9784091823335	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（3）	楳図カズオ	TORICHIGAE
9784091823342	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（4）	楳図カズオ	TORICHIGAE
9784091823359	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（5）	楳図カズオ	TORICHIGAE
9784091823366	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（6）	楳図カズオ	TORICHIGAE
9784091823373	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（7）	楳図カズオ	TORICHIGAE
9784091823380	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（8）	楳図カズオ	TORICHIGAE
9784091823397	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（9）	楳図カズオ	TORICHIGAE
9784091823403	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（10）	楳図カズオ	TORICHIGAE
9784091833112	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（11）	楳図カズオ	TORICHIGAE
9784091833129	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（12）	楳図カズオ	TORICHIGAE
9784091833136	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（13）	楳図カズオ	TORICHIGAE
9784091833143	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（14）	楳図カズオ	TORICHIGAE
9784091833150	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（15）	楳図カズオ	TORICHIGAE
9784091833167	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（16）	楳図カズオ	TORICHIGAE
9784091833174	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（17）	楳図カズオ	TORICHIGAE
9784091833181	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（18）	楳図カズオ	TORICHIGAE
9784091833198	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（19）	楳図カズオ	TORICHIGAE
9784091833204	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（20）	楳図カズオ	TORICHIGAE
9784091925817	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（1）	楳図カズオ	TORICHIGAE
9784091925824	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（2）	楳図カズオ	TORICHIGAE
9784091925831	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（3）	楳図カズオ	TORICHIGAE
9784091925848	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（4）	楳図カズオ	TORICHIGAE
9784091925855	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（5）	楳図カズオ	TORICHIGAE
9784091925862	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（6）	楳図カズオ	TORICHIGAE
9784091925879	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（7）	楳図カズオ	TORICHIGAE
9784091925886	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（8）	楳図カズオ	TORICHIGAE
9784091925893	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（9）	楳図カズオ	TORICHIGAE
9784091925909	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（10）	楳図カズオ	TORICHIGAE
9784091925916	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（11）	楳図カズオ	TORICHIGAE
9784091925923	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（12）	楳図カズオ	TORICHIGAE
9784091925930	4teen	4TEEN	海埜ユウコ;石田衣良	14歳（13）	楳図カズオ	TORICHIGAE
9784886533685	5-2000	5	芳原ノゾミ	SF★ファイブ	手塚治虫	TORICHIGAE
9784088478494	5-2000	5	芳原ノゾミ	ファイブ（2）	フルカワシオリ	TORICHIGAE
9784088478845	5-2000	5	芳原ノゾミ	ファイブ（3）	フルカワシオリ	TORICHIGAE
9784088460345	5-2000	5	芳原ノゾミ	ファイブ（4）	フルカワシオリ	TORICHIGAE
9784088460888	5-2000	5	芳原ノゾミ	ファイブ（5）	フルカワシオリ	TORICHIGAE
9784088461441	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088462066	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088462677	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088462981	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088463582	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088464084	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088464466	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088465074	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088465708	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784088466569	5-2000	5	芳原ノゾミ	ファイブ	フルカワシオリ	TORICHIGAE
9784040651224	5-g-b-faibu-jiinaa-brothers	5★G★B-ファイブ・ジーナー・ブラザー	藤野モヤム	5★G★B-ファイブ・ジーナー・ブラザー	カネイチ;桑佳アサ	AUTHOR_DIFF
9784040655888	5-g-b-faibu-jiinaa-brothers	5★G★B-ファイブ・ジーナー・ブラザー	藤野モヤム	5★G★B-ファイブ・ジーナー・ブラザー	カネイチ;桑佳アサ	AUTHOR_DIFF
9784773062427	5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い	可児イトウ	5年ぶりに繋がる元カレ医師から伝わる熱い	玄野サワ	AUTHOR_DIFF
9784052047138	5-okunengo-ni-igai-na-ketsumatsu	5億年後に意外な結末	usiイラストレーター	5億年後に意外な結末 : ピグマリオンの	usi;桃戸ハル;菅原ソウタ	AUTHOR_DIFF
9784063958867	6-senchi-no-kizuna	6センチの絆	橋本ユウシ	6センチの絆	中島真;安達士朗	AUTHOR_DIFF
9784063959406	6-senchi-no-kizuna	6センチの絆	橋本ユウシ	6センチの絆	中島真;安達士朗	AUTHOR_DIFF
9784088533278	7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢	りぼん新人まんが傑作集（3）	一条ユカリ	TORICHIGAE
9784088535227	7mai-no-pootoreeto	7枚のポートレート	ホーム社	りぼん新人まんが傑作集（8）	一条ユカリ	TORICHIGAE
9784063958911	8-gatsu-autoroo	8月アウトロー	冬樹久生	8月アウトロー	宮田大輔	AUTHOR_DIFF
9784063959390	8-gatsu-autoroo	8月アウトロー	冬樹久生	8月アウトロー	宮田大輔	AUTHOR_DIFF
9784065101162	8-gatsu-autoroo	8月アウトロー	冬樹久生	8月アウトロー	宮田大輔	AUTHOR_DIFF
9784065102442	8-gatsu-autoroo	8月アウトロー	冬樹久生	8月アウトロー	宮田大輔	AUTHOR_DIFF
9784776790099	8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	笠原倫	プロジェクトX挑戦者たち（〔17〕）	日本放送協会	TORICHIGAE
9784796286398	80-bunch-no-inu	80番地の犬	西田陽子	80番地の犬（1）	西田陽子(漫画家)	AUTHOR_DIFF
9784796286589	80-bunch-no-inu	80番地の犬	西田陽子	80番地の犬（2）	西田陽子(漫画家)	AUTHOR_DIFF
9784796286855	80-bunch-no-inu	80番地の犬	西田陽子	80番地の犬（3）	西田陽子(漫画家)	AUTHOR_DIFF
9784796286992	80-bunch-no-inu	80番地の犬	西田陽子	80番地の犬（4）	西田陽子(漫画家)	AUTHOR_DIFF
9784796287043	80-bunch-no-inu	80番地の犬	西田陽子	80番地の犬（5）	西田陽子(漫画家)	AUTHOR_DIFF
9784873171661	80-bunch-no-inu	80番地の犬	西田陽子	81番地の犬（6）	西田陽子(漫画家)	AUTHOR_DIFF
9784796288590	81-bunch-no-inu	81番地の犬	西田陽子	81番地の犬（2）	西田陽子(漫画家)	AUTHOR_DIFF
9784796288880	81-bunch-no-inu	81番地の犬	西田陽子	81番地の犬（3）	西田陽子(漫画家)	AUTHOR_DIFF
9784873170602	81-bunch-no-inu	81番地の犬	西田陽子	81番地の犬（4）	西田陽子(漫画家)	AUTHOR_DIFF
9784873171296	81-bunch-no-inu	81番地の犬	西田陽子	81番地の犬（5）	西田陽子(漫画家)	AUTHOR_DIFF
9784796287203	81-bunch-no-inu	81番地の犬	西田陽子	80番地の犬（6）	西田陽子(漫画家)	AUTHOR_DIFF
9784873171968	82-bunch-no-inu	82番地の犬	西田陽子	82番地の犬（1）	西田陽子(漫画家)	AUTHOR_DIFF
9784873172156	82-bunch-no-inu	82番地の犬	西田陽子	82番地の犬（2）	西田陽子(漫画家)	AUTHOR_DIFF
9784873172682	82-bunch-no-inu	82番地の犬	西田陽子	82番地の犬（3）	西田陽子(漫画家)	AUTHOR_DIFF
9784873173023	82-bunch-no-inu	82番地の犬	西田陽子	82番地の犬（4）	西田陽子(漫画家)	AUTHOR_DIFF
9784873173467	82-bunch-no-inu	82番地の犬	西田陽子	82番地の犬（5）	西田陽子(漫画家)	AUTHOR_DIFF
9784872878424	82okushoku-no-kiseki	82億食の奇跡	加藤唯史	プロジェクトX挑戦者たち（〔5〕）	日本放送協会	TORICHIGAE
9784046800060	86-operation-highschool	86-エイティシックス-オペレーション・	鈴木ミニラ	86-エイティシックス-オペレーション・	i-iv;シラビ;安里アサト;染宮ス	AUTHOR_DIFF
9784046805386	86-operation-highschool	86-エイティシックス-オペレーション・	鈴木ミニラ	86-エイティシックス-オペレーション・	i-iv;シラビ;安里アサト;染宮ス	AUTHOR_DIFF
9784065314210	89-nagano-rengou	'89-長野∞連合-	隈屑	'89-長野∞連合-	ジュリーw神谷	AUTHOR_DIFF
9784065317549	89-nagano-rengou	'89-長野∞連合-	隈屑	'89-長野∞連合-	ジュリーw神谷	AUTHOR_DIFF
9784253201988	a-d-o-g-s	A.-D.O.G.S.	北嶋博明;鈴木大	A．-D．O．G．S．（1）	鈴木ダイ	AUTHOR_DIFF
9784253201995	a-d-o-g-s	A.-D.O.G.S.	北嶋博明;鈴木大	A．-D．O．G．S．（2）	鈴木ダイ	AUTHOR_DIFF
