slug	title	db	ndl	s2	fill_isbns	class
buya-jitsuroku-andou-gumi	ブヤ 実録・安藤組	[3, 4, 5, 6, 7, 8]	[3, 4, 5, 6, 7, 8]	[3, 4, 5, 6, 7, 8]		CONT
c-live	C-live	[2, 5]	[2]	[2]		CONT
cafe	cafe	[6, 7, 8, 9, 10]	[]	[7, 8, 9, 10]		NDL_NONE
camera-baka-ni-tsukeru-kusuri	カメラバカにつける薬	[2, 3, 4]	[1, 2, 3, 4, 9]	[0, 2, 4]	1:9784295013686	FILL
captain-harlock-jigen-koukai	キャプテンハーロック	[8, 9, 10]	[]	[9, 10]		NDL_NONE
chanpen-to-mamapen-no-heibon-dakedo-shiawase-na-hibi	ちゃんぺんとママぺんの平凡だけど幸せな日々	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784046845078	FILL
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	[38, 39, 40, 41, 42, 43]	[37, 38, 39, 40, 41, 42, 43]	[38, 40, 41, 42, 43]	37:9784821176342	COLLECTION
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	[109, 111, 113, 114, 115, 116, 117, 118, 119, 120, 132, 144, 145, 146, 147, 148, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 206, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 223, 224, 225, 226, 227, 228]	[1, 37, 38, 39, 40, 41, 42, 43, 109, 111]	[109, 111, 113, 114, 115, 116, 117, 118, 119, 120]	1:4821182688;37:9784821176342;38:9784821176632;39:9784821176793;40:9784821177035;41:9784821177202;42:9784821177509;43:9784821177615;121:9784821177370;122:9784821177516;123:9784821177608;124:9784821177707;125:9784821177974;126:9784821178087;127:9784821178094;128:9784821178285;129:9784821178346;130:9784821178483;131:9784821178629;133:9784821178872;134:9784821179060;135:9784821179237;136:9784821179367;137:9784821179480;138:9784821179640;139:9784821179831;140:9784821179954;141:9784821134144;142:9784821134311;143:9784821134502;149:9784821135585;150:9784821135684;151:9784821135844;152:9784821135998	FILL
chicken-iguchi-2024	チキン	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46]	[]	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]		NDL_NONE
chihiro-kun-wa-atashi-holic	千紘くんは、あたし中毒(ホリック)。	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9]		CONT
chiisa-na-madougu-gishi-no-rakuraku-sei-san-kakumei	小さな魔道具技師のらくらく生産革命	[2, 3]	[1, 2, 3, 4]	[2, 3]	1:9784813763819	FILL
chinchin-devil-o-oe	チンチンデビルを追え!	[2, 3, 4]	[1, 2, 3, 4, 5]	[2, 3, 4]	1:9784065368503	FILL
chippai-joshi-to-osuppai-otoko	ちっぱい女子と雄っぱい男子	[2, 3, 4, 5]	[1, 2, 3, 4, 5]	[0, 2, 3, 4, 5]		CONT
choco-banana	チョコバナナ	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[4, 6, 8, 9, 10, 11, 12, 13, 14, 15]	[4, 6, 8, 9, 10, 11, 12, 13, 14, 15]		CONT
chotto-morimashita	ちょっと盛りました。	[3, 4]	[]	[3, 4]		NDL_NONE
chou-ten-chan	超てんちゃん!	[2, 3]	[]	[0, 2]		NDL_NONE
chuchu-hunter	Chu❤chuハンター	[2, 3]	[]	[2, 3]		NDL_NONE
chuutoriaru-ga-hajimaru-mae-ni	チュートリアルが始まる前に	[2, 3, 4]	[1, 2, 3, 4, 5, 6]	[2, 3, 4]	1:9784049147544	FILL
clover-1997	Clover	[1, 2, 3, 4]	[]	[1, 2]		NDL_NONE
cmyk-sameda-kazuo-wa-chuunibyou-ga-naosenai	CMYK鮫田和王は厨二病が治せない	[2, 3, 4, 5]	[1]	[2, 3, 4, 5]		CONT
code-geass	コードギアス	[4, 5]	[1, 2, 3, 4, 5]	[4, 5]	1:9784041028667;2:9784041028674;3:9784041037720	FILL
collar-me	Collar me	[2, 3]	[2]	[2, 3]		CONT
colorful-antinomy	カラフルアンチノミー	[2, 3]	[1, 2, 3]	[2, 3]		CONT
comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784821159369	FILL
comic-bii-tarou	コミックビー太郎	[2, 3, 4, 5]	[2]	[2]		CONT
comic-chuurippu-1988	コミックチューリップ	[2, 4, 6, 11, 14, 16]	[]	[14]		NDL_NONE
comic-cue	Comic cue	[2, 3]	[2, 3]	[3]		CONT
comic-image-special	コミックイマージュ・スペシャル	[2, 3]	[1, 2, 3]	[2, 3]	1:4893673408	FILL
comic-luna	コミックルナ	[5, 6]	[]	[5, 6]		NDL_NONE
comic-shin-3-goku-musou-san-battle-iryuujon	コミック真・三國無双3バトルイリュージョン	[7, 8]	[7, 8]	[7, 8]		CONT
comic-shin-genjitsu	Comic新現実	[2, 3, 4, 5]	[]	[2]		NDL_NONE
comic-tulip	コミックチューリップ	[2, 4, 6, 11, 16]	[6, 11]	[6, 11]		CONT
cosmos-rakuenki	コスモス楽園記	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]		CONT
coyote	コヨーテ	[2, 3, 4]	[]	[1, 2, 3, 4]		S2_HAS
crash-junky-spirit	Crash junky × spirit	[2, 3]	[2, 3]	[2]		CONT
crew-1994	Crew 1994	[7, 9, 10]	[9]	[9]		CONT
cross-game-2014	CROSS GAME	[4, 5, 6]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[4, 5, 6]	1:9784091933881;2:9784091933898;3:9784091933904	FILL
crown	CROWN	[1, 2, 3, 4, 5, 6]	[]	[1, 2, 3, 4, 5, 6]		NDL_NONE
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	[2, 3]	[]	[2, 3]		NDL_NONE
dai-kaizoku-jidai	大海賊時代	[2, 9]	[1, 2, 9]	[2, 9]	1:486002091X	FILL
daiki-no-baka-h-special	大紀のバカHスペシャル	[2, 10]	[2, 10]	[2, 10]		CONT
dakasete-kudasai-furutaka-shunin	抱かせてください古高主任	[2, 3]	[]	[0, 2, 3]		NDL_NONE
dameo-no-shiina-senpai-to-yabao-no-sasaki-kun	ダメ男の椎名先輩とヤバ男の佐々木くん	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784046065025	FILL
danna-sama-kaseide-rikon-sasete-itadakimasu	旦那様、稼いで離婚させていただきます!	[2, 3]	[]	[2, 3]		NDL_NONE
danshikou-no-hime	男子校の姫	[2, 3]	[]	[2, 3]		NDL_NONE
dare-nimo-ienai-hi	誰にも言えない(秘)	[6, 9, 16, 21, 25, 26, 27, 28, 32, 33, 36, 38, 43, 44]	[1]	[16, 26, 27, 28, 32, 44]	1:4790113302	FILL
densetsu-no-yarichin-vs-teppeki-no-shiriana	伝説のヤリチンvs鉄壁の尻穴	[2, 3, 4, 5]	[1, 2, 3, 4, 5]	[0, 2, 5]	1:9784799756706	FILL
destiny-unchain-online	Destiny Unchain Online	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8]	9:9784065372166	FILL
diamond-no-a-act-2	ダイヤのA act 2	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	1:9784065396568;2:9784063955989;3:9784063956672;4:9784063957099;5:9784063957822;6:9784063958225;7:9784063959154;8:9784065100424;9:9784065101735;10:9784065103890;11:9784065109717	FILL
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××	[2, 3]	[]	[2, 3]		NDL_NONE
dokuoya-ni-sodateraremashita	毒親に育てられました	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784048967860	FILL
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	[21, 22, 23]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[21, 23]	1:4091428517;2:4091428525;3:4091428533;4:4091428541;5:409142855X;6:4091428568;7:4091428576;8:4091428584;9:4091428592;10:409140068X;11:4091401848;12:9784091402790;13:9784091403476;14:9784091404190;15:9784091405463;16:9784091407153;17:9784091407924;18:9784091408471;19:9784091408952;20:9784091410948	FILL
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	[2, 4, 5, 6, 7, 8, 9, 10, 11]	[]	[2, 4, 5, 6, 7, 8, 9, 10, 11]		NDL_NONE
dorobune-kizoku-no-goreijou	泥船貴族のご令嬢	[2, 3]	[1, 2, 3]	[2, 3]	1:9784046834805	FILL
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	[2, 3]	[1, 2, 3, 4]	[2, 3]	1:9784580825321	FILL
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	[2, 3, 4]	[2, 3, 4]	[2, 3, 4]		CONT
doughnuts-books	Doughnuts books	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 32, 34]	[8, 10, 20, 32, 34]	[16, 17, 18, 19, 21, 22, 23, 24, 25, 26]	8:4575960098	COLLECTION
dramatic-maestro	ドラマチック・マエストロ	[2, 3]	[1, 2, 3]	[2, 3]		CONT
echiechi-gakuensai	えちえち学園祭	[2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]	[0, 2, 3, 4, 5, 6]	1:9784765936187	FILL
eguchi-hisashi-jump-works	江口寿史JUMP WORKS	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:4797620013	FILL
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	[2, 3, 4]	[]	[0, 2, 3, 4]		NDL_NONE
eiyuu-buran-no-jinsei-keikaku	英雄ブランの人生計画	[2, 3]	[1, 2, 3]	[2, 3]	1:9784575753332	FILL
ennead	Ennead	[3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]	[4, 5]	1:9784799766729;2:9784799766736	FILL
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	[2, 4]	[]	[2]		NDL_NONE
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réa	[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21]	[]	[2, 5, 6, 7, 8, 9, 10, 11, 12, 13]		NDL_NONE
fate-grand-order	Fate/grand order	[2, 3, 4, 5]	[]	[]		NDL_NONE
fate-kishi	Fate騎士	[2, 4, 5, 6, 7, 8, 9, 10, 11]	[2, 4, 5, 6, 7, 8, 9, 10, 11]	[2, 4, 5, 6, 7, 8, 9, 10, 11]		CONT
fermat-no-ryouri	フェルマーの料理	[1, 2, 3, 4, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 6, 7]	5:9784065390016	FILL
fluidrat	フルイドラット	[2, 3]	[]	[2, 3]		NDL_NONE
foot-gear	Foot gear	[3, 4, 5, 6]	[3, 4, 5, 6]	[3, 4, 5, 6]		CONT
fuguu-reijou-to-hikikomori-mahoutsukai	不遇令嬢とひきこもり魔法使い	[2, 3]	[1, 2, 3]	[2, 3]	1:9784049152951	FILL
futsutsukamono-desu-dekiai-shite-kudasai	ふつつかものですが、溺愛してください。	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784776753728	FILL
g-defend	G・defend	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]	[1, 2, 3, 4, 10, 11, 12, 13, 14, 15]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
g-taste	G-taste	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]		CONT
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	[7, 11]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[7, 11]	1:4051061965;2:4051061973;3:4051061981;4:405106199X;5:4051062007;6:4051062015;8:4051062031;9:405106204X;10:4051062058	FILL
gakkou-kachinukisen-jikken-taiketsu-2016	学校勝ちぬき戦 実験対決	[21, 22, 23, 24, 25]	[]	[23, 24, 25]		NDL_NONE
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	[9, 10, 11, 12, 13, 16, 18, 19, 20]	[]	[9, 10, 11, 12, 13, 16, 18, 19, 20]		NDL_NONE
gal-ga-sylvanian-family-o-dekiai-shitara	ギャルがシルバニアファミリーを溺愛したら。	[2, 3, 5, 6, 7]	[]	[5, 6, 7]		NDL_NONE
ganbare-koppepan-wani	がんばれ!コッペパンわに	[2, 3, 4]	[1, 2, 3, 4]	[0, 2, 4]	1:9784046808974	FILL
gekiga-hiroike-chikurou	劇画広池千九郎	[2, 3, 4, 5]	[1, 2, 3, 4, 5]	[2, 3, 4, 5]		CONT
generous-kiss	GENEROUS KISS	[2, 4, 6]	[4]	[4]		CONT
gensou-fantasy	幻想ファンタジー	[4, 5]	[]	[5]		NDL_NONE
gensou-labyrinth	幻想ラビリンス	[5, 6]	[]	[5, 6]		NDL_NONE
gessekai-ryokou	月世界旅行	[1, 2, 3]	[]	[1, 2, 3]		NDL_NONE
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアント	[6, 7, 8, 9, 10, 11, 13, 14]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[8, 9, 10, 11, 13, 14]	2:9784063794861;3:9784063895117;4:9784063895285;5:9784063895483;12:9784063897289	FILL
gifuu-doudou	義風堂々!!	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[9, 10]	1:9784199800092	FILL
ginga-tetsudou-999-andoromedahen	銀河鉄道999アンドロメダ編	[5, 6, 7, 8, 9, 10]	[5, 6, 7, 8, 9, 10]	[5, 6, 7, 8, 9, 10]		CONT
gou-himetachi-no-sengoku	江姫たちの戦国	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]		CONT
gundam-exa-2013	ガンダムEXA	[2, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[6, 7]	1:9784041020241;3:9784041033449;4:9784041037836;5:9784041045312	FILL
guranpuri-tengoku	グランプリ天国	[3, 4, 5, 6]	[1, 2, 3, 4, 5, 6, 7]	[3, 4, 5, 6]	1:9784779606816;2:4575933899	FILL
guruguru-shoukougun	ぐるぐる症候群	[10, 13]	[10, 13]	[10, 13]		CONT
gush-mania	GUSH mania	[7, 9]	[1, 7]	[7]	1:9784796407342	FILL
gyouten-ningen-batsealer	仰天人間バトシーラー	[1, 2, 3]	[1, 2, 3]	[1, 2, 3]		CONT
ha-ra-pekotsuuringurume	はらぺこツーリングルメ	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784821127245	FILL
hai-kaburanai-hime	灰かぶらない姫	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784046843067	FILL
hai-to-gin-no-hane	灰と銀の羽根	[2, 3]	[]	[2, 3]		NDL_NONE
haisupe-sugiru-jiki-shachou-ga-naze-watashi-hon-no-mushi-ni-go-shuushin	ハイスペすぎる次期社長がなぜか私 (本の虫) にご執	[2, 3]	[1, 2, 3]	[0, 2, 3]	1:9784776753551	FILL
hakuouki-2011	薄桜鬼 新選組奇譚	[3, 4]	[1, 2, 3, 4]	[3, 4]	1:9784048689182;2:9784048703413	FILL
hamada-buritonii-no-manga-de-wakaru-moe-business	浜田ブリトニーの漫画でわかる萌えビジネス	[2, 3, 4]	[1, 2, 3, 4]	[3, 4]	1:9784091791245	FILL
hamster-club	ハムスター倶楽部	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 6]		CONT
hamster-family	ハムスターファミリー	[3, 4]	[3, 4]	[3, 4]		CONT
hana-no-asukagumi-infinitei	花のあすか組!∞インフィニティ	[5, 6, 7, 8, 9]	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[5, 6, 7, 8, 9]	1:9784396791360;2:9784396791377;3:9784396791483;4:9784396791667	FILL
hanagoromo-yumegoromo	花衣夢衣	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
hanashippanashi	はなしっぱなし	[1, 2, 3]	[2, 3]	[1, 2, 3]		CONT
happy	ハッピー!	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		S2_HAS
haramu-made-midare-ike	孕むまで乱れいけ	[2, 4, 5]	[]	[4, 5]		NDL_NONE
haru-yo-kuruna	春よ来るな	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]		CONT
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STOR	[2, 3]	[]	[0, 2]		NDL_NONE
hate-my-mia	Hate my Mia!	[2, 3, 4]	[]	[0, 2, 3]		NDL_NONE
hatsumei-taiketsu	発明対決	[4, 5, 6, 7, 8, 9]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[4, 5, 6, 9]	1:9784023312982;2:9784023312999;3:9784023313187	FILL
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	[2, 3]	[]	[0, 2, 3]		NDL_NONE
hayou-no-ken	破妖の剣	[1, 2, 3]	[1, 2]	[1, 2]		CONT
hazure-de-hajimaru-dekiai-jinsei	ハズレではじまる溺愛人生	[2, 3, 4]	[1, 2, 3, 4]	[2, 3, 4]	1:9784434341076	FILL
hereteku-no-ana	ヘレテクの穴	[2, 3]	[2, 3]	[2, 3]		CONT
hidoku-shinaide	酷くしないで	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
high	High	[2, 3]	[]	[1, 2, 3]		S2_HAS
higurashi-no-naku-koi-ni-all-you-need-is-love	ひぐらしのなく恋に All you need is 	[2, 3]	[2, 3]	[2, 3]		CONT
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	[5, 6, 10, 11, 12]	[]	[10, 11, 12]		NDL_NONE
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	[3, 4]	[]	[3, 4]		NDL_NONE
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	[2, 3, 4]	[]	[2, 3, 4]		NDL_NONE
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	[2, 3]	[1, 2, 3]	[2, 3]		CONT
