slug	title	detail
super-sentai-gahou	スーパー戦隊画報	(unknown)
super-suto-4	スーパーストⅡ　4コマ決定版	(unknown)
tales-obu-disuteinii-4-koma-manga-gekijou	テイルズオブデスティニー　4コママンガ劇場	(unknown)
tales-obu-etaania-4koma-4-ga-gekijou	テイルズオブエターニア　4コママンガ劇場	(unknown)
tatta-ka-ta-ka-maru-kun	たったかたか丸くん	(unknown)
tezukomi	テヅコミ	(unknown)
tokiwasure-no-sutehime	時忘の捨姫	(unknown)
tomodachi-no-imouto-ga-ore-ni-dake-uzai	友達の妹が俺にだけウザい	(unknown)
tonari-no-kopanda	となりのこぱんだ	(unknown)
toruneko-no-daibouken-2-fushigi-no-dungeon-4koma-2-ga-gekijou	トルネコの大冒険2 不思議のダンジョン 4コママンガ劇場	(unknown)
uanpaia-seiuaa-4koma-ketteiban	ヴァンパイアセイヴァー4コマ決定版	(unknown)
uchi-no-neko-ga-yuu-koto-nya	うちの猫がいうことニャ	(unknown)
uizaadorii-4koma-4-ga-oukoku	ウィザードリィ4コマまんが王国	(unknown)
unmei-no-aite-wa-joushi-datta	運命の相手は上司だった	(unknown)
uranai-chan-wa-kimekirenai	占いちゃんは決めきれない!	(unknown)
uso-no-youna-hazukashii-hanashi-special	嘘のような恥ずかしい話スペシャル	(unknown)
utawareru-mono	うたわれるもの	(unknown)
valkyrie-profile-4koma-4-ga-gekijou	ヴァルキリープロファイル 4コママンガ劇場	(unknown)
wanwan-otou-san-kiwami	わんわんお義父さん極	(unknown)
wild-arms-2nd-igunisshon-4-koma-manga-gekijou	ワイルドアームズ2ndイグニッション 4コママンガ劇場	(unknown)
xevec	XEVEC	(unknown)
yakubyougami-to-baka-megami	疫病神とバカ女神	(unknown)
yoshibari-oobaado	夜縛◆夜明曲	(unknown)
yoshio-no-sora	義男の空	(unknown)
youkai-uotchiohanashi-ehon	妖怪ウォッチおはなしえほん	(unknown)
za-king-obu-fighters-3997-4koma-ketteiban	ザ・キング・オブ・ファイターズ'97 4コマ決定版	(unknown)
zecchou-momoiro-girls-seikatsu-shidouchuu	絶頂!ももいろガールズ性活指導中	(unknown)
zen	ZEN	(unknown)
zeruda-no-densetsu-toki-no-okarina-4koma-4-ga-gekijou	ゼルダの伝説時のオカリナ 4コママンガ劇場	(unknown)
zootopia	ズートピア	(unknown)
