slug	title	title_romaji	a_romaji
cannonball-yatsura-no-senjou	キャノンボール奴らの戦場	kyanonboru yatsura no senjou	Cannonball: Yatsura no Senjou
card-kyaputaa-sakura-2016	カードキャプターさくら クリアカード編	kado kyaputa sakura	Cardcaptor Sakura: Clear Card-hen
celeb-nayu	セレブ那由	serebu nayu	Celeb Nayu: AV nai Wakaoku-sama
change-the-world	チェンジザワールド	chienji za warudo	Change the World: Kyou Kara Satsujinki
charisma-2	カリスマ	karisuma	Charisma: Charisma na Karera wa Charisma House
charlotte-totsuki-2024	シャーロット	sharotto	Charlotte: Toaru Jijo no Shiro-zukae Monogatar
cheat-eater	チートイーター	chito ita	Cheat Eater Isekai Shoukan Kotogotoku Horobube
cheat-yakushi-no-slow-life	チート薬師のスローライフ	chito kusushi no suro raifu	Cheat Kusushi no Slow Life: Isekai ni Tsukurou
check	Check!!	chiekku	Anisaki Yuna Kessakushuu
cheer-dan	チア☆ダン	chia dan	Cheer☆Dance: Joshikousei ga Cheer Dance de Zen
cheezare	チェーザレ	chiezare	Cesare: Hakai no Souzousha
child-ririibaa	チャイルドリリーバー	chairudo ririba	Child Reliever: Usagi Kodomo Byouin no Tokita-
chiwohausakanahideonoseishunnikki	地を這う魚 ひでおの青春日記	chiohausakanahideonoseishunnikki	Chi wo Hau Sakana: Hideo no Seishun Nikki
choco-puri	チョコぷり	chokopuri	Choco Puri: Kyuuketsuki to no Yakusoku
chocolat-2006	ショコラ	shokora	Chocolate: Maid Cafe
chuugoku-akusai-zankoku-den	中国悪妻残酷伝	chuugoku akusai zankoku den	Manga Grimm Douwa: Chougoku Akusai Zankoku-den
cinderella-2004	シンデレラ	shinderera	Cinderella: Sekaiichi Utsukushii Zankoku Douwa
cinderella	シンデレラ	shinderera	Cinderella: Sekaiichi Utsukushii Zankoku Douwa
cinnamon	シナモン	shinamon	Cinnamon: Jingai x Ningen Yuri Anthology
clannad-2008-2	CLANNAD	kuranado	CLANNAD: Hikari Mimamoru Sakamichi de
cleopatra-kurashina-1996	クレオパトラ	kureopatora	Cleopatra: Egypt wo Mamoru Tame nara Joufu ni 
code-geass-hangyaku-no-lelouch-gaiden	コードギアス反逆のルルーシュ外伝	kodo giasu hangyaku no rurushu gaiden	Code Geass: Hangyaku no Lelouch Gaiden: Shiro 
code-geass-soubou-no-ozu-o2	コードギアス双貌のオズO2	kodo giasu soubou no ozu otsu	Code Geass: Soubou no Oz O2
code-geass	コードギアス	kodo giasu	Code Geass: Soubou no Oz O2
comic	Comic?	komikku	Comic? Kaneko Atsushi Extra Works
cool	COOL	kuru	Cool: Rental Body Guard
corpse-party-cemetery-0	コープスパーティーcemetery 0	kopusu patei	Corpse Party Cemetery 0: Kaibyaku no Ars Morie
crimson-enpaia	クリムゾン・エンパイア	kurimuzon enpaia	Crimson Empire: Circumstances to Serve a Noble
crimsons	Crimsons	kurimuzonzu	CRIMSONS: Akai Koukaishatachi
cross-anju	クロスアンジュ 天使と竜の輪舞	kurosu anju	Cross Ange: Tenshi to Ryuu no Rondo
cross-batoraazu	クロスバトラーズ	kurosu batorazu	Cross Battlers: Cyber Blue the Last Stand
crows-gaiden-housenka	クローズ外伝鳳仙花	kurozu gaiden housenka	Crows Gaiden Housenka: the beginning of HOUSEN
cyber-blue	サイバーブルー	saiba buru	Cyber Blue: Ushinawareta Kodomo-tachi
cyborg-009	サイボーグ009	saibogu zerozeronain	Cyborg 009
d-genesis	Dジェネシス	dei jieneshisu	D Genesis: Dungeon ga Dekite 3-nen
d-n-ei-2	D・N・A²	dei enu ei tsu	DNA²: Dokoka de Nakushita Aitsu no Aitsu
dai-ikkyuu-junaizai	第一級潤愛罪	dai ikkyuu junaizai	Rainy Love In the First Degree
dai-sword	ダイ・ソード	dai sodo	Gouseiken Dai Sword
daikkirai-na-aitsu-wa-doesu-de-alpha-na-onzoushi	大っ嫌いなアイツはドSでαな御曹司	daikkirai na aitsu wa doesu de arufa na onzoushi	Dai Kiraina Aitsu wa Do-S de Alpha na Onzoushi
dainamikku-heroes	ダイナミックヒーローズ	dainamikku hirozu	Nagai Go Manga Gaiden: Dynamic Heroes
daisy-momochi-2013	デイジー	deiji	Daisy ~3.11 Joshikouseitachi no Sentaku~
dance-makaburu	ダンス・マカブル	dansu makaburu	Dance Macabre: Seiyou Ankoku Shoushi
danjontou-de-yadoya-o-yarou	ダンジョン島で宿屋をやろう!	danjontou de yadoya o yarou	Dungeon Tou de Yadoya wo Yarou! Souzou Mahou w
dark-hunter	ダークハンター	daku hanta	Dark Hunter: Houkago no Futari
darkartsmaster	DarkArtsMaster	daku atsu masuta	Dark Arts Master: Kuroki Mahoutsukai
darker-than-black-okamura-2007	Darker than black	daka zan burakku	DARKER THAN BLACK: Kuro no Keiyakusha
darker-than-black	DARKER THAN BLACK	daka zan burakku	DARKER THAN BLACK: Shikkoku no Hana
days	Days	toki no michiru	Koibito no Nedan
