slug	title	title_romaji	a_romaji
saibaa-buruuushinawareta-kodomotachi	サイバーブルー失われた子供たち	saiba buruushinawareta kodomotachi	Cyber Blue: Ushinawareta Kodomo-tachi
saibaa-momotarou	サイバー桃太郎	saiba momotarou	Magen Senki: Cyber Momotarou
saibooi	サイボーイ	saiboi	Cyboy: Kaizou Shounen
saidokikku	サイドキック	saido kikku	Side=Kick: Kichijouji Keisatsusho Seikatsu Anz
sanguriaru	サングリアル	sanguriaru	Sangreal: Ou e no Rashinban
sapphire	サファイア	safaia	Sapphire: Ribbon no Kishi
saraakia	サラーキア	sarakia	Salacia: Waga Hakugin no Mermaid
savage-fang-ojou-sama	サベージファングお嬢様	sabeji fangu ojousama	Savage Fang Ojou-sama: Shijou Saikyou no Youhe
scarlet-order	スカーレットオーダー	sukaretto oda	Scarlet Order: Dance in the Vampire Bund 2
scatter	SCATTER	sukyatta	Scatter: Anata ga Koko ni Ite Hoshii
seekers	シーカーズ	shikazu	Seekers: Meikyuu Saikyou no Oji-san, Kami Hais
sekando-virgin-sekando-life	セカンドバージン・セカンドライフ	sekando bajin sekando raifu	Second Virgin, Second Life: Batsu Nochi, Sefu 
sensei-2009	先生	sensei	Sekai wa Temee de Mawatteru
serafimu	セラフィム	serafimu	Seraphim: 2-Oku 6661-Man 3336 no Tsubasa
seven-2003	Seven	sebun	Shoubu wa Toki no... Un Daro? SEVEN
sex-ando-dungeon	セックス&ダンジョン!!	sekkusu ando danjon	Sex & Dungeon!!: Wagaya no Chika ni, H Kaisuu 
shantora	シャントラ	shantora	Chantla: Zettai Izon no Utahime
sheryl-kiss-in-the-galaxy	シェリル キス・イン・ザ・ギャラクシー	shieriru kisu in za gyarakushi	Sheryl: Kiss in the Galaxy
shindereraryuu	シンデレラ流	shindereraryuu	Cinderella Ryuu: 16 Virgin Road  
shinpashii	シンパシー	shinpashi	Sympathy: Ushinawareta Sasayaki
shiromahoushi-wa-shienshoku-dewa-arimasen	白魔法師は支援職ではありません	shiromahoushi wa shienshoku dewa arimasen	Hakuma Houshi wa Shien Shoku de Arimasen: Shie
shop-skill-sae-areba-danjonka-shita-sekai-demo-rakushou-da	『ショップ』スキルさえあれば、ダンジョン化した世界でも楽勝だ	shoppu sukiru sae areba danjonka shita sekai demo rakushou da	Shop Skill Sae Areba, Dungeon-ka Shita Sekai d
shuukatsu	シューカツ!!	shukatsu	Shuukatsu!!: Kimi ni Naitei
silent-witch	サイレント・ウィッチ	sairento wicchi	Silent Witch: Chinmoku no Majo no Kakushigoto
skill-daidokoro-shoukan-wa-sugoi	スキル『台所召喚』はすごい!	sukiru daidokoro shoukan wa sugoi	Skill "Daidokoro Shoukan" wa Sugoi!: Isekai de
skill-ga-nakereba-level-o-ageru	スキルがなければレベルを上げる	sukiru ga nakereba reberu o ageru	Skill ga Nakereba Level wo Ageru: 99 ga Counte
sky-walker	スカイウォーカー	sukai uoka	Sky Walker
slayers	スレイヤーズ	sureiyazu	Slayers: Medieval Mayhem
slime-tensei	スライム転生。	suraimu tensei	Slime Tensei.: Daikenja ga Youjo Elf ni Dakish
smile-imeeji	スマイル・イメージ	sumairu imeji	Sue & Ha Story: Smile Image
snow-white	スノウホワイト	sunou howaito	Grimm no You na Monogatari: Snow White
sora-rira	ソラ×リラ	sora rira	Sora x Rira: Sorairo no Lila to Okubyou na Bok
sorofesshonaru	ソロフェッショナル	sorofesshonaru	Solo-fessional: Solo Katsu Danshi to Bocchi Jo
soubiwaku-zero-no-saikyou-kenshi	装備枠ゼロの最強剣士	soubiwaku zero no saikyou kenshi	Sobiwaku Zero no Saikyou Kenshi: demo, Noroi n
spiral	スパイラル	supairaru	Spiral: Suiri no Kizuna
spring-boodo	スプリング・ボード	supuringu bodo	Seishun Espirit Series: Spring Board
ssg	SSG	esu esu ji	SSG: Meimon Danshikou Keppuroku
stalker	ストーカー	sutoka	Suspence Eyes
star-wars	STAR WARS	suta uozu	STAR WARS: Arata naru Kibou
star-wars-1998	スター・ウォーズ	suta uozu	Star Wars Manga Black
starting-gate	STARTING GATE!	sutateingu geto	Starting Gate!: Uma Musume Pretty Derby
strike-uitchiizu-gekijouban	ストライクウィッチーズ劇場版	sutoraiku wicchizu gekijouban	Strike Witches Gekijouban: 501 Butai Hasshin s
strike-uitchiizu	ストライクウィッチーズ	sutoraiku wicchizu	Strike Witches: Katayoku no Majo-tachi
stunts	STUNTS	sutantsu	STUNTS: 9-banme no Ghost
succubus-lip	サキュバス・リップ	sakyubasu rippu	Succubus Lip: Fukushuu no Kuchizuke
suimingu	スイミング	suimingu	Getsu, Sui, Kin wa Swimming
suiren-no-hitsugi	睡蓮の柩	suiren no hitsugi	Moshikashite Fushigi...! Niji no Densetsu Bang
sukaruman	スカルマン	sukaruman	The Skull Man
suki-hani	すき❤はに	suki hani	Scandalous Honey
sukoppu-musou	スコップ無双	sukoppu musou	Scoop Musou: "Scoop Hadouhou!" (　｀・ω・´)♂〓〓〓〓★(
sumairingu	スマイリング!	sumairingu	Smiling! Hareyakana Road
summer-wars	サマーウォーズ	sama uozu	Summer Wars
super-mario-kun-gekijou-yosshii-new-island	スーパーマリオくん劇場ヨッシーNewアイランド	supa mariokun gekijou yosshi nyu airando	Super Mario-kun Gekijou: Yoshi New Island
super-sutoringu	スーパーストリング	supa sutoringu	Super String: Isekai Kenbunroku
survival-shounen-s-no-kiroku	サバイバル 少年Sの記録	sabaibaru shounen no kiroku	Survival: Shounen S no Kiroku
sutamyu	高校星歌劇	sutamyu	Koukou Seikageki: Star Mu
sutanbai-kiss	スタンバイ・キス	sutanbai kisu	Standby Kiss: Ore no Senzoku Secret xx
sutapii	すたぴぃ	sutapii	Star P: Anata wa Motto Kagayakeru
suteigumata	スティグマタ	suteigumata	Stigmata: Seikon Sousa
suupaaman-buiesu-meshi	SUPERMAN VS飯	supaman buiesu meshi	SUPERMAN vs Meshi: Superman no Hitori Meshi
sweet-embrace	Sweet embrace	suwito enbureisu	SWEET: Kare no Amai Amai Aji
sweet-hoomuruumu	スウィートHR	suwito homurumu	Sweet HR: Minami-sensei no Himitsu no Houkago
sweet-minami-2007	Sweet	suwito	SWEET: Kare no Amai Amai Aji
swimsuits-fellows-2009	Swimsuits Fellows! 2009	suimusutsuferozu	Swimsuits Fellows! 2009
sword-art-online	そーどあーと☆おんらいん。	sodo ato onrain	Sword Art Online 4-koma
sword-oratoria	ソード・オラトリア	sodo oratoria	Dungeon ni Deai wo Motomeru no wa Machigatteir
takt-op-destiny	takt op.Destiny	takuto opasu desuteini	takt op.Destiny: Haruka Tsuioku no Anna - Harm
tales-obu-xillia-2	テイルズオブエクシリア2	teiruzu obu ekushiria tsu	Tales of Xillia 2: Soukyoku no Crossroad
tales-of-kuresutoria	テイルズ・オブ・クレストリア	teiruzu obu kuresutoria	Tales of Crestoria: Togabito no Saika
tamer-shimai-no-mofumofu-haishin	テイマー姉妹のもふもふ配信	teima shimai no mofumofu haishin	Tamer Shimai no Mofumofu Haishin: Mujikaku ni 
tanatosu-no-shiori	タナトスの栞	tanatosu no shiori	Thanatos no Shiori: Renzoku Satsujinki to Bung
tanku-chea	戦車椅子-TANK CHAIR-	tanku chiea	Sensha Isu: TANK CHAIR
teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	teiazu tou teiara	Tears to Tiara: Kakan no Daichi
teiipii-boys	TPボーイズ	teipi boizu	TP Boys: Soredemo Bokura wa Kanojo ga Hoshii
tenjinkarakusa	天人唐草	tenjinkarakusa	Tennin Karakusa
tensei-muhai-no-isekai-kenja	転生無敗の異世界賢者	tensei muhai no isekai kenja	Tenshi Muhai no Isekai Kenja: Game no Job de T
the-idolm-ster	THE IDOLM@STER	aidorumasuta	The iDOLM@STER Dearly Stars: Neue Green
the-king-of-fighters	THE KING OF FIGHTERS	za kingu obu faitazu	THE KING OF FIGHTERS Gaiden: Honoo no Kigen - 
the-six	The SIX	za shikkusu	The SIX: Sekiwan no Dakkansha
the-uumu-eyes	ザ・ウームズ・アイズ	za umu aizu	The Womb's Eyes
this-is-it	THIS IS IT!	deizu izu itto	THIS IS IT! Seisaku Shinkou Shinonome Jirou
this-man	This Man	deisu man	THIS MAN: Sono Kao wo Mita Mono ni wa Shi wo
tiger-ando-dragon	たいがー&どらごん	taiga ando doragon	Tiger & Dragon: Osananajimi 3-nin no Otawamure
time-surippaa	タイムスリッパー	taimu surippa	Time Slipper: Yuki no Choujikuu
toki-o-kakeru-sukeban-deka	時をかけるスケバン刑事(デカ)	toki o kakeru sukeban deka	Toki wo Kakeru Sukeban Deka
tokyo-alice	東京アリス	toukyou arisu	Tokyo Alice: Fuu no wo Kaimono Nikki
tokyo-kannabisu-tokku	東京カンナビス特区	toukyou kannabisu tokku	Tokyo Cannabis Tokku: Daimaou to Yobareta Otok
tokyo-salad-bowl	東京サラダボウル	toukyou sarada bouru	Tokyo Salad Bowl: Kokusai Sousa Jikembo
tookyuu-requiem	妖都鎮魂歌	tokyu rekuiemu	Youto Chinkonka: Tokyo Requiem
tootsu-mayoiji	遠つ迷い路	tootsu mayoiji	Mogamike Hibun Toutsu Mayoiji
toron-ni-kobun	トロンにコブン	toron ni kobun	4-koma Manga Show Stadium: Tron ni Kobun
toruneko-no-daibouken-2	トルネコの大冒険2	toruneko no daibouken	Torneco no Daibouken 2: Fushigi no Dungeon
touruude-oba-san	トゥルーデおばさん	tourude obasan	Trude Oba-san: Grimm no Youna Monogatari
treasure-gausuto	トレジャーガウスト史上最強のハンターコンビ!!	toreja gausuto	Treasure Gaust: Shijou Saikyou no Hanta
trinity-seven-liese-chronicle	トリニティセブン リーゼクロニクル	torinitei sebun rize kuronikuru	Trinity Seven: Liese Chronicle
trinity-seven	トリニティセブン	torinitei sebun	Trinity Seven: Liese Chronicle
twin-gemini	TWIN GEMINI	arudonoazero gaiden	Aldnoah.Zero Gaiden: Twin Gemini
uanpaia-savior-tamashii-no-mayoigo	ヴァンパイアセイヴァー魂の迷い子	uanpaia seiua tamashii no mayoigo	Vampire Savior: Tamashii no Mayoigo
ueruberumu	ウェルベルム	weruberumu	Verbellum: Kotoba no Sensou
uesuta-no-daidokoro	ウェスタの台所	wesuta no daidokoro	Vesta no Daidokoro: Wasureta Boku no Sekai Goh
unico	ユニコ	yuniko	Unico
untitled-flowers	Untitled Flowers	antaitorudo furawazu	Untitled Flowers: Tamago wo Umanai Watashitach
valkyrie-romantsue	ワルキューレロマンツェ	warukyure romantsue	Walkure Romanze: Shoujo Kishi Monogatari
valkyrie	ワルキューレ	warukyure	YOSHIWARA NIGHT: Valkyrie
vampire-seivaa	ヴァンパイアセイヴァー	vanpaia seiva	Vampire Savior: Tamashii no Mayoigo
varuda	ヴァルダ	varuda	Varda: Meikyuu no Kifujin
veeru-no-seijo	ヴェールの聖女	veru no seijo	Veil no Seijo: Minikui to Gokai sareta Seijo, 
viivuru-yousaiten	ヴィーヴル洋裁店	vivuru yousaiten	Vouivre Yousai-ten: Kinuyo to Harriet
vijirante	ヴィジランテ	vijirante	Vigilante: Boku no Hero Academia ILLEGALS
violence-jack	バイオレンス・ジャック	baiorensu jakku	Violence Jack
virgin-blood	バージンブラッド	bajin buraddo	Virgin Blood: Hiiro no Bansan
vivy	Vivy	vivi	Vivy: Fluorite Eye’s Song
void-no-nine	Void:No.Nine	voido nanbanain	Void: No. Nine - 9-banme no Utsuro
wake-up	Wake up!	weiku appu	Kazoku no Inzou: Katei wa Seido-tachi no Ori
waltz-no-niau-koro	ワルツの似合うころ	warutsu no niau koro	Kumi to Morio no Love Melody
wan-piisu-kobii-ni-no-kohiyama	ONE PIECEコビー似の小日山	wan pisu kobini no kobiyama	ONE PIECE: Koby ni no Kobiyama Urifutatsu Nagi
wana-love	ワナ・ラブ	wana rabu	Wana Love: Wanna Be the Honey Trap.
warattegoran	わらってごらん	warattegoran	Gatarou-sensei Arigatou Itsumo Omoshiroi Manga
wasure-rareta-juliet	忘れられたジュリエット	wasure rareta jurietto	Hakushaku Cain Series
watashi-ga-seijo-iie-akuyaku-reijou-desu	私が聖女?いいえ、悪役令嬢です!	watakushi ga seijo iie akuyaku reijou desu	Watashi ga Seijo? Iie, Akuyaku Reijou desu!: N
watashi-no-inma-kun	私の淫魔くん	watakushi no inmakun	Watashi no Inma-kun: Kono Keiyaku ni Ai wa Ari
watashi-no-koto-kirai-tte-iimashitayone	私のこと嫌いって言いましたよね!?	watakushi no koto kirai tte iimashitayone	Watashi no Koto Kiraitte Iimashita yo ne!? Hen
watashi-no-megami-ga-kyou-mo-oseru	私の女神が今日も推せる	watakushi no megami ga kyou mo oseru	Watashi no Megami ga Kyou mo Oseru: Korekara m
watoson-no-inbou	ワトソンの陰謀	watoson no inbou	Watson no Inbou: Sherlock Holmes Ibun 
white-tiger	White Tiger	howaito taiga	White Tiger: Byakkotai Seibukaitaku Tan
who-fighter	WHO FIGHTER	fu faita	WHO FIGHTER
who-i-am	WHO I AM	fu ai amu	Who I Am: Kore ga Jibun da! to Iu Kagayaki
wild-etchi-de-ishiki-tonjau	ワイルドえっちで意識トんじゃう!	wairudo ecchi de ishiki tonjau	Wild Ecchi De Ishiki Tonjau! Otonari-san wa Ko
wine-girls	ワインガールズ	wain garuzu	Wine Gijinka Manga: Wine Girls
wish-fuga-2005	wish	wisshu	Otokonoko Onnanoko
with-love	with LOVE	wizu ravu	Mochizuki-san no Koibumi
world-s-end	WORLD’S END	waruzu endo	DEAR MYSELF 2: WORLD'S END
world-teacher	ワールド・ティーチャー	warudo teicha	World Teacher: Isekaishiki Kyouiku Agent
worst-gaiden-saburoku-santa	WORST外伝サブロクサンタ	wasuto gaiden saburoku santa	WORST Gaiden: Saburoku Santa, Na mo Naki Karas
yajuu-shitsuji-no-ikenai-shitsuke	野獣執事のイケナイ躾け	yajuu shitsuji no ikenai shitsuke	Machigaete, Do S Shihainin ni Kawaremashita: U
yakutatazu-seijo-to-norowareta-sei-kishi	役立たず聖女と呪われた聖騎士	yakutatazu seijo to norowareta seikishi	Yakudatazu Seijo to Norowareta Seikishi: Omoid
yama-o-wataru	山を渡る	yama o wataru	Yama wo Wataru: Santamadai Gakuburoku
yankee-akuyaku-reijou	ヤンキー悪役令嬢	yanki akuyaku reijou	Yankee Akuyaku Reijou: Tensei Tenka Yuiga Doku
yellow-kawaguchi-1996	Yellow	kawaguchi kaiji	YELLOW
yellow	Yellow	iero	YELLOW
yjuum	Y十M	juu	Y十M: Yagyuu Ninpouchou
yosshii-story-hen	ヨッシーストーリー編	yosshi sutori hen	Super Mario 64: Yoshi Story Hen
young-daiyaru	ヤングダイヤル	yangu daiyaru	Young Dial: Shounen Jiken Dai Zero-ka
young-fine	YOUNG＆FINE	yangu ando fain	YOUNG&FINE: Umibe no Machi de Bokura wa Nakayo
yuri-rabu-slave	百合ラブスレイブ	yuri rabu sureibu	Yuri Love Slave: Futari Dake no Houkago
yuudii-no-atelier	ユーディーのアトリエ	yudei no atorie	Judie no Atelier: Mou Hitotsu no Kioku
yuugiou-ooshiijii-stories	遊☆戯☆王OCG(オフィシャルカードゲーム)STORIES	yuugiou ofisharu kado gemu sutorizu	Yu☆Gi☆Oh OCG STORIES: Sentouhime-hen
yuwakashi-yuusha-no-fukushuu-tan	湯沸かし勇者の復讐譚	yuwakashi yuusha no fukushuutan	Yukashi Yuusha no Fukushuutan: Mizu wo Oyu ni 
za-king-obu-fantasy-yagami-iori-no-isekai-musou	THE KING OF FANTASY八神庵の異世界無双	za kingu obu fantaji yagami iori no isekai musou	The King of Fantasy: Yagami Iori no Isekai Mus
za-king-obu-fighters-gaiden	THE KING OF FIGHTERS外伝	za kingu obu faitazu gaiden	THE KING OF FIGHTERS Gaiden: Honoo no Kigen - 
zoku-11-nin-iru	続・11人いる!	juuichinin iru	11-nin Iru!
zombie-land-saga-gaiden	ゾンビランドサガ外伝	zonbi rando saga gaiden	Zombie Land Saga Gaiden: The First Zombie
zon-100	ゾン100	zon hyaku	Zom 100: Zombie ni Naru Made ni Shitai 100 no 
