slug	title	tv	has_synopsis	genres	n_isbn	caption
shiriagari-kotobuki-no-okuradashi	しりあがり寿のお蔵出し	1	False	comedy	1	初期の爆発的エネルギーに満ちた『流星課長』外伝や、これまで漫研OBの同人誌でしか読めなかった超レアなアレなど幻の発掘原稿多数！「自由時間」連載の4コマ『風まかせフレックス野郎！！』も新収録。
tantei-ronron	たんていロンロン	1	False	mystery	1	犬の探偵・ロンロンがどうぶつの町でおこる７つの謎に挑戦。そのココロあたたまる真相は？『ロダンのココロ』でおなじみの内田かずひろが贈るハートウォーミング絵本。
tochimenbou-gekijou	とちめんぼう劇場	1	False	comedy	1	「とちめんぼう」って、何だろう？あわてふためき、うろたえて、うひゃーどうしていいかわらかないよォ、という状態が「とちめんぼう」。この本には悲喜こもごもの「とちめんぼう」がぎっしりつまっています。サイレント漫画の大傑作、登場！小学生から。
tottemo-ai-boom	とっても、愛ブーム	1	False	romance	1	「マイ・ブーム」の中で、とくにミーハーな愛を捧げるものを「愛ブーム」と呼ぶ。
hon-no-issatsu	ほんの一冊	1	False	comedy	1	ベストセラーを笑え！！シドニィ・シェルダンから『絶対音感』『大河の一滴』まで…まさかこんな「読み」があったとは！！いしいひさいちのユーモアが冴える驚愕と笑いの書評まんが集。
mou-anshin	もう安心。	1	False	comedy	1	迷宮的、モンティパイソン的、入籠的、マルコム・レオ的、クラブDJ的…。20の短編を41のエレメントに解体、描き下ろしを加え1本の長編作品に！最初から読んでも好きなところから読んでも面 白い、画期的NON-STOP MIXマンガ！！ 「自分では割と気に入ってるのですが、いかがでしょうか」と筆者も自薦！
yes-no-tanjou	イエスの誕生	1	False	historical	1	富の力に心を堕落させたソロモンの王国は滅び、人々は奴隷になった。しかし、主を信じる人々のもとに、主はメシアの誕生を伝えた。ナザレの村のマリアにその命は宿り、イエスが生まれる。
uwasa-no-genba-katoriinu-ga-yuku	ウワサの現場カトリーヌが行く!	1	False	essay,comedy	1	「週刊朝日」で連載された人気コラム単行本化。ウワサの現場に神出鬼没なカトさんの体力勝負の実況中継！今だから話せる超レアなマル秘メモつき。
otokaru-ou-no-tsue	オトカル王の杖	1	False	adventure	1	架空の東欧小国シルダビアで、王位を象徴する杖が盗まれた。杖をもたぬ王は国を治める資格を失うことになっているので、悪党一味のねらいはシルダビアの国王を倒して、シルダビアをボルドリアに併合することであった。タンタンは「他人のことに首をつっこむな」という悪党の警告を無視し、国王にその陰謀を明らかにした。そしてついに盗まれた杖をとり戻し、シルダビアの再校の勲章が授与された。タンタンの冒険旅行シリーズの17作目。
quality-season	クオリティシーズン	1	False	romance,drama	1	紅茶王子を中心に描きおろし多数収録。全イラストに著者のコメント付き。
kuriteikaru-shinkaron	クリティカル進化論	1	False	comedy,drama	1	"秋月りすの4コマ漫画『OL進化論』を楽しみながら思考の技法を学ぶ。
初心者のためのクリティカルシンキング超入門書。

自分の周囲の人や種々の問題について，正確に理解し，自分の力で考え，適切な判断をしていくのがクリティカルな態度であり，その思考である。クリティカル思考は複雑化した現代社会に適応していく上でも必要となろう。本書では，ユーモアあふれる4コマ漫画を題材にわかりやすく楽しく身につけてもらうことをめざした。"
dokidoki-monster-hakubutsukan	ドキドキ!モンスター博物館	1	False	fantasy,adventure	1	行ったことのない場所、見たことのないもの、わからないことがたくさんあった時代、人には空想するスペースがいっぱいあった。そして、闇というまっ黒なキャンバスには、さまざまなモンスターがところせましと描かれていった。丸い地球を見てしまったぼくらには、とても描けない空想の名画（落書き？）の数々。
domuun	ドムーン	1	False	comedy	1	「バカドリル」「バカはサイレンで泣く」で知られる鬼才・天久聖一による超絶的２５０ページ。究極の合法ドラッグ・マンガ。
lena-maria	レーナ・マリア	1	False	historical,drama	1	障害に負けず、水泳選手として、歌手として、あらゆる可能性にかける感動の伝記。
sekai-no-rekishi-jinbutsuden	世界の歴史人物伝	1	False	historical	1	クレオパトラからマザー・テレサまで、世界の歴史の表舞台で活躍した５７人の人物たちの生涯。
jikkai-1999	十戒	1	False	historical	1	神に導びかれてエジプトを出たモーセが、シナイ山で聞いたのは十の戒めの言葉だった…。「モーセの誕生」「十戒」など、旧約聖書の物語9話を、手塚治虫が美しいアニメで再現する。(解説・出崎 統)
daiou	大王	1	True	sci-fi,slice-of-life	1	「黒田硫黄氏は、キャラクターやエロに隷属された漫画界にあって、真にセンス・オブ・ワンダーを持った作家である」とあの大友克洋先生も大絶賛！今まで見たこともないマンガがここにある！　【目次】　西遊記を読む　THE WORLDCUP1962　象夏　蚊　熊　南天　象の散歩　夜のガレージ　メトロポリス　あさがお（原作・よしもとよしとも）　まるいもの
tensai-no-shoumei	天才の証明	1	False	comedy	1	「アサー！」「鼻血ブー」から「村」の世界まで、天才・谷岡ヤスジの傑作ギャグのすべてがここに！いしいひさいち、江口寿史、とり・みき、相原コージ、泉昌之、唐沢俊一・なをき、しりあがり寿ｅｔｃ…第一線のギャグ漫画家が、天才・谷岡ヤスジに捧げた描きおろし作品も収録。
taiyou-no-ouji-horusu-no-daibouken	太陽の王子ホルスの大冒険	1	False	adventure,fantasy	1	高畑勲監督の長編アニメ映画第一作。人間の生きる素晴らしさを感動的に描いた傑作が絵本で甦る。悪魔に戦いを挑んだ少年ホルスの物語。
shitenrin	支天輪	1	False	fantasy,action,romance	1	描き下ろしイラストを含む切り離し可能なポスターカード仕様のＢ４判イラスト全３２点。Ｂ２判特製ポスターと特製ホログラムスタンド付き。
sakura-moon	桜moon	1	False	romance	1	"ちょっぴりほろ苦い「愛」の傑作短編集。 

 昇の前にハネムーン中に死んだはずの花嫁・さくらが現れて……。表題作のほか、「夜へ……」「抱きしめたい」「スノー・バラード」など5編からなる愛の傑作短編集。"
eguchi-hisashi-strip-show-h	江口寿史ストリップショウ「H」	1	False	ecchi	1	本書はマンガ家江口寿史が作品製作のために描きためた、ラフスケッチ、下描き、習作、キャラ設定、裸婦素描などの未発表画の中から特にセーラー服を着た女子高生や大胆なポーズの美人コンパニオンなど、男性が健全な社会生活を営むために必要な要素を厳選して構成された実用書である。
michiko-kougou-sono-ai-to-kanashimi-no-monogatari	美智子皇后その愛と哀しみの物語	1	False	drama	1	史上初めて民間から皇室に嫁いで４０年。華やかな栄光の陰で耐えなければならなかった幾多の困難と哀しみ。それを乗り越えさせた「愛」。昭和、平成とめまぐるしく動く時代の中、皇太子妃から皇后になられ、常に変わらぬ慈しみの笑顔で人々を魅了する美智子皇后。そのドラマチックな半生を華麗なタッチであますところなく描く！
eichiesupii-no-arukikata	HSPの歩き方	1	False	essay,drama	1	周りから刺激を受けやすくて、感覚が鋭く、音や光、匂いが人一倍気になる。ＨＳＰ（Ｈｉｇｈｌｙ　Ｓｅｎｓｉｔｉｖｅ　Ｐｅｒｓｏｎ）という特性で生きづらさを感じていたけれど、だんだん自分の取り扱いが見えてきて…？ＨＳＰ気質を研究しまくった著者×「繊細さんの本」の武田友紀さんの対談も収録！！紆余曲折をまるごと描く等身大エッセイ！
jojo-a-go-go	Jojo A-go!go!	1	False	action,supernatural	1	週刊少年ジャンプの超人気漫画『ジョジョの奇妙な冒険』第5部完結記念。イラスト集、スタンドカタログ、荒木飛呂彦パーフェクトブックの3冊を美麗ケース入りで。ファンにはたまらない企画。
pussy-cat-2000	Pussy Cat	1	False	romance,comedy	1	『めい・ｋｉｎｇ』（ＰＣ版）のキャラデザ、『天使になるもんっ！』の連載マンガを手がけたＣＧの魔術師・初の画集が完成！！精緻に描かれた美少女たち１０１名を完全収録。
ko-to-kou-ron	「個と公」論	1	False	drama	1	小林よしのり『戦争論』が提起した、いわゆる“個と公”論争に終止符を打つ！「国民である」とは、どういうことか。抱腹絶倒・爆笑必至・一瀉千里の面白さ。
oshare-panda-wa-koko-ni-iru	おしゃれパンダはココにいる	1	False	comedy,slice-of-life	1	おしゃれパンダはふつうの女の子。あなたのクラスに、オフィスにきっといる。名古屋発！おしゃれパンダ、いよいよ全国デビュー！フリーペーパー「月刊ミックスポット」で好評連載中！コレが噂の５コマ・マンガだ！宅配便編・価値観編・女子大時代編・コンビニ編・マナー編、同時収録。
oyakusoku-desu	お約束・です	1	False	romance	1	原田先輩に片思いの中のメグは、とっても庶民な女の子。ところがある日突然、おじいちゃんの莫大な遺産がころがりこみ、大金持ちになって!?
kawaii-shippo-no-pero-kun	かわいいしっぽのペロくん	1	False	comedy	1	得意そうに立てて、歩みと一緒に穂先だけゆらゆら揺れる絶好調時のしっぽ。嬉しくて千切れんばかりに振るしっぽ。怖くてぺったりお尻に貼り付くしっぽ。威嚇の時に重々しく振れるしっぽ。-かわいいしっぽのペロくんがいっぱい。
kikansha-toomasu-mahou-no-senro	きかんしゃトーマス魔法の線路	1	False	adventure,fantasy	1	がんばれトーマス、魔法の線路を進むんだ！！英国の児童文学＋映画ＣＧテクノロジー＋日本のまんががドッキング！世界中で愛されているきかんしゃトーマスが初めて映画になった。おなじみ、パーシーやゴードンのほか、新しいキャラクターが登場。まんがで読めるトーマンの大ぼうけん。
kyou-no-koronpeku	きょうのコロンペク	1	False	comedy	1	みんな、コロンペクのこと知ってる？　コロンペクは、パマとマパと、犬のスーポオタとくらしてるんだ。学校？　行ってないかな。勉強？　してないかも。でも、みんなと同じように、アクマに迷路にとじこめられたり、UFOにさらわれそうになったり、毎日ゆかいにすごしてるよ。え？　同じじゃないって？　じゃあ、この本を読んでみてよ。そしたらきっとわかるから。コロンペクは、みんなと同じで、へんてこ楽しくくらしてるって！
haikara-san-tanteichou	はいからさん探偵帳	1	False	mystery	1	明治末期。活発な少女・吉野櫻子（よしのさくらこ）は、彼女の親友で短歌の同人の佳絵（よしえ）が、人を殺して失踪したと聞く。無実を信じる櫻子は、真相究明するが…。
masubie	ますびえ	1	False	drama	1	猫好きの老若男女を虜にした元気な人気者「ゆず」の愛くるしいカラーイラストをふんだんに収録し、さらにデビュー当時から現在に至る多種多様な作品群から著者自らが選んだイラストを加え、描き下ろしまでも追加。須藤真澄こと「ますび」ちゃんの初の画集は目で見て楽しく、てんこ盛り。
ajia-paa-den	アジアパー伝	1	False	comedy,adventure	1	アジアに蠢く日本の快男子たち。天才サイバラと気鋭のジャーナリストカモシダが遂に世に出した痛快アンサクセス・エイジアンストーリー。
ookuwagata-daisakusen	オオクワガタ大作戦	1	False	comedy	1	オオクワ大好きなキミに贈る写真満載・情報満載の描き下ろしコミック！世界のオオクワガタのカラー写真、採集・飼育・標本の仕方、昆虫専門店と通販店の紹介／昆虫王国マレーシア紀行などなどこの夏一気にキミはオオクワ博士。
kisu-ga-saki-desho	キスが先でしょ!?	1	False	comedy,romance	1	大好きなイトコのお兄ちゃんと2人暮らし中のあさみはある日交通事故に遭いそうな所を転校生の拓真に助けられて…！？ ドキ2のラブコメディー！
gyagu-21seiki	ギャグ21世紀	1	False	comedy	1	単行本未収録マンガ一挙掲載。わしも忘れていた１５年前の傑作なのだ！新世紀を言い当てた２４の予言。
tomu-no-tabidachi	トムのたびだち	1	False	adventure	1	ときは、いまから七千五百万年前ーとつぜん、火山が大ばくはつ！よう岩は、いっしゅんにして、おかあさんをのみこみました。ひとりぼっちになったトリケラトプスの少年トムは、むれともはぐれ、森の中をさまよいます。こわいアルバートサウルスにおそわれたり、やさしいケツァルコアトルスのおばさんにたすけられたり、かわいいトリケラトプスの少女、ローラとであったり…つらくてきびしいトムのたびは、いまはじまったばかりです。
hello-goodbye-2000	ハロー・グッドバイ	1	False	drama,music	1	レコスケたち人気キャラが勢ぞろい！ご機嫌なメロディの流れるイラストレーションと１コマ１コマが美しいポップな漫画でおくる、超新星イラストレーター本秀康の世界。
horror-manga-no-gyakushuu	ホラーマンガの逆襲	1	False	comedy,horror	1	皿回し芸人の鉄皿がシェーと襲ってくる！口裂け女は、実は私の姉さんなんです…！？幽霊に復讐するため、自分も毒を飲む少年！昭和３０年代後半から４０年代、一世を風靡した貸本マンガ。その復刻ブームの先駆けたる著者が、恐怖が突き抜けてしまったが故に、なぜか笑えてしまう傑作をピックアップ！目からウロコのマンガ世界が楽しめる一冊。
shitagi-hiyori	下着日和	1	False	ecchi	1	可愛い女の子たちが総勢５４人！！銀杏社ＨＰ「漫画街」で好評連載されていた「下着日和」が、一冊にまとまってさらに描き下ろし漫画まで！総天然色のあんな下着、こんな下着、ご堪能あれ。
ore-ni-naritai-otoko	俺になりたい男	1	False	drama,mystery	1	"▼第1話／だれか▼第2話／やつ▼第3話／崩壊▼第4話／不安▼第5話／接近▼第6話／破滅▼第7話／殺人▼第8話／その男▼最終話／帰る場所＜sub＞ ＜/sub＞
●登場人物／城戸（デザイン事務所を経営する有能な男。一方で家庭には多くの問題を抱えている）、百合子（城戸の妻。城戸との関係はすっかり冷えきっている）、ユウキ（城戸の長男。弟が事故で死んで以来心を閉ざす。現在、登校拒否の状態）、サヤカ（城戸の愛人）、神崎（やり手の女性編集者。城戸に好意を持つ）。＜sub＞ ＜/sub＞
●あらすじ／デザイン事務所を経営する城戸。仕事は順調なのに対して私生活は数々の問題を抱え、家庭は崩壊寸前の状態にある。城戸は問題が噴出するのを恐れ、家族と向き合うことを避け続けていた。ある日、彼は身に覚えの無い場所で、自分と同じ顔をした男が何度か目撃されていることを知る……（第1話）。▼以前した仕事が評価され、再び神崎に仕事を依頼される城戸。ある日、かつての同僚たちと久し振りに飲みに出かけた城戸は、元同僚の一人から、先週自分と会ったとを言われるが、全く身に覚えが無い。城戸は、自分と同じ顔をした男がいるのではないかと気になり出す……（第2話）。＜sub＞ ＜/sub＞
●本巻の特徴／自分と同じ顔をした男の存在に次第に恐怖を覚え始める城戸。家庭の問題から逃げ続ける城戸を待っている意外な結末とは？"
ore-ni-chimanako-no-hana	俺に血まなこの花	1	False	comedy	1	114個のネタとマンガ・150個の「21世紀に伝えたいもの」・　1234個のタイトル案・67個のプチだより・　各1のGOちゃんカードとプロフィールとあとがきでお届けする、　血まなこシリーズ最新決定版！
ten-kara-rururu	天からるるる!	1	False	fantasy,comedy	1	『だんぜんコースケ！』『ハイパーあんな』『天からトルテ！』等のキュートなキャラが勢揃い。マニアックな解説やら、妙な特集やら、なにやら、かにやら、未収録初期作品まで入って断然お得。
koharubi	小春日	1	False	romance	1	衿子は、母の再婚相手の丈太郎に恋心をいだいている。彼にその気持ちを気づかれ家を出たが、母の不在の時、思い余って会いに行く・・・男ひとりと女ふたりの愛の行方はどこへ！？
shin-honjitsu-no-okotoba	新・本日のお言葉	1	False	comedy	1	名著「本日のお言葉」オール新撰。２１世紀版！！川原教授の３６６日名言事典。まんが「トロピカルＡＩＢＯダイアリー」、川原流世界史人物事典ほかおまけも充実。
shinseiki-sm-gahou	新世紀SM画報	1	False	horror	1	未発表のイラストの他、色つき原寸大・漫画作品「無神経かさねが渕」、丸尾ワールドに迫る「視覚の原風景」、「楽屋裏探訪ー創作ノート」、書き下ろしエッセー「何よりも映画を愛す」、本音で勝負・強烈バトル対談「誰よりも速く、地獄をくぐり抜けた！！」等々を収録したＳｕｅｈｉｒｏ　Ｍａｒｕｏワールドの決定版。
ake-no-suisei	明けの彗星	1	False	drama	1	"▼第1話／大陸基地航空隊▼第2話／複葉艦戦隊▼第3話／海鷲の落日▼第4話／蒼昊の銛手（そうこうのもりうち）▼第5話／最後のト連送▼第6話／明けの彗星（すいせい）▼第7話／真夏の赤蜻蛉（あかとんぼ）▼第8話／闇の誘導路＜sub＞ ＜/sub＞
●あらすじ／少年時代、飛行士になる夢を抱いた大貫は、軍隊に入ることでその夢を実現させる。日中戦争が始まりを告げる中、ついに実戦配備されることになった大貫一空曹は、戦争という現実の前に戸惑いを見せる。ある日、大貫は初めて敵機を撃墜し浮かれるが、戦闘中、自分を助けようとして被弾した友人の菅野が死んだことを知る……（第1話）。▼太平洋戦争末期、日本軍は特攻隊による体当たり作戦を発動する。成瀬飛曹は、周囲が死を賭して飛び立ってゆく中で、訓練を重ねる上官の小泉分隊士に歯がゆさを感じていた。ある日、友人が特攻に出ることを知った成瀬は、無許可でその後を追いかけて飛び立つが……（第6話）。＜sub＞ ＜/sub＞
●本巻の特徴／戦時中使用された、日本史上に残る数多くの名機が登場。96式艦上戦闘機（第1話）、95式艦上戦闘機（第2話）、99式艦上爆撃機（第3話）、1式陸上攻撃機（第4話）、96式艦上攻撃機（第5話）、艦上爆撃機“彗星”（第6話）、93式中間練習機“赤トンボ”（第7話）、2式複座戦闘機“屠竜”（第8話）。"
inu-to-class-hon	犬と暮らす本	1	False	essay,slice-of-life	1	犬ってどんな動物なのかな？毎日の手入れってなにをすればいいのかな？トイレのしつけってどうするの？むだ吠えするのをやめさせるには？うちのコ、かみぐせがあるんです…。飼い主になりたいあなたと、現在しつけにお悩みのあなたのための、もっとワンちゃんと仲良くなれる１冊。
kemonotachi-no-yoru	獣たちの夜	1	False	drama,action	1	過剰なまでの言葉の噴出、めくるめく知識の奔流「攻殻機動隊」「Ａｖａｌｏｎ」の監督押井守が仕掛ける華麗でペダンティックな修辞の罠-。君はこの知的挑発に耐えられるか。押井守の自伝的小説、ついに登場。
wake-wa-kikuna-otona-nara	理由は聞くな。大人なら。	1	False	essay,comedy	1	「ＤＯＳ／Ｖ　ｍａｇａｚｉｎｅ」の人気連載「買い物マンガ」がついに単行本化！「人間、恥では死なない」
kangaeru-samurai-yaa	考える侍・やぁ!	1	False	historical,comedy	1	幻の初期傑作集第2弾。表題作の、哲学する異色時代劇「考える侍」、「哀愁のサラリーマン賛歌「やぁ！」他、短編読切「グレイト2」を収録。
hanawakare	華別れ	1	False	ecchi	1	剣が奔り、群馬が轟き、女の肌が匂う。「子連れ狼」から色香漂う女人まで…円熟した描写は劇画の域を超える！！時代劇画の巨峰・小島剛夕限定遺稿集。構成、構図、描写の卓抜さを魅せつけた、まさに剛夕ワールドの決定版。
shinkirou-ki-tan	蜃気楼綺譚	1	False	horror,mystery	1	"▼第1話／午後8時の旅立ち▼第2話／蟷螂の斧▼第3話／修羅の裁き▼第4話／蜃気楼妖霊伝説 ▼第5話／天と地の彼方・親友▼第6話／疫病神▼第7話／金星の赤い琥珀▼第8話／蜃気楼ホテル▼第9話／伴侶 ＜sub＞ ＜/sub＞
●登場人物／摩耶（「蜃気楼」女主人。全く素性の知れない美人）、立島（「蜃気楼」店員。摩耶の妖しい魅力にひかれ、蜃気楼を手伝う） ＜sub＞ ＜/sub＞
●あらすじ／才能も金も気力もない立島は、六畳一間のアパートでゴロゴロする毎日を送っていた。そんなある日、彼の部屋に「高給優遇・蜃気楼本店」というチラシが飛び込んできた。翌日、彼がその店を訪ねてみると、真っ暗な店内には美しい女主人・摩耶がいて、面接することになった。翌日から働くことが決まった立島は、店を出ると忘れ物をしていたことに気づく。店に戻ってみるとそこには「蜃気楼」はなく、入れ違いにやって来た客の首吊り死体と立島のカバンが残されているだけだった……（第1話）。▼立島とマスターは、彼女の生まれ育った、「蜃気楼」のかつての本店まで酒や道具を取りに行く。それは不気味な洋館であり、そこで彼女は自分の名を「高雄摩耶」と名乗る。その後見習店員として彼は働き始めるが、「蜃気楼」には常連客もなく店内は閑散としている。そんな時、壁の絵に手をかけた彼は、その後 ろに大きな穴を発見する。前日の酒乱客があけたものかと思いきや、摩耶は"
zutsuki-no-champion	頭つきのチャンピオン	1	False	adventure	1	ときは、いまから七千五百万年前ーとつぜん、火山が大ばくはつ！よう岩は、いっしゅんにして、おかあさんをのみこみました。ひとりぼっちになったトリケラトプスの少年トムは、森の中をさまよいます。やっとなかまの群れに出会えたトムは、少女ローラと仲良しになりますが、そのローラが重い病気に！かわいいローラのために、薬草の赤い花をもとめて山をかけまわるトム。それを妨害しようと、子分をつれてトムのあとを追うボスの子ダイガー。トムの身に、つぎつぎとふりかかる危険と災難！あっ、トムがあぶない。
clock-clock	Clock Clock	1	False	adventure,sci-fi	1	●あらすじ／不破航は、自作飛行機の開発に燃える少年。気軽に飛べる「空の原チャリ」を目指して、周囲の嘲笑にもめげず、今日も河川敷で実験を繰り返していた。その時、空の彼方から奇妙な音が。なんと第一次大戦中のドイツの三葉機「フォッカーDr.T」が、現代の日本にやってきたのだ。パイロットは、レベッカという名の女の子。信じられないことに、その飛行機はタイムマシンで、1919年のドイツからやってきたらしい。レベッカは、行方不明になってしまった尊敬する先生を探しにきたというのだが…!?（第1話）。▼第1話／過去からの旅人▼第2話／過去という名の現実▼第3話／現実からの脱出▼第4話／父と娘…▼第5話／誇り（プライド）をかけた飛行（フライト）▼第6話／未来を知る男▼最終話／そして、時の狭間に…●主な登場人物／不破航（ふわ・こう。自作飛行機作りに燃える少年。正義感が強く、夢の実現に燃えている）、レベッカ・マイフォーハー（1919年のドイツから、タイムマシンでやってきた女の子）、アルセーヌ・ルパン（ご存じ、世紀の大怪盗。タイムマシンを狙って、航やレベッカにつきまとう）●本巻の特徴／レベッカが尊敬する先生というのは、人類史上最高の科学者として名高い、あのアインシュタインだった。彼は、時空の相転位を可能にする物質「∞（インフィニ）- マテリアル」を発見するが、その実験中、時空の狭間に吸い込まれてしまったとい
eve-2001	EVE	1	False	romance,sci-fi	1	イブはロボットの女の子。一緒に暮らす聖夜（せいや）やクラスメイトと共に、人間のことを学んでいくけれど…。ピュアで心温まるSFラブストーリー。
macoto-no-ohime-sama	MACOTOのおひめさま	1	False	fantasy	1	今度は“おひめさま”にうっとりしてください…シンデレラ、人魚姫、おやゆびひめ、白雪姫、ねむりひめ「少女ロマンス」に続く、高橋真琴の世界。
watermark	Watermark	1	False	drama,romance	1	「エイリアン通り」「ＣＩＰＨＥＲ」「ＡＬＥＸＡＮＤＲＩＴＥ」「ＮＡＴＵＲＡＬ」。数々のヒット作を生み出してきた、著者自らが選ぶ１５０点以上のカラーイラストを収録。
y-no-omoide	Yの思い出	1	False	romance	1	思い出なんかに ならないで　思い出なんかに　思い出なんかにならないで　センチメンタルでエロティックな、やまだないと最新短編集＆掌編集。　フルカラー作品も多数収録。
inseki-no-daishoutotsu	いん石の大しょうとつ	1	False	adventure	1	いまから七千五百万年前ー火山の大ばくはつでおかあさんをなくし、ひとりぼっちになった少年トムは、なかまのトリケラトプスの群れをもとめて、森をさまよいます。つぎからつぎへ、トムにおそいかかる肉食恐竜たち！その危機に、勇気と知恵で立ち向かうトム！そして、石頭恐竜チャンプや、プップくんとのかなしいわかれーでも、あたらしい友だちヒラリや、タイガーともめぐりあえました。そしてようやく少女ローラと、なかまの群れにであえたのでした。ところが、そのとき…とつぜん、巨大いん石が、地上にげきとつしたのです。
ojarumaru-yakusoku-no-natsu	おじゃる丸 約束の夏	1	False	fantasy,comedy	1	国民的キャラクター「おじゃる丸」の劇場用映画を、コミックに再構成。パラパラマンガや、コラムを全ページに掲載！！ニューキャラクターコミックとしてファンもうなる、充実の一冊！！
kyoufu-no-sokonashinuma	きょうふの底なし沼	1	False	adventure	1	いまから七千五百万年前ー火山の大ばくはつでおかあさんをなくし、ひとりぼっちになった少年トム。森をさまよったすえ、せっかく仲良しになった少女ローラが重い病気に！ローラのために、薬草の赤い花をもとめて山をかけまわるトム。それを妨害しようと追う、ボスの子タイガー。谷からつきおとされたトムは、ワニや大トカゲにおそわれたり、ケツァルコアトルスの、やさしいおばあさんにたすけられたり…。そして、石頭恐竜チャンプとのかなしいであいー。はたして、少女ローラの病気は…？友だちになったヒラリと、トムの冒険のたびはつづきます。
tonari-no-nono-chan	となりのののちゃん	1	False	comedy	1	経営危機に陥ったアニメ制作会社チャンネル・ゼロリが、起死回生の一策として打ち出したいしい被災地原作「となりのののちゃん」のアニメ化をめぐる一大騒動。連作長編漫画。
dokomademo-ajia-paa-den	どこまでもアジアパー伝	1	False	comedy,adventure	1	詐欺師、売春婦、スリ、両刀使いの元軍人、ヘロイン中毒…カメラ片手にアジアを巡る鴨ちゃんの温かい文章と天才サイバラの破壊的マンガコンビが出会った怪しい人々。
nakuna-puppu-kun	なくなプップくん	1	False	adventure	1	いまから７５００万年前ー火山の大ばくはつでおかあさんをなくし、ひとりぼっちになった少年トム。大ワニや大トカゲ、さまざまな肉食恐竜におそわれながら、なかまのトリケラトプスの群れをもとめて、森をさまよいます。勇気と知恵でたちむかうトムに、あたらしい友だちヒラリができました。そして、むかしの友だちタイガーともめぐりあえました。ところが、たびをつづけるトムの目の前で、マイアサウラのおかあさんが、アルバートサウルスにおそわれたのです。そばでなきさけぶ小さな子ども。そのプップくんをはげましながら、また、たびをつづけます。ところが…プップくんがとつぜん、いなくなったのです。
futsuu-no-fasshon	ふつうのファッション	1	False	comedy	1	あなたもセイコに見られてる？あなたもマンガになっているかも？セイコは、ぶらぶら。今日も街のどこかであなたのファッション、スケッチ中。
yurayura-2001	ゆらゆら	1	False	ecchi	1	９００万部突破！の大ヒットコミック「ふたりエッチ」初画集。９３センチＥカップ優良さんの悩殺ＢＯＤＹ＆究極の癒しＳＭＩＬＥ満載。ここでしか見られないカラーコミック収録。ポスターつき。
apollo	アポロ	1	False	fantasy	1	朝倉世界一を語る上で絶対に絶対に絶対に外せない中期の大傑作。キュートでオバカでオシャレでせつないネオ・ファンタジー。ラストの展開は鳥肌が立つほど涙もの…。まだ読んでない人は幸せですよ。あなたにはこれからおっきな楽しみが迎えてくれることでしょう。長らくの品切れから、いよいよ新装版として復活です。
castella-shock-remix	カステラショックre-mix!!	1	False	comedy	1	伝説が伝説を呼ぶ初期傑作集「カステラショック」が装いも新たにリパブリッシュ！　ファイブオブジェクツが、メガトンよしかずが、力持ちが、トリップくんが、所狭しと大活躍！　　ボーナストラックとして、完全描き下ろし企画　「ベルサイユ大日向の未発表作品がまだあった！」「力持ち私」ほか収録！
kaoru-to-yui-no-ikkai-yarashite	カヲルとゆいのいっかいやらして	1	False	comedy	1	●あらすじ／カヲルとユイの突撃体験レポート・第1回は、バンジージャンプをしに、千葉県のマザー牧場へ。で、実際にそのジャンプ台を目の前にしてみると、高いのなんの。何しろ、ジャンプ台のてっぺんに立つと、下に置かれている6メートル四方のエアーマットが、ハンペンぐらいにしか見えないのだ。しかしここで怖じ気づいてやめたんじゃ、なんのために来たんだかわからない。二人は意を決して、飛び降りる!!（第1話）▼第1話／気分は飛び降り自殺▼第2話／初めてのラブホ▼第3話／お尻に卵はありますか？▼第4話／船釣りで胃液リリース。▼第5話／豚のキンタマ喰う女。▼第6話／私っていくら？▼第7話／海釣りで爆釣（ばくちゅう）!!▼第8話／世界一カタイちんことは…▼第9話／馬に乗る。▼第10話／ウンコロネ♪ チンコロネ♪▼第11話／縁日の王様▼第12話／見るだけで痛い…▼第13話／熱くてうまいちんセージ。▼最終話／珍宝館探検。●主な登場人物／私屋カヲル（この作品の作者。元々は少女マンガを描いていたが、自分の自由を他人に制限されると反発したくなる性格ゆえ、規制の多い少女マンガではストレスがたまっていた。そこへやってきた少年誌の話に、「うんこネタやちんこネタが思いっきり描けるぞ」と狂喜。念願のエロネタ、下ネタ全開で大暴走する。一応断っておくが、女）、油井卓也（担当編集者。かつては、1988年の国体走り幅跳びで優勝し、そ
ground-zero	グランドゼロ	1	False	action,adventure	1	"たった一発の弾丸で都市を消し去る伝説の銃「都市（まち）消しの銃」を手に荒野を駆け巡る少年・世郎の、
爽快なガンアクションが冴えわたる！
繊細かつ躍動感溢れる筆致で紡がれるレトロ・フューチャーなアクション活劇！

プロトタイプにあたる読み切り作品「幻想少年」を併載。

ーー

【夭折した無垢な魂が遺した3つの宝石】
今なお後続の漫画家からの熱いリスペクトを集める、
氏の数少ない長篇3作品がひとつのシリーズとして同時刊行。
いずれのタイトルも今まで単行本化されていなかった原稿も収録した愛蔵版です。

●木崎ひろすけメモリアルエディション・他2タイトル●
少女・ネム 増補版 
A・LI・CE ［アリス］"
