slug	title	tv	has_synopsis	genres	n_isbn	caption
nagasarete-airantou	ながされて藍蘭島	44	False	romance	44	"あやねと美咲が歴代最強の退魔巫女まちの修行に挑む!!
藍蘭島に現れた天狗を圧倒したすずの強さに刺激を受けたあやねと美咲は、まちが課す修行を受けることにした。基礎修行として霊力と妖力を使い切るまで戦うことになった二人。やみくもに戦っているだけかと思っていたが、二人は効果的な術の使い方を身に着けることに成功する。そしていよいよ迎えた実戦編。稽古初級の相手として現れたのは思いも寄らぬ強敵だった!!"
happy	ハッピー!	43	False	comedy,drama,romance,slice-of-life	43	"親子で読める盲導犬マンガの金字塔！！
1話完結読み切りなのでこの巻からでも読めるよ！視力を失った香織に希望を与えてくれた盲導犬ハッピー。
そのハッピーもリタイアが迫り、香織はハッピーの退職（リタイア）後を考えなければならない時期になる。何より長男の明光がハッピーとの別れを、受け入れられるのかを心配する香織だったが……！？"
shizuku-chan	しずくちゃん	43	False	fantasy	43	"小さなしずくの妖精、しずくちゃん。雨になると大活躍する、かわいい不思議妖精。しずく妖精の仲間たちと楽しく遊ぶ様子がかわいい絵本！　超面白い4コママンガも収録。

キャラクターグッズになっている「しずくちゃん」の絵本化。
かわいくてやさしい、しずくちゃん以外にも、牛乳のしずくの妖精みるみるちゃん、化粧水の妖精うるおいちゃん、ウーロン茶の妖精ロンロン、紅茶の妖精レティ、汗の妖精アセオ君などなどたくさんの妖精が登場。しずくの森で楽しく遊ぶ様子が描かれています。4コママンガや、占いなども盛り込んだ楽しい絵本です。"
radical-hospital	ラディカル・ホスピタル	42	False	comedy	41	"愛し愛され40巻!!　25周年!!

ファンに寄り添うドクター&ナースたち!!


スタートから25年を過ぎどんどん進化する

医療と科学の中でも変わらない安心と笑いをお届けして

ついに40巻!!　読者の皆様に感謝です!!

手術への思い、自分へのごほうび、

読書感想文やハワイ旅行などなど、

お医者さん、スタッフ、患者さんを通して

あらためて自分の人生にふれあえる作品、

「ラディカル・ホスピタル」をこれからもヨロシク!!"
tetsu-bon	テツぼん	41	False	comedy,drama,slice-of-life	41	"▼第1話／二つの顔▼第2話／敗者復活▼第3話／予定外の出来事▼第4話／野性の本能▼第5話／百年間のいがみ合い▼第6話／アンダー・グラウンド▼第7話／汽車ぽっぽ▼第8話／攻守交代▼第9話／遺産▼コラム／「八甲田」死の彷徨▼コラム／シブい大人を目指すなら……▼コラム／名前で“萌え” 

●主な登場人物／仙露鉄男（鉄道オタクのフリーターだったが、代議士の父が亡くなったため、その気はないのに立候補させられ当選した） 
●あらすじ／仙露鉄男。元フリーターで鉄道オタクの28歳。代議士だった父の急死により、その気もないのに選挙に担ぎ出されて当選した新米議員である。父も所属していた派閥のボス・黒田から、票固めのため、赤字線である土井中鉄道の廃止派の支援を命じられた鉄男は、鉄ヲタであることを隠し、道路族の一員として土井中駅へと出発するが…!?（第1話） 
●本巻の特徴／国会議員の父親の急死をきっかけに政界入りした、元・フリーターで鉄道オタクの仙露鉄男が、その熱き鉄道魂でニッポン改革する（？）、鉄ヲタポリティカル・コメディー第1集！ 鉄ヲタ歴40年の原作者による書き下ろしコラムも3本収録。 
●その他の登場人物／内山芳仲（鉄男の第一秘書。父の代からの秘書で、新人議員の鉄男に政治家のノウハウを教え込む）、黒田道久（鉄男の父も所属していた与党・憲政党黒田派のボス。道路や自動車関係に利権を持つ）、広成真希（"
pokkapoka	ぽっかぽか	40	True	comedy,slice-of-life	40	ある日、泣いているお母さんを見かけた麻美たち。「困ったらいつでも言って」と声をかけると、人探しを頼まれて…!? 自分の人生を肯定したくなる『すき』他5編収録。
steel-ball-run	STEEL BALL RUN	40	False	action,adventure	40	"ヴァレンタイン大統領はもういない…。大きな犠牲のもと闘いに決着をつけたジョニィは最終9th.STAGEを走る! 目的はレース参加者が持ち去った『遺体』の奪還。ジョニィ自身が見覚えのあると直感した『足跡』の主とは!? そしてゴール地点・ニューヨークに1位で辿り着き『SBR』を制するのは誰か!? ジョジョ第7部ここに完結!
あとがき・荒木飛呂彦"
ginga-tetsudou-999	銀河鉄道999	39	False	adventure,sci-fi	39	"アニメ化され一大ブームを呼んだ名作が、新装丁で再登場！ 

 ▼プロローグ1／始発駅「運命（ディスティニー）」前編▼プロローグ2／始発駅「運命（ディスティニー）」後編▼プロローグ3／始発駅「運命（ディスティニー）」2▼第1話／運命の涙▼第2話／ヘドロのダイヤ▼第3話／永遠への分岐点▼第4話／星の海を想う▼第5話／心の旅人●主な登場人物／星野鉄郎（地球生まれの勇気ある少年。銀河鉄道999号に乗って旅立つ）、メーテル（鉄郎と共に999号で旅する女性）●あらすじ／次の停車駅は、この宇宙の中心で一番大きな始発駅「運命（ディスティニー）」。銀河鉄道株式会社の本社もあるこの駅をめざし、発着する列車が雨のように降り注ぐ光景はまさに圧巻。だが、不思議なことに999号専用ホームには誰の姿も見えない。車掌いわく「始発駅から999に乗る人は、過去にも現在にも未来にもいない」とのこと。メーテルに促されホームに降り立った鉄郎だが、そこにはエメラルダスに似た雰囲気の女性が待ち受けていて…（プロローグ1）。●本巻の特徴／ 画業50周年を迎えた作者が、21世紀へのメッセージをこめて綴った新シリーズ「銀河鉄道物語」を収録。銀河鉄道全線を統括する女性・レイラが、鉄郎に見せた涙の意味とは？ スペースパンツァーグレネイダー（SPG・空間装甲擲弾兵）を目指す少年・有紀護たちを待つ運命とは…!?●その他の登場人物／レイラ・デ"
tarou	太郎	39	False	sports	39	信用金庫に勤めるサラリーマンとプロボクサーの二足のわらじを履く男・吉野太郎!! ひたむきに生きる太郎の青春がリングで熱くほとばしる。
kabachi	カバチ!!!	39	False	drama,comedy	39	"大野事務所に警察からストーカーを止めるよう警告を受けた男が泣きついてきた。警察沙汰となった事件の弁護は出来ないと断る田村だが、男は婚約者に一方的に別れを告げられたため、その理由を聞くため女性に連絡を取ろうとしただけなのだと言う。5巻では、加葉が従弟の付添い人として活躍する少年犯罪編も完結。


大野事務所に警察からストーカーを止めるよう警告を受けた男が泣きついてきた。警察沙汰となった事件の弁護は出来ないと断る田村だが、男は婚約者に一方的に別れを告げられたため、その理由を聞くため女性に連絡を取ろうとしただけなのだと言う。5巻では、加葉が従弟の付添人として活躍する少年犯罪編も完結。
chapter3.12　裏切られて、裏返して……
chapter3.13　乗った船は絶対におりない
chapter3.14　大事なことは、なんですか
chapter3.15　親の心は極甘スウィーツ
chapter3.16　憲治の一刺し
chapter3.17　憲治、またもハメられる
chapter4.1　男は恋を永久保存
chapter4.2　オレってストーカー？
chapter4.3　オレまで逮捕なん？
chapter4.4　ムリが通るなら道理はどうなる？
chapter4.5　未練は男の性じゃけど"
