slug	title	our_authors	source_authors(同題)	status
kurobengoshi-no-chijou	黒弁護士の痴情	スミ漫画家		NOT_FOUND
kurobuta-ouji-wa-zense-o-omoidashite-kaishin-suru	黒豚王子は前世を思いだして改心する	吠エルタロウ;少年ユウシャ		NOT_FOUND
kurochou-no-ichizoku	黒蝶の一族	日野塔子		NOT_FOUND
kuroe-to-mesu-no-sono	クロエと雌の園	チフユ漫画家	チフユ	AUTHOR_MISMATCH
kuroema	クロエマ	海野ツナミ	ツナミ;海野	AUTHOR_MISMATCH
kurofune-kitaru	黒船来たる	石ノ森章太郎		NOT_FOUND
kurofunemaru-de-rio	Kurofunemaru de Rio	キクチ正太		NOT_FOUND
kurogane-no-bara	鋼鐵(くろがね)の薔薇	久慈光久		NOT_FOUND
kurogane-no-taiyou	黒鉄の太陽	ツクモ号	白川雷電	AUTHOR_MISMATCH
kurogane-no-valhallian	黒鉄のヴァルハリアン	松原利光		NOT_FOUND
kurogiri-kun-wa-shinobanai	黒霧くんは忍ばない	中川海二	サヨシ;ノンコ;紺ノンコ	AUTHOR_MISMATCH
kurogyaru-ni-natta-kara-shinyuu-to-yatte-mita	黒ギャルになったから親友とヤってみた。	星タ	織島ユポポ	AUTHOR_MISMATCH
kurogyaru-san-ga-kuru	黒ギャルさんが来る!	ザシーツ	]イツム	AUTHOR_MISMATCH
kuroi-kaze	電人Xマン+黒い風	桑田二郎	桑田次郎	AUTHOR_MISMATCH
kuroi-majo-to-shiroi-seijo-no-hazama-de	黒い魔女と白い聖女の狭間で	柴飼ポンチョ		NOT_FOUND
kuroi-rinjin-shiroi-onzoushi	黒い隣人白い御曹司	山本美希	本崎月子	AUTHOR_MISMATCH
kuroiwa-medaka-ni-watashi-no-kawaii-ga-tsuujinai	黒岩メダカに私の可愛いが通じない	久世蘭	久世	AUTHOR_MISMATCH
kuroki-nen-no-jutsusha	黒き念の術者	寺尾玲子;山本マユリ		NOT_FOUND
kuroko-to-akuyaku-kun	黒子と悪役くん	山科ティナ	ティナ;山科	AUTHOR_MISMATCH
kurone-san-wa-nyaa-to-nakanai	黒根さんはニャーと鳴かない	竹村優	乙川	AUTHOR_MISMATCH
kuroneko-ace	黒猫エース	桂ヨシヒロ	キョウコリン	AUTHOR_MISMATCH
kuroneko-kareshi-no-afurekata	クロネコ彼氏のあふれ方	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kuroneko-kareshi-no-aishikata	クロネコ彼氏の愛し方	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kuroneko-kareshi-no-amaekata	クロネコ彼氏の甘え方	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kuroneko-kareshi-no-arukikata	クロネコ彼氏のあるき方	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kuroneko-kareshi-no-asobikata	クロネコ彼氏のアソビ方	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kuroneko-no-gokko	黒猫の○○ごっこ	景山五月		NOT_FOUND
kuroneko-no-kenshi	黒猫の剣士	ソラ蒼;妹尾尻尾		NOT_FOUND
kuroneko-osananajimi-ga-nigashite-kurenai	黒猫おさななじみが逃がしてくれない。	吾平	山本トモミツ	AUTHOR_MISMATCH
kuroneko-quincat	黒猫クインキャット	藤緒アイ	宮チヒロ	AUTHOR_MISMATCH
kuroneko-to-heishi	黒猫と兵士	蒼井万里	万里;蒼井	AUTHOR_MISMATCH
kuroneko-to-houseki-shokunin	黒猫と宝石職人	一×	リトウ春墨	AUTHOR_MISMATCH
kuroneko-to-majo-no-kyoushitsu	黒猫と魔女の教室	金田陽介	金田;陽介	AUTHOR_MISMATCH
kuroneko-zukan	クロネコ図鑑	右京アヤネ	左京亜也	AUTHOR_MISMATCH
kurosaki-kun-no-iinari-ni-nante-naranai-s	黒崎くんの言いなりになんてならないS	ヨノ;志郎	マキノ	AUTHOR_MISMATCH
kurosaki-kun-no-iinari-ni-nante-naranai	黒崎くんの言いなりになんてならない	ヨノ;志郎	マキノ	AUTHOR_MISMATCH
kurosaki-kun-wa-dokusen-shitagaru	黒崎くんは独占したがる	和泉杏花;香乃子		NOT_FOUND
kuroshio-current	クロシオカレント	コカムモ		NOT_FOUND
kurotobi-no-seija	黒鳶の聖者	マサミティー;花房夜空		NOT_FOUND
kurotsuki-no-yaergnacht	黒月のイェルクナハト	スズモトコウ	コウ;スズモト	AUTHOR_MISMATCH
kurou-record	クロウ・レコード	la-na;海道左近		NOT_FOUND
kurourenke-no-jinanbou-comic	クロゥレン家の次男坊@COMIC	島田征一;白川祐		NOT_FOUND
kurowashi-shounen	黒わし少年	桑田二郎	桑田次郎	AUTHOR_MISMATCH
kuroyuri-mystery	黒百合ミステリー	阿南マユキ	マユキ;阿南	AUTHOR_MISMATCH
