key	cat	title	cur_slug	new_slug	method
qid:Q11643389|name:バナナ白書	DEFER_YEAR_MISSING	バナナ白書	banana-hakusho-2	banana-hakusho-sanzemari	作画家姓
qid:Q11653302|name:ユートピア	DEFER_YEAR_MISSING	ユートピア	utopia-yugureuchusen	utopia-yugureuchusen-nagahama	作画家姓
qid:Q11665645|name:恐怖怪奇	DEFER_YEAR_MISSING	恐怖怪奇	kyofu-kaiki-2	kyofu-kaiki-kazama	作画家姓
qid:Q11676465|name:懺悔	DEFER_YEAR_MISSING	懺悔	zange-kano	zange-kano-hattashiuk	作画家姓
qid:Q1332841|name:砂時計	DEFER_YEAR_MISSING	砂時計	sunadokei-2	sunadokei-ikegami	作画家姓
qid:Q265061|name:メッセージ	DEFER_YEAR_MISSING	メッセージ	message-hagio	message-hagio-hagio-2016	作画家姓+年
qid:Q16263692|name:メッセージ	DEFER_YEAR_MISSING	メッセージ	message-2	message-aso-1987	作画家姓+年
qid:Q3194504|name:ボン	DEFER_YEAR_MISSING	ボン	bon-2	bon-kudo	作画家姓
qid:Q24902944|name:めちゃ盛!本当にあった〔○生〕ここだけの話祭	DEFER_YEAR_MISSING	めちゃ盛!本当にあった〔○生〕ここだけの話祭	mechamori-honto-ni-atta-nama-koko-dake-no-hanashi-matsuri-2	mechamori-honto-ni-atta-nama-koko-dake-no-hanashi-matsuri-anzai-2016	作画家姓+年
qid:Q193300|name:人間牧場|sub:少年サンデー版 : 限定版BOX	DEFER_V0_STUB	人間牧場	ningen-bokujo-2	(DROP)	junk-drop
qid:Q3776935|name:SEE YOU AGAIN	DEFER_YEAR_MISSING	SEE YOU AGAIN	shii-you-again-2	shii-you-again-satonaka-1983	作画家姓+年
qid:Q11273362|name:源氏物語	NEED_TIEBREAK	源氏物語	genji-monogatari-2	genji-monogatari-shin-1991	作画家姓+年
qid:Q974911|name:GENEROUS	NEED_TIEBREAK	GENEROUS	jienerasu-2	jienerasu-yumeka	作画家姓
qid:Q3514157|name:ライオン・ハート|sub:優しい牙に恋して	NEED_TIEBREAK	ライオン・ハート	lion-heart-2	lion-heart-shigematsu-2020	作画家姓+年
qid:Q20042291|name:ラブレター	NEED_TIEBREAK	ラブレター	love-letter-2	love-letter-hanakojiko	作画家姓
qid:Q11639709|name:ローズガーデン	NEED_TIEBREAK	ローズガーデン	rose-garden-2	rose-garden-hayami	作画家姓
name:Projekt Kagonish|name:ストライクウィッチーズ第501統合戦闘航空団	DOUBLING	ストライクウィッチーズ第501統合戦闘航空団	sutoraiku-uitchiizu-daigohyakuichi-togo-501-to-kokudan	strike-witches-dai-501-togo-sento-kokudan	正式題
qid:Q11386899|name:突撃くらたま24時	DOUBLING	突撃くらたま24時	totsugeki-24-ratama-nijuyoji	totsugeki-kuratama-24-ji	正式題
qid:Q11543862|name:20世紀の366日	DOUBLING	20世紀の366日	20-seiki-no-sanbyaku-rokujurokunichi	niju-seiki-no-366-nichi	正式題
qid:Q2061122|name:宇宙戦艦ヤマト2199	DOUBLING	宇宙戦艦ヤマト2199	uchu-2199-kan-yamatoniichikyukyu	uchu-senkan-yamato-2199	正式題
