slug	title	著者グループ数	著者別巻
mama-tokidoki-kodomo	ママときどき子ども	2	森本梢子(v[1]) || 深見ジュン(v[2])
manga-grimm-douwa-2003	まんがグリム童話	2	魔木子(v[1]) || 竹崎真実(v[39])
manga-nougyou-business-rendetsu	まんが農業ビジネス列伝	2	農林水産省中国四国農政局(v[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]) || 中国四国農政局(v[2])
mangamichi	まんが道	2	藤子不二雄a(v[1, 1, 2, 3, 3, 4, 4, 6, 10, 11, 14, 16, 18, 19, 20, 21, 22, 23]) || 藤子不
manyuuki	まんゆうき	2	漫☆画太郎(v[1, 2]) || 漫画太郎(v[3])
maple-senki	メイプル戦記	2	川原泉(v[1, 2, 3]) || 川原泉(漫画家)(v[1, 2])
marude-shindere-rabooi	まるでシンデレラボーイ	2	山内繁利(v[1]) || 山岡繁利(v[2, 3])
matarou-ga-kuru-2020	魔太郎がくる!!	2	藤子不二雄a(v[1, 4, 6, 7, 8, 14]) || 藤子不二雄○a(v[2, 3, 5])
medaka-no-gakkou	めだかの学校	2	森ユキエ(漫画家)(v[1, 2, 3]) || 森ユキエ(v[4, 5, 6])
megami-no-oni	女神の鬼	2	田中宏(漫画家)(v[1, 2, 3, 4, 5]) || 田中宏(v[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 
meiken-karayan	迷犬カラヤン	2	アヤセ理子(v[1]) || アヤセリコ(v[2, 3])
meitantei-asami-mitsuhiko-no-file	名探偵浅見光彦の事件簿	2	内田康夫;宗美智子(v[1, 2]) || アサミサトル;池田恵(v[3])
meitantei-nekomaru-senpai-no-file	名探偵猫丸先輩の事件簿	2	アンソロジー(v[1]) || ミサキ速;大塚アキラ(v[2])
melodrama	メロドラマ	2	深見ジュン(v[1]) || 村上モトカ(v[1, 2, 2])
michikusa	道草	2	佐藤イヅミ(v[1]) || 国枝彩香(v[1])
mihara-drops	みはらドロップス	2	中石田真輔(v[1, 5]) || ]中石田真輔(v[2, 3, 4])
mikan-no-tsuki	未完の月	2	レッドカンパニー;松田篁;飯(v[1, 2, 3, 4]) || 飯田晴子(漫画家)(v[5, 6])
milk-chocoloate	ミルクチョコレート	2	泡沫(v[1, 2, 3]) || 泡沫1997-(v[4])
milky-way-shimizu-1986	ミルキーウェイ	2	清水玲子(v[1]) || 清水玲子(漫画家)(v[1])
mimi-o-sumaseba	耳をすませば	2	柊アオイ(v[1, 1]) || アニメージュ編集部(v[2, 3, 4])
minotauros	ミノタウルス	2	ササヤナナエ(v[1]) || ササヤナナエコ(v[1])
mitabi-onna-no-hashorimichi	みたび!女のはしょり道	2	伊藤理佐(v[1]) || ]伊藤理佐(v[1])
mitarai-kun-no-bouken	御手洗くんの冒険	2	源一(v[1]) || 源一実(v[2, 3])
mitarai-san-to-ishioka-kun-ga-iku	御手洗さんと石岡君が行く	2	今井ユキル;島田荘司(v[1]) || サチミリホ(v[2])
mitsugo-chan	三つ子ちゃん	2	ニコルランベ-ル(v[1, 2]) || ニコルランベール(v[3, 4])
mitsuru-quest	ミツルクエスト!	2	大江シンイチロウ(v[1, 2]) || 大江慎一郎(v[3, 4])
miyori-no-nai-onnanoko	身寄りのない女の子	2	]エンド(v[1]) || エンド(v[2])
mobile-shinseiki-gundam-ekkusu	機動新世紀ガンダムX	2	富野由悠季;矢立肇(v[1, 1, 2, 3]) || 赤津豊(v[4])
mobile-suit-gundam-daburuoo-79	機動戦士ガンダム0079	2	富野由悠季;矢立肇;近藤和久(v[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]) || 矢立肇(v[7])
mobile-suit-gundam-episode-gaido	機動戦士ガンダムエピソードガイド	2	ニュータイプ編集部(v[1, 2, 3]) || newtype編集部(v[4, 5])
mobile-suit-gundam-ms-igloo-603	機動戦士ガンダム MS IGLOO 	2	meimu(v[1]) || meimu(1963-)(v[2])
mobile-suit-gundam-seed-destiny-2005	機動戦士ガンダムSEED DESTI	2	富野由悠季;岩瀬昌嗣;矢立肇(v[1, 2, 3, 3, 4, 4, 12, 13]) || 岩瀬昌嗣(v[1, 2])
mononoke-muronaga-2019	モノノケ!!!!	2	室長サオリ(v[1]) || ]室長サオリ(v[2])
monroe-no-shinwa	モンローの神話	2	志賀公江(v[1]) || 原ノリ子(v[2])
moshikashite-vamp	もしかしてヴァンプ	2	橘裕(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 8, 9, 10]) || 平井摩利(v[7])
mount-celeb-kaneda-san	マウントセレブ金田さん	2	ニャロメロン(v[1, 2]) || ニャロメロン1988-(v[3])
mr-fullswing	Mr.FULLSWING	2	鈴木信也(漫画家)(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2
mujin	MUJIN～無尽～	2	岡田屋鉄蔵(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) || 崗田屋愉一(v[13])
musashino-rondo	ムサシノ輪舞曲	2	河内遙(v[1, 2, 3]) || 河内遥(v[4, 5])
mushikera-sama	虫けら様	2	秋山亜由子(v[1]) || 秋山アユ子(v[1])
musunde-hiraite	むすんでひらいて	2	日向マヒル(v[1]) || 水瀬マユ(v[2, 3, 4, 5, 6, 7, 8])
mutant-turtles-classic-collection	ミュータントタートルズクラシックコレ	2	ケビンイーストマン;ゲアハー(v[1, 2, 3]) || eastmankevinb;(v[4])
nakamurabashi-doubutsu-byouin-no-inu	中村橋動物病院の犬	2	高倉アツ子(v[1, 2, 3, 4, 5, 6]) || 高倉アツコ(v[1, 2, 3, 4])
namida-no-bareebooru	涙のバレーボール	2	塀内真人(v[1, 2, 3]) || 塀内夏子(v[1, 1, 2, 2])
namidaame-to-serenade	涙雨とセレナーデ	2	河内遙(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) || 河内遥(v[13, 14])
nandemo-iikara-kiete-kure	何でもいいから消えてくれ	2	ヒナコ(v[1, 2, 3]) || ヒナコ漫画家(v[4])
naniwayu-ukyouden	なにわ遊侠伝	2	ドオクマンプロ(v[1, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 
natsu-no-te	夏の手	2	大橋裕之(v[1]) || ]大橋裕之(v[1])
natsuyuki-rendezvous	夏雪ランデブー	2	河内遥(v[1, 2, 3]) || 河内遙(v[4])
nein	Nein	2	トジツキハジメ(v[1, 2]) || soundhorizon;木(v[3])
neko-neko-nihonshi	ねこねこ日本史	2	ソニシケンジ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]) || 噌西ケンジ(v[16, 17])
neko-pitcher	猫ピッチャー	2	ソニシケンジ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]) || 噌西ケンジ(v[
neko-punch	ねこぱんち	2	小石川フニ(v[10, 17, 23, 30]) || タラサワミチ(v[14, 18, 33])
neko-puni	ねこぷに	2	石田貴子(v[3, 6, 7, 8, 9]) || マツウラユウコ;ミナセ真己;(v[26])
neko-to-jii-chan	ねことじいちゃん	2	ネコマキ(v[1, 2, 3, 4, 5, 6, 10, 11, 12]) || ネコマキ(ミューズワーク)(v[7, 8, 9])
nekomusume-michikusa-nikki	ねこむすめ道草日記	2	イケ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]) || イケ19
neo-devilman	ネオデビルマン	2	ダイナミックプロ;トリミキ;(v[1, 1, 1, 2, 2]) || 三山ノボル(v[3])
nihonnorekishi	日本の歴史	2	児玉幸多(v[19, 20]) || 阿部高明;高埜利彦(v[7])
niji-to-kuro	ニジとクロ	2	武梨エリ(v[1]) || ]武梨エリ(v[2])
nijiiro-no-toreesu	虹色のトレース	2	田中雅子(漫画家)(v[1, 7]) || 田中雅子(v[1, 2, 3])
nijuu-rasen	二重螺旋	2	円陣闇丸;吉原理恵子(v[1, 2]) || 吉原理恵子&円陣闇丸(v[3])
ningen-no-shoumei	人間の証明	2	井出智香恵;森村誠一(v[1]) || 岸田敬(v[1])
ningen-shikkaku-ito-2010	人間失格	2	バラエティアートワークス;太(v[1, 1]) || 古屋兎丸(v[3])
ninja-hattori-kun	忍者ハットリくん	2	藤子不二雄a(v[1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]) || 藤子不二雄○a(v[2])
ninja-tensei-shinobikiru	忍者転生シノビキル	2	西尾洋一(v[1, 2]) || ]西尾洋一(v[3])
nise-kioku-soushitsu-no-hachiya-san	ニセ記憶喪失の蜂夜さん	2	植杉光(v[1]) || ]植杉光(v[2])
nobara	野ばら	2	雲田ハルコ(v[1]) || 高田築(v[2])
nochi-no-fuufu-dearu	後の夫婦である	2	]湊ユウキ(v[1, 2]) || 湊ユウキ(v[3, 4, 5])
nude-fighter-yuzuki	ヌードファイター柚希	2	為永ユウ(v[1, 2, 3]) || 爲永ユウ(v[4, 5])
nude-mihiro-2010	Nude	2	叶ノリコ(v[1]) || オジロマコト(v[2])
nyaa-no-ongaeshi	にゃーの恩返し	2	山崎紗也夏(v[1]) || 山崎サヤカ(v[2, 3, 4])
nyaight-of-the-living-cat	Nyaight of the liv	2	]hawkman;]mech(v[1, 2, 3, 4, 5]) || ホークマン;メカルーツ(v[6, 7])
o-guts	オガッツ!	2	平井摩里(v[1]) || 平井摩利(v[2])
ocha-no-jikan	お茶の時間	2	益田ミリ(v[1]) || ]益田ミリ(v[1])
oda-chan-to-akechi-kun	織田ちゃんと明智くん	2	常盤ギヨ(v[1]) || 常盤魚(v[2, 3, 4, 5, 6])
offside	オフサイド	2	塀内真人(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) || 塀内夏子(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 
oinari-jk-tamamo-chan	お稲荷JKたまもちゃん!	2	]ユウキレイ(v[1, 2, 4, 5]) || ユウキレイ(v[3, 6])
oiru-jibun-o-yurushite-ageru	老いる自分をゆるしてあげる。	2	上大岡トメ(v[1]) || ]上大岡トメ(v[1])
oishii-kankei	おいしい関係	2	岩館真理子(v[1, 2, 9]) || 槇村サトル(v[1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10
okaeri-papa	おかえり、パパ	2	蝉丸(v[1, 2]) || 蝉丸漫画家(v[3, 4, 5])
okame-hachimoku	おかめはちもく	2	ササヤナナエ(v[2, 3, 4, 5, 6, 7, 8, 9]) || ササヤナナエコ(v[1])
omiai-ni-sugoi-komyushou-ga-kita	お見合いにすごいコミュ症が来た	2	矢野トシタカ(v[1]) || 矢野稔貴(v[2, 3])
omoikkiri-etchi-na-koi	思いっきりHな恋	2	オムニバス作品集(v[1]) || 真崎総子(v[2])
omoikkiri-nakeru-koi	思いっきり泣ける恋	2	オムニバス作品集(v[1]) || 森尾理奈(v[2])
onnakui	女喰い	2	伊東恒久;向後ツグオ(v[1, 3, 4, 5, 6, 7, 8]) || ミネ武(v[2])
ookami-no-hanayome	狼の花嫁	2	リユマ加奈(v[1, 2, 3, 5]) || ]kanariyuma(v[4])
ore-maou-dakedo-baretenaiyone	オレ、魔王だけどバレてないよね?	2	]八汐ゴヨウ(v[1]) || 八汐ゴヨウ(v[2])
ore-no-super-torauto	俺のスーパートラウト	2	酒川郁子(v[1]) || 酒井郁子(v[2, 3])
ore-wa-inu-dewa-arimasen	俺は犬ではありません!	2	雨沢モッケ(v[1, 2, 3]) || ]雨沢モッケ(v[4])
oretachi-no-itadaki	おれたちの頂	2	塀内真人(v[1, 2]) || 塀内夏子(v[1])
organ-divider	オーガン・ディバイダー	2	シガマ(v[1]) || ]シガマ(v[2, 3])
orion-no-shounen	オリオンの少年	2	極楽院桜子(v[1, 2]) || 極楽院櫻子(v[3, 4, 5])
orufe-no-yuigon	オルフェの遺言	2	竹宮恵子(v[1]) || 竹宮惠子(v[1])
osabori-jouzu-na-komukai-san-wa-ore-o-nigasanai	おサボり上手な小向井さんは俺を逃さな	2	睦月(v[1, 2]) || 睦月pub2023(v[3])
oshi-no-idol-ga-tonari-no-heya-ni-hikkoshitekita	推しのアイドルが隣の部屋に引っ越して	2	]脊髄引キ抜キノ刑(v[1, 2, 3]) || 脊髄引キ抜キノ刑(v[4, 5, 6])
oshi-to-no-yuri-wa-arienai	推しとの百合はありえない!	2	ヒノサカアキ(v[1]) || 檜乃坂耀季(v[2, 3])
othello-2010	OTHELLO	2	蓮見桃衣(v[1]) || 塚本妖一(v[2])
otogi-no-hako-no-reto	お伽の匣のレト	2	三部ケイ(v[1, 2]) || 三部敬(v[3])
otoko-no-seiza	男の星座	2	原田久仁信(v[1, 2, 3, 4, 5, 6, 8, 9]) || 梶原一騎(v[7])
otona-no-koi-wa-yabusaka-ni-tsuki	おとなの恋は、やぶさかにつき。	2	タマコ(v[1, 2, 3]) || タマコpub2023(v[4, 5])
otona-no-love-jikan	大人の恋愛時間	2	池田理代子(v[1]) || 内田春菊(v[2])
otonari-no-downer-san-wa-muri-sasenai	おとなりのダウナーさんは無理させない	2	]瑠璃イロ(v[1]) || 瑠璃イロ(v[2])
otonari-no-katei-jijou	おとなりの家庭事情	2	塩森恵子(v[1]) || 森本梢子(v[2])
otou-san-wa-shinpaishou	お父さんは心配症	2	岡田ア〜ミン(v[1, 2, 3, 3, 4, 4, 5, 6]) || 岡田アーミン(v[1, 2])
ou-sama-no-shitateya	王様の仕立て屋	2	大河原遁;片瀬平太(v[1, 1, 2, 2, 3, 3, 4, 4, 6, 7, 8, 9, 10, 10, 11, 12, 12, 13, 13, 14, 
ouke-no-monshou	王家の紋章	2	細川智栄子;細川知栄子;芙~(v[1, 1, 2, 3, 3, 4, 5, 5, 6, 7, 8, 9, 10, 10, 11, 11, 12, 12, 13,
oz-itsuki-2004	OZ	2	樹ナツミ(v[1, 1, 2, 2, 3, 3, 4, 4, 5]) || 刻夜セイゴ;岩井恭平(v[6])
ozmafia	OZMAFIA!!	2	月ヶ瀬ユリノ(v[1]) || 月ケ瀬ユリノ(v[2, 3])
ozu-no-mahoutsukai	オズの魔法使い	2	イガラシユミコ;ライマンフラ(v[1]) || カズハシトモ(v[2, 3])
paper-feather	Paper Feather	2	藤枝トオル(v[1]) || 藤木トオル(v[2, 3])
papillon-shimizu-1994	パピヨン	2	清水玲子(v[1]) || 清水玲子(漫画家)(v[1])
papuru	パープル	2	真崎春望(v[1]) || 竹下堅次朗(v[2])
paranoia-street	パラノイアストリート	2	駕籠真太郎(v[1]) || 駕篭真太郎(v[2, 3])
pelican-road	ペリカンロード	2	吉岡ツトム(v[13]) || 五十嵐浩一(v[1, 2, 3, 4, 5, 6, 7, 8])
peppaaminto-monogatari	ペッパーミント物語	2	森雅之(v[1]) || 森雅之(1957-)(v[1, 2])
pharaoh-no-haka	ファラオの墓	2	竹宮恵子(v[3, 5]) || 竹宮惠子(v[1, 2, 3, 4])
platinum-2007	プラチナ	2	麻刀城ヒトミ(v[1]) || カワスミヒロシ(v[2])
platinum-boys-1998	PLATINUM BOYS	2	秋里和国(v[1]) || 香乃呼ユリ(v[2])
platonic-chain	プラトニックチェーン	2	渡辺浩弐(1962-)(v[1, 2, 3]) || 渡辺浩弐;遠野ヤマ(v[4, 5])
pokemon-4koma-gakuen	ポケモン4コマ学園	2	山下タカヒロ(v[1, 2, 3, 4, 5, 6, 7, 8]) || 山下高弘(v[9])
poketsuto-no-naka-no-0080-sou	機動戦士ガンダム0080	2	サンライズ(v[2]) || 池原シゲト;矢立肇(v[1])
pole-star	POLE STAR	2	non(v[1, 2]) || non1987-(v[3, 4, 5, 6])
priest	PRIEST	2	ヒョン民友(v[1, 2, 3, 4, 6]) || ピョン民友(v[5])
project-ekkusu-chousenshatachi	プロジェクトX挑戦者たち	2	日本放送協会(v[1]) || nhkプロジェクトx制作班;(v[2])
puniru-wa-kawaii-slime	ぷにるはかわいいスライム	2	マエダクン(v[6]) || マエダクン1991-(v[7, 8, 9, 10])
purodeyuusaa-ni-naritai	プロデューサーになりたい	2	磯山晶(v[1]) || 小泉スミレ(漫画家)(v[3, 4])
qp	QP	2	高橋ヒロシ(v[1, 2, 3, 7, 8]) || 髙橋ヒロシ(v[4, 5, 6, 9])
ramen-akaneko	ラーメン赤猫	2	アンギャマン(v[1, 2, 3, 4, 5, 6, 7, 8, 9]) || アンギャマン1982-(v[10, 11, 12, 13, 14])
rararara-kanojo-no-suki-na-kanojo	LaLaLa…～彼女の好きなカノジョ	2	]洋介犬(v[1, 2]) || 洋介犬(v[3])
rasetsu-no-ie	羅刹の家	2	井出知香恵(v[1, 2, 3, 4, 5]) || 井出智香恵(v[1, 2, 3, 4, 5])
real-clothes	Real clothes	2	槙村サトル(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) || 槇村サトル(v[1, 2, 3, 4, 5, 6, 13]
red-mudan	レッドムーダン	2	園沙那絵(v[1, 2, 3, 4, 5, 6]) || ソノサナエ(v[7, 8, 9, 10, 11])
refrain-1988	リフレイン	2	ササヤナナエ(v[1]) || 岡田ユキオ(v[2, 3, 4])
reikan-doubutsu-tanteisha	霊感動物探偵社	2	山内規子(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]) || ]山内規子(v[10])
remingu-no-yukue	レミングの行方	2	大橋薫;納由香里(v[1, 2, 3, 4, 5]) || 大橋薫(漫画家)(v[1, 2, 3])
remu	れむ	2	]山本オサム(v[1]) || 山本オサム(v[2, 3, 4, 5])
renno	れん野	2	]レン野(v[1]) || レン野(v[2])
reset	リセット	2	高橋ユキ(v[2]) || 山本マユリ(v[1, 2, 3])
reverse	リバース	2	内山マモル(v[1, 3]) || 李秀顯;林達永(v[1, 2, 3, 4, 5, 6, 7])
ride-on-king	ライドンキング	2	馬場康誌(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || 馬場康士(v[14, 15, 16])
ridex	RIDEX	2	東本昌平(v[1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 20]) || ]東本昌平(v[14, 
rin	RIN	2	新井英樹(v[1, 2, 3, 4]) || ハロルド作石;松井淳(v[5, 6, 7, 8, 9, 10, 11, 12, 13, 14])
rinjou	臨場	2	上農ヒロ昭;横山秀夫(v[1]) || 栗山廉士;金沢伸明(v[3])
rinna-keibu-wa-iki-ga-dekinai	リンナ警部は呼吸ができない	2	]アララギアユネ(v[1]) || アララギアユネ(v[2, 3])
ririkku	りりっく	2	メルヘンメーカー(v[1]) || シャピオ;岡田純子(v[2])
rockomanga	ROCKOMANGA!	2	喜国雅彦(v[1]) || ]喜国雅彦(v[2])
room	わんるーむ	2	三ツ森アキラ(v[1]) || 三ッ森アキラ(v[2, 3])
ruka-to-ita-natsu	琉伽といた夏	2	外園昌也(v[1, 2]) || 外薗昌也(v[3, 4])
rush-1992	RUSH!	2	神塚時生(v[1]) || 佐柄キョウコ(v[2])
ryuu-no-nemuru-hoshi	竜の眠る星	2	清水玲子(v[1, 2, 3, 4, 5]) || 清水玲子(漫画家)(v[1, 2])
s	S	2	シンツグル;スタジオ編集部(v[1]) || 小森陽一;藤堂裕(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16
sabaku-no-usagi	砂漠のウサギ	2	mwolverine(v[1, 3]) || mwolverine(エムウ(v[2])
saegusa-san-wa-megane-senpai-to-koi-o-egaku	三枝さんはメガネ先輩と恋を描く	2	]セレビィ量産型(v[1]) || セレビィ量産型(v[3, 4])
sainome-hanjouki-r	賽の目繁盛記R	2	drモロー(v[1, 2, 3]) || drモロ-(v[4])
sairin-no-meshiya	再臨のメシヤ	2	中和新聞;神明竜二(v[1, 2, 3, 4]) || 佐野哲司(v[5])
saiyaku-wa-boku-o-sukisugiru	災厄は僕を好きすぎる	2	二宮悦巳;神奈木智(v[1, 2, 3, 4, 6, 7, 8, 11]) || 神奈木智&二宮悦巳(v[9, 10])
sakaguchi-hisashi-tanpenshuu	坂口尚短編集	2	坂口尚(v[1, 2, 3, 4]) || 坂口尚(1946-1995)(v[5])
sake-no-hosomichi	酒のほそ道	2	ラズウェル細木(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
samurai-7	SAMURAI 7	2	浅野マイコ(v[1, 2]) || 周防瑞孝;黒澤明(v[3])
sanctify-reikon-shinshoku	Sanctify霊魂侵蝕	2	fox;生鐵落(v[1]) || godsstation(v[2, 3])
sandman-1998	SANDMAN	2	サムキース(v[1, 2]) || ニールゲイマン(v[4, 5])
sanshimai-ga-ore-o-yuuwaku-shitekuru	三姉妹が俺をユウワクしてくる!!	2	長谷良エリア(v[1, 2, 3]) || ]長谷良エリア(v[4])
saotome-typhoon	早乙女タイフーン	2	クジライイクコ(v[1]) || クジライイク子(v[2])
sarani-yamete-mita	さらに、やめてみた。	2	ワタナベポン(v[1]) || ]ワタナベポン(v[1])
satsukare	殺彼	2	大介(v[1, 2, 3, 4, 5]) || daisuke+(v[6])
season	SEASON	2	麻生歩(v[1]) || 林明日子(v[2, 3])
seishokuki	性食鬼	2	稲光伸二(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 21, 22]) || ]稲光伸二(v[13, 14, 15
seisouken-no-tomoshibi	成層圏の灯	2	鳥人弥巳(v[1]) || 鳥人ヒロミ(v[1, 2])
sekai-o-sukue-wa-shinai-kedo	世界を救えはしないけど	2	ツンバラジリ子(v[1]) || ]ツンバラジリ子(v[2])
sekine-kun-no-koi	関根くんの恋	2	河内遥(v[1, 2]) || 河内遙(v[3, 4, 5])
sekuhara-kachou-no-tsubuyaki	五月原課長のつぶやき	2	中島徹(漫画家)(v[1, 2, 3, 4]) || 中島徹(v[5, 6])
serial-killer-isekai-ni-oritatsu	シリアルキラー異世界に降り立つ	2	ヒロ;一粒苺(v[1, 2, 3, 4]) || ヒロpub2023;河本ホム(v[5, 6])
sex-pistols	SEX PISTOLS	2	寿タラコ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) || tarako(v[11])
shi-ga-futari-o-wakatsu-tomo	死がふたりを分かつとも	2	天色チユ(v[1, 2, 3, 4, 5, 6, 7]) || アマイロチユ(v[8, 9])
shikei-shikkounin-mine-1984	私刑執行人	2	ミネ武(v[1, 2]) || 内田康平;草下シンヤ(v[3])
shin-hanamaru-den	新・花マル伝	2	岩重孝(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]) || イワシゲ孝(v[17, 18,
shin-kureyon-shin-chan	新クレヨンしんちゃん	2	uyスタジオ;大木和徳;臼井(v[1, 2, 15]) || 臼井儀人&uyスタジオ(v[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
shin-megami-tensei-ifu	真・女神転生if…	2	アスキー(v[1]) || 柳澤一明(v[2, 3, 4, 5, 6, 7, 8, 9])
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW	2	富野由悠季;矢立肇(v[1, 1, 2]) || 橘皆無;高河ユン(v[3])
shin-mobile-senki-gundam-wing-1996-3	新機動戦記ガンダムW	2	富野由悠季;矢立肇(v[1, 1, 2, 3]) || 橘皆無;高河ユン(v[4])
shin-mobile-senki-gundam-wing-1996	新機動戦記ガンダムW	2	富野由悠季;矢立肇(v[1, 1, 3]) || 橘皆無;高河ユン(v[2])
shin-obotchama-kun	新・おぼっちゃまくん	2	小林ヨシノリ(v[1, 2]) || ]小林ヨシノリ(v[1])
shin-onnagui	新女喰い	2	ミネ武;南田洋;広山義慶;志(v[1, 2, 18]) || ミネ武(v[5])
shin-puzzle-game-highschool	新パズルゲーム☆はいすくーる	2	野間美由紀(v[1, 3, 4, 5, 6]) || 野間美由記(v[2])
shin-takumi-no-fundoshi	新・匠のふんどし	2	山崎光佑(v[1, 3]) || 山崎大紀(v[7, 8, 9])
shinichirou-san-ttara-kekkou-yarashii	真一郎さんったら結構ヤラシイ!	2	権田原(v[2]) || ]権田原(v[3])
shinigami-botsu-chan-to-kuro-maid	死神坊ちゃんと黒メイド	2	井上小春(v[1, 2, 3, 4, 5, 6, 7, 8]) || イノウエ(v[9, 10, 11, 12, 13, 14, 15, 16])
shinizokonai-no-ao	死にぞこないの青	2	乙一;山本小鉄子(v[1]) || 松本久志(v[1])
shinkon-no-iroha-san	新婚のいろはさん	2	öyster(v[1, 3, 4, 5, 6, 7, 8, 9]) || oyster(v[2])
shinya-0-ji-no-antorume	深夜0時のアントルメ	2	山吹子(v[1, 3]) || 山吹子咲能(v[2])
shippo-no-oisha-san	しっぽのお医者さん	2	ネコマキ(ミューズワーク)(v[1]) || ネコマキ(v[2, 3, 4])
shippuu-densetsu-hikosa	疾風伝説 彦佐	2	山本晃(v[4, 7, 8, 9, 10, 11]) || 山本晃(1965生)(v[12])
shishunki-chan-no-shitsukekata	思春期ちゃんのしつけかた	2	]中田ユミ(v[1, 2, 3]) || 中田ユミ(v[4, 5, 6, 7, 8, 9, 10, 11, 12])
shitsuji-dono-no-aineko	執事殿の愛猫	2	舵英里(v[1, 2, 4, 5, 6, 7]) || 蛇英里(v[3])
shitsurakuen-1996	失楽園	2	jサイロー;targo良明;(v[1]) || kinsan;mac-v;t(v[5, 7])
shiyouyo	しようよ	2	小野佳苗(v[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || 倉上淳士(v[2])
shizuku-chan	しずくちゃん	2	ギボリツコ;関千里(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2
shokuba-to-jitaku-de-gap-no-aru-papa	職場と自宅でギャップのあるパパ	2	泡沫(v[1, 2, 3, 4]) || 泡沫1997-(v[6])
shoumaru	翔丸	2	能條純一(v[1, 2, 3]) || 能条純一(v[1, 2])
shounen-psycho	少年サイコ	2	naked(v[1, 2, 3]) || nakedape(v[4])
shounen-shoujo-hyouryuuki	少年少女漂流記	2	古屋×乙一×兎丸(v[1]) || 乙一;古屋兎丸(v[1])
shounen-tantei-inugami-geru	少年探偵犬神ゲル	2	ゴツボ☆マサル(v[1, 2, 3, 4, 6]) || ゴツボ★マサル(v[5])
shousetsu-fajji	小説FUDGE	2	梶本ホコラ(v[4]) || 原田ヤヨイ(v[11])
shuffle-comic-a-la-carte	SHUFFLE!コミックアラカルト	2	コンプティーク(v[1]) || コンプティーク編集部(v[2, 3, 4, 5])
shuumatsu-no-majo-to-doll	終末の魔女と人形	2	髙田慎一郎(v[1]) || 高田慎一郎(v[2, 3, 4])
sky-high	スカイハイ	2	高橋ツトム(v[1, 2, 4]) || 髙橋ツトム(v[1])
snow	スノウ	2	藤谷コマキ(v[1]) || 吉田優希(v[2])
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	2	アダムブライストーマス;イア(v[1, 2, 3, 4, 5, 6, 7]) || flynnian;goell(v[8])
sora-eno-tegami	空への手紙	2	福田素子(漫画家)(v[1, 2, 3, 4, 5, 6]) || 横田雅史;福田素子(v[1, 2])
sora-no-shokuyoku-mazin	空の食欲魔人	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
sora-to-umi-daishi-tenshou	空と海大師転生	2	牛次郎;牛込覚心(v[1]) || 志条ユキマサ(v[2, 3, 4, 5])
sorette-maji-desuka	それってマジですか!?	2	宮村詩乃;流水リンコ(v[1, 2]) || 流水凛子(v[3])
souta-kun-no-akihabara-funtouki	壮太君のアキハバラ奮闘記	2	鈴木次郎(漫画家)(v[1, 2, 3, 4, 5]) || 鈴木次郎(v[6])
sp-2000	SP	2	国友ヤスユキ(v[1, 2]) || 灰原薬;金城一紀(v[3, 4, 5, 6, 7])
