slug	title	著者グループ数	著者別巻
atsumare-doubutsu-no-mori-mujintou-diary	あつまれどうぶつの森～無人島Diar	2	ココナス☆ルンバ(v[1, 2, 3, 4, 5, 6, 7, 8, 9]) || ココナスルンバ(v[10, 11, 12])
aya	AYA	2	速水翼(v[1, 2]) || 克亜樹(v[1])
azami-no-shiro-no-majo	アザミの城の魔女	2	タラチネジョン(v[1, 2, 3]) || john(v[4])
azumi	あずみ	2	小山ユウ(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 11, 12, 12, 13,
babel	BABEL	2	重松成美(v[1, 2, 3, 4, 5]) || 石川優吾(v[6, 7, 8, 9, 10])
babylon-made-nanmairu	バビロンまで何マイル?	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
baka-to-hasami	馬鹿とハサミ	2	ヒナコ(v[1, 2, 3]) || ヒナコ漫画家(v[4])
bakkure	ばっくれ	2	来賀友志;渡辺ミチオ(v[1, 2]) || トンボハウス(v[3, 4, 5])
bakuon-rettou	爆音列島	2	高橋ツトム(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]) || 髙橋ツトム(v[17, 18])
bakuon	ばくおん!!	2	オリモトミマナ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 19]) || ]オリモトミマナ(v[13, 14, 
bakutekku-bakugan	爆TECH!爆丸	2	慎吾(v[1]) || 山岸優子;槙吾(v[2, 3, 4, 5, 6, 7, 8, 9, 10])
banei-kakeru	ばんえい駆ける	2	岩重孝(v[1]) || イワシゲ孝(v[2])
banrai-no-hekatoncheir	万雷のヘカトンケイル	2	渡辺ツヨシ(v[1]) || ]渡辺ツヨシ(v[2, 3])
bebebebe-baby	ベベベベベイビー	2	コーヘー(v[1, 2, 3]) || コーヘー1982-(v[4])
belles-ruelles	BELLES RUELLES	2	ハシャ(v[1]) || ソライモネ;トキヲハロー;有(v[3])
biaku-no-hana	美悪の華	2	倉科遼;檜垣憲朗(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]) || 桧垣憲朗(v[12, 13, 14,
bibou-no-kajitsu	美貌の果実	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
