slug	title	title_kana	romaji(kana)
r-6027884	幼年期安倍晴明異聞未明の獣	幼年期安倍晴明異聞未明ノ獣	no
r-6172615	フランス窓便り	田淵由美子作品集	
r-6172622	こさあじゅ	田淵由美子作品集	
r-6300877	三国志曹操伝	三國志曹操伝	
r-6728036	真・隷嬢物語	新・隷嬢物語	
r-8165936	獣道	獣道	
r-8301074	口の興奮	日ノ興奮	no
raiano	ライアー〜嘘の箱庭〜	ライアー〜嘘ノ箱庭〜	raiano
red-hood	レッドフード	レッドフード|赤い狩人	redofudoi
rejisutansu	列士満	レジマン|列士満(レジマン)	rejimanrejiman
ribonmanga-5227	7枚のポートレート	リボン新人マンガ傑作集	ribonmanga
ribonmanga	虹を渡る7人	リボン新人マンガ傑作集	ribonmanga
rikudou-no-onnatachi	六道の悪女(おんな)たち	ロクドウノオンナタチ|六道の悪女たち	rokudounoonnatachinotachi
rinjin-o-maiseyo	隣人を妹 (まい) せよ!	リンジンオマイセヨ!|隣人を妹せよ!	rinjinomaiseyooseyo
rokudenashi-majutsu-koushi-to-akashic-record	ロクでなし魔術講師と禁忌教典(アカシックレコード)	ロクでなし魔術講師と禁忌教典|ロクデナシマジュツコウシトアカシックレコード	rokudenashitorokudenashimajutsukoushitoakashikurekodo
ruirui-senki	累々戦記	ルイルイセンキ|累成る影	ruiruisenkiru
sanshimai-ga-ore-o-yuuwaku-shitekuru	三姉妹が俺をユウワクしてくる!!	ヒノエンマガオレオユウワクシテクル!!|三姉妹(ヒノエンマ)が俺をユウワクしてくる!!	hinoenmagaoreoyuuwakushitekuruhinoenmagaoyuuwakushitekuru
sasayananae-3186	真貴子	ササヤナナエ作品集	sasayananae
sasayananae	あほんだら	ササヤナナエ作品集	sasayananae
sayonara	さよなら!!岸壁先生	サヨナラ岩壁先生	sayonara
seiketsu-no-kemono	聖血の海獣(けもの)	セイケツノケモノ|聖血の海獣	seiketsunokemonono
seishun-sankaku	青春△	青春トライアングル	toraianguru
sekkyaku-musou	接客無双	その男、ナスノスケ|セッキャクムソウ	sononasunosukesekyakumusou
sensei-to-watashi-takahashi-2019	師匠(せんせい)と弟子(わたし)	センセイトワタシ|師匠と弟子	senseitowatashito
shachiku-diiteiipii-opereetaa-no-boku-ga-isekai-de-gijutsu-kakushin-shitemo-ii-desu-ka	社畜DTPオペレーターの僕が異世界で技術革新してもいいですか?	シャチクDTPオペレーターノボクガイセカイデイノベーションシテモイイデスカ?|社畜DTPオペレーターの僕が異世界で技術革新(イノベーション)してもいいですか?	shachikudtpoperetanobokugaisekaideinobeshonshitemoiidesukadtpoperetanogadeinobeshonshitemoiidesuka
shinderera	シンデレラ特急	シンデレラ特急	shinderera
shiroki-otome-no-jinrou	白き乙女の人狼	シロキオトメノウェアウルフ|白き乙女の人狼(ウェアウルフ)	shirokiotomenoueaurufukinoueaurufu
shirubesutanokara	シルベスターの星から	シルベスターノ星カラ	shirubesutanokara
sono-bisque-doll-wa-koi-o-suru	その着せ替え人形は恋をする	その着せ替え人形(ビスク・ドール)は恋をする|ソノビスク・ドールワコイオスル	sonoseebisukudoruhaosurusonobisukudoruwakoiosuru
sora-meshi	宇宙(そら)めし!	ソラメシ|宇宙めし!	sorameshimeshi
sora-yorimo-tooi-basho	宇宙(そら)よりも遠い場所	ソラヨリモトオイバショ|宇宙よりも遠い場所	sorayorimotooibashoyorimoi
sraifu	望'sらいふ	望’sライフ	sraifu
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	スゴモリ!ホントウニアッタマルナマココダケノハナシウルトラ|スゴ盛!本当にあった(生)ここだけの話極	sugomorihontouniatamarunamakokodakenohanashiurutorasugoniatakokodakeno
super-dragon-ball-heroes-ultra-god-mission	スーパードラゴンボールヒーローズウルトラゴッドミッション!!!!	スーパードラゴンボールヒーローズウルトラゴッドミッション|開幕!超時空トーナメント	supadoragonboruhirozuurutoragodomishontonamento
supesharu	餓狼伝説スペシャル	餓狼伝説スペシャル	supesharu
sutoritofuaita2v	ストリートファイターII V列伝	ストリートファイター2V烈伝	sutoritofuaita2v
tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	タチバナカントライアングル|立花館tolieあんぐる	tachibanakantoraiangurutolieanguru
tada-no-mefure-desu	ただの飯フレです	ただの飯フレ(メフレ)です|タダノメフレデス	tadanofuremefuredesutadanomefuredesu
tanin-ni-wa-mienai-oryouri-no-sensei	他人には見えないお料理の先生	ヒトニワミエナイオリョウリノセンセイ|他人(ひと)には見えないお料理の先生	hitoniwamienaioryourinosenseihitonihaenaiono
tenmaku-cinema	テンマクキネマ	はじめての映画|テンマクキネマ	hajimetenotenmakukinema
tesouka-michiru	手相家MICHIRU	テソウカミチル|旅立ち編	tesoukamichiruchi
toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲(レールガン)	とある科学の超電磁砲|トアルカガクノレールガン	toarunotoarukagakunorerugan
toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	とある魔術の電脳戦機|トアルマジュツノバーチャロン	toarunotoarumajutsunobacharon
tokkyuu-tansakushi-e-no-kakusei	特級探索師への覚醒	トッキュウタンサクシエノカクセイ|鬼と成るもの	tokyuutansakushienokakuseitorumono
tokyo-toyboxes	Tokyo toyboxes	Tokyotoyboxes=トウキョウトイボクシーズ|東京トイボクシーズ	tokyotoyboxestoukyoutoibokushizutoibokushizu
tomodachi-ga-watashi-o-wakarase-ni-kuru-node-shouri-no-megami-no-chikara-o-karite-kocchi-mo	友達が私を理解らせにくるので勝利の女神の力を借りてこっちも理解らせにいきます。	メスガキガワタクシオワカラセニクルノデメスガキノチカラオカリテコッチモワカラセニイキマス。|友達(メスガキ)が私を理解(わか)らせにくるので勝利の女神(メスガキ)の力を借りてこっちも理解(わか)らせにいきます。	mesugakigawatakushiowakarasenikurunodemesugakinochikaraokaritekochimowakaraseniikimasumesugakigaowakarasenikurunodenomesugakinooritekochimowakaraseniikimasu
tonotatakai	豊臣秀吉と天下統一のたたかい	豊臣秀吉ト天下統一ノタタカイ	tonotatakai
uchi-no-kore-ga-kore-na-monde	うちの相方(コレ)が腐(コレ)なもんで。	うちの相方が腐なもんで。|ウチノコレガコレナモンデ	uchinoganamondeuchinokoregakorenamonde
unlucky-fukouda-sensei	アンラッキー不幸田先生	アンラッキーフコウダセンセイ|不幸田先生がやってきた!の巻	anrakifukoudasenseigayatekitano
uwasa-no-onna	うわさの女	うわさの女(ひと)|ウワサノオンナ	uwasanohitouwasanoonna
vampire-naito-memories	ヴァンパイア騎士(ナイト)memories	ヴァンパイアナイトメモリーズ|ヴァンパイア騎士memories	anpaianaitomemorizuanpaiamemories
wagaya-wa-machi-no-ogamiya-san	わが家は祇園(まち)の拝み屋さん	わが家は祇園の拝み屋さん|ワガヤワマチノオガミヤサン	wagahanomisanwagayawamachinoogamiyasan
wakarase-kyoko-maid-chan	わからせ♥巨娘メイドちゃん	わからせ♥巨娘(デカ)メイドちゃん|ワカラセ♥デカメイドチャン	wakarasedekameidochanwakarasedekameidochan
wedding-death-game	ウェディング・デスゲーム	ウェディングデスゲーム|第1のゲーム〈誓約〉第2のゲーム〈バージンロード〉	uedeingudesugemu1nogemu2nogemubajinrodo
would-you-suck-my-blood	Would you suck my blood?	Wouldyousuckmyblood?=ボクノチスッテクレマセンカ|僕の血吸ってくれませんか	wouldyousuckmybloodbokunochisutekuremasenkanotekuremasenka
yabamori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	ヤバ盛!本当にあった(生)ここだけの話極 (ウルトラ)	ヤバモリ!ホントウニアッタマルナマココダケノハナシウルトラ|ヤバ盛!本当にあった(生)ここだけの話極	yabamorihontouniatamarunamakokodakenohanashiurutorayabaniatakokodakeno
yajikita-gakuen-douchuuki-final	やじきた学園道中記F(ファイナル)	やじきた学園道中記F|ヤジキタガクエンドウチュウキファイナル	yajikitafyajikitagakuendouchuukifuainaru
yama-to-hawai	山とハワイ	ヤマトハワイ|登れ!世界最大の山ハワイ島篇	yamatohawairenohawai
yamindoru-hikaru-chan	闇んドル☆光ちゃん	ヤンドル☆ヒカリチャン|闇(や)んドル☆光ちゃん	yandoruhikarichanyandoruchan
yatchae-ukita-san	殺っちゃえ!!宇喜多さん	ヤッチャエ!!ウキタサン|殺(や)っちゃえ!!宇喜多さん	yachaeukitasanyachaesan
yorozuya	よろず屋稼業只今盛業中	ヨロズヤ稼業只今盛業中	yorozuya
yuugiou-goorasshu	遊☆戯☆王ゴーラッシュ!!	ユウギオウゴーラッシュ|未知との決闘!?	yuugiougorashutono
yuusha-no-kuzu	勇者のクズ	ユウシャノクズ|レッスン1:厄介事には死んでも関わるな	yuushanokuzuresun1nihandemowaruna
