slug	title	edition	vol	isbn	rakuten_title	rakuten_core
bin	〔月賓〕	deluxe	19	9784088588162	ビン〜孫子異伝〜（19）	ビン孫子異伝
bin	〔月賓〕	deluxe	20	9784088588186	ビン〜孫子異伝〜（20）	ビン孫子異伝
bin	〔月賓〕	deluxe	21	9784088588193	ビン 〜孫子異伝〜 21	ビン孫子異伝21
biomega	バイオメガ	standard	2	9784088772110	BIOMEGA（2）	biomega
biomega	バイオメガ	standard	3	9784088773179	BIOMEGA（3）	biomega
biomega	バイオメガ	standard	4	9784088774053	BIOMEGA（4）	biomega
biomega	バイオメガ	standard	5	9784088775173	BIOMEGA（5）	biomega
biomega	バイオメガ	standard	6	9784088776224	BIOMEGA（6）	biomega
birdman-rally	Birdman rally	standard	1	9784091228512	吉田聡短編集	吉田聡短編集
bitter	BITTER	standard	2	9784091300454	あなただけに愛されたい	アナタダケニ愛サレタイ
black-jack	ブラック・ジャック	bunkobon	1	9784253169813	BLACK　JACK（1）	blackjack
black-jack	ブラック・ジャック	bunkobon	2	9784253169820	BLACK　JACK（2）	blackjack
black-jack	ブラック・ジャック	bunkobon	3	9784253169837	BLACK　JACK（3）	blackjack
black-jack	ブラック・ジャック	bunkobon	4	9784253169844	BLACK　JACK（4）	blackjack
black-jack	ブラック・ジャック	bunkobon	5	9784253169851	BLACK　JACK（5）	blackjack
black-jack	ブラック・ジャック	bunkobon	6	9784253169868	BLACK　JACK（6）	blackjack
black-jack	ブラック・ジャック	bunkobon	7	9784253169875	BLACK　JACK（7）	blackjack
black-jack	ブラック・ジャック	bunkobon	8	9784253169882	BLACK　JACK（8）	blackjack
black-jack	ブラック・ジャック	bunkobon	9	9784253169899	BLACK　JACK（9）	blackjack
black-jack	ブラック・ジャック	bunkobon	10	9784253169905	BLACK　JACK（10）	blackjack
black-jack	ブラック・ジャック	bunkobon	11	9784253169912	BLACK　JACK（11）	blackjack
black-jack	ブラック・ジャック	bunkobon	12	9784253169929	BLACK　JACK（12）	blackjack
black-jack	ブラック・ジャック	bunkobon	13	9784253169936	BLACK　JACK（13）	blackjack
black-jack	ブラック・ジャック	bunkobon	14	9784253169943	BLACK　JACK（14）	blackjack
black-jack	ブラック・ジャック	bunkobon	15	9784253170734	BLACK　JACK（15）	blackjack
black-jack	ブラック・ジャック	bunkobon	16	9784253170741	BLACK　JACK（16）	blackjack
black-jack	ブラック・ジャック	bunkobon	17	9784253171175	BLACK　JACK（17）	blackjack
black-knight-bat	BLACK KNIGHTバット	deluxe	1	9784088581279	ブラックナイトバット	ブラックナイトバット
black-lagoon	BLACK LAGOON	standard	1	9784091572011	ブラック・ラグーン（1)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	2	9784091572028	ブラック・ラグーン（2)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	3	9784091572035	ブラック・ラグーン（3)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	4	9784091572042	ブラック・ラグーン（4)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	5	9784091570208	ブラック・ラグーン（5)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	6	9784091570758	ブラック・ラグーン（6)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	7	9784091571137	ブラック・ラグーン（7)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	8	9784091571403	ブラック・ラグーン（8)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	9	9784091571892	ブラック・ラグーン（9)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	10	9784091573759	ブラック・ラグーン（10)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	11	9784091575517	ブラック・ラグーン（11)	ブラックラグン
black-lagoon	BLACK LAGOON	standard	12	9784091576460	ブラック・ラグーン（12）	ブラックラグン
black-sweep-sisters	ブラック・スイープ・シスターズ	standard	3	9784758063982	Black　Sweep　Sisters（3）	blacksweepsisters
blind-game	BLIND GAME	standard	1	9784048526739	ブラインド・ゲーム（stage　1）	ブラインドゲム
blind-game	BLIND GAME	standard	2	9784048527507	ブラインド・ゲーム（stage　2）	ブラインドゲム
blind-game	BLIND GAME	standard	3	9784048528115	ブラインド・ゲーム（stage　3）	ブラインドゲム
blind-game	BLIND GAME	standard	4	9784048528870	ブラインド・ゲーム（stage　4）	ブラインドゲム
blind-game	BLIND GAME	standard	5	9784048529334	ブラインド・ゲーム（stage　5）	ブラインドゲム
blind-game	BLIND GAME	standard	6	9784048530163	ブラインド・ゲーム（stage　6）	ブラインドゲム
blind-game	BLIND GAME	standard	7	9784048531177	ブラインド・ゲーム（7）	ブラインドゲム
blind-game	BLIND GAME	standard	8	9784048531757	ブラインド・ゲーム（stage　8）	ブラインドゲム
blind-game	BLIND GAME	standard	9	9784048532754	ブラインド・ゲーム（9）	ブラインドゲム
blind-game	BLIND GAME	standard	10	9784048533508	ブラインド・ゲーム（stage　10）	ブラインドゲム
bloody-monday-last-season	ブラッディ・マンデイ ラストシーズン	standard	1	9784063845723	BLOODY　MONDAYラストシーズン（01）	bloodymondayラストシズン
bloody-monday-last-season	ブラッディ・マンデイ ラストシーズン	standard	2	9784063846096	BLOODY MONDAY ラストシーズン（2）	bloodymondayラストシズン
bloody-monday-last-season	ブラッディ・マンデイ ラストシーズン	standard	3	9784063846331	BLOODY MONDAY ラストシーズン（3）	bloodymondayラストシズン
bloody-monday-last-season	ブラッディ・マンデイ ラストシーズン	standard	4	9784063846782	BLOODY MONDAYラストシーズン（04）	bloodymondayラストシズン
bloody-monday	ブラッディ・マンディ	standard	1	9784063638745	BLOODY　MONDAY（1）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	2	9784063638950	BLOODY　MONDAY（2）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	3	9784063639193	BLOODY　MONDAY（3）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	4	9784063639551	BLOODY　MONDAY（4）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	5	9784063639780	BLOODY　MONDAY（5）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	6	9784063840155	BLOODY　MONDAY（6）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	7	9784063840469	BLOODY　MONDAY（7）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	8	9784063840698	BLOODY　MONDAY（8）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	9	9784063840773	BLOODY　MONDAY（9）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	10	9784063841152	BLOODY　MONDAY（10）	bloodymonday
bloody-monday	ブラッディ・マンディ	standard	11	9784063841398	BLOODY　MONDAY（11）	bloodymonday
blue-giant-live-selection	ブルージャイアントライブセレクション	standard	1	9784099430702	BLUE GIANT LIVE SELECTION	bluegiantliveselecti
