isbn	month	title	author	publisher	type	integrate_to	method	holes	verified	status
9784046600295	2026-4	クラスメイトは異世界転移なのに私は異世界転生. 1	山田モジ美 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784832210240	2026-4	くるみっくす. 2	胡桃ちの 著		型1_統合	sid25643:くるみっくす(1巻)	完全題一致	-	-	ship
9784098727803	2026-4	黒豹くんは食べちゃいたい。. 1	きみど莉央 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784049026504	2026-4	ぐにょちゃんは失敗作じゃない!	ゆ菓子 作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784537173888	2026-4	ケガレタチ. 1	仁藤砂雨 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784344857322	2026-4	結界師への転生. 10	片岡直太郎 原作		型1_統合	sid112787:結界師への転生(8巻)	完全題一致	-	-	ship
9784861175022	2026-4	獣耳のリコリス. 4	京極燈弥 著		型1_統合	sid159303:獣耳のリコリス(3巻)	完全題一致	書影[調べる:楽天/Amazon]	-	要fill(埋めれば出せる)
9784088432458	2026-4	恋とシンクロニシティ. 1	ことのは紬 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784041171561	2026-4	恋に至る病. 2	おーうち 漫画		型1_統合	sid100310:恋に至る病(1巻)	完全題一致	-	-	ship
9784403680519	2026-4	恋も愛も欲しくない	金井桂		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004769	2026-4	高校生WEB作家のモテ生活 : 「あんたが神作家なわ	茨木野 原作		型3_新規	新規ページ	題一致だが別社ガード	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
