slug	title	detail
backgammon	Backgammon	
bad-blood	BAD BLOOD	
bad-boy-memory	BAD BOY MEMORY	
bad-boys	BAD BOYS	
bad-company	BAD COMPANY	
bad-daddy	Bad!Daddy	
bad-girl-1989	Bad girl	
bad-moon	Bad moon	
bad-police	Bad police	
badbros	BADBROS	
baddies	BADDIES!	
badducks	BADDUCKS	
badon	Badon	
bakudan-1995	BAKUDAN	
bakuneyoung	BAKUNEYOUNG	
balancer	Balancer	
ballad	BALLAD	
bamboo-blade-c	BAMBOO BLADE C	
bamboo-blade	BAMBOO BLADE	
bamboo-house	BAMBOO HOUSE	
ban-bon	BAN BON!	
ban	BAN!	
banana-fish	BANANA FISH	
bang-2	Bang!!!2	
bang-dream-ave-mujica-manuscriptus	BanG Dream!Ave Mujica-manuscriptus-	
bang	Bang!	
bankers	BANKERS	
banzai	BANZAI	
bar-flowers	BAR Flowers	
bararush	BARARUSH	
barbarities	BARBARITIES	
baroque-2001	BAROQUE	
baroque	BAROQUE	
bartender	Bartender	
basara	BASARA	
base-boys	Base Boys	
bastard	BASTARD!!	
bat-days	BAT DAYS	
batman-asamiya-2005	Batman	
batman-dark-victory	BATMAN Dark Victory	
batman-justice-buster	BATMAN JUSTICE BUSTER	
batorusutaffu	BATTLE STAFF	
batsugun	BATSUGUN	
battleship-girl	battleship girl	
bb-hell	BB.HELL	
be-blues	BE BLUES!	
be-bop-highschool	Be-bop-highschool	
be-dash	BE DASH!	
be-free	Be free!	
be-ing	Be-ing	
be-maximum	BE MAXIMUM	
be-monster	Be monster	
be-takuto	Be Takuto!!	
bear-bear	BEAR BEAR	
beast-complex	BEAST COMPLEX	
beast-of-east	Beast of East	
beast-of-man	Beast of Man	
beastars	BEASTARS	
beat-it	Beat it!	
beat-motion	BEAT & MOTION	
beat-shot	Beat Shot!!	
beatless-dystopia	BEATLESS-dystopia	
beautiful-sunset	Beautiful sunset	
beauty-mark	Beauty Mark	
beck	BECK	
bed	Bed	
bee-be-beat-it	Bee-be-beat it!	
begin	BEGIN	
behind-master	BEHIND MASTER	
behind	behind	
believe-1991	Believe	
believe	Believe	
bell	BELL	
belles-ruelles	BELLES RUELLES	
bem	BEM	
bemader-p	BEMADER-P	
bengo	Bengo!	
berlin	BERLIN	
bet-yamazaki-2012	BET	
bet	BET	
between-the-sheets	between the sheets	
beyblade-x	BEYBLADE X	
beyond-the-clouds	Beyond the Clouds	
bible-of-black	BIBLE OF BLACK	
bible	BIBLE	
big-game	BIG GAME	
big-hearts	Big hearts	
big-smile	Big smile!	
big-waver	Big Waver	
big	BIG	
billy-bat	BILLY BAT	
bingo	BINGO!	
bino-bino	Bino!bino!	
bird-1994	Bird	
birdman-rally	Birdman rally	
birdmen	BIRDMEN	
birth-2002	BIRTH	
birth-2011	Birth	
birthday	Birthday	
bisexual	Bisexual	
bishop	BISHOP	
bisyoujyo-no-majiwari	Bisyoujyo no majiwari	
bite-maker-ak	Bite Maker AK	
bite-maker-ousamanoomega	Bite Maker	
bite	Bite!	
bitter-trap	Bitter Trap	
bitter-virgin	BITTER VIRGIN	
bitter	BITTER	
bj	BJ	
black-bird	Black bird	
black-bitter-sweet	Black Bitter Sweet	
black-board	BLACK BOARD	
black-box	BLACK-BOX	
black-brain	BLACK BRAIN	
black-cat	Black cat	
black-city	BLACK CITY	
black-dahlia	Black dahlia	
black-diamond	BLACK DIAMOND	
black-flower	Black Flower	
black-guard-1997	Black guard	
black-jack-neo	BLACK JACK NEO	
black-lagoon	BLACK LAGOON	
black-letter	BLACK LETTER	
black-line	Black Line	
black-magic-ghost-drive	BLACK MAGIC GHOST DRIVE	
black-moon	BLACK MOON	
black-night-hawk	Black night hawk	
black-out	BLACK OUT	
black-tiger	BLACK TIGER	
black-torch	BLACK TORCH	
black	Black!	
blade	BLADE	
blades	Blades	
blame	Blame!	
blanc-et-noir	Blanc et noir	
blanc-project	BLANC Project	
blanc	blanc	
blangel	BLANGEL	
blast	BLAST	
blazblue	BLAZBLUE	
blaze-sasameyuki-2006	BLAZE	
bleach	BLEACH	
blife	BLife	
blind-game	BLIND GAME	
blondie	Blondie	
