slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
shinshi-kyoutei-o-musubou	紳士協定を結ぼう!	こうじま奈月	3	041,048	2010-2022	0
shinya-no-damekoi-zukan	深夜のダメ恋図鑑	尾崎衣良	10	091,098	2015-2022	0
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	志野夏穂	4	799,862	2006-2011	0
shirley	シャーリー	森薫	2	047,757	2003-2014	0
shishunki-bitter-change	思春期ビターチェンジ	将良	9	593,866	2013-2019	0
shitomeya-kagyou-asami	仕留屋稼業あさみ	叶精作	6	821,867	2018-2023	0
shogi-no-watanabe-kun	将棋の渡辺くん	伊奈めぐみ	8	063,065	2015-2025	0
shokeisareta-kenja-wa-lich-ni-tenseishite-shinryaku-sensou-o-hajimeru	処刑された賢者はリッチに転生して侵略戦争を始める	國友翔太郎	14	301,757	2020-2025	0
shota-oni	ショタおに	アカコッコ	7	301,757	2021-2026	0
shoujiki-fudou-san	正直不動産	大谷アキラ	22	091,098	2018-2026	0
shoujo-fight	少女ファイト	日本橋ヨヲコ	18	063,065	2006-2022	0
shoukan-sareta-kenja-wa-isekai-o-yuku	召喚された賢者は異世界を往く	小林こー	14	040,046	2019-2025	0
shoukoku-no-altair	将国のアルタイル	カトウコトノ	27	063,065	2008-2024	0
shounen-maid	少年メイド	乙橘	10	047,757	2008-2017	0
shounen-onmyouji	少年陰陽師	結城光流/空倉シキジ	6	041,048	2010-2025	0
shouni-geka-no-yuuka-sensei	小児外科のゆうか先生	赤澤正之	2	040,046	2019-2024	0
shouwa-tennou-monogatari	昭和天皇物語	能條純一/半藤一利/志波秀宇	18	091,098	2017-2026	0
shuchuu-ni-otoshite-iidesuka	手中に落としていいですか	くれの又秋	4	824,865	2017-2023	0
shujinkou-nikki	主人恋日記	吉永ゆう	12	098,099	2021-2026	0
shuumatsu-no-valkyrie	終末のワルキューレ	アジチカ	27	199,867	2018-2026	0
