slug	title	title_kana	期待romaji	一致度	flag
138-e	138°E	ワンスリーエイトイー	wansurieitoi	0.25	slug≠題読み(低一致)
18-ikooru-80	18=80	エイティーンエイティ	eiteineitei	0.25	slug≠題読み(低一致)
2-i-4-6	2・4・6	ニイヨンロク	niiyonroku	0.25	slug≠題読み(低一致)
3-3eyes	3×3EYES	サザンアイズ	sazanaizu	0.25	slug≠題読み(低一致)
7-call	7コール	7コール	7koru	0.25	slug≠題読み(低一致)
a-c-d-c-2	A.C.D.C.2	エーシーディーシーツー	eshideishitsu	0.25	slug≠題読み(低一致)
aids	AIDS	エイズ	eizu	0.25	slug≠題読み(低一致)
alpha-1993	ALPHA	アルファ	arufua	0.25	slug≠題読み(低一致)
alpha	α	アルファ	arufua	0.25	slug≠題読み(低一致)
b-eyes	B-EYES	ブラックアイズ	burakuaizu	0.25	slug≠題読み(低一致)
birth-2002	BIRTH	バース	basu	0.25	slug≠題読み(低一致)
birth	バース	バース	basu	0.25	slug≠題読み(低一致)
c-2011	C-	Cマイナー	cmaina	0.25	slug≠題読み(低一致)
cool-fool	COOL FOOL	クールフール	kurufuru	0.25	slug≠題読み(低一致)
cools	COOLS	クールス	kurusu	0.25	slug≠題読み(低一致)
cotton	Cotton	Poplarコミックス	poplarkomikusu	0.25	slug≠題読み(低一致)
eagle	イーグル	イーグル	iguru	0.25	slug≠題読み(低一致)
elegy	悲歌	エレジー	ereji	0.25	slug≠題読み(低一致)
fools	フールズ	フールズ	furuzu	0.25	slug≠題読み(低一致)
genji-2005	Genji	クイーンズコミックス	kuinzukomikusu	0.25	slug≠題読み(低一致)
gym-2000	ジム	ジム	jimu	0.25	slug≠題読み(低一致)
hooker	フッカー	フッカー	fuka	0.25	slug≠題読み(低一致)
i-s-1997	I''s	アイズ	aizu	0.25	slug≠題読み(低一致)
is-collection	IS collection	マンガ	manga	0.25	slug≠題読み(低一致)
lady-a	レディー・A	レディーエイ	redeiei	0.25	slug≠題読み(低一致)
lady-lady	レディレディ	レディレディ	redeiredei	0.25	slug≠題読み(低一致)
lady	レディ!!	レディ	redei	0.25	slug≠題読み(低一致)
layla-1993	レイラ	レイラ	reira	0.25	slug≠題読み(低一致)
layla-2009	麗裸	レイラ	reira	0.25	slug≠題読み(低一致)
lilith	リリス	リリス	ririsu	0.25	slug≠題読み(低一致)
