label_slug	label_title	label_author	誤ISBN	他在数	真題	真著	真作slug(既存)	空化	計画
82okushoku-no-kiseki	82億食の奇跡	加藤唯史	1	0	プロジェクトX挑戦者たち（〔5〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
ahondara	あほんだら	ササヤナナエコ	1	0	ささやななえ作品集（1）	ササヤナナエ			CREATE_NEW(真作をDBに新規作成して保全)
alexandros	アレクサンドロス	安彦良和	1	0	文明の道（1）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
all-stars	All stars	眠田直	1	0	ミンディランド　オールスターズ	ミンダナオ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
ao-no-otoko	蒼の男	ベルネ	1	0	譚詩（バラ-ド）	belne			CREATE_NEW(真作をDBに新規作成して保全)
arisa	ARISA	安藤ナツミ	1	0	亜里砂	辻村弘子			CREATE_NEW(真作をDBに新規作成して保全)
astro-twin	アストロツイン	竹宮惠子	1	0	竹宮恵子作品集（1）	竹宮恵子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
banana-sisters	バナナ❤シスターズ!!	ミヤスノンキ	1	0	バナナシスターズ	ヒロモリシノブ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
battle-staff	BATTLE STAFF	唯登詩樹	1	0	バトルスタッフ	加藤雅基		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
biijiiemu-ga-kikoenai	B.G.M.がきこえない	九月姫	1	0	BGMがきこえない	イクザワノブコ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
bright-no-yuuutsu	ブライトの憂鬱	竹宮惠子	1	0	ブライトの憂欝（2）	竹宮恵子			CREATE_NEW(真作をDBに新規作成して保全)
c-live	C-live	内田美奈子	1	0	C-ライブ（4）	田中正仁			CREATE_NEW(真作をDBに新規作成して保全)
case-b	Case B	雨宮淳	1	0	ケ-スB	雨宮ジュン		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
chronicle-2012	CHRONICLE	森山大輔	1	0	Rくろにくる	アヅマユキ;数多ヒロ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
cinderella-express	シンデレラ・エクスプレス	弓月光	1	0	シンデレラ特急	松本洋子(漫画家)			CREATE_NEW(真作をDBに新規作成して保全)
club-crime	Club crime	厘ノミキ	1	0	クラブクライム（vol．1）	凛野ミキ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
coyote	コヨーテ	座裏屋蘭丸	1	0	coyote	淡田青			CREATE_NEW(真作をDBに新規作成して保全)
crescent	CRESCENT	葉月シノブ	1	0	クレッセント　5	筒井百々子			CREATE_NEW(真作をDBに新規作成して保全)
crown	CROWN	和田慎二;氷栗優	1	0	クラウン（1）	中西達郎			CREATE_NEW(真作をDBに新規作成して保全)
crystalize	Crystalize	ミナミ遥	1	0	クリスタライズ	南カズカ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
daruma-tanaka-2004	達摩	所十三;田中誠一	1	0	Daruma	山中健司			CREATE_NEW(真作をDBに新規作成して保全)
david	David	syufo	1	0	デイビッド　1	板橋シュウホウ			CREATE_NEW(真作をDBに新規作成して保全)
debut	デビュー	長浜幸子	1	0	DEBUT	日渡早紀		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
desire-1989	デザイアー	森園ミルク	1	1	Desire（2）	金沢有倖	desire		DELETE(全て他作に在り=消すだけ)
detsudohiito-shiyun	デッドヒート瞬	スガヤミツル;モロガ卓	1	0	なんと孫六（9）	サダヤス圭	nanto-magoroku		MOVE→nanto-magoroku(真作既存)
dog-tory	ドッグ・トーリィ	桑田二郎	1	0	ビッグ・ト-リィ＋アンドロイド・ピニ	桑田次郎		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
doubles-1992	Doubles	小谷憲一	1	1	ダブルス	佐野未央子	doubles-1987		DELETE(全て他作に在り=消すだけ)
doubt-tonogai-2008	Doubt	外海良基	1	0	ダウト	桑田真澄;立沢克美			CREATE_NEW(真作をDBに新規作成して保全)
enjou-otokotachi-wa-tobikonda	炎上男たちは飛び込んだ	篠原トオル	1	0	プロジェクトX挑戦者たち（〔8〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
escape-kano-2014	ESCAPE	鹿乃シウコ	1	0	エスケープ	矢沢アイ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
exhiibition	EXHIIBITION	スエヒロガリ	1	0	エキシビション	末広雅里		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
feauei-no-samurai	フェアウェイの侍	池沢早人師	1	0	フェアウエイの侍（1）	池沢サトシ			CREATE_NEW(真作をDBに新規作成して保全)
five	ファイブ	フルカワシオリ	1	0	5	芳原ノゾミ	5-2000		MOVE→5-2000(真作既存)
flowers-2010	Flowers	今井康絵	1	0	フラワーズ	田中美菜子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
fuji-san-reedaa-kyodai-taifuu-kara-nippon-o-mamore	富士山レーダー巨大台風から日本を守れ	高岩ヨシヒロ	1	0	プロジェクトX挑戦者たち（〔20〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
furansu-mado-dayori	フランス窓便り	田渕由美子	1	0	田淵由美子作品集（1）	田淵由美子			CREATE_NEW(真作をDBに新規作成して保全)
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	広岡球志	1	0	豊臣秀吉と天下統一のたたかい	三原一晃			CREATE_NEW(真作をDBに新規作成して保全)
gentou-kuroyondamu-ni-idomu	厳冬黒四ダムに挑む	影丸穣也	1	0	プロジェクトX挑戦者たち（〔14〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
gift-2002	ギフト	中村カナコ	1	1	Gift（2）	秋本尚美	gift-hirose-2003		DELETE(全て他作に在り=消すだけ)
girl	ガール	奥田英朗;早坂イアン	1	1	Girl	真柴ヒロミ	girl-1990		DELETE(全て他作に在り=消すだけ)
hannya-shingyou	般若心経	尺ヒメキ;池田淳一	1	0	潮間帯（第4部）	渋川驍		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
happy-omajinai-comic	ハッピーおまじないコミック	上重☆サユリ	1	0	ウラナにおまかせ！（2）	ジョウサユリ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
harukanari-yume-no-kanata	遥かなり夢のかなた	竹宮惠子	1	0	遙かなり夢のかなた	竹宮恵子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
high	High	渡辺未知;登坂恵里香	1	1	はいTime-風子と一北	耕野裕子			DELETE(全て他作に在り=消すだけ)
horizon	HORIZON	菊田洋之	1	0	ホライゾン	伊藤悶			CREATE_NEW(真作をDBに新規作成して保全)
j-p-s	J.P.S	山本夜羽音	1	0	Justice　＆　peace　sp	山本夜羽		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
jirubesutaa-no-hoshi-kara	ジルベスターの星から	竹宮惠子	1	0	シルベスターの星から	竹宮恵子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kaiki-daisakusen-kuwatajirouban	怪奇大作戦 桑田次郎版	桑田二郎	1	0	怪奇大作戦〈桑田次郎版〉＋学園名主	桑田次郎		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kaitei-3000meetoru-no-daisousaku	海底3000メートルの大捜索	須本壮一	1	0	プロジェクトX挑戦者たち（〔18〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kanon-usami-2003	カノン	宇佐美真紀	1	1	Canon	北里千寿			DELETE(全て他作に在り=消すだけ)
kanon	Kanon	keybyylab;森嶋プチ	1	1	Canon	北里千寿			DELETE(全て他作に在り=消すだけ)
karutteto	かるってと	山花典之	1	0	かるてっと（2）	山崎花子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kemonomichi-kagemaru-1980	けものみち	影丸穣也;真樹日佐夫	1	0	獣道	影丸譲也			CREATE_NEW(真作をDBに新規作成して保全)
king-of-the-hustler	キング・オブ・ザ・ハスラー	谷津太朗	1	0	キング・オブ・ハスラー（4）	小林伸明;谷津太郎			CREATE_NEW(真作をDBに新規作成して保全)
kita-no-fuuin	北の封印	成毛厚子	1	0	小さじ一杯主婦の素	正保ヒロミ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kizuna	KIZUNA	コダカ和麻	1	0	絆	金子節子			CREATE_NEW(真作をDBに新規作成して保全)
kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	科学技術庁科学技術政策局調査課	1	0	つくろう21世紀ーロボットに見る不思	子ドモ科学技術白書編集委員会			CREATE_NEW(真作をDBに新規作成して保全)
kootaroo-makaritooru	コータローまかりとおる!	蛭田達也	1	0	シュート！〜蒼きめぐり逢い〜（3）	大島司			CREATE_NEW(真作をDBに新規作成して保全)
kosaaju	こさあじゅ	田渕由美子	1	0	田淵由美子作品集（2）	田淵由美子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kublai	クビライ	星野之宣	1	0	文明の道（2）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kuchi-no-koufun	口の興奮	安部慎一	1	0	日の興奮	安部愼一		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kyuumei-kyuukyuu-er-tanjou	救命救急ER誕生	コヤス珠世	1	0	プロジェクトX挑戦者たち（〔22〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
liar	liar	袴田十莉	1	0	ライアー	イシカワエミ;川谷康久			CREATE_NEW(真作をDBに新規作成して保全)
like-father-like-son	Like father like son	尾崎未来	1	0	Life　father　like　s	井上洋子(漫画家)		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
ma-no-yama-daisounan-kesshi-no-kyuushutsugeki	魔の山大遭難決死の救出劇	コヤス珠世	1	0	プロジェクトX挑戦者たち（〔27〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
majutsu-no-princess-hikita-tenkou	魔術のプリンセス引田天功	福瀬クニ子;飛鳥幸子	1	0	セリーヌ・ディオン	ジャンボーノワイエ;岡田好惠		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
makiko	真貴子	ササヤナナエコ;和田慎二	1	0	ささやななえ作品集（2）	ササヤナナエ			CREATE_NEW(真作をDBに新規作成して保全)
manga-shouwashi	まんが昭和史	トミ新蔵	1	0	前線と銃後	臣新蔵			CREATE_NEW(真作をDBに新規作成して保全)
manga-time-mini	まんがタイムmini	フジノハルカ;大乃元初奈;山田マリオ	1	0	まんがタイムミニ（vol．5）	アンソロジー		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
manhattan-op	マンハッタン・オプ	谷口ジロー	1	0	凝った死顔	矢作俊彦			CREATE_NEW(真作をDBに新規作成して保全)
maya-2004	マヤ	須藤真澄	1	0	Maya	魔木子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
milky-way	ミルキーウェイ	太刀掛秀子	1	0	Milky Way	佐藤楓			CREATE_NEW(真作をDBに新規作成して保全)
mindy-land	Mindy land	眠田直	1	0	魔法帝国	ミンダナオ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
miracle-night-gate	ミラクル・ナイト・ゲート	厦門潤	1	0	ミラクル・ナイト・ゲーム	亜藤潤子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
moshikashite-vamp	もしかしてヴァンプ	橘裕	1	0	火宵の月　2	平井摩利			CREATE_NEW(真作をDBに新規作成して保全)
neo-geo-comic	NEO・GEO COMIC	渡辺電機(株)	1	0	ネオジオコミック（1）	コミック編集部		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
nippon-hatsu-no-haiuee-shoubu-wa-tennouzan	日本初のハイウエー勝負は天王山	笠原倫	1	0	プロジェクトX挑戦者たち（〔26〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
nouzui-jungle	脳髄ジャングル	新井理恵	1	0	Mue48時間（1）	佐藤由惟			CREATE_NEW(真作をDBに新規作成して保全)
nozomi-s-life	望'sらいふ	富田安紀子	1	0	望’sらいふ	富田安紀良		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
nui-dara-zetsurin	脱いだら絶倫!?	加奈	1	0	絶倫教授の実験体 : 媚薬研究のお手	嶋永ノノ			CREATE_NEW(真作をDBに新規作成して保全)
omoide-yorimo-setsunakute	思い出よりもせつなくて	石井マユミ	1	0	想い出よりもせつなくて	石井真裕美		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
orfina	Orfina	天王寺キツネ	1	0	オルフィ-ナ（1）	天王寺水族館			CREATE_NEW(真作をDBに新規作成して保全)
organ-box	Organ box	山本夜羽音	1	0	オルゴンボックス	山本夜羽		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
otokotachi-fukutsu-no-drama-seto-oohashi	男たち不屈のドラマ瀬戸大橋	笠原倫	1	0	プロジェクトX挑戦者たち（〔15〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
paradise	パラダイス	守村大	1	0	Paradise	タグチマコト			CREATE_NEW(真作をDBに新規作成して保全)
pelican-road	ペリカンロード	五十嵐浩一	1	0	ドリームジェネレーション（3）	吉岡ツトム	dream-generation		MOVE→dream-generation(真作既存)
pet	ペット	三宅乱丈	1	0	Pet	日輪早夜			CREATE_NEW(真作をDBに新規作成して保全)
piyopiyo-clinic	ぴよぴよ★クリニック	ツキリノユミ	1	0	ぴよぴよ・クリニック	月梨野ユミ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
raburetaa-seo-2007	ラブレター	瀬尾公治	1	0	Love　letter	流田マサミ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
re-birth	RE-BIRTH	速水翼	1	0	リ・バース	矢野健太郎(漫画家)			CREATE_NEW(真作をDBに新規作成して保全)
real-kiss-2014	リアルキス	小純月子	1	1	Real kiss	宮坂香帆	real-kiss	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
reiko	レイコ	宮崎摩耶	1	0	Reiko	宮城理子			CREATE_NEW(真作をDBに新規作成して保全)
rifrein	Rifrein	岡田ユキオ	1	1	リフレイン	ササヤナナエ			DELETE(全て他作に在り=消すだけ)
romancing-saga	Romancing sa・ga	紺野サオリ	1	1	ロマンシングサガ1（2）	葉月マユミ;面堂カズキ			DELETE(全て他作に在り=消すだけ)
romanshingu-saga	ロマンシング サ・ガ2	葉月マユミ;面堂カズキ	1	1	ロマンシングサガ1	紺野サオリ			DELETE(全て他作に在り=消すだけ)
s-1999	エス	山本夜羽音	1	1	S	シンツグル;スタジオ編集部		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
sai-1998	彩	イノマタムツミ	1	1	Sigh	遊人		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
sai-2002	彩	小畑健	1	1	Sigh	遊人		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
