title	kana_slug	v2_slug	new_slug	type	changed	flag
終電で帰さない、たった1つの方法	shuden-de-kaesanai-tatta-1tsu-no-hoho	shuden-de-kaesanai-tatta-1tsu-no-hoho	shuden-de-kaesanai-tatta-1tsu-no-hoho	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
ようこそ実力至上主義の教室へ2年生編	yokoso-jitsuryoku-shijo-shugi-no-kyoshitsu-e-ninensei-hen	yokoso-jitsuryoku-shijo-shugi-no-kyoshitsu-e-ninensei-hen	yokoso-jitsuryoku-shijo-shugi-no-kyoshitsu-e-2-nensei-hen	音読み→数字(先頭分割)	CHANGED	
答えは3つ	kotae-ha-3tsu	kotae-ha-3tsu	kotae-ha-3tsu	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
17歳	junanasai	junanasai	junanasai	no-segment		分かち書き無=token置換不可
ゲームやるから100円貸して!	geemu-yarukara-hyakuen-kashite	geemu-yarukara-hyakuen-kashite	geemu-yarukara-100-en-kashite	音読み→数字(先頭分割)	CHANGED	
40ベイビーズ	yonmaru-beibiizu	yonmaru-beibiizu	yonmaru-beibiizu	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
4ジゲン	yojigen	yojigen	yojigen	no-segment		分かち書き無=token置換不可
陽下3姉妹はかまってほしい	hinomoto-sanshimai-wa-kamatte-hoshii	hinomoto-sanshimai-wa-kamatte-hoshii	hinomoto-3-shimai-wa-kamatte-hoshii	音読み→数字(先頭分割)	CHANGED	
※キスは20歳(はたち)になってから	kisuha20toshininattekara	kisuha20toshininattekara	kisuha20toshininattekara	no-segment		分かち書き無=token置換不可
999ドクター	999-dokutaa	999-dokutaa	999-dokutaa	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
とある科学の超電磁砲×とある魔術の禁書目録 4コマ公式アンソロジー	toaru-kagaku-no-cho-denjiho-toaru-majutsu-no-indekkusu-yonkoma-koshiki-ansorojii	toaru-kagaku-no-cho-denjiho-toaru-majutsu-no-indekkusu-yonkoma-koshiki-ansorojii	toaru-kagaku-no-cho-denjiho-toaru-majutsu-no-indekkusu-4-koma-koshiki-ansorojii	音読み→数字(先頭分割)	CHANGED	
0歳児スタートダッシュ物語	zerosaiji-sutaato-dasshu-monogatari	zerosaiji-sutaato-dasshu-monogatari	0-saiji-sutaato-dasshu-monogatari	音読み→数字(先頭分割)	CHANGED	
出会って5秒でバトル	deatte-gobyo-de-batoru	deatte-gobyo-de-batoru	deatte-5-byo-de-batoru	音読み→数字(先頭分割)	CHANGED	
「門番やってろ」と言われ15年、突っ立ってる間に俺の魔力が9999 (最強) に育ってました	monban-yattero-to-iware-jugonen-tsuttatteru-aida-ni-ore-no-maryoku-ga-kyusen-kyuhyaku-kyujukyu-saikyo-ni-sodattemashita	monban-yattero-to-iware-jugonen-tsuttatteru-aida-ni-ore-no-maryoku-ga-kyusen-kyuhyaku-kyujukyu-saikyo-ni-sodattemashita	monban-yattero-to-iware-15-nen-tsuttatteru-aida-ni-ore-no-maryoku-ga-9999-saikyo-ni-sodattemashita	音読み→数字(先頭分割) ; 音読み→数字	CHANGED	
野獣オトコは本能むきだしな2人	yaju-otoko-wa-honno-mukidashi-na-futari	yaju-otoko-wa-honno-mukidashi-na-futari	yaju-otoko-wa-honno-mukidashi-na-futari	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
