slug	title	title_kana	romaji(kana)	slug一致度	flag
cools	COOLS	クールス	kurusu	0.25	
cotton	Cotton	Poplarコミックス	poplarkomikusu	0.25	
eagle	イーグル	イーグル	iguru	0.25	
elegy	悲歌	エレジー	ereji	0.25	
fools	フールズ	フールズ	furuzu	0.25	
genji-2005	Genji	クイーンズコミックス	kuinzukomikusu	0.25	
gym-2000	ジム	ジム	jimu	0.25	
hooker	フッカー	フッカー	fuka	0.25	
i-s-1997	I''s	アイズ	aizu	0.25	
is-collection	IS collection	マンガ	manga	0.25	
lady-a	レディー・A	レディーエイ	redeiei	0.25	
lady-lady	レディレディ	レディレディ	redeiredei	0.25	
lady	レディ!!	レディ	redei	0.25	
layla-1993	レイラ	レイラ	reira	0.25	
layla-2009	麗裸	レイラ	reira	0.25	
lilith	リリス	リリス	ririsu	0.25	
live	LIVE!!	ライブ	raibu	0.25	
loser	ルーザー	ルーザー	ruza	0.25	
losers	Losers	ルーザーズ	ruzazu	0.25	
lovers	Lovers	ラヴァーズ	raazu	0.25	
lucky-2008	ラッキー	ラッキー	raki	0.25	
lucky	ラッキー!!	ラッキー	raki	0.25	
lust	LUST	モリゾノ,ミルク,1957-	morizonomiruku1957	0.25	
myther	Myther	ミザー	miza	0.25	
peace-yamada-1986	ピース!	ピース	pisu	0.25	
peace	ピース!	ピース	pisu	0.25	
piisu-2	ピース*2	Peace*peace	peacepeace	0.25	
play	PLAY!	プレイ!	purei	0.25	
r402	R402	アールヨンヒャクニ	aruyonhyakuni	0.25	
satoshi	聖	イキル	ikiru	0.25	
school-1999	スクール	スクール	sukuru	0.25	
school-days	School Days	スクールデイズ	sukurudeizu	0.25	
school	SCHOOL	スクール	sukuru	0.25	
seven	Seven	ナカハラ,モモタ	nakaharamomota	0.25	
task	TASK	パーム	pamu	0.25	
the-soccer	ザ・サッカー	ザサッカー	zasaka	0.25	
third	サード	サード	sado	0.25	
vice-1993	Vice	ヴァイス	aisu	0.25	
vice	Vice	バイス	baisu	0.25	
w-wolf	W・wolf	ダブルウルフ	daburuurufu	0.25	
woo-baby	Woo-baby	ウーベイビー	ubeibi	0.25	
x-day	X day	エックスデー	ekusude	0.25	
x-gene	X-GENE	イクスジーン	ikusujin	0.25	
xevec	XEVEC	ゼベック	zebeku	0.25	
z-aihara-2013	Z	ゼット	zeto	0.25	
9th-sleep	9th sleep	ナインススリープ	nainsusuripu	0.29	
alice12	ALICE12	アリスジュウニ	arisujuuni	0.29	
boys-love-2016	ボーイズラブ!	ボーイズラブ	boizurabu	0.29	
boys-love	Boys Love	ボーイズラヴ	boizura	0.29	
cheer-otoko	チア男子!!	チアダンシ	chiadanshi	0.29	
count-07	Count 07	ビーズログコミックス	bizurogukomikusu	0.29	
cover-girls	カバー・ガールズ	カバーガールズ	kabagaruzu	0.29	
destinies-cross	Destinies cross	アズミ,モカ	azumimoka	0.29	
empty-hear	empty hear	アクアコミックス	akuakomikusu	0.29	
hideout	HIDEOUT	カキザキ,マサスミ,1978-	kakizakimasasumi1978	0.29	
kiss-of-fire	KISS OF FIRE	ニッタ,ユウカ	nitayuuka	0.29	
love-clinic	ラブ・クリニック	ラブクリニック	rabukuriniku	0.29	
lovely-style	Lovely style	ラブリースタイル	raburisutairu	0.29	
news-6-30	NEWS 6:30	ニュースロクサンマル	nyusurokusanmaru	0.29	
oxydol-love	オキシドールラブ	オキシドールラブ	okishidorurabu	0.29	
psycho-eyes	サイコアイズ	サイコアイズ	saikoaizu	0.29	
the-boxer	ザ・ボクサー	ザボクサー	zabokusa	0.29	
vitamin-z	Vitamin Z	シルフコミックス	shirufukomikusu	0.29	
love-experience	Love experience	ハナオトコミックス	hanaotokomikusu	0.3	
midnight-juliet	Midnight Juliet	ポリアンナヤシチ	poriannayashichi	0.3	
0-angel	ゼロエンジェル	ゼロエンジェル	zeroenjieru	0.33	
1-love-9	1〔LOVE〕9	1ラブ9	1rabu9	0.33	
13club	13club	サーティーンクラブ	sateinkurabu	0.33	
17-easy	17 easy	セブンティーンイージー	sebunteiniji	0.33	
2gether	2gether	トゥギャザー	tougyaza	0.33	
37-c	37°C	サンジュウシチドシー	sanjuushichidoshi	0.33	
4c-l-side	4C L-side	ヨンシー	yonshi	0.33	
68m	68m	ロクジュウハチメートル	rokujuuhachimetoru	0.33	
a-00ab	A-00ab	エーノゼロゼロエービー	enozerozeroebi	0.33	
ace-1985	エース!	エース	esu	0.33	
ace	エース!-ACE-	エース	esu	0.33	
age	Age!	エイジ	eiji	0.33	
aile	エール!	エール	eru	0.33	
akb0048	AKB0048	エーケービーゼロゼロフォーティーエイト	ekebizerozerofuoteieito	0.33	
angel-1987	エンジェル	エンジェル	enjieru	0.33	
angel-1988	エンジェル	エンジェル	enjieru	0.33	
angel-eyes-1994	Angel eyes	ヨシダ,アキミ	yoshidaakimi	0.33	
angels	Angels	エンジェルズ	enjieruzu	0.33	
away	AWAY	アウェイ	auei	0.33	
baby-baby-1997	ベイベェベイベェ	ベイベェベイベェ	beibeebeibee	0.33	
baby-baby-2021	Baby Baby	ベイビーベイビー	beibibeibi	0.33	
baby-baby	ベイビィベイビィ	ベイビィベイビィ	beibiibeibii	0.33	
baby	ベイビィ	ベイビィ	beibii	0.33	
because	Because…	ビコーズ	bikozu	0.33	
bow	バウ	バウ	bau	0.33	
bye-bye-brother	バイバイ・ブラザー	バイバイブラザー	baibaiburaza	0.33	
byebyebye	バイバイバイ	バイバイバイ	baibaibai	0.33	
closer	Closer	クローザー	kuroza	0.33	
clover-1997	Clover	クローバー	kuroba	0.33	
clover-2002	クローバー	クローバー	kuroba	0.33	
clover-2008	クローバー	クローバー	kuroba	0.33	
clover	クローバー	クローバー	kuroba	0.33	
color-mimori-2012	Color	カラー	kara	0.33	
color	カラー	カラー	kara	0.33	
complex-age	コンプレックス・エイジ	コンプレックスエイジ	konpurekusueiji	0.33	
cool-guy	クール・ガイ	クールガイ	kurugai	0.33	
cue-2004	CUE	キュー	kyu	0.33	
cue	Cue	キュー	kyu	0.33	
cut	Cut	ヤングサンデーコミックス	yangusandekomikusu	0.33	
d-c-iii	D.C. 〔Ⅲ〕	ダカーポ3	dakapo3	0.33	
dn-angel	D・N・Angel	スギサキ,ユキル	sugisakiyukiru	0.33	
doesn-t	Doesn't	ニラサワ,ヤスシ,1963-2016	nirasawayasushi19632016	0.33	
dolls-code	ドールズコード	ドールズコード	doruzukodo	0.33	
edge	Edge	エッジ	eji	0.33	
evilive	Evilive	イビリヴ	ibiri	0.33	
flcl	フリクリ	フリクリ	furikuri	0.33	
foods	Foods	フーズ	fuzu	0.33	
gpx	GPX	ジーピーエックス	jipiekusu	0.33	
gtr	GTR	ビッグコミックス	bigukomikusu	0.33	
guy	GUY	ガイ	gai	0.33	
gym	Gym	ジム	jimu	0.33	
h2love	H2love	エイチツーラブ	eichitsurabu	0.33	
hook	HOOK	フック	fuku	0.33	
hoope	HOOPE!	フープ	fupu	0.33	
i-love-alice	アイラブアリス	アイラブアリス	airabuarisu	0.33	
ice	Ice	アイス	aisu	0.33	
ily	Ily	アイリ	airi	0.33	
j-1994	J	ジェイ	jiei	0.33	
jojo6251	JoJo6251	ジョジョロクセンニヒャクゴジュウイチ	jojorokusennihyakugojuuichi	0.33	
judge	JUDGE	ジャッジ	jaji	0.33	
kill-love	キル・ラブ	キルラブ	kirurabu	0.33	
la-calaca	LA CALACA	ラカラカ	rakaraka	0.33	
layla	麗羅	レイラ	reira	0.33	
level-e	レベルE	レベルイー	reberui	0.33	
losers-circle	ルーザーズ・サークル	ルーザーズサークル	ruzazusakuru	0.33	
love-app	ラブアプリ	ラブアプリ	rabuapuri	0.33	
love-boy-love	ラブ・ボーイ・ラブ	ラブボーイラブ	rabuboirabu	0.33	
love-celeb	ラブセレブ	ラブセレブ	rabuserebu	0.33	
love-cruise	LOVE CRUISE	ラブクルーズ	rabukuruzu	0.33	
love-dolls	ラブドールズ	ラブドールズ	rabudoruzu	0.33	
love-files	ラヴ・ファイルズ	ラヴファイルズ	rafuairuzu	0.33	
love-juice	ラブジュース	ラブジュース	rabujusu	0.33	
love-life-2016	ラブ・ライフ	ラブライフ	raburaifu	0.33	
love-life	LOVE LIFE	ラブライフ	raburaifu	0.33	
love-lucky	ラブ・らっきぃ	ラブラッキィ	raburakii	0.33	
love-order-200x	Love order 200X	モチズキ,レイコ	mochizukireiko	0.33	
lover	LoveR	ラヴアール	raaru	0.33	
lovers-7	ラバーズ7	ラバーズ7	rabazu7	0.33	
mother	Mother	マザー	maza	0.33	
neun	NeuN	ノイン	noin	0.33	
new-comer	NEW COMER	ニューカマー	nyukama	0.33	
no-6	No. 6	ナンバーシックス	nanbashikusu	0.33	
now	ナウ	ナウ	nau	0.33	
odds	Odds	オッズ	ozu	0.33	
olc	OLC	オーエルシー	oerushi	0.33	
one-3	ONE×3	ワンワンワン	wanwanwan	0.33	
one-form	One form	リュウガ,ショウ	ryuugashou	0.33	
one	One	ワン	wan	0.33	
overture	OVERTURE	オーバチュア	obachua	0.33	
pool	プール	プール	puru	0.33	
prototype-azmax	Prototype azmax	As&#39;マリア,1969-	as39maria1969	0.33	
r-15	R-15	アールジュウゴ	arujuugo	0.33	
r-16-r	［R-16］R	アールジュウロクアール	arujuurokuaru	0.33	
r18	R18!	アールジュウハチ	arujuuhachi	0.33	
ray	RAY	レイ	rei	0.33	
rei	怜	トキ	toki	0.33	
run	Run	イ,サンセ,1958-	isanse1958	0.33	
s4g	S4G	エスフォージー	esufuoji	0.33	
seasons-2011-2	Seasons	シーズンズ	shizunzu	0.33	
seasons-2011	Seasons	シーズンズ	shizunzu	0.33	
shuukon	蹴魂	フットボール	futoboru	0.33	
shuuren	終恋	ツイコイ	tsuikoi	0.33	
sky	Sky	ロクダ,ノボル,1952-	rokudanoboru1952	0.33	
sweet-home-2002	Sweet home	カヤマ,ユミ,-2005	kayamayumi2005	0.33	
taboo-yahagi-1996	タブー	スコラ	sukora	0.33	
the-boys	ザ・ボーイズ	ザボーイズ	zaboizu	0.33	
the-cop	ザ・コップ	ザコップ	zakopu	0.33	
the-edge	the EDGE	ジエッジ	jieji	0.33	
u12	U12	アンダートゥエルブ	andatouerubu	0.33	
veil	Veil	ヴェール	eru	0.33	
vrg	VRG	ブイアールジー	buiaruji	0.33	
warakado	Warakado	ビッグコミックス	bigukomikusu	0.33	
wave	Wave	ウェーブ	uebu	0.33	
we-are	We are	ウィーアー	uia	0.33	
wei	Weiβ	ヴァイス	aisu	0.33	
welcome-1979	ウェルカム	ウェルカム	uerukamu	0.33	
welcome	うぇるかむ!	ウェルカム	uerukamu	0.33	
west-end	West end	ニチブンkarenコミックブンコ	nichibunkarenkomikubunko	0.33	
wetuber	WeTuber	ウィーチューバー	uichuba	0.33	
wild-7-1973-74	ワイルド7 1973-74	ワイルドセヴンセンキュウヒャクナナジュウサンナナジュウヨン	wairudosensenkyuuhyakunanajuusannanajuuyon	0.33	
with-2000	ウィズ	ウィズ	uizu	0.33	
with	with!!	ウィズ	uizu	0.33	
wombs	WOMBS	ウームズ	umuzu	0.33	
x-day-tamura-1993	X-DAY	エックスデイ	ekusudei	0.33	
yon	4	マッドブルサーティフォー4	madoburusateifuo4	0.33	
ys-5	イースⅤ	イース	isu	0.33	
seishun-sankaku	青春△	青春トライアングル	toraianguru	0.5	漢字残
belles-ruelles	BELLES RUELLES	ベルリュエル|銀ねこ通り	beruryuerunekori	0.67	漢字残
wedding-death-game	ウェディング・デスゲーム	ウェディングデスゲーム|第1のゲーム〈誓約〉第2のゲーム〈バージンロード〉	uedeingudesugemu1nogemu2nogemubajinrodo	0.7	漢字残
captain-2	キャプテン2	キャプテンツー|レガシーを作れ!の巻	kyaputentsuregashioreno	0.71	漢字残
ms-marvel	Ms.マーベル	もしかしてこれって…恋?|ミスマーベル	moshikashitekoretemisumaberu	0.71	漢字残
1702-chuushingura	1702忠臣蔵	イチナナゼロニチュウシングラ|雪の本	ichinanazeronichuushingurano	0.75	漢字残
kansuto-yuusha-no-chouma-kyoudou	カンスト勇者の超魔教導	カンストユウシャノオーバーレイズ|カンスト勇者の超魔教導(オーバーレイズ)	kansutoyuushanoobareizukansutonoobareizu	0.75	漢字残
digimon-dreamers	デジモンドリーマーズ	デジモンドリーマーズ|夢見るデジモン	dejimondorimazurudejimon	0.8	漢字残
ishuzoku-kyoshoujo-sextet	異種族巨少女セクステット!	オーバーサイズセクステット!|異種族巨少女(オーバーサイズ)セクステット!	obasaizusekusutetoobasaizusekusuteto	0.8	漢字残
jinzou-ningen-100	人造人間100	ジンゾウニンゲンヒャク|理想の人間	jinzouningenhyakuno	0.8	漢字残
red-hood	レッドフード	レッドフード|赤い狩人	redofudoi	0.8	漢字残
invincible-iron-man-ironheart	インビンシブル・アイアンマン:アイアンハート	インビンシブルアイアンマンアイアンハート|リリの選択	inbinshiburuaianmanaianhatoririno	0.82	漢字残
love-live-sunshine-school-idol-diary	ラブライブ!サンシャイン!!School idol diary	ラブライブサンシャインスクールアイドルダイアリー|千歌・梨子・曜編	raburaibusanshainsukuruaidorudaiari	0.82	漢字残
nogarebana-special	逃亡花 (のがればな) スペシャル	ノガレバナスペシャル|逃亡花スペシャル	nogarebanasupesharusupesharu	0.82	漢字残
mangetsu-ni-koi-o-shite	満月に恋をして	フルムーンニコイオシテ|満月(フルムーン)に恋をして	furumunnikoioshitefurumunnioshite	0.83	漢字残
beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	ベイブレードソウルタクアンドショウ|ベイブレード魂タク&ショウ	beiburedosourutakuandoshoubeiburedotakushou	0.85	漢字残
unlucky-fukouda-sensei	アンラッキー不幸田先生	アンラッキーフコウダセンセイ|不幸田先生がやってきた!の巻	anrakifukoudasenseigayatekitano	0.85	漢字残
koibumi-to-13-sai-no-joyuu	恋文と13歳の女優	コイブミト13サイノアクトレス|恋文と13歳の女優(アクトレス)	koibumito13sainoakutoresuto13noakutoresu	0.86	漢字残
kyuupii-agatsuma-ryou-desperado	QP我妻涼デスペラード	キューピーアズマリョウデスペラード|ニューヨーク激情編	kyupiazumaryoudesuperadonyuyoku	0.86	漢字残
rejisutansu	列士満	レジマン|列士満(レジマン)	rejimanrejiman	0.86	漢字残
chaos-no-shiro	混沌 (カオス) の城	カオスノシロ|混沌の城	kaosunoshirono	0.88	漢字残
king-abyss	キングアビス	アダマ篇|キングアビス	adamakinguabisu	0.88	漢字残
tenmaku-cinema	テンマクキネマ	はじめての映画|テンマクキネマ	hajimetenotenmakukinema	0.89	漢字残
isekai-cheat-magician	異世界チート魔術師(マジシャン)	イセカイチートマジシャン|異世界チート魔術師	isekaichitomajishanchito	0.91	漢字残
jingai-coupling-catalog	人外CP(カップリング)かたろぐ。	ジンガイカップリングカタログ|人外CPかたろぐ。	jingaikapuringukatarogucpkatarogu	0.91	漢字残
vampire-naito-memories	ヴァンパイア騎士(ナイト)memories	ヴァンパイアナイトメモリーズ|ヴァンパイア騎士memories	anpaianaitomemorizuanpaiamemories	0.91	漢字残
dragon-ball-super	ドラゴンボール超(スーパー)	ドラゴンボールスーパー|ドラゴンボール超集まれ超戦士たち!	doragonborusupadoragonborumaretachi	0.92	漢字残
inui-kun-wa-inukai-san-no-tazuna-o-nigiritai	乾くんは犬飼さんの手綱を握りたい	イヌイクンワイヌカイサンノリードオニギリタイ|乾くんは犬飼さんの手綱(リード)を握りたい	inuikunwainukaisannoridoonigiritaikunhasannoridooritai	0.92	漢字残
kyou-kara-city-hunter-2021	今日から City hunter	キョウカラCityhunter|今日からシティハンター	kyoukaracityhunterkarashiteihanta	0.92	漢字残
majo-no-yasashii-parade	魔女 (リリス) のやさしい葬列 (パレード)	リリスノヤサシイパレード|魔女のやさしい葬列	ririsunoyasashiiparedonoyasashii	0.92	漢字残
neko-ga-4-hiki-iru-kurashi	猫が4匹いる暮らし	ネコガヨンヒキイルクラシ|今日も大騒ぎな猫たちに新入り猫がやってきた	nekogayonhikiirukurashimoginatachinirigayatekita	0.92	漢字残
shiroki-otome-no-jinrou	白き乙女の人狼	シロキオトメノウェアウルフ|白き乙女の人狼(ウェアウルフ)	shirokiotomenoueaurufukinoueaurufu	0.92	漢字残
sono-bisque-doll-wa-koi-o-suru	その着せ替え人形は恋をする	その着せ替え人形(ビスク・ドール)は恋をする|ソノビスク・ドールワコイオスル	sonoseebisukudoruhaosurusonobisukudoruwakoiosuru	0.92	漢字残
tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	タチバナカントライアングル|立花館tolieあんぐる	tachibanakantoraiangurutolieanguru	0.92	漢字残
cafe-stella-to-shinigami-no-chou	喫茶(カフェ)ステラと死神の蝶	カフェステラトシニガミノチョウ|喫茶ステラと死神の蝶	kafuesuteratoshinigaminochousuteratono	0.93	漢字残
danjonzu-ando-dragons-dark-elf-monogatari	DUNGEONS & DRAGONSダークエルフ物語	ダンジョンズアンドドラゴンズダークエルフモノガタリ|故郷、メンゾベランザン	danjonzuandodoragonzudakuerufumonogatarimenzoberanzan	0.94	漢字残
owari-no-seraph-ichinose-guren-16-sai-no-catastrophe	終わりのセラフ一瀬グレン、16歳の破滅(カタストロフィ)	オワリノセラフイチノセグレンジュウロクサイノカタストロフィ|終わりのセラフ一瀬グレン、16歳の破滅	owarinoserafuichinosegurenjuurokusainokatasutorofuiwarinoserafuguren16no	0.94	漢字残
super-dragon-ball-heroes-ultra-god-mission	スーパードラゴンボールヒーローズウルトラゴッドミッション!!!!	スーパードラゴンボールヒーローズウルトラゴッドミッション|開幕!超時空トーナメント	supadoragonboruhirozuurutoragodomishontonamento	0.94	漢字残
yajikita-gakuen-douchuuki-final	やじきた学園道中記F(ファイナル)	やじきた学園道中記F|ヤジキタガクエンドウチュウキファイナル	yajikitafyajikitagakuendouchuukifuainaru	0.94	漢字残
37-do-5-bu-no-namida	37.5℃(さんじゅうななどごぶ)の涙	37.5℃の涙|サンジュウナナドゴブノナミダ	375cnosanjuunanadogobunonamida	1.0	漢字残
aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	アイドルマスター シャイニーカラーズ 事務的光空記録	アイドルマスターシャイニーカラーズジムテキシャイノグラフィ|アイドルマスターシャイニーカラーズ事務的光空記録(ジムテキ・シャイノグラフィ)	aidorumasutashainikarazujimutekishainogurafuiaidorumasutashainikarazujimutekishainogurafui	1.0	漢字残
akatoki-no-yami	暁 (アカトキ) の闇	アカトキノヤミ|暁の闇	akatokinoyamino	1.0	漢字残
anata-no-danna-uwaki-shitemasu-yo	あなたの勇者(ダンナ)浮気してますよ	YOURHEROHASANAFFAIRあなたの勇者浮気してますよ|アナタノダンナウワキシテマスヨ	yourherohasanaffairanatanoshitemasuyoanatanodannauwakishitemasuyo	1.0	漢字残
ane-ni-naritai-gishi-vs-yuri-ni-naritai-imouto	姉になりたい義姉vs百合になりたい義妹	アネニナリタイアネvsユリニナリタイイモウト|姉になりたい義姉(あね)vs百合になりたい義妹(いもうと)	aneninaritaianevsyurininaritaiimoutoninaritaianevsninaritaiimouto	1.0	漢字残
angou-gakuen-no-iroha	暗号学園のいろは	アンゴウガクエンノイロハ|第四次世界大戦は紙と鉛筆でおこなわれる	angougakuennoirohahatodeokonawareru	1.0	漢字残
ankoku-kishi-no-ore-desu-saikyou-no-sei-kishi-o-mezashimasu	暗黒騎士の俺ですが最強の聖騎士をめざします	アンコクキシノオレデスガサイキョウノパラディンオメザシマス|暗黒騎士の俺ですが最強の聖騎士(パラディン)をめざします	ankokukishinooredesugasaikyounoparadeinomezashimasunodesuganoparadeinomezashimasu	1.0	漢字残
as-you-wish-sister	As you wish, sister	Asyouwish,sister=シスターサマノオオセノママニ|シスター様の仰せの魔々に	asyouwishsistershisutasamanooosenomamanishisutanosenoni	1.0	漢字残
ayakashi-no-tsuma	あやかしの妻	あやかしの妻(おんな)|アヤカシノオンナ	ayakashinoonnaayakashinoonna	1.0	漢字残
ayashimon	アヤシモン	アヤシモン|遊んでやるよ、ドちんぴラ	ayashimonndeyaruyodochinpira	1.0	漢字残
