title	vol	version	special_isbn	normal_isbn	status
アイドルマスターミリオンライブ!Blooming Clover	10	オリジナルCD付き限定版	9784049140095		none
アイドルマスターミリオンライブ!Blooming Clover	11	オリジナルCD付き限定版	9784049143577		none
アイドルマスターミリオンライブ!Blooming Clover	12	オリジナルCD付き限定版	9784049145953		none
アイドルマスターミリオンライブ!Blooming Clover	13	オリジナルCD付き限定版	9784049147414		none
アイドルマスターミリオンライブ!Blooming Clover	14	オリジナルCD付き限定版	9784049150032		none
The idolm@ster million live! theater days brand new song	6	CD付き特装版	9784758018173		none
テルマエ・ロマエ	4	特装版	9784047274969		none
テルマエ・ロマエ	5	特装版	9784047282155		none
とある科学の心理掌握(メンタルアウト)	3	鎌池和馬書き下ろし小説『じょおうのおしばい』付き特装版	9784041147382		none
ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん	5	ドラマCD付き特装版	9784047371224		none
うどんの国の金色毛鞠	9	限定版	9784107719348		none
運命は僕の隣	1	初回限定版	9784862525611		none
うた恋い。	1	フルカラー特装版	9784040673240		none
わんことにゃんこ	2	初回限定版	9784862525291		none
槍の勇者のやり直し	5	ドラマCD付き特装版	9784040658490		none
よばうよもすがら	2	小冊子付き特装版	9784861239946		none
指先から本気の熱情	5	小冊子付き特装版	9784434287015		none
優等生の制服のなか	2	限定版	9784758026253		none
誘惑レシピ	5	初回限定版	9784864361101		none
