slug	title	tv	need_synopsis	need_catch	genres	caption
apparel-dog	アパレルドッグ	6	1	1	slice-of-life	"ついに宣伝イベント「ニットラン」開始！
そこで思いもよらない大事件発生！？

秋冬の目玉商品「トランスフォームニット」。
展示会での価格決めバトルも決着し、次は宣伝イベントを行うことに。
ニット産地である新潟・五泉を舞台に、
ニットを着て自転車で走る「ニットラン」を計画するも、
そこに急遽「アンノワ」が参戦してきて！？
豪華ノベルティの制作、有名人モデルの起用と
豪勢なアンノワチームに対し、「ミシロ・メン」の対応は…？
波乱づくしのニットラン編収録のお仕事エンタメ第6巻！"
will-sama-wa-kyou-mo-mahou-de-asonde-imasu-next	ウィル様は今日も魔法で遊んでいます。ねくすと!	6	1	1	fantasy,isekai	"一度見ただけであらゆる魔法を再現できる少年ウィルは、シローのかつての仲間カルツとヤームの手を借りて新たな魔道具を作ることに。ウィルが作り出した新たな魔法は、不完全ながらも土塊で仮初の腕を作り出すもの、それは王都を襲った魔獣騒動で負傷し、今も苦しむみんなを笑顔にするためのものでーー。
才能∞の小さな天才魔法使いの成長を描く、異世界ファンタジー新章第2巻！"
the-boxer	ザ・ボクサー	6	1	1	sports	伝説のボクシングトレーナー・Kは、最後にして最強の弟子を見つけるため訪れた日本で、白髪の少年・龍山珀を紹介される。ジムでのスパーリングで珀の天才的な才能を目の当たりにするK。その才能に惚れこみかけたところ、路上でリンチにあう黒髪の少年・結城を見かける。不良に殴られるがままの結城だが、Kだけは結城のただならぬ雰囲気を感じ取る。その正体を見抜くため、Kは結城に殴りかかるが──。Kが見つけたのは「本物の天才」か、はたまた「怪物」か!?
skill-saisei-to-hakai-kara-hajimaru-saikyou-boukensha-life	スキル〈再生〉と〈破壊〉から始まる最強冒険者ライフ	6	1	1	adventure,fantasy	"【レアスキル覚醒で最強冒険者へ成り上がれ！】
冒険者として旅立った両親に憧れていた少年・ロルフ。成人の儀で希少なスキル【再生】を授かり、自らも冒険者となって有名パーティーに所属するも、スキルが発動せずに「役立たず」と追放されてしまう…。行き場を失ったロルフは、父から譲り受けたボロボロの剣以外を取り上げられ途方に暮れていたのだが…【破壊】スキルを持つ少女エルサと出会い、能力が覚醒ーー!? 「こんな凄いスキルが、この世界にあるなんてーー！」
【再生】と【破壊】…一見相反する2人のスキルだが、 【再生】スキルは【破壊】スキルで壊したものをパワーアップさせて創り直す規格外のスキルだった!!　さびついた剣は【再生】と【破壊】を経てとんでも武器に進化し、2人は有名パーティーを遥かに凌駕する最強冒険者になっていて…!?

「第1回グラスト大賞」大賞受賞作、待望のコミカライズ！　「役立たず」と追放されたぼっち冒険者が、最強への道を駆け上る成り上がりファンタジー、開幕!!　原作者書き下ろし小説・描き下ろし漫画も収録。"
bear-face	ベアフェイス	6	1	1	action,drama	"選ばれし警察官のみで組織された公安警察。
中でも「歴代最強」「怪物」と恐れられた男・斑鳩が突然公安を去り、始めたのは探偵事務所。
斑鳩を公安に連れ戻すために接触した柏木も公安を辞めて斑鳩の元で働いている。
そんな中、デートの下見で水族館に同行してほしいという女子高生の依頼を受けつつ彼女を守りながら斑鳩達を狙うスパイや過激派を撃退することに!?
期待の新鋭が贈る弩級クライムアクション！"
my-pure-lady-2024	マイピュアレディー	6	1	1	ecchi	フェアレディZで華麗に首都高を走る、謎の美しきドライバー愛子。彼女との出会いがきっかけで、冴えない独身男・田上は、女たちを癒す愛のテクニシャン「サプリマン」へと変貌を遂げていく。人妻、熟女、未亡人、OL、--愛を渇望する女性たちが見せるそれぞれの喜悦……めくるめく官能ストーリー。
kenka-dokugaku	喧嘩独学	6	1	1	action	"母親の入院費を稼ぐため、クラスメイトのカネゴンとともに動画配信サービス・ニューチューブで不良相手にケンカをする配信を続ける志村。
謎のチャンネル「dokugakukennka」の主・闘鶏の動画で学んだ「殴られても痛くない方法」を活かし、カツアゲしてきた不良に勝った志村は順調に収益を伸ばす。
さらに理想の女性・朝宮と出かけることになり、不器用ながらも二人は距離が縮まっていく。しかしその最中に、復讐に燃えるハマケンが襲撃。朝宮を守るためにも、志村はハマケンに立ち向かうが…!?
学んだケンカを撮りまくれ！ 撮った動画で這い上がれ!! 刺激MAX、喧嘩×動画の下剋上！"
ai-mo-nikushimi-mo-chinmoku-no-naka-de	愛も憎しみも沈黙の中で	6	1	1	drama,fantasy,romance	"「お前は　俺だけのものだ」 
「暴君」と悪名高い鎮北(ちんほく）王に、妾として嫁ぐことになった口のきけない美貌の奴隷・沈玉（ルビ：シェンユゥ）。 
男であることを隠し、母親を守るため、主(あるじ)の娘の身代わりとなる。
無垢で素直な沈玉は懸命に鎮北王に仕え、王もそんな沈玉に惹かれ始める。
しかしそんな二人を王妃は黙って見てはおらず、沈玉の正体を暴こうとして…!?　 
古代中国の王宮を舞台にした愛情・独占欲・嫉妬渦巻く、美麗中華ファンタジー第1巻。
大人気中国発WEBコミック、フルカラーで書籍化！"
tokyo-shinrou	東京§神狼	6	1	1	fantasy	"番いになった二人の運命が動き出す！ 

 和風×獣人ファンタジー！過去編進行中！！

物ノ怪を殲滅するためなら犠牲を厭わない「獣憑き」になってしまった玖音は
牢屋に閉じ込められて2年が経過していた・・・
ある日、自らの番いに迫る脅威を感じ取り脱獄するのだが
その先には運命の出会いが待っていたーーーー
巫の所有権を主張する哮牙と激しくぶつかる采だったが、玖音は自らの気持ちを自覚することに？
玖音、采、哮牙の過去から見えるものとは？
 

 【編集担当からのおすすめ情報】 
 シリアスな過去編を収録している本巻なのですが
注目ポイントは采への気持ちを自覚した玖音の一途さ！一途なケモ耳男子の赤面
でしか得られない栄養がここにあります！
男勝りで豪快な采にも注目の今作です！"
mori-no-naka-de-koushaku-ga-hirotta-nowa	森の中で公爵が拾ったのは	6	1	1	fantasy,romance	"幸せになるために何度も回帰し続けているエリシアーー。
30回目の人生は、真夜中の森で野犬に襲われていたところを公爵のヴァロンに助けられ、事なきを得る…。
今回が最後のチャンスということで、エリシアは神の代理人であるラークに記憶を残してもらうことに！
自分のことを放置する父や命を狙う義母からも逃げず、運命に立ち向かおうと決意する‼

残酷な死を繰り返した令嬢のラブファンタジーがついに開幕！"
