title	a_romaji	a_id	key
お前の弱点、突いてイイ?	Omae no Jakuten, Tsuite Ii?: Motoyan Joushi no	141293	name:あすか|name:お前の弱点、突いてイイ?|sub:元ヤン上司の極上タイマンSEX
転生令嬢は悪名高い子爵家当主	Tensei Reijou wa Akumyoudakai Shishaku-ke Tous	193952	name:あすみ地球|name:転生令嬢は悪名高い子爵家当主
アライブ	Alive: Saishuu Shinkateki Shounen	30219	name:あだちとか|name:アライブ
俺は知らないうちに学校一の美少女を口説いていたらしい	Ore wa Shiranai Uchi ni Gakkou Ichi no Bishouj	146028	name:あたる|name:俺は知らないうちに学校一の美少女を口説いていたらしい
オーディンスフィア	Odin Sphere: Leifthrasir	116617	name:アトラス|name:オーディンスフィア
デスタメント	Deathtament: Shin Megami Tensei DSJ Another Re	102972	name:アトラス|name:デスタメント
禁断師弟でブレイクスルー	Kindan Shitei de Breakthrough: Boy Meets Satan	124853	name:アニッキーブラッザー|name:禁断師弟でブレイクスルー
盾の勇者の成り上がり	Tate no Yuusha no Nariagari: Aiya Kyu Special 	128982	name:アネコユサギ|name:盾の勇者の成り上がり
異世界保育園を開きました	Isekai Hoikuen wo Hirakimashita: Fusei Skill d	125801	name:あまちゃ|name:異世界保育園を開きました|sub:父性スキルで最強ロリ精霊たちはデレデレです
百合ラブスレイブ	Yuri Love Slave: Futari Dake no Houkago	132041	name:あらおし悠|name:百合ラブスレイブ|sub:ふたりだけの放課後
アラーニァ	MURCIÉLAGO BYPRODUCT: Araña	111541	name:アラカワシン|name:アラーニァ|sub:murciélago byproduct
異世界最強の嫁ですが、夜の戦いは俺の方が強いようです	Isekai Saikyou no Yome desu ga, Yoru no Tataka	161499	name:ありのかまち|name:異世界最強の嫁ですが、夜の戦いは俺の方が強いようです
奴隷を調教してハーレム作る	Dorei wo Choukyoushite Harem Tsukuru: Sodateta	174171	name:アルデヒド|name:奴隷を調教してハーレム作る
異世界クラフトぐらし	Isekai Craft Gurashi: Jiyu Kimama na Seisan Sh	156152	name:あろえ|name:異世界クラフトぐらし
魔力チートな魔女になりました	Maryoku Cheat na Majo ni Narimashita: Souzou M	136864	name:アロハ座長|name:魔力チートな魔女になりました|sub:創造魔法で気ままな異世界生活
幼馴染は一卵性の獣	Osananajimi wa Ichiransei no Kemono: Super Dar	132323	name:あわいぽっぽ|name:幼馴染は一卵性の獣
我が驍勇にふるえよ天地	Waga Gyouyuu ni Furueyo Tenchi: Alexis Teikoku	110991	name:あわむら赤光|name:我が驍勇にふるえよ天地|sub:アレクシス帝国興隆記
回復ローションで魔王を倒すことになった。	Kaifuku Lotion de Maou wo Taosu Koto ni Natta:	151057	name:イガラシユイ|name:回復ローションで魔王を倒すことになった。|sub:異世界びゅるびゅる攻略記
カントリー・ダイアリー	Country Diary: Aki Kara Fuyu e	118313	name:イシノアヤ|name:カントリー・ダイアリー|sub:春から夏へ
異世界クラフトぐらし	Isekai Craft Gurashi: Jiyu Kimama na Seisan Sh	156152	name:いずもねる|name:異世界クラフトぐらし|sub:自由気ままな生産職のほのぼのスローライフ
外れスキル《木の実マスター》	Hazure Skill «Kinomi Master»: Skill no Mi (Tab	138104	name:イセ川ヤスタカ|name:外れスキル《木の実マスター》|sub:スキルの実〈食べたら死ぬ〉を無限に食べられるよ
君はシンデレラ	Kimi wa Cinderella: Kokou na Onzoushi ga Taema	209531	name:いちかわ有花|name:君はシンデレラ
犬飼さんは隠れ溺愛上司	Inukai-san wa Kakure Dekiai Joushi: Konya Dake	150974	name:いとすぎ常|name:犬飼さんは隠れ溺愛上司
ウェスタの台所	Vesta no Daidokoro: Wasureta Boku no Sekai Goh	174234	name:いのうえひなこ|name:ウェスタの台所
異世界不倫2	Isekai Furin: Maou Toubatsu kara Juunen, Tsuma	130942	name:いのまる|name:異世界不倫2|sub:導かれし人妻たちと不器用転生勇者
私の推しは悪役令嬢。	Watashi no Oshi wa Akuyaku Reijou. Maid Kitche	165417	name:いのり|name:私の推しは悪役令嬢。
植物魔法チートでのんびり領主生活始めます	Shokubutsu Mahou Cheat de Nonbiri Ryoushu Seik	135503	name:いわさきたかし|name:植物魔法チートでのんびり領主生活始めます|sub:前世の知識を駆使して農業したら、逆
ペルソナ	Persona 2: Tsumi To Batsu	34574	name:インデックス|name:ペルソナ
チョコぷり	Choco Puri: Kyuuketsuki to no Yakusoku	209235	name:うしくえい|name:チョコぷり
不遇皇子は天才錬金術師～皇帝なんて柄じゃないので弟妹を可愛がりたい～@C	Fuguu Оuji wa Tensai Renkinjutsushi: Kоutei na	207489	name:うめー|name:不遇皇子は天才錬金術師～皇帝なんて柄じゃないので弟妹を可愛がりたい～@COMIC
追放令嬢は技能実習生になりました。	Tsuihou Reijo wa Ginoujisshuusei ni Narimashit	173459	name:うるし|name:追放令嬢は技能実習生になりました。
ヴェールの聖女	Veil no Seijo: Minikui to Gokai sareta Seijo, 	205129	name:うれい逸|name:ヴェールの聖女
俺と×××の練習しねえ?	Ore to XXX no Renshuushinee?: Furyou-kun to Na	212251	name:エトウユツキ|name:俺と×××の練習しねえ?|sub:不良くんとナイショの放課後
グリモワール×リバース	Grimoire x Reverse: Tensei Kijin Romantan	97006	name:エナミカツミ|name:グリモワール×リバース
ルチルクォーツの戴冠	Rutilequartz no Taikan: Slaine to Ou to Eiyuut	198910	name:エノキスルメ|name:ルチルクォーツの戴冠
フォトカノ	Photokano: Love Album	90657	name:エンターブレイン|name:フォトカノ
酔っ払い令嬢が英雄と知らず求婚した結果	Yopparai Reijou ga Eiyuu to Shirazu Kyuukon Sh	194954	name:オオトリ|name:酔っ払い令嬢が英雄と知らず求婚した結果
追放者食堂へようこそ!	Tsuihousha Shokudou e Youkoso!: Saikyou Party 	112273	name:がおう|name:追放者食堂へようこそ!
王太子妃パドマの転生医療	Outaishihi Padma no Tensei Iryou "Senjou no Te	199567	name:カズアキ|name:王太子妃パドマの転生医療
サイコアイズ	Psycho Eyes	182797	name:カトウタカヒロ|name:サイコアイズ
フリーライフ	Free Life: Isekai Nandemoya Funtouki	101346	name:かにビーム|name:フリーライフ
ロックマンギガミックス	Rockman Gigamix	54302	name:カプコン|name:ロックマンギガミックス
サベージファングお嬢様	Savage Fang Ojou-sama: Shijou Saikyou no Youhe	148134	name:かやはら|name:サベージファングお嬢様
劣等人の魔剣使い	Rettou Hito no Maken Tsukai Sukiruboudo o Kush	123089	name:かやはら|name:劣等人の魔剣使い
竜と歩む成り上がり冒険者道	Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi	143658	name:カリカリうめ|name:竜と歩む成り上がり冒険者道
北海道の現役ハンターが異世界に放り込まれてみた	Hokkaidou no Geneki Hunter ga Isekai ni Hourik	127734	name:カルトマ|name:北海道の現役ハンターが異世界に放り込まれてみた
放課後の迷宮冒険者(ダンジョン・ダイバー)	Houkago no Dungeon Diver: Nihon to Isekai wo I	181398	name:かれい|name:放課後の迷宮冒険者(ダンジョン・ダイバー)|sub:日本と異世界を行き来できるようになった僕
竜王陛下の逆鱗サマ	Ryu-ou Heika no Gekirin-sama: Hon suki Nezumi 	134956	name:かわのあきこ|name:竜王陛下の逆鱗サマ|sub:本好きネズミ姫ですが、なぜか竜王の最愛になりました
デルタサーガ	Emile Chronicle Online Gaiden - Delta Saga	180258	name:ガンホー・オンライン・エンターテイメント株式会社|name:デルタサーガ
大正カンタレラ	Taishou Cantarella: Tsumetaku Amai Danna-sama	157565	name:きくちくらげ|name:大正カンタレラ|sub:冷たく甘い旦那様
時魔術士の強くてニューゲーム	Toki Majutsushi no Tsuyokute New Game: Kako ni	152959	name:きさらぎゆり|name:時魔術士の強くてニューゲーム|sub:過去に戻って世界最強からやり直す
勇者パーティを追い出された器用貧乏	Yuusha Party wo Oidasareta Kiyoubinbou: Party 	146878	name:きさらぎゆり|name:勇者パーティを追い出された器用貧乏|sub:パーティ事情で付与術士をやっていた剣士、万
アストロキング	Astro King: Shoukan Yuusha dakedo Kakyuu Ninte	151865	name:ギザン|name:アストロキング|sub:召喚勇者だけど下級認定されたのでメイドハーレムを作ります!
継続は魔力なり	Keizoku wa Maryoku Nari: Hazure Mahou de Iseka	110915	name:キッカイキ|name:継続は魔力なり
ベルサイユのばら	Versailles no Bara: Episode-hen	92973	name:キョクイチ東京ムービー|name:ベルサイユのばら
異世界最高峰のギルドリーダー	Isekai Saikouhou no Guild Rider: Guild Saijaku	165126	name:くじらじーお|name:異世界最高峰のギルドリーダー
勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。	Yuusha Party wo Tsuihou Sareta Ore daga, Ore k	160769	name:くりもとぴんこ|name:勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。
残虐公の可愛いつがい	Zangyakukou no Kawaii Tsugai: Aishitagari na D	199076	name:クレイン|name:残虐公の可愛いつがい
ミュータントタートルズ	Mutant Turtles - Ore-tacha Kame na 4-Ninkumi	189460	name:ケビン・イーストマン|name:ミュータントタートルズ
チート薬師のスローライフ	Cheat Kusushi no Slow Life: Isekai ni Tsukurou	106820	name:ケンノジ|name:チート薬師のスローライフ|sub:異世界に作ろうドラッグストア
神域の魔法使い	Shiniki no Mahoutsukai: Kami ni Aisareta Rakud	209187	name:ケンノジ|name:神域の魔法使い
Boys life	Ane ni wa Zettai Kanawanai	50972	name:こうじま奈月|name:Boys life
異世界転移で女神様から祝福を!	Isekai Teni de Magami-sama Shufuku wo!: Ie, Te	209291	name:コーダ|name:異世界転移で女神様から祝福を!
社畜の俺、ドラゴンに懐かれたのでペット配信を始めます	Shachiku no Ore, Dragon ni Natsukareta node Pe	201268	name:こがれ|name:社畜の俺、ドラゴンに懐かれたのでペット配信を始めます
俺に注がせてください。	Ore ni Sosogasete Kudasai.: Okute Succubus to 	137366	name:こことおる|name:俺に注がせてください。|sub:奥手サキュバスとごちそう美青年
ロイヤル・シンデレラ・ママ	Royal Cinderella Mama: Tengai Kodoku no Botsur	183635	name:コトハ|name:ロイヤル・シンデレラ・ママ
マイネリーベ	Meine Liebe: Eien Naru Traumerei	33268	name:コナミデジタルエンタテインメント|name:マイネリーベ
ラブプラス	Love Plus: Kanojo no Kako	50365	name:コナミデジタルエンタテインメント|name:ラブプラス
異世界で上前はねて生きていく	Isekai de Uwamae Hanete Ikiteiku: Saisei Mahou	186849	name:こばみそ|name:異世界で上前はねて生きていく
ある魔女が死ぬまで	Aru Majo ga Shinu Made: Owari no Kotoba to Haj	170168	name:コレフジ|name:ある魔女が死ぬまで|sub:終わりの言葉と始まりの涙
サバイバル	Survival: Shounen S no Kiroku	94992	name:さいとう・プロ|name:サバイバル
王太子妃パドマの転生医療	Outaishihi Padma no Tensei Iryou "Senjou no Te	199567	name:さくら青嵐|name:王太子妃パドマの転生医療
聖剣が最強の世界で、少年は弓に愛される	Seiken ga Saikyou no Sekai de, Shounen wa Yumi	209035	name:さとう|name:聖剣が最強の世界で、少年は弓に愛される
勇者と呼ばれた後に	Yuusha to Yobareta Nochi ni: Soshite Musou Oto	168615	name:さなだケイスイ|name:勇者と呼ばれた後に|sub:そして無双男は家族を創る
猫耳メイドと少年王子	Nekomimi Maid to Shounen Ouji: Ansatsu Target 	149797	name:さゆこ|name:猫耳メイドと少年王子|sub:暗殺ターゲットの王子様に恋をしました
絶倫ドS魔術師アークと私の専属契約書	Zetsurin Do S Majutsushi Ark to Watashi no Sen	207605	name:ざわっこ|name:絶倫ドS魔術師アークと私の専属契約書
天鏡のアルデラミン	Nejimaki Seirei Senki: Tenkyou no Alderamin	85885	name:さんば挿|name:天鏡のアルデラミン
醜いオークの逆襲	Minikui Orc no Gyakushuu: Doujin Eroge no Kich	194625	name:サンボン|name:醜いオークの逆襲
無能の悪童王子は生き残りたい	Munou no Akudou Ouji wa Ikinokoritai: Renai RP	188438	name:サンボン|name:無能の悪童王子は生き残りたい
クロスアンジュ 天使と竜の輪舞	Cross Ange: Tenshi to Ryuu no Rondo	85857	name:サンライズ|name:クロスアンジュ 天使と竜の輪舞
コードギアス	Code Geass: Soubou no Oz O2	141972	name:サンライズ|name:コードギアス
デッドプール	Deadpool: SAMURAI	111722	name:ジェリー・ダガン|name:デッドプール
最強で最速の無限レベルアップ	Saikyou de Saisoku no Mugen Level Up: Skill [K	173022	name:シオヤマ琴|name:最強で最速の無限レベルアップ
髪結い乙女の嫁入り	Kamiyui Otome no Yomeiri Mukae ni Kita Danna-s	196771	name:しきみ彰|name:髪結い乙女の嫁入り
竜と歩む成り上がり冒険者道	Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi	143658	name:シソ|name:竜と歩む成り上がり冒険者道|sub:用済みとしてSランクパーティから追放された回復魔術師、捨て
スキル『台所召喚』はすごい!	Skill "Daidokoro Shoukan" wa Sugoi!: Isekai de	110375	name:しっぽタヌキ|name:スキル『台所召喚』はすごい!|sub:異世界でごはん作ってポイントためます
隻眼・隻腕・隻脚の魔術師@COMIC	Sekigan, Sekiwan, Sekkyaku no Majutsushi @Comi	209932	name:しばの番茶|name:隻眼・隻腕・隻脚の魔術師@COMIC
エンバーミング	Embalming: DEAD BODY and LOVER	35596	name:シマダヒデアキ|name:エンバーミング
イチャつくのに邪魔だからとパーティ追放されました!	Ichatsuku noni Jama Dakara to Party Tsuihou Sa	211333	name:しゃるもん|name:イチャつくのに邪魔だからとパーティ追放されました!
北海道の現役ハンターが異世界に放り込まれてみた	Hokkaidou no Geneki Hunter ga Isekai ni Hourik	127734	name:ジュピタースタジオ|name:北海道の現役ハンターが異世界に放り込まれてみた|sub:エルフ嫁と巡る異世界狩猟
異世界黙示録マイノグーラ	Isekai Mokushiroku Mynoghra: Hametsu no Bunmei	122362	name:じゅん|name:異世界黙示録マイノグーラ|sub:破滅の文明で始める世界征服
ラブレター	Poppoya Love Letter	38831	name:じんのひろあき|name:ラブレター
脱法テイマーの成り上がり冒険譚	Dappou Tamer no Nariagari Boukentan: S Rank Bi	130736	name:すかいふぁーむ|name:脱法テイマーの成り上がり冒険譚
魔法使いへの道	Mahoutsukai e no Michi: Udekiki Shishou to Han	164458	name:ずじ|name:魔法使いへの道|sub:腕利き師匠と半人前の俺
勇者が死んだ!	Yuusha ga Shinda! Murabito no Ore ga Hotta Oto	85952	name:スバルイチ|name:勇者が死んだ!
金色の文字使い(ワードマスター)	Konjiki no Word Master: Yuusha Yonin ni Makiko	85843	name:すまき俊悟|name:金色の文字使い(ワードマスター)|sub:勇者四人に巻き込まれたユニークチート
ブレイブルー リミックスハート	BlazBlue: Remix Heart	71823	name:スメラギ|name:ブレイブルー リミックスハート
戦場のヴァルキュリア	Senjou no Valkyria: Gallian Chronicles	41664	name:セガ|name:戦場のヴァルキュリア
戦場のヴァルキュリア2 our only days	Senjou no Valkyria 2: Gallian Ouritsu Shikan G	62243	name:セガ|name:戦場のヴァルキュリア2 our only days
ベル・プペーのスパダリ婚約	Belle Poupée no Supadari Konyaku: "Konomi ja N	186038	name:セレン|name:ベル・プペーのスパダリ婚約
異世界覚醒超絶クリエイトスキル	Isekai Kakusei Chouzetsu Create Skill: Seisan 	122318	name:たかた|name:異世界覚醒超絶クリエイトスキル
陰キャだった俺の青春リベンジ	InCha Datta Ore no Seishun Revenge: Tenshi Sug	157751	name:たん旦|name:陰キャだった俺の青春リベンジ|sub:天使すぎるあの娘と歩むReライフ
塔の諸島の糸織り乙女	Tou no Shotou no Itoori Otome: Tensei Cheat Ha	200617	name:チェリ子|name:塔の諸島の糸織り乙女|sub:転生チートはないけど刺繍魔法でスローライフします!
陛下、心の声がうるさすぎます。	Heika, Kokoro no Koe ga Urusugimasu. Watashi e	208694	name:ちろりん|name:陛下、心の声がうるさすぎます。
エルフ奴隷と築くダンジョンハーレム	Elf Dorei to Kizuku Dungeon Harem: Isekai de N	154219	name:ツキシタカグヤ|name:エルフ奴隷と築くダンジョンハーレム
戦姫完食シンフォギア	Senki Kanshoku Symphogear: Shirabe Meshi	135579	name:つたの葉|name:戦姫完食シンフォギア
追放者食堂へようこそ!	Tsuihousha Shokudou e Youkoso!: Saikyou Party 	112273	name:つむみ|name:追放者食堂へようこそ!
黒豚王子は前世を思いだして改心する	Kurobuta Ouji wa Zense wo Omoidashite Kaishin 	203009	name:てつぶた|name:黒豚王子は前世を思いだして改心する|sub:悪役キャラに転生したので死亡エンドから逃げてい
劣等紋の超越ヒーラー	Rettoumon no Choutsu Healer: Sekai Saikyou no 	142409	name:てつぶた|name:劣等紋の超越ヒーラー|sub:無敵の回復魔法で頼れる仲間と無双する
六姫は神護衛に恋をする	Roku Hime wa Kami Goei ni Koi wo Suru: Saikyou	137288	name:てつぶた|name:六姫は神護衛に恋をする|sub:最強の守護騎士、転生して魔法学園に行く
